hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3846.0,4095.0,2433.0,4095.0,4095.0,2206.0,2719.0,2559.0,0.94,-8.04,9.91,0.1,-0.04,-0.2,0.0,q
3845.0,4095.0,2431.0,4095.0,4095.0,2210.0,2719.0,2559.0,0.87,-7.98,9.7,-0.09,-0.03,-0.15,0.0,q
3843.0,4095.0,2432.0,4095.0,4095.0,2209.0,2720.0,2559.0,1.13,-7.91,9.93,0.03,-0.05,-0.12,0.0,q
3845.0,4095.0,2431.0,4095.0,4095.0,2209.0,2722.0,2559.0,1.19,-7.93,9.58,-0.04,-0.03,-0.19,0.0,q
3842.0,4095.0,2447.0,4095.0,4095.0,2210.0,2720.0,2559.0,1.04,-8.06,9.98,-0.14,-0.15,-0.17,0.0,q
3839.0,4095.0,2432.0,4095.0,4095.0,2213.0,2717.0,2559.0,1.26,-7.96,9.92,-0.01,-0.06,-0.1,0.0,q
3838.0,4095.0,2439.0,4095.0,4095.0,2210.0,2724.0,2586.0,1.58,-8.43,9.88,0.17,-0.04,-0.1,0.0,q
3825.0,4095.0,2433.0,4095.0,4095.0,2209.0,2726.0,2582.0,1.21,-8.02,9.92,-0.02,0.14,-0.01,0.0,q
3837.0,4095.0,2431.0,4095.0,4095.0,2213.0,2719.0,2579.0,1.04,-7.8,9.87,0.01,-0.04,0.0,0.0,q
3830.0,4095.0,2431.0,4095.0,4095.0,2217.0,2722.0,2583.0,0.75,-7.92,9.49,0.1,-0.08,-0.12,0.0,q
3863.0,4095.0,2439.0,4095.0,4095.0,2212.0,2725.0,2586.0,0.75,-7.72,9.97,0.06,-0.1,-0.18,0.0,q
3853.0,4095.0,2439.0,4095.0,4095.0,2222.0,2729.0,2586.0,0.94,-8.26,9.96,-0.0,-0.05,-0.17,0.0,q
3831.0,4095.0,2431.0,4095.0,4095.0,2213.0,2726.0,2588.0,0.96,-7.96,9.52,-0.02,0.01,-0.2,0.0,q
3824.0,4095.0,2432.0,4095.0,4095.0,2210.0,2723.0,2583.0,1.09,-8.02,9.65,0.13,-0.1,-0.24,0.0,q
3852.0,4095.0,2425.0,4095.0,4095.0,2217.0,2735.0,2591.0,1.06,-8.29,10.05,0.08,-0.08,-0.15,0.0,q
3827.0,4095.0,2439.0,4095.0,4095.0,2222.0,2729.0,2594.0,1.05,-8.06,9.9,-0.03,-0.05,-0.06,0.0,q
3825.0,4095.0,2431.0,4095.0,4095.0,2217.0,2729.0,2592.0,1.14,-7.9,9.89,-0.06,0.02,-0.09,0.0,q
