hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3043.0,4010.0,2735.0,4095.0,4095.0,2670.0,2935.0,2902.0,-0.94,-5.12,12.58,0.04,0.06,-0.18,0.0,q
3052.0,4030.0,2724.0,4095.0,4095.0,2668.0,2933.0,2898.0,-0.86,-4.95,12.49,0.05,0.03,-0.19,0.0,q
3031.0,4011.0,2736.0,4095.0,4095.0,2672.0,2938.0,2899.0,-0.73,-5.08,12.69,0.04,-0.02,-0.22,0.0,q
3031.0,4016.0,2736.0,4095.0,4095.0,2672.0,2934.0,2896.0,-0.74,-4.86,12.75,0.07,-0.1,-0.3,0.0,q
3026.0,4016.0,2720.0,4095.0,4095.0,2673.0,2935.0,2899.0,-0.62,-4.98,12.79,0.03,0.0,-0.3,0.0,q
3027.0,3995.0,2733.0,4095.0,4095.0,2671.0,2938.0,2897.0,-0.61,-5.02,12.81,0.04,0.06,-0.33,0.0,q
3038.0,4026.0,2727.0,4095.0,4095.0,2673.0,2933.0,2900.0,-1.02,-5.3,13.01,0.05,0.05,-0.34,0.0,q
3041.0,4021.0,2726.0,4095.0,4095.0,2673.0,2936.0,2898.0,-0.87,-5.16,12.61,0.1,-0.06,-0.35,0.0,q
3034.0,4016.0,2722.0,4095.0,4095.0,2672.0,2934.0,2899.0,-0.81,-5.18,12.62,0.04,0.03,-0.27,0.0,q
3041.0,4016.0,2722.0,4095.0,4095.0,2675.0,2943.0,2902.0,-0.55,-5.31,12.77,0.17,0.05,-0.35,0.0,q
3043.0,4027.0,2734.0,4095.0,4095.0,2681.0,2942.0,2898.0,-0.52,-5.2,12.47,0.01,-0.03,-0.28,0.0,q
3043.0,4010.0,2726.0,4095.0,4095.0,2679.0,2941.0,2899.0,-0.83,-5.25,12.61,0.06,0.07,-0.19,0.0,q
3034.0,4006.0,2726.0,4095.0,4095.0,2682.0,2939.0,2906.0,-0.85,-5.02,12.62,-0.02,-0.12,-0.13,0.0,q
3033.0,4016.0,2730.0,4095.0,4095.0,2677.0,2939.0,2899.0,-0.66,-4.89,12.54,-0.0,-0.02,-0.07,0.0,q
3051.0,4031.0,2731.0,4095.0,4095.0,2677.0,2932.0,2901.0,-0.59,-5.04,12.73,-0.04,-0.05,-0.09,0.0,q
3035.0,4003.0,2719.0,4095.0,4095.0,2677.0,2935.0,2903.0,-0.36,-5.06,12.9,-0.01,-0.0,-0.1,0.0,q
3031.0,3996.0,2722.0,4095.0,4095.0,2677.0,2934.0,2901.0,-0.4,-5.08,12.77,-0.03,-0.02,-0.15,0.0,q
3037.0,4020.0,2719.0,4095.0,4095.0,2685.0,2944.0,2911.0,-0.56,-4.97,12.55,-0.07,0.03,-0.17,0.0,q
3029.0,4005.0,2715.0,4095.0,4095.0,2678.0,2940.0,2903.0,-0.66,-4.81,12.41,-0.1,-0.04,-0.22,0.0,q
3044.0,4003.0,2729.0,4095.0,4095.0,2672.0,2941.0,2910.0,-0.57,-4.99,12.71,-0.22,0.05,-0.17,0.0,q
3038.0,4007.0,2715.0,4095.0,4095.0,2656.0,2943.0,2910.0,-0.63,-5.02,13.16,-0.07,-0.15,-0.36,0.0,q
3039.0,3988.0,2718.0,4095.0,4095.0,2645.0,2943.0,2903.0,-0.34,-5.0,12.96,0.02,0.01,-0.35,0.0,q
3047.0,3995.0,2722.0,4095.0,4095.0,2653.0,2949.0,2913.0,-0.27,-5.23,13.06,-0.01,0.11,-0.36,0.0,q
