hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2942.0,3227.0,3028.0,4095.0,4095.0,2969.0,3136.0,3615.0,3.34,-7.3,6.1,-0.05,-0.02,-0.07,1.0,q
2943.0,3232.0,3038.0,4095.0,4095.0,2975.0,3141.0,3614.0,3.33,-7.38,6.1,-0.02,0.04,-0.05,1.0,q
2947.0,3245.0,3041.0,4095.0,4095.0,2971.0,3135.0,3610.0,3.41,-7.24,5.94,-0.0,0.01,-0.11,1.0,q
2954.0,3227.0,3041.0,4095.0,4095.0,2978.0,3135.0,3614.0,3.35,-7.19,6.0,-0.04,0.05,-0.11,1.0,q
2940.0,3227.0,3039.0,4095.0,4095.0,2973.0,3140.0,3621.0,3.42,-7.11,5.99,-0.03,0.11,-0.13,1.0,q
2955.0,3231.0,3033.0,4095.0,4095.0,2972.0,3135.0,3614.0,3.37,-6.91,5.91,-0.15,0.12,-0.17,1.0,q
2950.0,3225.0,3033.0,4095.0,4095.0,2977.0,3136.0,3607.0,3.43,-7.01,5.94,-0.19,0.14,-0.17,1.0,q
2948.0,3234.0,3038.0,4095.0,4095.0,2975.0,3135.0,3616.0,3.54,-7.24,6.19,-0.21,0.19,-0.17,1.0,q
2959.0,3219.0,3038.0,4095.0,4095.0,2973.0,3136.0,3613.0,3.35,-7.42,6.17,-0.2,0.21,-0.18,1.0,q
2958.0,3231.0,3031.0,4095.0,4095.0,2979.0,3136.0,3600.0,3.14,-7.53,6.01,-0.16,0.24,-0.16,1.0,q
2955.0,3223.0,3039.0,4095.0,4095.0,2973.0,3135.0,3605.0,3.1,-7.38,5.95,-0.13,0.2,-0.2,1.0,q
2944.0,3234.0,3036.0,4095.0,4095.0,2979.0,3138.0,3617.0,3.0,-7.27,6.11,-0.12,0.17,-0.17,1.0,q
2942.0,3230.0,3032.0,4095.0,4095.0,2971.0,3138.0,3614.0,3.08,-7.18,6.12,-0.04,0.08,-0.2,1.0,q
2960.0,3238.0,3045.0,4095.0,4095.0,2977.0,3142.0,3615.0,3.13,-7.15,6.24,-0.09,0.09,-0.17,1.0,q
2955.0,3231.0,3037.0,4095.0,4095.0,2973.0,3136.0,3607.0,3.2,-7.18,6.21,-0.06,0.07,-0.18,1.0,q
2959.0,3217.0,3041.0,4095.0,4095.0,2977.0,3138.0,3614.0,3.21,-7.16,6.11,-0.06,-0.09,-0.23,1.0,q
2960.0,3226.0,3038.0,4095.0,4095.0,2979.0,3142.0,3617.0,3.29,-7.3,6.29,-0.11,-0.1,-0.24,1.0,q
2960.0,3223.0,3045.0,4095.0,4095.0,2981.0,3141.0,3604.0,3.58,-7.22,6.12,-0.18,-0.12,-0.28,1.0,q
2951.0,3218.0,3030.0,4095.0,4095.0,2982.0,3137.0,3618.0,3.64,-7.36,6.22,-0.22,-0.13,-0.33,1.0,q
2950.0,3242.0,3049.0,4095.0,4095.0,2985.0,3137.0,3620.0,3.91,-7.17,6.12,-0.08,-0.08,-0.19,1.0,q
2960.0,3216.0,3038.0,4095.0,4095.0,2985.0,3143.0,3615.0,3.76,-7.03,5.87,0.15,-0.23,-0.2,1.0,q
2947.0,3235.0,3039.0,4095.0,4095.0,2983.0,3132.0,3601.0,3.79,-7.02,6.05,0.04,0.05,0.04,1.0,q
2949.0,3230.0,3038.0,4095.0,4095.0,2990.0,3136.0,3606.0,3.84,-6.85,5.81,0.12,-0.15,0.12,1.0,q
2959.0,3237.0,3040.0,4095.0,4095.0,2994.0,3141.0,3616.0,3.87,-6.87,6.09,-0.11,-0.13,0.0,1.0,q
2960.0,3221.0,3039.0,4095.0,4095.0,2990.0,3133.0,3605.0,3.91,-6.96,6.08,-0.14,-0.03,0.01,1.0,q
2945.0,3233.0,3025.0,4095.0,4095.0,2988.0,3135.0,3605.0,3.84,-7.07,6.08,-0.01,-0.08,0.04,1.0,q
2961.0,3227.0,3035.0,4095.0,4095.0,2995.0,3136.0,3600.0,4.08,-6.97,5.97,-0.07,-0.07,0.12,1.0,q
2946.0,3230.0,3039.0,4095.0,4095.0,2992.0,3141.0,3614.0,3.97,-7.1,6.05,-0.02,-0.05,0.08,1.0,q
2957.0,3229.0,3042.0,4095.0,4095.0,2992.0,3135.0,3602.0,3.9,-7.2,6.04,-0.08,-0.07,0.06,1.0,q
2959.0,3245.0,3043.0,4095.0,4095.0,2995.0,3143.0,3599.0,3.78,-7.37,5.85,-0.07,-0.05,0.06,1.0,q
