hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3312.0,2898.0,3004.0,3296.0,4095.0,4095.0,2198.0,3334.0,1.03,9.91,0.14,0.06,0.04,-0.04,r
3314.0,2906.0,2992.0,3301.0,4095.0,4095.0,2205.0,3344.0,0.94,8.93,0.1,-0.2,0.01,-0.06,r
3318.0,2909.0,3009.0,3280.0,4095.0,4095.0,2215.0,3362.0,1.19,10.24,0.08,0.06,0.04,-0.0,r
3322.0,2905.0,2998.0,3262.0,4095.0,4095.0,2225.0,3363.0,0.63,9.13,0.28,-0.1,-0.01,0.03,r
3328.0,2907.0,3005.0,3261.0,4095.0,4095.0,2231.0,3373.0,1.12,10.32,0.03,-0.07,0.05,0.04,r
3321.0,2906.0,2999.0,3242.0,4095.0,4095.0,2237.0,3363.0,0.98,9.18,0.45,-0.05,-0.06,0.09,r
3337.0,2915.0,3007.0,3174.0,4095.0,4095.0,2218.0,3346.0,1.31,9.72,-0.12,-0.1,0.05,0.03,r
3326.0,2908.0,3006.0,3120.0,4095.0,4095.0,2206.0,3322.0,1.39,9.78,0.36,0.2,-0.03,0.07,r
3319.0,2902.0,3008.0,3027.0,4095.0,4095.0,2201.0,3270.0,0.64,8.98,-0.34,0.09,-0.04,0.19,r
3282.0,2896.0,2993.0,2906.0,4095.0,4095.0,2171.0,3202.0,1.54,10.39,-0.21,-0.02,-0.2,0.08,r
3260.0,2897.0,2994.0,3030.0,4095.0,4095.0,2205.0,3273.0,1.33,8.09,-0.04,-0.38,0.02,-0.05,r
3248.0,2896.0,2987.0,3169.0,4095.0,4095.0,2190.0,3280.0,1.4,10.23,-0.06,-0.35,-0.02,-0.08,r
3249.0,2898.0,2992.0,3354.0,4095.0,4095.0,2151.0,3264.0,1.88,9.72,0.42,0.23,-0.26,-0.04,r
3266.0,2895.0,2987.0,3445.0,4095.0,4095.0,2098.0,3231.0,1.13,8.58,0.59,-0.25,0.08,-0.15,r
3281.0,2896.0,2982.0,3462.0,4095.0,4095.0,2068.0,3207.0,1.24,10.52,0.04,-0.02,0.04,-0.12,r
3287.0,2890.0,2992.0,3475.0,4095.0,4095.0,2066.0,3195.0,0.86,9.36,0.67,0.07,-0.13,0.02,r
3285.0,2883.0,2983.0,3451.0,4095.0,4095.0,2061.0,3165.0,1.01,9.6,0.14,-0.41,0.04,-0.04,r
3286.0,2867.0,2982.0,3456.0,4095.0,4095.0,2063.0,3153.0,1.61,10.6,-0.0,0.42,-0.08,-0.08,r
3283.0,2877.0,2979.0,3469.0,4095.0,4095.0,2063.0,3141.0,0.84,8.57,0.36,-0.11,-0.09,0.02,r
3281.0,2868.0,2981.0,3527.0,4095.0,4095.0,2076.0,3162.0,1.34,10.57,0.07,-0.23,0.09,-0.11,r
3282.0,2864.0,2982.0,3549.0,4095.0,4095.0,2073.0,3175.0,1.19,8.83,0.61,0.19,-0.05,-0.05,r
3294.0,2864.0,2976.0,3557.0,4095.0,4095.0,2073.0,3184.0,0.9,9.96,0.13,-0.37,-0.04,-0.13,r
3282.0,2864.0,2974.0,3558.0,4095.0,4095.0,2084.0,3181.0,1.18,9.92,0.4,0.07,-0.2,-0.04,r
3282.0,2864.0,2980.0,3550.0,4095.0,4095.0,2082.0,3158.0,0.44,7.86,0.88,-0.26,-0.12,-0.05,r
3280.0,2870.0,2981.0,3565.0,4095.0,4095.0,2085.0,3152.0,1.61,10.44,0.4,-0.11,-0.16,-0.18,r
3275.0,2855.0,2971.0,3609.0,4095.0,4095.0,2083.0,3170.0,0.64,9.04,0.65,-0.08,0.27,-0.2,r
3270.0,2851.0,2971.0,3666.0,4095.0,4095.0,2083.0,3191.0,0.63,9.48,0.75,-0.26,0.2,-0.17,r
3274.0,2849.0,2963.0,3706.0,4095.0,4095.0,2096.0,3225.0,0.56,10.39,0.54,0.04,0.17,-0.11,r
3277.0,2847.0,2971.0,3749.0,4095.0,4095.0,2096.0,3274.0,0.19,8.28,0.99,-0.4,0.32,-0.12,r
3285.0,2862.0,2983.0,3781.0,4095.0,4095.0,2098.0,3329.0,0.42,10.01,0.98,-0.1,0.19,0.1,r
3295.0,2862.0,2980.0,3787.0,4095.0,4095.0,2096.0,3344.0,0.53,9.28,0.89,0.41,0.21,-0.06,r
3291.0,2864.0,2975.0,3787.0,4095.0,4095.0,2096.0,3343.0,0.35,8.91,0.29,-0.11,0.04,0.03,r
3285.0,2858.0,2970.0,3764.0,4095.0,4095.0,2095.0,3298.0,1.38,10.92,0.07,0.36,-0.09,0.19,r
3274.0,2836.0,2967.0,3760.0,4095.0,4095.0,2096.0,3280.0,0.64,8.44,0.39,-0.08,-0.11,0.29,r
3274.0,2843.0,2965.0,3750.0,4095.0,4095.0,2095.0,3271.0,1.29,10.58,0.3,-0.14,0.01,0.02,r
3253.0,2847.0,2964.0,3741.0,4095.0,4095.0,2090.0,3248.0,0.88,9.05,0.66,0.52,-0.27,0.24,r
3248.0,2858.0,2971.0,3744.0,4095.0,4095.0,2080.0,3219.0,1.11,9.29,0.66,0.0,-0.37,0.04,r
3248.0,2855.0,2971.0,3747.0,4095.0,4095.0,2105.0,3197.0,2.87,10.27,0.13,0.12,-0.4,-0.26,r
3243.0,2859.0,2979.0,3777.0,4095.0,4095.0,2110.0,3226.0,1.76,9.05,0.17,-0.02,0.25,-0.51,r
3234.0,2858.0,2974.0,3996.0,4095.0,4095.0,2261.0,3250.0,0.25,10.16,-0.0,0.31,0.41,-0.22,r
3233.0,2858.0,2987.0,4068.0,4095.0,4095.0,2352.0,3274.0,0.71,8.77,0.38,0.32,-0.06,0.12,r
3219.0,2902.0,3033.0,3959.0,4095.0,4095.0,2358.0,3360.0,-0.01,10.36,-0.87,0.39,0.08,0.71,r
3213.0,2895.0,3027.0,3431.0,4095.0,4095.0,2338.0,3395.0,0.98,9.8,-1.29,0.32,0.19,0.12,r
3217.0,2820.0,2979.0,3238.0,4095.0,4095.0,2265.0,3337.0,1.41,8.79,-0.45,0.02,-0.01,-0.02,r
3221.0,2793.0,2981.0,3251.0,4095.0,4095.0,2254.0,3334.0,1.03,9.88,-0.67,-0.15,0.22,-0.0,r
3234.0,2813.0,3013.0,3278.0,4095.0,4095.0,2288.0,3376.0,1.4,9.79,-0.7,0.14,0.07,0.06,r
3241.0,2777.0,2983.0,3216.0,4095.0,4095.0,2251.0,3350.0,1.41,9.11,-0.47,-0.2,0.3,-0.29,r
3254.0,2789.0,2986.0,3205.0,4095.0,4095.0,2266.0,3341.0,0.59,10.1,-1.05,0.24,0.12,0.03,r
3249.0,2809.0,2995.0,3249.0,4095.0,4095.0,2278.0,3314.0,1.04,9.31,-0.64,-0.19,-0.2,0.04,r
3262.0,2784.0,2987.0,3270.0,4095.0,4095.0,2269.0,3367.0,1.25,10.09,-0.91,-0.0,0.01,-0.11,r
3259.0,2707.0,2989.0,3311.0,4095.0,4095.0,2257.0,3424.0,0.29,9.07,-0.72,0.22,0.08,-0.12,r
3254.0,2514.0,2990.0,3395.0,4095.0,4095.0,2223.0,3419.0,1.31,9.21,-1.18,-0.07,-0.19,0.04,r
3250.0,2414.0,2992.0,3412.0,4095.0,4095.0,2195.0,3275.0,1.25,9.59,-1.32,0.13,-0.25,-0.02,r
3251.0,2454.0,3030.0,3335.0,4095.0,4095.0,2256.0,3169.0,1.35,8.5,-0.34,0.01,-0.29,-0.09,r
3276.0,2614.0,3138.0,3399.0,4095.0,4095.0,2508.0,3255.0,1.56,10.72,-1.36,-0.09,0.06,-0.08,r
3275.0,2646.0,3142.0,3343.0,4095.0,4095.0,2457.0,3358.0,0.23,9.56,-0.68,0.01,0.35,0.03,r
3271.0,2614.0,3136.0,3179.0,4095.0,4095.0,2395.0,3376.0,0.83,9.45,-0.99,-0.14,0.14,-0.01,r
3273.0,2544.0,3137.0,3184.0,4095.0,4095.0,2361.0,3406.0,1.32,9.73,-1.4,0.14,0.07,-0.09,r
3275.0,2529.0,3136.0,3265.0,4095.0,4095.0,2352.0,3503.0,1.07,9.07,-0.84,0.12,-0.0,-0.01,r
3279.0,2550.0,3137.0,3362.0,4095.0,4095.0,2368.0,3537.0,1.24,10.31,-1.57,-0.16,0.13,-0.12,r
3280.0,2550.0,3137.0,3333.0,4095.0,4095.0,2373.0,3425.0,0.77,9.96,-0.96,0.14,0.05,0.04,r
3277.0,2558.0,3141.0,3351.0,4095.0,4095.0,2379.0,3409.0,1.07,9.05,-1.14,-0.01,-0.01,-0.04,r
3280.0,2559.0,3141.0,3408.0,4095.0,4095.0,2361.0,3365.0,0.97,10.34,-1.26,0.13,-0.04,-0.15,r
3275.0,2607.0,3148.0,3441.0,4095.0,4095.0,2359.0,3344.0,0.6,9.81,-1.49,-0.06,-0.12,-0.05,r
