hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2941.0,2947.0,2989.0,3262.0,4095.0,4095.0,3069.0,3183.0,-0.55,9.71,2.59,-0.06,-0.02,-0.06,1.0,r
2928.0,2947.0,3002.0,3262.0,4095.0,4095.0,3081.0,3191.0,-0.69,9.74,2.66,-0.06,0.0,-0.04,1.0,r
2919.0,3005.0,3014.0,3251.0,4095.0,4095.0,3088.0,3184.0,-0.58,9.88,2.33,-0.07,0.01,-0.03,1.0,r
2926.0,2959.0,3001.0,3258.0,4095.0,4095.0,3089.0,3187.0,-0.56,9.72,2.6,-0.03,0.02,-0.04,1.0,r
2928.0,2960.0,2992.0,3261.0,4095.0,4095.0,3082.0,3191.0,-0.52,9.81,2.47,-0.01,0.0,-0.04,1.0,r
2930.0,2853.0,3003.0,3273.0,4095.0,4095.0,3091.0,3188.0,-0.58,9.82,2.35,-0.06,-0.02,-0.05,1.0,r
2927.0,2947.0,2993.0,3266.0,4095.0,4095.0,3101.0,3184.0,-0.6,9.7,2.64,-0.05,-0.04,-0.05,1.0,r
2933.0,2960.0,2995.0,3270.0,4095.0,4095.0,3094.0,3197.0,-0.7,9.75,2.46,-0.05,-0.03,-0.04,1.0,r
2916.0,2947.0,2997.0,3264.0,4095.0,4095.0,3088.0,3202.0,-0.64,9.86,2.25,-0.05,-0.0,-0.06,1.0,r
2928.0,2951.0,3007.0,3258.0,4095.0,4095.0,3088.0,3193.0,-0.68,9.75,2.57,-0.06,-0.0,-0.05,1.0,r
2927.0,2953.0,2995.0,3274.0,4095.0,4095.0,3090.0,3207.0,-0.55,9.79,2.38,-0.06,-0.03,-0.04,1.0,r
2926.0,2961.0,3004.0,3280.0,4095.0,4095.0,3098.0,3206.0,-0.7,9.76,2.48,-0.06,-0.03,-0.06,1.0,r
