hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3227.0,2992.0,2000.0,3037.0,4095.0,2880.0,2546.0,2311.0,-3.78,8.51,7.41,0.01,-0.04,-0.16,0.0,r
3235.0,2992.0,1866.0,3039.0,4095.0,2893.0,2553.0,2308.0,-4.03,8.38,7.49,-0.02,-0.0,-0.16,0.0,r
3239.0,2992.0,1823.0,3043.0,4095.0,2890.0,2546.0,2300.0,-3.75,8.41,7.35,-0.01,-0.0,-0.1,0.0,r
3223.0,2992.0,1831.0,3038.0,4095.0,2890.0,2549.0,2301.0,-3.9,8.39,7.31,-0.03,0.0,-0.13,0.0,r
3229.0,2985.0,1829.0,3038.0,4095.0,2890.0,2546.0,2298.0,-3.92,8.66,7.37,-0.05,-0.07,-0.14,0.0,r
3229.0,2997.0,1825.0,3037.0,4095.0,2894.0,2544.0,2298.0,-3.86,8.3,7.73,0.0,0.03,-0.16,0.0,r
3241.0,2999.0,1827.0,3047.0,4095.0,2899.0,2555.0,2299.0,-3.73,8.38,7.23,0.0,0.02,-0.13,0.0,r
3228.0,2992.0,1818.0,3050.0,4095.0,2896.0,2553.0,2302.0,-4.01,8.48,7.63,0.0,-0.06,-0.18,0.0,r
3241.0,2997.0,1824.0,3043.0,4095.0,2896.0,2550.0,2305.0,-3.7,8.36,7.47,0.01,-0.05,-0.17,0.0,r
3228.0,2990.0,1829.0,3047.0,4095.0,2899.0,2551.0,2308.0,-4.0,8.32,7.78,0.01,-0.06,-0.15,0.0,r
3216.0,2989.0,1824.0,3045.0,4095.0,2895.0,2554.0,2306.0,-3.69,8.45,7.64,-0.01,0.02,-0.18,0.0,r
3232.0,2990.0,1808.0,3047.0,4095.0,2901.0,2554.0,2309.0,-3.93,8.3,7.52,-0.01,-0.07,-0.17,0.0,r
3235.0,2995.0,1813.0,3051.0,4095.0,2903.0,2558.0,2314.0,-3.84,8.32,7.75,0.03,-0.07,-0.14,0.0,r
3234.0,2991.0,1799.0,3049.0,4095.0,2907.0,2557.0,2319.0,-3.89,8.4,7.7,-0.03,-0.06,-0.19,0.0,r
3235.0,2991.0,1803.0,3051.0,4095.0,2907.0,2557.0,2320.0,-3.78,8.22,8.06,-0.03,0.03,-0.21,0.0,r
3226.0,2997.0,1810.0,3051.0,4095.0,2908.0,2554.0,2320.0,-3.86,8.08,7.46,0.05,0.01,-0.19,0.0,r
3248.0,2983.0,1805.0,3053.0,4095.0,2907.0,2559.0,2320.0,-3.93,8.17,8.0,-0.06,-0.12,-0.16,0.0,r
3237.0,2992.0,1810.0,3043.0,4095.0,2902.0,2555.0,2317.0,-3.81,8.16,8.13,0.04,-0.08,-0.18,0.0,r
3220.0,2980.0,1812.0,3046.0,4095.0,2907.0,2559.0,2320.0,-3.88,8.17,7.73,-0.01,0.0,-0.15,0.0,r
3232.0,2995.0,1808.0,3056.0,4095.0,2906.0,2557.0,2320.0,-4.0,8.26,8.02,0.02,-0.02,-0.17,0.0,r
3235.0,2999.0,1804.0,3050.0,4095.0,2898.0,2559.0,2315.0,-3.81,8.15,7.86,0.05,0.02,-0.17,0.0,r
3229.0,2986.0,1807.0,3055.0,4095.0,2907.0,2559.0,2320.0,-4.01,8.05,7.94,-0.01,-0.04,-0.16,0.0,r
3235.0,2993.0,1798.0,3049.0,4095.0,2907.0,2558.0,2319.0,-3.84,8.22,8.01,0.04,-0.02,-0.14,0.0,r
3226.0,2991.0,1794.0,3054.0,4095.0,2912.0,2559.0,2322.0,-4.04,8.22,8.2,-0.02,-0.02,-0.16,0.0,r
3235.0,2993.0,1799.0,3056.0,4095.0,2911.0,2559.0,2322.0,-3.63,8.11,7.99,0.03,0.04,-0.16,0.0,r
3238.0,2983.0,1791.0,3053.0,4095.0,2908.0,2559.0,2320.0,-4.03,8.22,7.74,-0.01,-0.02,-0.15,0.0,r
3219.0,2992.0,1805.0,3056.0,4095.0,2911.0,2559.0,2320.0,-3.81,8.21,7.98,-0.01,0.01,-0.16,0.0,r
3239.0,2991.0,1803.0,3059.0,4095.0,2914.0,2559.0,2320.0,-3.78,8.31,7.74,0.05,-0.04,-0.14,0.0,r
3230.0,2991.0,1799.0,3058.0,4095.0,2915.0,2559.0,2325.0,-4.03,8.05,8.34,0.1,-0.03,-0.22,0.0,r
3235.0,2989.0,1807.0,3066.0,4095.0,2911.0,2559.0,2324.0,-3.85,8.15,7.67,0.05,0.01,-0.19,0.0,r
3235.0,2992.0,1766.0,3068.0,4095.0,2905.0,2559.0,2320.0,-3.95,8.11,8.08,0.0,-0.01,-0.11,0.0,r
3232.0,2997.0,1658.0,3071.0,4095.0,2909.0,2559.0,2319.0,-3.84,8.2,7.81,0.08,-0.01,-0.15,0.0,r
3243.0,2995.0,1655.0,3071.0,4095.0,2907.0,2559.0,2317.0,-4.14,8.24,8.01,-0.02,-0.03,-0.14,0.0,r
3223.0,2996.0,1665.0,3061.0,4095.0,2914.0,2559.0,2320.0,-3.61,8.3,7.73,0.02,-0.01,-0.15,0.0,r
3227.0,2990.0,1646.0,3066.0,4095.0,2907.0,2559.0,2317.0,-3.92,8.37,7.86,-0.04,-0.1,-0.16,0.0,r
