hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3049.0,2982.0,1738.0,3440.0,4095.0,2949.0,2529.0,2496.0,-3.14,8.98,6.95,-0.07,-0.11,-0.16,0.0,r
3053.0,2982.0,1746.0,3453.0,4095.0,2949.0,2528.0,2482.0,-3.58,9.45,7.34,0.07,-0.09,-0.24,0.0,r
3067.0,2985.0,1746.0,3462.0,4095.0,2953.0,2533.0,2508.0,-3.56,9.64,6.72,0.16,-0.04,-0.2,0.0,r
3062.0,2990.0,1751.0,3470.0,4095.0,2954.0,2533.0,2512.0,-2.8,9.14,6.49,0.18,-0.17,-0.17,0.0,r
3056.0,2992.0,1749.0,3470.0,4095.0,2955.0,2531.0,2518.0,-2.56,9.02,6.31,0.19,-0.23,-0.23,0.0,r
3059.0,2983.0,1759.0,3468.0,4095.0,2960.0,2534.0,2525.0,-2.89,8.94,6.42,0.25,-0.31,-0.3,0.0,r
3054.0,2986.0,1759.0,3473.0,4095.0,2959.0,2533.0,2522.0,-3.22,8.78,6.48,0.25,-0.25,-0.32,0.0,r
3057.0,2982.0,1770.0,3478.0,4095.0,2959.0,2533.0,2526.0,-3.49,8.81,6.37,0.22,-0.36,-0.32,0.0,r
3056.0,2978.0,1778.0,3471.0,4095.0,2960.0,2541.0,2528.0,-3.45,8.57,6.42,0.14,-0.3,-0.3,0.0,r
3063.0,2990.0,1792.0,3466.0,4095.0,2966.0,2539.0,2515.0,-3.15,8.55,6.45,0.09,-0.34,-0.35,0.0,r
3069.0,2986.0,1793.0,3469.0,4095.0,2963.0,2539.0,2523.0,-3.76,8.95,6.36,0.19,-0.32,-0.45,0.0,r
3066.0,2983.0,1779.0,3471.0,4095.0,2966.0,2543.0,2538.0,-4.03,8.31,6.79,0.0,-0.18,-0.35,0.0,r
3071.0,2999.0,1784.0,3476.0,4095.0,2972.0,2535.0,2544.0,-3.82,8.82,6.35,0.2,-0.43,-0.33,0.0,r
3056.0,2982.0,1792.0,3474.0,4095.0,2967.0,2534.0,2554.0,-4.16,8.55,6.43,0.17,-0.31,-0.3,0.0,r
3069.0,2981.0,1789.0,3475.0,4095.0,2971.0,2535.0,2559.0,-3.61,8.96,6.21,0.21,-0.53,-0.26,0.0,r
3067.0,2981.0,1797.0,3478.0,4095.0,2976.0,2543.0,2559.0,-3.72,8.8,6.31,0.14,-0.38,-0.26,0.0,r
3066.0,2979.0,1792.0,3473.0,4095.0,2978.0,2541.0,2559.0,-3.55,8.65,6.56,0.15,-0.45,-0.31,0.0,r
