hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2935.0,2959.0,3035.0,3479.0,4095.0,4095.0,3290.0,3597.0,2.76,9.89,-0.1,0.2,0.04,0.11,1.0,r
2937.0,2969.0,3043.0,3486.0,4095.0,4095.0,3293.0,3600.0,2.74,10.24,-0.35,-0.2,-0.18,0.0,1.0,r
2939.0,2969.0,3039.0,3489.0,4095.0,4095.0,3281.0,3599.0,2.48,9.89,0.46,-0.06,0.02,-0.08,1.0,r
2928.0,2966.0,3035.0,3484.0,4095.0,4095.0,3290.0,3600.0,2.15,9.83,0.58,-0.18,-0.05,-0.11,1.0,r
2939.0,2963.0,3042.0,3490.0,4095.0,4095.0,3294.0,3610.0,1.94,10.11,0.52,-0.12,-0.01,-0.13,1.0,r
2934.0,2960.0,3040.0,3491.0,4095.0,4095.0,3286.0,3598.0,1.83,9.62,0.74,-0.42,-0.12,-0.05,1.0,r
2944.0,2981.0,3045.0,3499.0,4095.0,4095.0,3289.0,3607.0,1.97,9.8,1.13,-0.23,-0.01,-0.06,1.0,r
2938.0,2971.0,3037.0,3505.0,4095.0,4095.0,3284.0,3600.0,1.91,9.82,1.24,-0.09,0.07,-0.1,1.0,r
2928.0,2965.0,3040.0,3498.0,4095.0,4095.0,3291.0,3604.0,1.64,9.83,1.08,-0.05,-0.02,-0.07,1.0,r
2935.0,2959.0,3034.0,3498.0,4095.0,4095.0,3287.0,3600.0,1.77,9.97,0.98,-0.0,-0.03,-0.03,1.0,r
2927.0,2960.0,3021.0,3479.0,4095.0,4095.0,3248.0,3443.0,1.83,9.71,0.81,-0.09,-0.19,-0.03,1.0,r
2938.0,2978.0,3026.0,3493.0,4095.0,4095.0,3253.0,3415.0,2.14,9.87,0.95,-0.04,0.03,-0.04,1.0,r
2937.0,2964.0,3024.0,3487.0,4095.0,4095.0,3263.0,3439.0,1.82,10.02,0.81,-0.06,0.01,-0.05,1.0,r
2938.0,2965.0,3023.0,3509.0,4095.0,4095.0,3265.0,3440.0,2.0,9.86,0.95,-0.01,-0.03,-0.06,1.0,r
2939.0,2965.0,3021.0,3499.0,4095.0,4095.0,3264.0,3449.0,1.78,9.9,0.97,-0.03,0.03,-0.05,1.0,r
2944.0,2965.0,3023.0,3494.0,4095.0,4095.0,3264.0,3445.0,1.97,9.9,1.03,0.02,0.0,-0.09,1.0,r
2935.0,2962.0,3029.0,3504.0,4095.0,4095.0,3269.0,3451.0,1.97,9.85,0.87,-0.06,-0.11,-0.06,1.0,r
