hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3809.0,958.0,2958.0,3307.0,2711.0,2270.0,2559.0,2225.0,-1.23,9.44,6.75,-0.0,-0.0,-0.17,s
3795.0,960.0,2960.0,3277.0,2704.0,2266.0,2559.0,2215.0,-1.6,9.35,6.78,0.1,-0.07,-0.19,s
3784.0,959.0,2959.0,3248.0,2704.0,2264.0,2559.0,2205.0,-1.24,9.66,6.24,0.01,-0.1,-0.17,s
3787.0,964.0,2971.0,3246.0,2705.0,2267.0,2559.0,2191.0,-1.37,9.58,6.07,-0.07,-0.09,-0.17,s
3787.0,970.0,2950.0,3232.0,2710.0,2267.0,2559.0,2169.0,-1.18,9.28,6.44,-0.08,0.03,-0.18,s
3803.0,969.0,2944.0,3229.0,2715.0,2272.0,2580.0,2169.0,-1.37,9.35,6.84,-0.03,-0.02,-0.19,s
3803.0,970.0,2935.0,3234.0,2715.0,2267.0,2559.0,2167.0,-1.38,9.38,6.97,0.06,0.05,-0.2,s
3791.0,956.0,2954.0,3238.0,2715.0,2275.0,2583.0,2178.0,-1.65,9.53,6.71,0.1,0.06,-0.18,s
3794.0,972.0,2935.0,3245.0,2722.0,2276.0,2559.0,2182.0,-1.64,9.69,6.4,0.1,0.03,-0.16,s
3806.0,958.0,2945.0,3248.0,2726.0,2271.0,2559.0,2188.0,-1.52,9.74,6.17,0.02,0.06,-0.15,s
3803.0,969.0,2941.0,3254.0,2726.0,2273.0,2559.0,2194.0,-1.29,9.46,6.58,0.01,0.03,-0.19,s
3805.0,963.0,2934.0,3259.0,2722.0,2271.0,2559.0,2223.0,-1.41,9.29,7.02,0.15,-0.01,-0.24,s
3817.0,955.0,2948.0,3266.0,2731.0,2275.0,2559.0,2211.0,-1.6,9.32,6.67,0.28,-0.04,-0.28,s
3792.0,961.0,2935.0,3266.0,2725.0,2273.0,2559.0,2220.0,-1.92,9.54,5.56,0.21,-0.05,-0.25,s
