hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3049.0,869.0,949.0,2590.0,3439.0,2523.0,2991.0,3210.0,0.08,9.21,3.81,0.03,-0.01,-0.01,1.0,s
3056.0,878.0,949.0,2611.0,3447.0,2526.0,2995.0,3216.0,1.07,9.35,4.01,-0.03,-0.01,-0.01,1.0,s
3046.0,880.0,939.0,2608.0,3451.0,2519.0,2990.0,3182.0,0.3,9.12,4.19,0.02,0.01,-0.04,1.0,s
3047.0,871.0,933.0,2624.0,3455.0,2544.0,2994.0,3165.0,0.69,9.23,4.04,-0.21,-0.2,0.08,1.0,s
3036.0,880.0,931.0,2619.0,3441.0,2527.0,2994.0,3173.0,1.64,9.64,3.45,-0.48,0.0,-0.04,1.0,s
3053.0,871.0,933.0,2639.0,3454.0,2538.0,3005.0,3197.0,0.28,8.41,5.74,-0.55,-0.15,-0.09,1.0,s
3054.0,866.0,943.0,2623.0,3441.0,2538.0,2995.0,3186.0,0.73,8.58,5.37,-0.26,0.02,-0.01,1.0,s
3049.0,871.0,932.0,2631.0,3451.0,2539.0,2998.0,3204.0,0.79,8.81,4.67,-0.11,-0.48,-0.26,1.0,s
3037.0,878.0,926.0,2610.0,3440.0,2526.0,2983.0,3187.0,0.65,9.13,4.02,-0.28,-0.74,-0.39,1.0,s
3051.0,874.0,931.0,2607.0,3442.0,2545.0,2983.0,3189.0,0.81,7.86,6.86,-0.66,-0.13,0.27,1.0,s
3045.0,866.0,921.0,2624.0,3450.0,2544.0,2981.0,3189.0,1.83,7.77,7.28,-0.4,0.12,0.46,1.0,s
3033.0,864.0,933.0,2630.0,3447.0,2541.0,2992.0,3194.0,3.07,8.08,6.22,-0.08,0.15,0.1,1.0,s
3029.0,857.0,934.0,2645.0,3463.0,2545.0,2993.0,3194.0,1.36,8.01,6.19,-0.05,0.11,-0.1,1.0,s
3036.0,865.0,931.0,2641.0,3440.0,2536.0,2997.0,3203.0,0.98,7.85,6.3,-0.12,0.09,0.07,1.0,s
3042.0,864.0,930.0,2663.0,3457.0,2544.0,3001.0,3211.0,1.42,7.91,6.32,0.05,-0.02,-0.03,1.0,s
3038.0,862.0,941.0,2657.0,3451.0,2533.0,2993.0,3186.0,1.54,8.13,6.02,0.09,0.05,-0.02,1.0,s
3038.0,868.0,934.0,2654.0,3455.0,2548.0,3008.0,3189.0,1.53,8.24,5.77,0.04,0.01,-0.01,1.0,s
3043.0,859.0,930.0,2651.0,3450.0,2542.0,2997.0,3175.0,1.53,8.23,5.83,0.04,0.07,-0.04,1.0,s
3053.0,875.0,930.0,2660.0,3451.0,2544.0,3003.0,3197.0,1.24,8.32,5.61,0.02,0.01,-0.02,1.0,s
