hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3933.0,2903.0,3044.0,2897.0,3170.0,3482.0,3155.0,3100.0,3.28,8.78,2.41,-0.18,0.09,-0.14,s
3929.0,2901.0,3045.0,3070.0,3122.0,3452.0,3157.0,3095.0,4.08,9.01,3.02,0.2,-0.1,0.07,s
3909.0,2899.0,3038.0,3131.0,3117.0,3421.0,3150.0,3090.0,2.65,7.66,3.04,-0.31,-0.1,-0.08,s
3913.0,2897.0,3042.0,3136.0,3114.0,3411.0,3151.0,3093.0,3.98,8.64,2.58,-0.07,0.08,-0.02,s
3909.0,2896.0,3026.0,3169.0,3099.0,3389.0,3137.0,3090.0,3.27,8.33,3.11,-0.07,-0.05,0.03,s
3918.0,2899.0,3035.0,3223.0,3090.0,3387.0,3135.0,3101.0,3.4,8.38,3.1,-0.13,-0.01,0.03,s
3893.0,2896.0,3030.0,3149.0,3105.0,3374.0,3095.0,3104.0,3.83,8.66,2.8,0.07,0.16,0.04,s
3880.0,2896.0,3021.0,2999.0,3119.0,3331.0,3031.0,3079.0,2.55,7.72,3.28,-0.18,0.05,-0.06,s
3920.0,2922.0,3041.0,2909.0,3158.0,3362.0,3046.0,3091.0,3.59,8.92,3.09,0.1,0.09,0.09,s
3933.0,2927.0,3045.0,2869.0,3189.0,3382.0,3081.0,3120.0,3.37,7.98,3.13,-0.17,0.02,-0.03,s
3935.0,2913.0,3024.0,2863.0,3211.0,3405.0,3149.0,3151.0,3.7,9.19,2.53,-0.19,0.2,-0.11,s
3956.0,2864.0,2986.0,2893.0,3240.0,3381.0,3265.0,3141.0,3.09,7.29,3.81,-0.37,-0.15,0.05,s
3977.0,2880.0,2997.0,2944.0,3280.0,3462.0,3365.0,3167.0,3.12,9.57,2.55,-0.32,0.53,-0.25,s
4015.0,2831.0,2974.0,3030.0,3350.0,3511.0,3430.0,3155.0,3.22,7.61,4.07,-0.07,-0.02,0.06,s
4015.0,2819.0,2963.0,3083.0,3385.0,3555.0,3475.0,3161.0,3.91,8.96,3.22,-0.16,0.39,-0.13,s
4055.0,2833.0,2960.0,3178.0,3439.0,3718.0,3571.0,3173.0,2.93,7.87,3.7,-0.27,0.11,-0.05,s
4067.0,2839.0,2978.0,3168.0,3431.0,3621.0,3495.0,3178.0,4.29,7.19,3.89,-0.02,-0.4,0.04,s
4082.0,2835.0,2966.0,3165.0,3387.0,3407.0,3460.0,3189.0,3.32,8.24,3.69,0.22,-0.11,-0.07,s
4057.0,2832.0,2963.0,3154.0,3302.0,3309.0,3423.0,3214.0,3.51,8.6,3.41,-0.34,-0.39,-0.1,s
4094.0,2821.0,2975.0,3134.0,3225.0,3238.0,3477.0,3303.0,3.61,7.87,3.86,0.01,-0.23,-0.17,s
4095.0,2809.0,2960.0,3134.0,3216.0,3277.0,3571.0,3383.0,3.69,8.61,3.26,0.07,0.02,-0.06,s
4095.0,2793.0,2949.0,3154.0,3255.0,3323.0,3687.0,3440.0,2.69,8.06,3.66,-0.33,-0.17,-0.05,s
4095.0,2795.0,2961.0,3137.0,3312.0,3366.0,3736.0,3410.0,3.68,9.05,3.49,-0.21,0.12,-0.07,s
4095.0,2797.0,2960.0,3091.0,3330.0,3380.0,3765.0,3378.0,3.31,8.01,4.12,-0.18,0.11,0.02,s
4095.0,2789.0,2960.0,3057.0,3329.0,3403.0,3877.0,3388.0,2.97,8.37,3.71,-0.24,0.07,-0.01,s
4095.0,2795.0,2953.0,3062.0,3337.0,3442.0,4095.0,3425.0,3.61,8.54,4.08,-0.06,0.22,-0.16,s
4095.0,2791.0,2944.0,3108.0,3347.0,3478.0,4095.0,3441.0,2.96,7.69,4.01,-0.43,0.04,-0.01,s
4095.0,2793.0,2963.0,3145.0,3385.0,3623.0,4095.0,3174.0,3.44,8.27,4.07,0.19,0.03,0.15,s
4095.0,2832.0,2979.0,3183.0,3407.0,3674.0,3623.0,3049.0,3.51,7.69,3.87,-0.36,-0.08,0.21,s
4095.0,2850.0,2990.0,3180.0,3415.0,3665.0,3247.0,2953.0,3.53,8.32,3.89,-0.06,0.06,-0.07,s
4095.0,2851.0,2979.0,3178.0,3411.0,3632.0,3163.0,2949.0,2.97,7.76,4.67,-0.12,0.03,0.02,s
4095.0,2851.0,2981.0,3106.0,3349.0,3435.0,3011.0,2976.0,2.81,8.18,4.2,0.2,-0.16,0.01,s
4095.0,2852.0,2983.0,3051.0,3314.0,3376.0,3007.0,2971.0,3.6,8.05,3.77,-0.06,-0.25,0.03,s
4095.0,2861.0,2987.0,3003.0,3294.0,3357.0,2946.0,2919.0,3.91,7.96,3.91,-0.39,-0.44,0.09,s
4095.0,2870.0,2986.0,3038.0,3285.0,3329.0,2887.0,2881.0,4.02,7.78,4.37,0.17,-0.1,0.1,s
4095.0,2874.0,2981.0,3216.0,3200.0,3303.0,2855.0,2844.0,3.04,7.96,4.3,-0.2,0.13,0.05,s
4095.0,2865.0,2983.0,3457.0,3197.0,3337.0,2885.0,2855.0,3.96,8.04,3.85,-0.21,-0.32,0.03,s
4095.0,2865.0,2983.0,3551.0,3203.0,3355.0,2937.0,2889.0,3.73,7.48,4.37,0.04,-0.18,0.02,s
4095.0,2866.0,2979.0,3435.0,3215.0,3377.0,3083.0,2979.0,2.79,7.71,4.23,-0.27,0.16,-0.18,s
4095.0,2869.0,2991.0,3164.0,3286.0,3419.0,3232.0,3031.0,3.96,7.65,4.25,0.01,-0.27,0.02,s
4095.0,2878.0,2993.0,3056.0,3280.0,3409.0,3282.0,3070.0,3.5,7.86,4.19,0.06,0.07,-0.12,s
4095.0,2881.0,3018.0,3009.0,3275.0,3412.0,3356.0,3136.0,4.1,7.84,4.24,0.03,-0.11,-0.03,s
4095.0,2883.0,3015.0,2987.0,3275.0,3411.0,3386.0,3159.0,3.74,7.76,3.7,-0.17,-0.07,-0.08,s
4095.0,2880.0,3023.0,2977.0,3280.0,3418.0,3443.0,3211.0,3.8,8.51,3.95,-0.07,0.21,-0.1,s
4095.0,2877.0,3019.0,2992.0,3280.0,3430.0,3517.0,3249.0,2.95,7.4,4.45,-0.22,0.03,-0.15,s
4095.0,2879.0,3007.0,3012.0,3281.0,3434.0,3546.0,3275.0,4.1,8.04,4.12,-0.11,0.07,-0.15,s
4095.0,2881.0,2893.0,3047.0,3293.0,3440.0,3606.0,3312.0,3.44,7.6,4.53,-0.31,0.12,-0.4,s
4095.0,2890.0,2879.0,3087.0,3307.0,3459.0,3633.0,3344.0,4.24,8.47,4.28,-0.28,0.27,-0.51,s
4095.0,2896.0,2881.0,3150.0,3329.0,3492.0,3675.0,3426.0,2.83,6.87,4.59,-0.93,-0.13,-0.25,s
4095.0,2887.0,2887.0,3173.0,3354.0,3495.0,3616.0,3439.0,2.55,6.97,5.37,-0.29,-0.37,0.03,s
