hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3867.0,3519.0,1767.0,3578.0,2149.0,2242.0,2379.0,2150.0,1.48,9.35,7.31,-0.03,-0.19,-0.13,0.0,s
3870.0,3521.0,1768.0,3583.0,2153.0,2237.0,2378.0,2144.0,1.56,9.14,7.44,-0.11,0.18,-0.18,0.0,s
3884.0,3517.0,1776.0,3607.0,2147.0,2225.0,2382.0,2145.0,0.59,9.24,7.52,-0.18,-0.01,-0.28,0.0,s
3873.0,3531.0,1783.0,3605.0,2149.0,2219.0,2381.0,2141.0,1.0,9.22,7.99,0.06,-0.06,-0.06,0.0,s
3867.0,3517.0,1782.0,3607.0,2154.0,2221.0,2384.0,2148.0,1.17,9.05,7.57,-0.0,0.05,-0.16,0.0,s
3867.0,3520.0,1785.0,3543.0,2159.0,2222.0,2387.0,2150.0,0.8,9.29,7.3,0.19,-0.13,-0.28,0.0,s
3851.0,3529.0,1794.0,3476.0,2146.0,2219.0,2384.0,2137.0,0.95,9.46,6.62,-0.09,0.32,-0.17,0.0,s
3853.0,3507.0,1808.0,3535.0,2165.0,2218.0,2384.0,2127.0,0.31,9.4,7.7,-0.06,0.16,-0.11,0.0,s
3841.0,3515.0,1810.0,3490.0,2192.0,2218.0,2384.0,2133.0,1.73,9.23,7.02,-0.17,-0.09,0.01,0.0,s
3855.0,3518.0,1850.0,3574.0,2246.0,2211.0,2384.0,2130.0,1.24,9.52,7.15,-0.32,0.08,-0.08,0.0,s
3824.0,3517.0,1849.0,3602.0,2230.0,2204.0,2382.0,2118.0,0.86,9.02,8.45,-0.04,0.05,-0.06,0.0,s
3813.0,3522.0,1871.0,3610.0,2278.0,2186.0,2384.0,2133.0,0.9,9.15,8.35,0.23,-0.05,-0.19,0.0,s
3825.0,3527.0,1853.0,3626.0,2337.0,2202.0,2389.0,2144.0,1.51,9.45,7.02,0.34,-0.01,-0.14,0.0,s
3824.0,3517.0,1855.0,3679.0,2348.0,2195.0,2387.0,2143.0,0.74,9.16,7.37,0.02,0.12,-0.12,0.0,s
3841.0,3530.0,1840.0,3696.0,2357.0,2211.0,2394.0,2155.0,1.25,9.16,7.46,0.0,-0.12,-0.18,0.0,s
3838.0,3512.0,1829.0,3682.0,2348.0,2218.0,2398.0,2161.0,0.96,9.19,7.53,-0.1,0.21,-0.07,0.0,s
3824.0,3518.0,1834.0,3696.0,2289.0,2213.0,2397.0,2165.0,1.69,9.14,7.72,-0.07,-0.03,-0.07,0.0,s
3834.0,3519.0,1834.0,3449.0,2198.0,2221.0,2401.0,2166.0,1.22,9.27,7.75,-0.08,0.16,-0.32,0.0,s
