hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3619.0,3601.0,3071.0,3251.0,3323.0,2675.0,2965.0,3181.0,2.02,9.45,3.21,-0.05,0.01,-0.02,1.0,s
3625.0,3583.0,3066.0,3249.0,3321.0,2671.0,2960.0,3183.0,2.08,9.37,3.26,-0.07,0.0,-0.02,1.0,s
3623.0,3583.0,3067.0,3254.0,3332.0,2673.0,2966.0,3195.0,2.18,9.41,3.23,-0.03,-0.01,-0.04,1.0,s
3614.0,3599.0,3063.0,3262.0,3333.0,2671.0,2960.0,3186.0,2.18,9.47,3.13,-0.07,-0.01,-0.04,1.0,s
3632.0,3575.0,3067.0,3263.0,3322.0,2670.0,2961.0,3197.0,2.22,9.41,3.19,-0.06,-0.02,-0.05,1.0,s
3630.0,3605.0,3069.0,3263.0,3326.0,2679.0,2971.0,3185.0,2.06,9.43,3.2,-0.13,-0.02,-0.03,1.0,s
3615.0,3583.0,3083.0,3258.0,3328.0,2672.0,2960.0,3193.0,2.12,9.43,3.28,-0.09,0.01,-0.02,1.0,s
3635.0,3582.0,3071.0,3264.0,3323.0,2678.0,2959.0,3191.0,2.02,9.4,3.23,-0.04,-0.02,-0.05,1.0,s
3626.0,3599.0,3083.0,3264.0,3329.0,2677.0,2965.0,3197.0,2.24,9.44,3.18,-0.03,-0.0,-0.05,1.0,s
3635.0,3583.0,3083.0,3265.0,3321.0,2672.0,2967.0,3189.0,2.05,9.44,3.15,-0.08,0.0,-0.06,1.0,s
3615.0,3595.0,3083.0,3275.0,3341.0,2673.0,2974.0,3192.0,2.17,9.4,3.3,-0.02,0.01,-0.06,1.0,s
3600.0,3568.0,3063.0,3263.0,3344.0,2677.0,2967.0,3189.0,2.02,9.53,3.1,-0.07,-0.0,-0.07,1.0,s
3627.0,3536.0,3071.0,3264.0,3343.0,2683.0,2946.0,3198.0,2.04,9.35,3.21,-0.1,-0.09,-0.03,1.0,s
3583.0,3518.0,3085.0,3262.0,3328.0,2679.0,2967.0,3200.0,2.1,9.5,3.17,-0.08,-0.04,-0.02,1.0,s
3575.0,3511.0,3083.0,3243.0,3328.0,2677.0,2969.0,3189.0,1.96,9.35,3.27,-0.03,-0.05,-0.02,1.0,s
3559.0,3518.0,3069.0,3189.0,3322.0,2688.0,2971.0,3200.0,1.95,9.38,3.34,0.13,-0.25,-0.02,1.0,s
3463.0,3481.0,3071.0,3191.0,3293.0,2677.0,2960.0,3190.0,2.38,9.35,2.81,0.37,-0.55,-0.07,1.0,s
3439.0,3471.0,3071.0,3248.0,3323.0,2670.0,2969.0,3200.0,2.24,9.68,2.53,0.14,-0.37,-0.09,1.0,s
3409.0,3475.0,3067.0,3303.0,3351.0,2663.0,2966.0,3195.0,2.32,9.51,2.64,0.05,-0.31,-0.12,1.0,s
3405.0,3472.0,3067.0,3322.0,3328.0,2667.0,2961.0,3191.0,2.34,9.63,2.67,-0.03,-0.04,-0.03,1.0,s
3407.0,3458.0,3071.0,3315.0,3335.0,2681.0,2975.0,3197.0,2.09,9.57,2.65,-0.1,0.07,-0.03,1.0,s
3415.0,3459.0,3083.0,3313.0,3367.0,2697.0,2961.0,3207.0,2.24,9.52,2.67,-0.22,0.09,0.02,1.0,s
3435.0,3471.0,3062.0,3295.0,3362.0,2703.0,2969.0,3207.0,2.27,9.48,2.8,-0.19,0.2,0.02,1.0,s
3413.0,3477.0,3069.0,3295.0,3360.0,2702.0,2972.0,3198.0,2.27,9.56,2.83,-0.15,0.06,-0.0,1.0,s
3414.0,3481.0,3071.0,3291.0,3341.0,2699.0,2983.0,3203.0,2.33,9.45,2.89,-0.07,0.12,-0.01,1.0,s
3434.0,3483.0,3069.0,3287.0,3374.0,2705.0,2974.0,3207.0,2.42,9.49,2.93,-0.1,0.06,-0.03,1.0,s
3421.0,3472.0,3071.0,3291.0,3376.0,2702.0,2967.0,3201.0,2.34,9.38,3.05,-0.03,0.08,-0.05,1.0,s
3438.0,3472.0,3066.0,3279.0,3376.0,2692.0,2965.0,3211.0,2.19,9.47,2.94,-0.0,0.13,-0.05,1.0,s
3435.0,3469.0,3087.0,3277.0,3370.0,2699.0,2989.0,3205.0,2.49,9.46,3.08,0.02,0.28,-0.07,1.0,s
3431.0,3474.0,3061.0,3271.0,3343.0,2694.0,2961.0,3174.0,2.15,9.51,2.83,0.05,0.39,-0.04,1.0,s
3424.0,3477.0,3063.0,3254.0,3331.0,2724.0,2979.0,3204.0,1.88,9.59,2.66,0.02,0.07,-0.07,1.0,s
3430.0,3492.0,3071.0,3243.0,3339.0,2733.0,2983.0,3213.0,2.12,9.52,2.82,0.02,0.06,-0.05,1.0,s
3424.0,3486.0,3069.0,3207.0,3344.0,2737.0,2987.0,3215.0,1.89,9.51,2.74,-0.04,0.1,-0.02,1.0,s
3431.0,3479.0,3081.0,3200.0,3363.0,2735.0,2987.0,3215.0,2.09,9.54,2.78,-0.07,-0.04,-0.02,1.0,s
3426.0,3522.0,3063.0,3199.0,3354.0,2747.0,2981.0,3217.0,2.24,9.59,2.78,-0.08,0.03,-0.02,1.0,s
3427.0,3497.0,3065.0,3193.0,3363.0,2739.0,2977.0,3217.0,2.32,9.54,2.73,-0.06,0.02,-0.08,1.0,s
3426.0,3517.0,3063.0,3200.0,3362.0,2747.0,2982.0,3210.0,2.1,9.6,2.72,-0.09,-0.02,-0.06,1.0,s
3440.0,3490.0,3063.0,3199.0,3373.0,2750.0,2995.0,3215.0,2.34,9.62,2.83,-0.12,-0.08,-0.08,1.0,s
3426.0,3502.0,3071.0,3206.0,3364.0,2745.0,2992.0,3215.0,2.23,9.58,2.89,-0.08,0.01,-0.11,1.0,s
3451.0,3509.0,3057.0,3196.0,3363.0,2746.0,2987.0,3222.0,1.98,9.56,2.84,-0.11,0.01,-0.12,1.0,s
3414.0,3503.0,3067.0,3206.0,3357.0,2739.0,2990.0,3217.0,1.97,9.56,2.92,-0.03,0.17,-0.13,1.0,s
3428.0,3504.0,3087.0,3205.0,3350.0,2753.0,2987.0,3231.0,1.86,9.52,2.91,-0.03,0.16,-0.1,1.0,s
3431.0,3503.0,3071.0,3198.0,3365.0,2752.0,2987.0,3246.0,1.72,9.53,2.94,-0.07,0.23,-0.06,1.0,s
3422.0,3503.0,3071.0,3189.0,3354.0,2765.0,2992.0,3219.0,1.7,9.55,2.98,-0.01,0.03,-0.03,1.0,s
3435.0,3504.0,3071.0,3190.0,3376.0,2754.0,2986.0,3238.0,1.98,9.64,2.79,-0.0,0.07,-0.01,1.0,s
3425.0,3504.0,3066.0,3184.0,3356.0,2758.0,2990.0,3223.0,1.61,9.61,2.77,0.01,0.34,-0.03,1.0,s
3445.0,3511.0,3086.0,3187.0,3342.0,2755.0,2989.0,3237.0,1.75,9.7,2.48,0.06,-0.05,-0.07,1.0,s
3437.0,3501.0,3081.0,3189.0,3365.0,2721.0,2993.0,3223.0,1.91,9.6,2.68,-0.08,0.11,-0.0,1.0,s
3417.0,3503.0,3062.0,3200.0,3361.0,2757.0,2993.0,3219.0,1.46,9.51,2.86,-0.06,0.04,0.01,1.0,s
3440.0,3504.0,3067.0,3201.0,3374.0,2758.0,3000.0,3230.0,2.15,9.59,2.97,-0.05,-0.06,-0.02,1.0,s
3435.0,3511.0,3063.0,3206.0,3375.0,2752.0,2994.0,3222.0,2.04,9.57,2.92,-0.02,0.05,-0.02,1.0,s
3422.0,3515.0,3067.0,3205.0,3373.0,2765.0,2991.0,3226.0,2.03,9.61,2.72,-0.0,-0.05,-0.05,1.0,s
3443.0,3502.0,3071.0,3211.0,3378.0,2758.0,2995.0,3229.0,2.03,9.69,2.64,-0.05,-0.03,-0.06,1.0,s
3435.0,3507.0,3063.0,3209.0,3375.0,2766.0,2994.0,3233.0,1.91,9.68,2.71,-0.06,-0.02,-0.06,1.0,s
3431.0,3501.0,3066.0,3221.0,3365.0,2762.0,2992.0,3226.0,1.89,9.63,2.73,-0.04,-0.05,-0.06,1.0,s
3443.0,3509.0,3067.0,3229.0,3370.0,2758.0,2992.0,3225.0,1.82,9.7,2.71,-0.04,-0.03,-0.07,1.0,s
3434.0,3498.0,3083.0,3217.0,3386.0,2755.0,2994.0,3231.0,1.7,9.64,2.69,-0.02,-0.04,-0.08,1.0,s
3438.0,3495.0,3071.0,3223.0,3376.0,2753.0,2992.0,3228.0,1.75,9.67,2.67,-0.05,-0.03,-0.09,1.0,s
3426.0,3504.0,3067.0,3236.0,3383.0,2763.0,2995.0,3225.0,1.48,9.65,2.67,-0.04,0.02,-0.05,1.0,s
3427.0,3501.0,3071.0,3229.0,3391.0,2763.0,2997.0,3235.0,1.65,9.62,2.7,-0.02,-0.04,-0.01,1.0,s
3419.0,3487.0,3066.0,3243.0,3385.0,2753.0,2998.0,3226.0,1.64,9.64,2.68,-0.04,0.07,0.02,1.0,s
3435.0,3501.0,3067.0,3237.0,3385.0,2755.0,2996.0,3226.0,1.81,9.58,2.98,0.0,-0.05,0.02,1.0,s
3432.0,3491.0,3071.0,3248.0,3385.0,2752.0,2992.0,3242.0,1.76,9.48,3.06,0.06,0.04,0.05,1.0,s
3429.0,3491.0,3087.0,3233.0,3392.0,2749.0,2995.0,3242.0,1.75,9.64,2.57,0.12,-0.01,0.09,1.0,s
3440.0,3518.0,3071.0,3240.0,3388.0,2755.0,2997.0,3230.0,2.07,9.67,2.25,0.1,-0.05,0.11,1.0,s
3434.0,3473.0,3059.0,3233.0,3381.0,2757.0,2997.0,3239.0,2.46,9.66,2.25,0.17,-0.05,-0.0,1.0,s
3442.0,3472.0,3088.0,3246.0,3392.0,2757.0,2992.0,3239.0,2.37,9.62,2.15,0.13,-0.02,0.04,1.0,s
3431.0,3481.0,3071.0,3270.0,3407.0,2753.0,2992.0,3229.0,2.38,9.84,2.02,0.01,0.0,0.11,1.0,s
3422.0,3465.0,3083.0,3265.0,3428.0,2750.0,2997.0,3222.0,2.42,9.65,2.14,0.02,-0.03,0.04,1.0,s
3431.0,3455.0,3071.0,3269.0,3421.0,2747.0,3001.0,3229.0,2.39,9.84,1.79,0.03,-0.06,-0.04,1.0,s
3419.0,3446.0,3071.0,3297.0,3426.0,2736.0,2992.0,3222.0,1.94,9.63,1.73,0.11,-0.07,-0.22,1.0,s
3402.0,3446.0,3071.0,3339.0,3408.0,2736.0,2991.0,3218.0,1.78,9.95,1.28,0.21,0.01,-0.42,1.0,s
3375.0,3408.0,3071.0,3504.0,3408.0,2707.0,2993.0,3214.0,1.59,9.87,1.39,0.02,0.02,-0.39,1.0,s
3365.0,3394.0,3068.0,3649.0,3408.0,2695.0,2992.0,3215.0,1.53,9.78,1.69,-0.1,-0.34,-0.23,1.0,s
3371.0,3397.0,3083.0,3728.0,3398.0,2702.0,2994.0,3199.0,1.87,9.93,1.79,-0.11,-0.47,-0.18,1.0,s
3376.0,3417.0,3069.0,3679.0,3412.0,2719.0,2991.0,3216.0,2.0,9.63,2.04,-0.02,-0.7,-0.24,1.0,s
3376.0,3446.0,3070.0,3535.0,3406.0,2738.0,2992.0,3221.0,1.73,10.12,1.51,0.03,-0.2,-0.25,1.0,s
3373.0,3482.0,3070.0,3425.0,3402.0,2736.0,2993.0,3216.0,1.87,9.85,1.66,-0.09,-0.05,-0.06,1.0,s
3370.0,3470.0,3057.0,3386.0,3388.0,2742.0,2989.0,3225.0,1.49,9.67,1.97,-0.1,0.31,-0.04,1.0,s
3376.0,3492.0,3068.0,3330.0,3398.0,2736.0,2993.0,3232.0,1.4,9.78,1.98,0.09,0.14,-0.1,1.0,s
3369.0,3475.0,3069.0,3277.0,3413.0,2746.0,2987.0,3234.0,1.17,9.91,1.22,0.11,-0.23,-0.09,1.0,s
3371.0,3488.0,3058.0,3238.0,3427.0,2757.0,2999.0,3229.0,1.68,9.87,1.23,-0.1,-0.33,-0.07,1.0,s
3351.0,3501.0,3071.0,3221.0,3419.0,2763.0,3007.0,3237.0,1.89,9.91,1.7,-0.07,0.16,-0.1,1.0,s
3376.0,3476.0,3061.0,3235.0,3427.0,2767.0,2997.0,3228.0,0.88,9.85,1.69,-0.14,0.35,-0.04,1.0,s
3366.0,3489.0,3059.0,3207.0,3433.0,2778.0,3002.0,3227.0,1.69,10.02,1.6,-0.12,0.29,-0.07,1.0,s
3349.0,3456.0,3063.0,3210.0,3447.0,2771.0,3005.0,3234.0,1.36,9.84,1.78,-0.14,0.87,-0.05,1.0,s
3374.0,3504.0,3071.0,3211.0,3440.0,2777.0,2995.0,3233.0,0.64,9.73,1.85,-0.14,0.95,-0.06,1.0,s
