hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3169.0,3274.0,3564.0,3744.0,3651.0,3184.0,3141.0,3439.0,-0.54,9.28,3.34,-0.24,0.05,-0.21,1.0,s
3171.0,3264.0,3543.0,3746.0,3647.0,3184.0,3143.0,3422.0,-0.73,9.57,3.02,-0.26,0.11,-0.27,1.0,s
3167.0,3261.0,3549.0,3745.0,3646.0,3184.0,3141.0,3430.0,-1.34,9.26,3.09,-0.39,0.11,-0.35,1.0,s
3179.0,3267.0,3542.0,3757.0,3650.0,3187.0,3146.0,3451.0,-1.74,9.13,3.92,-0.4,0.06,-0.32,1.0,s
3158.0,3257.0,3547.0,3760.0,3655.0,3186.0,3141.0,3450.0,-2.27,9.26,3.86,-0.36,0.19,-0.27,1.0,s
3172.0,3269.0,3546.0,3789.0,3649.0,3187.0,3151.0,3455.0,-2.07,9.24,3.54,-0.36,0.24,-0.17,1.0,s
3167.0,3265.0,3543.0,3801.0,3648.0,3183.0,3143.0,3450.0,-2.46,8.78,3.98,-0.53,0.15,-0.07,1.0,s
3168.0,3275.0,3551.0,3811.0,3645.0,3184.0,3146.0,3442.0,-3.1,8.12,5.18,-0.51,0.08,-0.03,1.0,s
3174.0,3279.0,3551.0,3825.0,3651.0,3184.0,3143.0,3437.0,-3.58,7.48,6.31,-0.3,0.17,0.18,1.0,s
3183.0,3270.0,3545.0,3824.0,3649.0,3185.0,3150.0,3453.0,-2.84,8.13,5.65,-0.02,0.24,0.32,1.0,s
3179.0,3273.0,3554.0,3824.0,3654.0,3184.0,3143.0,3451.0,-1.98,8.78,4.84,0.05,0.22,0.43,1.0,s
3169.0,3271.0,3551.0,3831.0,3671.0,3191.0,3150.0,3454.0,-1.76,9.25,4.22,0.05,0.21,0.48,1.0,s
3173.0,3279.0,3546.0,3842.0,3657.0,3194.0,3152.0,3455.0,-1.43,9.09,4.21,-0.08,0.15,0.55,1.0,s
3157.0,3263.0,3541.0,3830.0,3643.0,3187.0,3144.0,3451.0,-0.86,9.04,4.36,-0.06,0.1,0.52,1.0,s
3173.0,3266.0,3549.0,3840.0,3658.0,3187.0,3143.0,3446.0,-1.04,9.01,4.3,-0.13,0.29,0.61,1.0,s
3175.0,3271.0,3555.0,3842.0,3664.0,3190.0,3150.0,3458.0,-0.36,8.7,4.93,-0.2,0.07,0.61,1.0,s
3184.0,3267.0,3540.0,3845.0,3663.0,3189.0,3136.0,3447.0,0.25,8.52,5.55,-0.04,0.11,0.53,1.0,s
3163.0,3258.0,3555.0,3843.0,3664.0,3187.0,3152.0,3459.0,0.44,8.66,5.39,0.1,0.13,0.44,1.0,s
3175.0,3270.0,3534.0,3842.0,3664.0,3185.0,3144.0,3454.0,0.9,8.94,5.03,0.26,0.02,0.27,1.0,s
3184.0,3279.0,3539.0,3851.0,3662.0,3187.0,3142.0,3447.0,0.91,9.09,4.71,0.23,0.0,0.21,1.0,s
3178.0,3280.0,3548.0,3854.0,3664.0,3184.0,3142.0,3454.0,1.03,9.19,4.32,0.23,-0.13,0.1,1.0,s
3173.0,3271.0,3534.0,3851.0,3667.0,3183.0,3145.0,3447.0,1.07,9.33,3.86,0.22,-0.11,0.0,1.0,s
3171.0,3261.0,3548.0,3839.0,3658.0,3186.0,3145.0,3455.0,1.23,9.47,3.54,0.2,-0.23,-0.12,1.0,s
3170.0,3275.0,3539.0,3847.0,3669.0,3186.0,3147.0,3442.0,1.02,9.63,3.03,0.09,-0.16,-0.2,1.0,s
3167.0,3269.0,3542.0,3846.0,3664.0,3191.0,3152.0,3455.0,0.94,9.7,2.8,-0.03,-0.15,-0.32,1.0,s
3166.0,3259.0,3535.0,3839.0,3655.0,3186.0,3149.0,3446.0,0.9,9.59,3.04,-0.11,-0.23,-0.4,1.0,s
3182.0,3279.0,3539.0,3849.0,3654.0,3184.0,3147.0,3447.0,0.57,9.43,3.43,-0.2,-0.14,-0.51,1.0,s
3180.0,3270.0,3550.0,3856.0,3667.0,3193.0,3146.0,3451.0,-0.04,9.22,3.94,-0.16,-0.22,-0.57,1.0,s
3166.0,3267.0,3546.0,3862.0,3661.0,3190.0,3147.0,3453.0,-0.38,9.36,3.91,-0.12,-0.09,-0.6,1.0,s
3167.0,3278.0,3548.0,3843.0,3661.0,3185.0,3150.0,3459.0,-0.55,9.27,3.71,-0.09,-0.16,-0.65,1.0,s
