hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3294.0,3024.0,3031.0,2934.0,3745.0,3006.0,3134.0,3486.0,-0.06,10.03,1.47,-0.14,-0.01,-0.01,1.0,s
3293.0,3028.0,3024.0,2939.0,3756.0,3008.0,3136.0,3491.0,-0.02,9.9,1.53,-0.09,0.03,-0.04,1.0,s
3295.0,3024.0,3030.0,2942.0,3753.0,3010.0,3134.0,3488.0,-0.02,9.95,1.55,-0.07,-0.02,-0.03,1.0,s
3286.0,3027.0,3035.0,2943.0,3759.0,3011.0,3137.0,3498.0,0.03,9.98,1.58,-0.05,0.01,-0.03,1.0,s
3289.0,3035.0,3030.0,2942.0,3760.0,2999.0,3131.0,3487.0,-0.12,10.0,1.59,-0.06,0.03,-0.02,1.0,s
3280.0,3029.0,3024.0,2938.0,3749.0,3003.0,3135.0,3495.0,0.01,9.91,1.75,-0.04,-0.02,-0.02,1.0,s
3283.0,3023.0,3024.0,2935.0,3739.0,3013.0,3136.0,3498.0,0.07,10.07,1.54,-0.04,-0.03,-0.04,1.0,s
3291.0,3024.0,3022.0,2943.0,3754.0,3011.0,3130.0,3489.0,0.17,10.05,1.52,-0.03,-0.01,-0.06,1.0,s
3306.0,3035.0,3021.0,2945.0,3759.0,3021.0,3136.0,3501.0,-0.04,10.01,1.47,-0.09,-0.01,-0.04,1.0,s
3286.0,3027.0,3025.0,2949.0,3760.0,3023.0,3131.0,3491.0,-0.01,9.95,1.62,-0.08,-0.01,-0.03,1.0,s
3284.0,3030.0,3024.0,2943.0,3753.0,3021.0,3136.0,3489.0,0.02,9.89,1.68,-0.07,-0.01,-0.03,1.0,s
3292.0,3030.0,3028.0,2947.0,3757.0,3023.0,3134.0,3500.0,0.1,9.96,1.63,-0.04,-0.01,-0.03,1.0,s
3295.0,3026.0,3024.0,2953.0,3765.0,3029.0,3139.0,3491.0,-0.03,10.0,1.51,-0.06,-0.01,-0.03,1.0,s
3287.0,3029.0,3024.0,2947.0,3771.0,3024.0,3134.0,3491.0,0.04,10.0,1.54,-0.07,-0.0,-0.03,1.0,s
