hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2897.0,2330.0,2031.0,3011.0,3427.0,3775.0,2716.0,2985.0,1.66,7.9,3.8,0.12,0.08,0.04,t
2894.0,2323.0,2015.0,3013.0,3430.0,3780.0,2711.0,2983.0,1.04,8.74,2.96,0.18,-0.07,-0.27,t
2896.0,2331.0,2031.0,3019.0,3430.0,3777.0,2715.0,2983.0,1.13,9.59,3.87,-0.15,-0.25,-0.09,t
2899.0,2339.0,2025.0,3013.0,3427.0,3783.0,2717.0,2981.0,1.18,9.03,3.05,0.19,0.02,-0.06,t
2897.0,2332.0,2017.0,3010.0,3408.0,3778.0,2715.0,2983.0,1.47,9.05,2.06,-0.05,-0.08,0.03,t
2896.0,2326.0,2016.0,3017.0,3376.0,3781.0,2715.0,2979.0,1.3,8.86,3.45,-0.32,0.09,0.03,t
2896.0,2331.0,2022.0,3023.0,3334.0,3779.0,2714.0,2985.0,1.86,8.59,4.83,-0.07,-0.11,0.01,t
2905.0,2327.0,2017.0,3009.0,3312.0,3792.0,2717.0,2982.0,1.24,9.25,2.71,0.07,-0.09,-0.04,t
2897.0,2331.0,2018.0,2999.0,3264.0,3808.0,2719.0,2977.0,1.33,9.09,2.82,-0.15,0.02,0.07,t
2896.0,2334.0,2009.0,2979.0,3199.0,3812.0,2719.0,2967.0,1.57,8.88,3.27,-0.07,-0.05,0.1,t
2896.0,2329.0,2011.0,2983.0,3194.0,3812.0,2718.0,2969.0,2.26,8.59,3.33,0.07,-0.09,0.04,t
2896.0,2323.0,2009.0,2991.0,3206.0,3826.0,2721.0,2971.0,2.02,8.73,3.41,0.01,-0.19,0.09,t
2893.0,2331.0,2015.0,3001.0,3241.0,3822.0,2717.0,2974.0,1.29,9.5,4.33,0.31,-0.85,0.49,t
2891.0,2323.0,2021.0,3014.0,3265.0,3807.0,2704.0,2960.0,3.02,9.3,0.89,0.43,0.15,0.57,t
2896.0,2335.0,1999.0,3017.0,3265.0,3813.0,2701.0,2966.0,4.45,7.63,1.27,-0.05,1.06,0.19,t
