hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2922.0,867.0,910.0,3165.0,3978.0,3456.0,3302.0,3257.0,-0.39,9.5,3.46,-0.04,-0.03,-0.04,1.0,t
2914.0,875.0,915.0,3153.0,3952.0,3454.0,3303.0,3262.0,-0.37,9.43,3.71,-0.11,0.03,-0.06,1.0,t
2926.0,871.0,905.0,3170.0,3991.0,3477.0,3306.0,3257.0,-0.76,9.43,3.6,-0.05,-0.05,-0.1,1.0,t
2923.0,861.0,906.0,3163.0,3984.0,3463.0,3305.0,3264.0,-0.63,9.39,3.67,-0.04,-0.05,-0.05,1.0,t
2909.0,864.0,912.0,3156.0,3970.0,3459.0,3307.0,3255.0,-0.67,9.4,3.66,-0.08,-0.01,-0.01,1.0,t
2909.0,866.0,906.0,3169.0,3984.0,3472.0,3310.0,3267.0,-0.48,9.46,3.58,-0.07,-0.03,-0.07,1.0,t
2914.0,871.0,902.0,3162.0,3986.0,3463.0,3305.0,3259.0,-0.67,9.39,3.64,-0.08,0.03,-0.01,1.0,t
2918.0,870.0,913.0,3167.0,3995.0,3472.0,3311.0,3271.0,-0.43,9.45,3.62,-0.02,-0.03,-0.07,1.0,t
2914.0,867.0,906.0,3158.0,3963.0,3469.0,3305.0,3269.0,-0.6,9.5,3.45,-0.13,-0.08,-0.14,1.0,t
2928.0,881.0,909.0,3170.0,3982.0,3459.0,3309.0,3280.0,-0.95,9.29,3.82,-0.17,-0.02,-0.13,1.0,t
2928.0,862.0,899.0,3166.0,3971.0,3465.0,3312.0,3280.0,-0.87,9.33,3.8,-0.09,0.0,-0.07,1.0,t
2930.0,869.0,912.0,3179.0,3991.0,3467.0,3299.0,3285.0,-0.79,9.29,3.89,-0.1,-0.05,-0.07,1.0,t
2924.0,865.0,910.0,3165.0,3975.0,3467.0,3312.0,3280.0,-0.79,9.3,3.89,-0.12,-0.0,-0.05,1.0,t
2925.0,874.0,899.0,3174.0,3999.0,3477.0,3321.0,3284.0,-0.85,9.24,4.02,-0.11,-0.04,-0.08,1.0,t
2923.0,862.0,909.0,3171.0,3974.0,3485.0,3325.0,3291.0,-0.96,9.21,4.05,-0.1,-0.03,-0.06,1.0,t
2919.0,871.0,909.0,3182.0,3983.0,3471.0,3306.0,3279.0,-0.93,9.19,4.1,-0.13,0.03,-0.02,1.0,t
2927.0,865.0,907.0,3170.0,3993.0,3472.0,3316.0,3287.0,-0.88,9.18,4.11,-0.09,-0.02,-0.05,1.0,t
2915.0,870.0,915.0,3165.0,3972.0,3471.0,3312.0,3280.0,-0.73,9.24,4.14,-0.12,-0.03,-0.05,1.0,t
