hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2981.0,3814.0,1882.0,4095.0,2916.0,2462.0,2653.0,2416.0,2.33,9.6,5.81,0.09,-0.09,-0.24,0.0,t
2991.0,3822.0,1883.0,4095.0,2919.0,2463.0,2653.0,2415.0,1.9,9.54,6.0,0.01,-0.07,-0.28,0.0,t
2992.0,3792.0,1881.0,4095.0,2921.0,2463.0,2657.0,2419.0,1.51,9.48,6.07,0.08,-0.13,-0.25,0.0,t
2999.0,3807.0,1884.0,4095.0,2925.0,2464.0,2656.0,2418.0,1.67,9.45,5.8,0.07,-0.18,-0.21,0.0,t
2989.0,3811.0,1883.0,4095.0,2922.0,2459.0,2653.0,2416.0,1.77,9.53,5.96,0.04,-0.09,-0.17,0.0,t
2990.0,3819.0,1874.0,4095.0,2921.0,2463.0,2654.0,2416.0,1.8,9.54,6.09,0.03,-0.13,-0.16,0.0,t
2991.0,3794.0,1869.0,4095.0,2917.0,2462.0,2656.0,2417.0,1.85,9.57,6.03,0.04,-0.12,-0.16,0.0,t
2994.0,3811.0,1881.0,4095.0,2922.0,2463.0,2656.0,2420.0,1.7,9.52,5.93,0.04,-0.13,-0.17,0.0,t
2982.0,3795.0,1877.0,4095.0,2919.0,2465.0,2656.0,2418.0,1.61,9.47,5.99,0.04,-0.12,-0.12,0.0,t
2986.0,3806.0,1874.0,4095.0,2918.0,2463.0,2655.0,2419.0,1.89,9.64,5.81,0.02,-0.12,-0.09,0.0,t
2995.0,3801.0,1872.0,4095.0,2922.0,2464.0,2651.0,2416.0,2.0,9.64,6.03,-0.03,-0.03,-0.12,0.0,t
2990.0,3805.0,1877.0,4095.0,2917.0,2465.0,2656.0,2418.0,1.93,9.69,6.18,-0.05,-0.02,-0.14,0.0,t
2991.0,3809.0,1872.0,4095.0,2925.0,2467.0,2660.0,2419.0,1.93,9.55,6.32,-0.0,0.05,-0.15,0.0,t
2992.0,3803.0,1882.0,4095.0,2925.0,2474.0,2656.0,2418.0,1.92,9.53,6.14,0.06,0.01,-0.18,0.0,t
2999.0,3819.0,1871.0,4095.0,2925.0,2464.0,2654.0,2416.0,1.95,9.62,5.91,0.04,0.04,-0.16,0.0,t
2986.0,3786.0,1872.0,4095.0,2923.0,2466.0,2659.0,2421.0,1.87,9.62,5.99,0.04,0.06,-0.16,0.0,t
2993.0,3806.0,1883.0,4095.0,2927.0,2467.0,2654.0,2418.0,1.86,9.6,5.88,0.02,0.02,-0.15,0.0,t
3002.0,3797.0,1878.0,4095.0,2928.0,2467.0,2658.0,2417.0,1.76,9.63,5.83,0.05,0.04,-0.16,0.0,t
2990.0,3792.0,1876.0,4095.0,2928.0,2469.0,2662.0,2424.0,1.9,9.61,5.83,0.03,0.01,-0.15,0.0,t
3005.0,3798.0,1878.0,4095.0,2927.0,2467.0,2655.0,2418.0,1.93,9.6,5.87,0.02,0.02,-0.15,0.0,t
2992.0,3797.0,1872.0,4095.0,2933.0,2478.0,2663.0,2431.0,1.7,9.45,5.99,0.03,-0.06,-0.19,0.0,t
2985.0,3807.0,1882.0,4095.0,2931.0,2476.0,2659.0,2431.0,1.65,9.47,5.8,0.03,-0.05,-0.16,0.0,t
2994.0,3801.0,1881.0,4095.0,2930.0,2475.0,2663.0,2432.0,1.6,9.52,5.8,-0.03,-0.02,-0.13,0.0,t
2985.0,3821.0,1886.0,4095.0,2928.0,2475.0,2662.0,2432.0,1.73,9.56,6.09,-0.06,0.02,-0.08,0.0,t
2997.0,3820.0,1879.0,4095.0,2932.0,2479.0,2658.0,2431.0,1.92,9.68,6.25,0.01,0.01,-0.08,0.0,t
2987.0,3792.0,1872.0,4095.0,2930.0,2475.0,2666.0,2432.0,2.13,9.75,6.07,0.03,-0.01,-0.12,0.0,t
2986.0,3796.0,1881.0,4095.0,2927.0,2474.0,2662.0,2432.0,2.06,9.71,5.96,0.04,0.01,-0.17,0.0,t
2982.0,3805.0,1873.0,4095.0,2928.0,2473.0,2665.0,2434.0,1.98,9.57,5.99,0.04,0.02,-0.19,0.0,t
2992.0,3811.0,1874.0,4095.0,2931.0,2481.0,2666.0,2431.0,1.79,9.55,5.88,0.03,0.0,-0.18,0.0,t
2997.0,3817.0,1875.0,4095.0,2934.0,2480.0,2668.0,2435.0,1.77,9.57,5.8,0.03,0.0,-0.16,0.0,t
