hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2898.0,3441.0,3030.0,4095.0,3695.0,2917.0,3071.0,3312.0,0.74,9.61,3.02,-0.06,0.01,-0.05,1.0,t
2883.0,3459.0,3039.0,4095.0,3675.0,2927.0,3071.0,3315.0,0.85,9.65,3.18,-0.08,-0.01,-0.03,1.0,t
2880.0,3462.0,3027.0,4095.0,3680.0,2917.0,3071.0,3307.0,0.87,9.52,3.33,-0.07,0.0,-0.03,1.0,t
2888.0,3439.0,3039.0,4095.0,3695.0,2922.0,3071.0,3303.0,0.95,9.56,3.3,-0.02,-0.05,-0.06,1.0,t
2880.0,3465.0,3031.0,4095.0,3681.0,2916.0,3079.0,3310.0,0.78,9.59,3.23,-0.02,0.02,-0.06,1.0,t
2894.0,3440.0,3036.0,4095.0,3693.0,2919.0,3071.0,3305.0,0.8,9.62,3.16,-0.07,-0.06,-0.06,1.0,t
2880.0,3461.0,3035.0,4095.0,3700.0,2923.0,3082.0,3314.0,0.87,9.61,3.21,-0.08,-0.01,-0.06,1.0,t
2883.0,3458.0,3041.0,4095.0,3686.0,2928.0,3071.0,3312.0,0.74,9.58,3.26,-0.04,-0.05,-0.06,1.0,t
2886.0,3459.0,3025.0,4095.0,3701.0,2923.0,3085.0,3317.0,0.83,9.6,3.18,-0.04,-0.0,-0.06,1.0,t
2899.0,3455.0,3034.0,4095.0,3683.0,2928.0,3071.0,3309.0,0.76,9.63,3.06,-0.06,-0.04,-0.06,1.0,t
2881.0,3452.0,3024.0,4095.0,3701.0,2928.0,3088.0,3305.0,0.83,9.62,3.16,-0.06,-0.02,-0.06,1.0,t
2885.0,3458.0,3021.0,4095.0,3673.0,2930.0,3071.0,3309.0,0.64,9.59,3.08,-0.13,0.03,-0.03,1.0,t
2878.0,3466.0,3025.0,4095.0,3680.0,2932.0,3067.0,3315.0,0.71,9.53,3.26,-0.04,-0.03,-0.06,1.0,t
2894.0,3473.0,3023.0,4095.0,3681.0,2931.0,3081.0,3311.0,0.76,9.56,3.25,-0.08,0.04,-0.02,1.0,t
2880.0,3441.0,3034.0,4095.0,3691.0,2938.0,3082.0,3310.0,0.85,9.58,3.16,-0.05,-0.03,-0.04,1.0,t
2889.0,3458.0,3048.0,4095.0,3685.0,2935.0,3071.0,3327.0,0.76,9.67,3.1,-0.1,0.0,-0.05,1.0,t
2886.0,3450.0,3031.0,4095.0,3701.0,2937.0,3071.0,3307.0,0.74,9.6,3.23,-0.07,-0.07,-0.05,1.0,t
2895.0,3458.0,3023.0,4095.0,3683.0,2933.0,3085.0,3312.0,0.77,9.54,3.39,-0.05,0.02,-0.05,1.0,t
2881.0,3467.0,3039.0,4095.0,3694.0,2925.0,3071.0,3304.0,0.64,9.62,3.16,-0.02,0.04,-0.03,1.0,t
2893.0,3456.0,3025.0,4095.0,3685.0,2941.0,3087.0,3307.0,0.75,9.6,3.16,-0.03,-0.04,-0.04,1.0,t
2871.0,3485.0,3036.0,4095.0,3681.0,2941.0,3090.0,3314.0,0.8,9.65,3.15,-0.01,0.01,-0.04,1.0,t
2885.0,3425.0,3054.0,4095.0,3693.0,2932.0,3088.0,3317.0,0.7,9.63,3.08,-0.04,0.0,-0.02,1.0,t
2870.0,3472.0,3029.0,4095.0,3695.0,2938.0,3087.0,3312.0,0.74,9.67,3.09,-0.04,0.02,-0.03,1.0,t
2887.0,3467.0,3039.0,4095.0,3681.0,2933.0,3081.0,3311.0,0.76,9.58,3.15,-0.09,-0.04,-0.02,1.0,t
2871.0,3447.0,3029.0,4095.0,3667.0,2944.0,3079.0,3309.0,0.82,9.68,3.09,-0.11,-0.05,-0.02,1.0,t
2869.0,3469.0,3037.0,4095.0,3685.0,2942.0,3086.0,3312.0,0.69,9.53,3.28,-0.1,0.0,-0.01,1.0,t
2885.0,3469.0,3039.0,4095.0,3690.0,2941.0,3085.0,3312.0,0.77,9.64,3.2,-0.06,0.02,-0.03,1.0,t
2880.0,3442.0,3031.0,4095.0,3695.0,2934.0,3093.0,3309.0,0.7,9.58,3.2,-0.08,-0.0,-0.01,1.0,t
2886.0,3466.0,3037.0,4095.0,3688.0,2937.0,3086.0,3307.0,0.83,9.65,3.12,-0.08,-0.02,-0.02,1.0,t
2870.0,3457.0,3033.0,4095.0,3691.0,2945.0,3087.0,3324.0,0.83,9.55,3.24,-0.03,0.05,-0.02,1.0,t
2890.0,3446.0,3031.0,4095.0,3699.0,2945.0,3081.0,3322.0,0.82,9.65,3.17,-0.04,0.1,-0.01,1.0,t
2874.0,3440.0,3037.0,4095.0,3693.0,2943.0,3090.0,3319.0,0.77,9.62,3.09,-0.06,-0.01,-0.02,1.0,t
2900.0,3462.0,3034.0,4095.0,3689.0,2945.0,3099.0,3312.0,0.89,9.61,3.21,-0.04,0.0,-0.04,1.0,t
2880.0,3453.0,3035.0,4095.0,3690.0,2945.0,3085.0,3311.0,0.83,9.58,3.23,-0.05,0.03,-0.03,1.0,t
2870.0,3455.0,3036.0,4095.0,3696.0,2940.0,3088.0,3312.0,0.82,9.56,3.24,-0.0,-0.01,-0.05,1.0,t
2875.0,3452.0,3024.0,4095.0,3696.0,2945.0,3085.0,3305.0,0.8,9.58,3.14,-0.04,0.01,-0.05,1.0,t
2881.0,3457.0,3034.0,4095.0,3691.0,2934.0,3088.0,3321.0,0.88,9.61,3.16,-0.03,-0.01,-0.04,1.0,t
2881.0,3451.0,3028.0,4095.0,3693.0,2942.0,3088.0,3317.0,0.81,9.62,3.15,-0.06,-0.03,-0.05,1.0,t
2881.0,3475.0,3039.0,4095.0,3703.0,2951.0,3088.0,3319.0,0.76,9.66,3.04,-0.04,-0.01,-0.06,1.0,t
2884.0,3460.0,3043.0,4095.0,3695.0,2950.0,3087.0,3317.0,0.72,9.68,2.99,-0.08,-0.03,-0.03,1.0,t
2876.0,3458.0,3035.0,4095.0,3687.0,2950.0,3088.0,3325.0,0.75,9.66,3.07,-0.1,-0.02,-0.03,1.0,t
2886.0,3440.0,3037.0,4095.0,3693.0,2948.0,3088.0,3323.0,0.76,9.62,3.1,-0.11,-0.03,-0.03,1.0,t
2875.0,3463.0,3022.0,4095.0,3692.0,2928.0,3071.0,3307.0,0.86,9.57,3.28,-0.08,-0.0,-0.04,1.0,t
2883.0,3456.0,3042.0,4095.0,3709.0,2931.0,3098.0,3315.0,0.76,9.61,3.19,-0.05,0.03,-0.03,1.0,t
2874.0,3459.0,3041.0,4095.0,3696.0,2934.0,3088.0,3317.0,0.81,9.58,3.17,-0.09,-0.05,-0.02,1.0,t
