hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2918.0,3153.0,3017.0,4095.0,3954.0,3297.0,3474.0,3575.0,0.72,9.02,4.31,-0.21,-0.26,-0.3,1.0,t
2914.0,3159.0,3024.0,4095.0,3953.0,3307.0,3484.0,3583.0,0.58,9.08,4.5,-0.13,-0.16,-0.36,1.0,t
2922.0,3163.0,3024.0,4095.0,3948.0,3300.0,3481.0,3574.0,-0.06,9.2,4.38,-0.12,0.03,-0.34,1.0,t
2928.0,3152.0,3013.0,4095.0,3943.0,3303.0,3490.0,3583.0,-0.22,9.27,4.37,-0.14,-0.15,-0.34,1.0,t
2918.0,3151.0,3024.0,4095.0,3954.0,3312.0,3494.0,3583.0,-0.11,9.41,4.4,-0.21,-0.06,-0.33,1.0,t
2928.0,3156.0,3027.0,4095.0,3963.0,3313.0,3497.0,3583.0,-0.41,9.24,4.53,-0.2,-0.21,-0.33,1.0,t
2921.0,3152.0,3024.0,4095.0,3957.0,3311.0,3491.0,3583.0,-0.05,8.89,5.09,-0.21,-0.26,-0.42,1.0,t
2923.0,3163.0,3014.0,4095.0,3967.0,3314.0,3499.0,3583.0,-0.73,9.03,4.95,-0.02,-0.1,-0.47,1.0,t
2928.0,3153.0,3023.0,4095.0,3957.0,3307.0,3490.0,3583.0,-0.99,8.8,4.74,-0.01,-0.13,-0.44,1.0,t
2926.0,3152.0,3019.0,4095.0,3985.0,3318.0,3499.0,3596.0,-1.61,8.84,4.36,-0.05,-0.06,-0.31,1.0,t
2928.0,3152.0,3019.0,4095.0,3984.0,3314.0,3498.0,3583.0,-1.26,9.02,4.23,-0.12,-0.3,-0.36,1.0,t
2918.0,3153.0,3024.0,4095.0,3984.0,3314.0,3504.0,3599.0,-1.52,9.07,4.15,-0.21,-0.04,-0.25,1.0,t
2928.0,3146.0,3023.0,4095.0,3984.0,3312.0,3501.0,3599.0,-1.66,8.68,4.44,-0.2,-0.01,-0.25,1.0,t
2928.0,3154.0,3019.0,4095.0,3982.0,3317.0,3502.0,3583.0,-1.81,8.88,4.36,-0.28,0.16,-0.14,1.0,t
2933.0,3153.0,3024.0,4095.0,3991.0,3314.0,3502.0,3583.0,-1.81,9.06,4.73,-0.34,0.09,-0.11,1.0,t
2927.0,3151.0,3024.0,4095.0,4003.0,3317.0,3495.0,3600.0,-1.99,9.36,4.98,-0.34,0.16,-0.0,1.0,t
2933.0,3150.0,3019.0,4095.0,3996.0,3326.0,3507.0,3583.0,-1.95,9.05,5.12,-0.31,0.23,0.0,1.0,t
2933.0,3157.0,3023.0,4095.0,4002.0,3319.0,3511.0,3609.0,-1.83,8.69,5.2,-0.27,0.25,0.09,1.0,t
2929.0,3152.0,3014.0,4095.0,4005.0,3317.0,3499.0,3583.0,-1.73,8.34,5.2,-0.33,0.15,0.13,1.0,t
2931.0,3149.0,3029.0,4095.0,4003.0,3326.0,3506.0,3600.0,-1.58,8.05,5.51,-0.32,0.24,0.13,1.0,t
2926.0,3152.0,3021.0,4095.0,3990.0,3318.0,3505.0,3600.0,-1.64,7.92,5.84,-0.3,0.19,0.12,1.0,t
2926.0,3158.0,3025.0,4095.0,4011.0,3322.0,3507.0,3600.0,-1.69,7.76,5.95,-0.28,0.19,0.14,1.0,t
2921.0,3147.0,3026.0,4095.0,4013.0,3319.0,3504.0,3600.0,-1.61,7.97,5.97,-0.24,0.19,0.19,1.0,t
2935.0,3165.0,3024.0,4095.0,4010.0,3325.0,3508.0,3611.0,-1.75,8.43,5.68,-0.19,0.26,0.24,1.0,t
2925.0,3153.0,3015.0,4095.0,3997.0,3317.0,3504.0,3600.0,-1.77,8.34,5.72,-0.2,0.29,0.32,1.0,t
2933.0,3166.0,3027.0,4095.0,4003.0,3328.0,3510.0,3583.0,-1.21,8.06,6.39,-0.15,0.21,0.3,1.0,t
2931.0,3162.0,3022.0,4095.0,4009.0,3325.0,3502.0,3583.0,-0.99,7.84,6.35,-0.08,0.2,0.29,1.0,t
2935.0,3155.0,3031.0,4095.0,4006.0,3323.0,3503.0,3597.0,-0.99,7.94,6.21,-0.04,0.19,0.3,1.0,t
2925.0,3155.0,3024.0,4095.0,4009.0,3330.0,3515.0,3600.0,-0.9,7.76,6.28,-0.03,0.15,0.29,1.0,t
2919.0,3159.0,3022.0,4095.0,4007.0,3325.0,3506.0,3608.0,-0.78,7.78,6.21,-0.03,0.06,0.32,1.0,t
2933.0,3155.0,3024.0,4095.0,4022.0,3325.0,3506.0,3600.0,-0.13,7.87,6.3,0.05,-0.06,0.22,1.0,t
2922.0,3154.0,3022.0,4095.0,4017.0,3323.0,3501.0,3603.0,0.01,7.85,6.52,0.12,-0.11,0.14,1.0,t
2940.0,3152.0,3023.0,4095.0,4012.0,3331.0,3511.0,3609.0,0.13,8.1,6.36,0.2,-0.13,0.05,1.0,t
2928.0,3141.0,3019.0,4095.0,4010.0,3328.0,3517.0,3614.0,-0.08,8.34,5.84,0.25,-0.02,0.04,1.0,t
2933.0,3167.0,3030.0,4095.0,4030.0,3329.0,3509.0,3605.0,-0.24,8.45,5.63,0.25,-0.19,-0.01,1.0,t
2927.0,3149.0,3029.0,4095.0,4013.0,3327.0,3513.0,3613.0,-0.16,8.41,5.5,0.22,-0.27,-0.05,1.0,t
2931.0,3157.0,3021.0,4095.0,4019.0,3330.0,3504.0,3605.0,-0.14,8.59,5.19,0.23,-0.26,-0.02,1.0,t
2926.0,3151.0,3024.0,4095.0,4015.0,3327.0,3502.0,3613.0,0.13,8.78,4.93,0.23,-0.29,-0.06,1.0,t
2928.0,3147.0,3010.0,4095.0,4011.0,3328.0,3511.0,3607.0,0.28,8.71,4.88,0.2,-0.29,-0.11,1.0,t
2927.0,3165.0,3024.0,4095.0,4031.0,3331.0,3504.0,3600.0,0.45,8.76,4.94,0.27,-0.31,-0.3,1.0,t
2928.0,3153.0,3021.0,4095.0,4023.0,3333.0,3505.0,3601.0,-0.24,9.27,4.24,0.32,-0.14,-0.33,1.0,t
2922.0,3155.0,3018.0,4095.0,4019.0,3330.0,3510.0,3610.0,-0.92,9.29,4.13,0.22,-0.2,-0.29,1.0,t
2928.0,3157.0,3024.0,4095.0,4027.0,3330.0,3506.0,3607.0,-0.82,9.3,4.16,0.18,-0.25,-0.21,1.0,t
2928.0,3152.0,3023.0,4095.0,4028.0,3331.0,3510.0,3606.0,-1.04,9.24,4.04,0.11,-0.24,-0.11,1.0,t
2928.0,3167.0,3031.0,4095.0,4018.0,3329.0,3507.0,3610.0,-0.21,9.15,4.19,0.11,-0.48,-0.21,1.0,t
2927.0,3150.0,3018.0,4095.0,4029.0,3331.0,3511.0,3610.0,-0.44,9.07,3.92,0.08,-0.06,-0.03,1.0,t
2934.0,3155.0,3023.0,4095.0,4033.0,3338.0,3505.0,3605.0,-0.61,9.02,4.12,0.03,-0.04,0.04,1.0,t
2935.0,3153.0,3025.0,4095.0,4019.0,3327.0,3504.0,3606.0,-0.09,9.17,4.15,0.09,-0.18,-0.06,1.0,t
2919.0,3146.0,3024.0,4095.0,4018.0,3333.0,3505.0,3598.0,0.04,9.36,4.16,0.14,-0.07,-0.03,1.0,t
2919.0,3165.0,3021.0,4065.0,4014.0,3329.0,3511.0,3603.0,0.02,9.6,3.84,0.2,-0.12,-0.12,1.0,t
2922.0,3143.0,3020.0,3995.0,3987.0,3329.0,3514.0,3615.0,-0.41,9.71,3.32,0.17,-0.32,-0.09,1.0,t
