hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
947.0,894.0,4095.0,3842.0,4095.0,4095.0,4095.0,4095.0,-3.81,8.84,2.37,-0.14,0.01,0.01,1.0,thank-you
950.0,893.0,4095.0,3875.0,4095.0,4095.0,4095.0,4095.0,-3.43,7.98,4.92,0.03,-0.22,-0.12,1.0,thank-you
956.0,887.0,4095.0,3870.0,4095.0,4095.0,4095.0,4095.0,-1.97,7.41,6.58,1.54,-1.0,-0.81,1.0,thank-you
954.0,886.0,4095.0,3825.0,4095.0,4095.0,4095.0,4095.0,-3.41,6.77,1.38,2.16,-0.02,-1.27,1.0,thank-you
939.0,889.0,4095.0,3701.0,4095.0,4095.0,4095.0,4095.0,-3.95,6.54,-1.84,2.18,0.87,-1.26,1.0,thank-you
950.0,886.0,4095.0,3573.0,4095.0,4095.0,4095.0,4095.0,-5.35,4.74,-4.64,1.8,1.85,-0.91,1.0,thank-you
960.0,887.0,4095.0,3568.0,4095.0,4095.0,4095.0,4095.0,-7.02,2.96,-6.79,1.52,1.59,-0.48,1.0,thank-you
945.0,891.0,4095.0,3681.0,4095.0,4095.0,4095.0,4095.0,-7.08,1.13,-8.38,1.51,0.38,-0.49,1.0,thank-you
963.0,891.0,4095.0,3678.0,4095.0,4095.0,4095.0,4095.0,-5.57,1.56,-8.87,1.4,0.58,-0.84,1.0,thank-you
958.0,887.0,4095.0,3654.0,4095.0,4095.0,4095.0,4095.0,-6.27,0.57,-11.28,0.72,0.79,-0.25,1.0,thank-you
943.0,890.0,4095.0,3693.0,4095.0,4095.0,4095.0,4095.0,-5.12,0.37,-10.88,0.21,-0.04,-0.05,1.0,thank-you
949.0,882.0,4095.0,3737.0,4095.0,4095.0,4095.0,4095.0,-5.27,0.36,-10.49,-0.48,-0.47,0.08,1.0,thank-you
955.0,896.0,4095.0,3731.0,4095.0,4095.0,4095.0,4095.0,-5.83,0.47,-9.14,-0.85,-0.55,0.37,1.0,thank-you
939.0,885.0,4095.0,3719.0,4095.0,4095.0,4095.0,4095.0,-5.42,0.71,-5.8,-0.62,-0.9,0.48,1.0,thank-you
944.0,883.0,4095.0,3754.0,4095.0,4095.0,4095.0,4095.0,-4.33,1.37,-6.22,-0.24,0.16,0.26,1.0,thank-you
944.0,887.0,4095.0,3756.0,4095.0,4095.0,4095.0,4095.0,-5.28,1.66,-7.43,0.03,0.16,0.02,1.0,thank-you
945.0,895.0,4095.0,3763.0,4095.0,4095.0,4095.0,4095.0,-5.7,2.19,-8.06,-0.05,0.05,-0.08,1.0,thank-you
942.0,885.0,4095.0,3758.0,4095.0,4095.0,4095.0,4095.0,-6.03,2.47,-7.76,-0.24,-0.26,0.01,1.0,thank-you
935.0,881.0,4095.0,3791.0,4095.0,4095.0,4095.0,4095.0,-5.58,2.0,-6.5,-0.18,-0.09,0.03,1.0,thank-you
944.0,887.0,4095.0,3767.0,4095.0,4095.0,4095.0,4095.0,-5.32,2.04,-6.84,0.02,0.07,-0.06,1.0,thank-you
928.0,879.0,4095.0,3894.0,4095.0,4095.0,4095.0,4095.0,-1.47,8.63,5.16,-0.09,0.11,-0.06,1.0,thank-you
926.0,885.0,4095.0,3898.0,4095.0,4095.0,4095.0,4095.0,-1.28,8.69,5.21,0.19,-0.2,-0.22,1.0,thank-you
932.0,886.0,4095.0,3877.0,4095.0,4095.0,4095.0,4095.0,-0.91,8.66,5.2,0.41,0.1,-0.28,1.0,thank-you
925.0,884.0,4095.0,3838.0,4095.0,4095.0,4095.0,4095.0,-1.4,8.47,4.65,0.81,0.24,-0.41,1.0,thank-you
933.0,880.0,4095.0,3856.0,4095.0,4095.0,4095.0,4095.0,-2.27,8.85,2.81,0.9,0.32,-0.47,1.0,thank-you
929.0,887.0,4095.0,3824.0,4095.0,4095.0,4095.0,4095.0,-2.58,8.78,1.88,0.96,0.11,-0.46,1.0,thank-you
927.0,882.0,4095.0,3807.0,4095.0,4095.0,4095.0,4095.0,-2.61,8.71,1.04,1.07,0.3,-0.54,1.0,thank-you
932.0,882.0,4095.0,3792.0,4095.0,4095.0,4095.0,4095.0,-3.5,8.33,-0.23,1.06,0.53,-0.57,1.0,thank-you
926.0,886.0,4095.0,3728.0,4095.0,4095.0,4095.0,4095.0,-3.87,7.52,-1.52,1.26,0.69,-0.6,1.0,thank-you
937.0,887.0,4095.0,3761.0,4095.0,4095.0,4095.0,4095.0,-4.47,6.18,-3.43,1.53,0.65,-0.92,1.0,thank-you
