hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3317.0,2513.0,3041.0,4095.0,4095.0,4095.0,4095.0,4095.0,-0.24,9.95,4.08,-0.17,0.06,-0.07,thank-you
3301.0,2791.0,3043.0,4095.0,4095.0,4095.0,4095.0,4095.0,-0.11,10.26,4.21,-0.12,0.02,-0.11,thank-you
3297.0,2851.0,3054.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.25,10.0,4.3,-0.0,-0.15,-0.16,thank-you
3297.0,2827.0,3056.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.16,9.84,4.65,-0.03,-0.04,-0.12,thank-you
3287.0,2829.0,3051.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.08,9.56,5.34,-0.13,0.25,-0.05,thank-you
3306.0,2845.0,3046.0,4095.0,4095.0,4095.0,4095.0,4095.0,1.33,7.95,10.31,0.44,-0.35,-0.28,thank-you
3291.0,2822.0,3044.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.13,6.21,12.0,1.52,0.98,-0.33,thank-you
3290.0,2800.0,3045.0,4095.0,4095.0,4095.0,4095.0,4095.0,-0.76,4.7,8.9,3.11,1.22,-0.0,thank-you
3280.0,2675.0,3030.0,4095.0,4095.0,4095.0,4095.0,4095.0,-0.61,2.83,5.53,3.7,1.71,0.84,thank-you
3281.0,2550.0,3040.0,4095.0,4095.0,4095.0,4095.0,4095.0,1.88,1.84,0.35,4.4,0.62,0.77,thank-you
3270.0,2471.0,3030.0,4095.0,4095.0,4095.0,4095.0,4095.0,3.85,1.81,-5.73,4.19,0.92,0.82,thank-you
3266.0,2464.0,3036.0,4095.0,4095.0,4095.0,4095.0,4095.0,2.62,1.18,-8.23,3.57,0.73,0.77,thank-you
3281.0,2495.0,3028.0,4095.0,4095.0,4095.0,4095.0,4095.0,5.39,1.55,-12.82,3.3,-0.83,0.34,thank-you
3281.0,2537.0,3041.0,4095.0,4095.0,4095.0,4095.0,4095.0,3.63,1.25,-11.01,2.05,-0.13,0.3,thank-you
3273.0,2557.0,3024.0,4095.0,4095.0,4095.0,4095.0,4095.0,3.34,2.04,-11.45,1.55,-0.53,-0.09,thank-you
3275.0,2582.0,3029.0,4095.0,4095.0,4095.0,4095.0,4095.0,2.76,1.27,-8.94,0.97,-0.22,0.05,thank-you
3270.0,2599.0,3031.0,4095.0,4095.0,4095.0,4095.0,4095.0,3.04,0.76,-8.46,0.38,-0.26,-0.06,thank-you
3269.0,2607.0,3037.0,4095.0,4095.0,4095.0,4095.0,4095.0,2.43,0.77,-8.23,0.13,-0.28,-0.22,thank-you
