hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
1325.0,2454.0,2919.0,3246.0,4095.0,4095.0,4095.0,4095.0,0.4,9.72,0.14,-0.05,-0.04,-0.03,thank-you
1315.0,2449.0,2929.0,3222.0,4095.0,4095.0,4095.0,4095.0,0.22,9.73,-0.04,-0.03,0.02,-0.03,thank-you
1316.0,2448.0,2926.0,3209.0,4095.0,4095.0,4095.0,4095.0,0.28,9.86,0.4,-0.05,-0.05,0.0,thank-you
1317.0,2459.0,2925.0,3200.0,4095.0,4095.0,4095.0,4095.0,1.23,10.13,1.98,-0.15,0.17,-0.09,thank-you
1328.0,2446.0,2931.0,3264.0,4095.0,4095.0,4095.0,4095.0,0.88,9.56,5.32,0.23,0.17,-0.0,thank-you
1189.0,2442.0,2923.0,3102.0,4095.0,4095.0,4095.0,4095.0,2.17,7.69,7.19,1.26,-0.65,-0.36,thank-you
1114.0,2448.0,2928.0,3054.0,4095.0,4095.0,4095.0,4095.0,1.38,6.63,3.08,2.59,-0.37,-0.74,thank-you
1115.0,2442.0,2928.0,3163.0,4095.0,4095.0,4095.0,4095.0,-0.57,5.25,0.95,2.85,-0.37,-0.98,thank-you
1125.0,2426.0,2935.0,3085.0,4095.0,4095.0,4095.0,4095.0,-1.26,2.68,-2.13,3.72,-0.32,-1.17,thank-you
996.0,2429.0,2925.0,3003.0,4095.0,4095.0,4095.0,4095.0,-2.42,2.72,-7.85,4.28,0.77,-0.79,thank-you
1069.0,2426.0,2926.0,2960.0,4095.0,4095.0,4095.0,4095.0,-1.82,1.42,-11.21,3.81,0.38,-0.7,thank-you
1055.0,2434.0,2924.0,3046.0,4095.0,4095.0,4095.0,4095.0,-1.83,1.16,-11.71,3.55,0.94,-0.33,thank-you
1067.0,2439.0,2918.0,3167.0,4095.0,4095.0,4095.0,4095.0,-1.07,0.15,-12.55,2.95,1.15,-0.17,thank-you
1058.0,2434.0,2934.0,3130.0,4095.0,4095.0,4095.0,4095.0,0.24,0.09,-12.46,2.34,0.41,-0.1,thank-you
1058.0,2435.0,2917.0,3045.0,4095.0,4095.0,4095.0,4095.0,-1.02,-0.28,-14.68,1.93,0.09,-0.2,thank-you
1059.0,2437.0,2930.0,3053.0,4095.0,4095.0,4095.0,4095.0,-0.77,-0.24,-15.77,0.99,-0.3,0.13,thank-you
1069.0,2442.0,2931.0,3142.0,4095.0,4095.0,4095.0,4095.0,0.01,-0.26,-15.53,0.42,0.44,0.0,thank-you
1056.0,2435.0,2925.0,3115.0,4095.0,4095.0,4095.0,4095.0,-0.52,-1.04,-15.13,-0.27,0.1,-0.05,thank-you
1052.0,2442.0,2925.0,3104.0,4095.0,4095.0,4095.0,4095.0,-0.35,-1.6,-16.46,-0.98,0.02,0.04,thank-you
1047.0,2436.0,2941.0,3125.0,4095.0,4095.0,4095.0,4095.0,-0.78,-1.41,-18.22,-2.42,0.64,0.06,thank-you
1009.0,2540.0,2911.0,3250.0,4095.0,4095.0,4095.0,4095.0,0.2,9.62,0.49,-0.01,0.08,-0.06,thank-you
1009.0,2538.0,2906.0,3266.0,4095.0,4095.0,4095.0,4095.0,0.47,9.47,0.47,0.04,-0.22,-0.04,thank-you
1008.0,2535.0,2903.0,3248.0,4095.0,4095.0,4095.0,4095.0,0.4,9.87,2.38,0.1,0.24,-0.07,thank-you
1041.0,2510.0,2908.0,3262.0,4095.0,4095.0,4095.0,4095.0,1.62,8.84,5.78,0.56,-0.35,-0.04,thank-you
1040.0,2514.0,2898.0,3273.0,4095.0,4095.0,4095.0,4095.0,1.59,7.64,6.16,1.64,-0.32,-0.43,thank-you
1043.0,2512.0,2901.0,3263.0,4095.0,4095.0,4095.0,4095.0,0.63,5.96,3.65,2.72,-1.09,-0.84,thank-you
1058.0,2495.0,2915.0,3249.0,4095.0,4095.0,4095.0,4095.0,0.01,3.94,0.19,3.98,0.2,-1.04,thank-you
1047.0,2480.0,2914.0,3242.0,4095.0,4095.0,4095.0,4095.0,-1.0,1.36,-1.85,4.37,-0.04,-1.08,thank-you
1175.0,2448.0,2914.0,3090.0,4095.0,4095.0,4095.0,4095.0,-0.25,-2.08,-8.28,5.23,0.52,-1.21,thank-you
1158.0,2469.0,2928.0,3197.0,4095.0,4095.0,4095.0,4095.0,-2.7,-1.73,-11.2,4.42,0.04,-1.19,thank-you
1191.0,2470.0,2926.0,3206.0,4095.0,4095.0,4095.0,4095.0,-2.82,-3.18,-14.2,4.02,-0.31,-1.2,thank-you
1087.0,2477.0,2939.0,3152.0,4095.0,4095.0,4095.0,4095.0,-6.13,-2.12,-20.6,3.3,1.02,-0.78,thank-you
1102.0,2477.0,2947.0,3194.0,4095.0,4095.0,4095.0,4095.0,-3.21,-0.71,-17.93,1.0,-0.05,-0.2,thank-you
1104.0,2480.0,2941.0,3313.0,4095.0,4095.0,4095.0,4095.0,-3.15,0.71,-14.72,0.39,-0.31,-0.13,thank-you
1087.0,2471.0,2949.0,3187.0,4095.0,4095.0,4095.0,4095.0,-3.17,-0.68,-12.32,0.09,0.37,0.03,thank-you
1085.0,2480.0,2943.0,3151.0,4095.0,4095.0,4095.0,4095.0,-2.02,-1.07,-11.29,-0.14,0.05,0.09,thank-you
1086.0,2474.0,2935.0,3121.0,4095.0,4095.0,4095.0,4095.0,-1.34,-1.33,-11.2,-0.26,0.15,0.06,thank-you
1088.0,2480.0,2938.0,3087.0,4095.0,4095.0,4095.0,4095.0,-2.32,-1.12,-14.25,-0.66,-0.04,0.15,thank-you
1085.0,2477.0,2939.0,3089.0,4095.0,4095.0,4095.0,4095.0,-2.94,-0.35,-16.72,-1.46,0.45,0.27,thank-you
1081.0,2469.0,2944.0,3098.0,4095.0,4095.0,4095.0,4095.0,-2.84,-0.57,-17.12,-2.58,0.61,0.37,thank-you
1280.0,2442.0,2927.0,3067.0,4095.0,4095.0,4095.0,4095.0,0.54,9.45,0.5,-0.16,-0.23,-0.03,thank-you
1283.0,2448.0,2933.0,3104.0,4095.0,4095.0,4095.0,4095.0,0.26,9.69,0.69,-0.19,-0.32,-0.03,thank-you
1264.0,2454.0,2928.0,3091.0,4095.0,4095.0,4095.0,4095.0,0.26,9.59,1.39,-0.07,-0.25,-0.02,thank-you
1328.0,2442.0,2919.0,3055.0,4095.0,4095.0,4095.0,4095.0,0.43,9.59,2.59,0.2,-0.04,-0.01,thank-you
2137.0,2377.0,2914.0,2993.0,4095.0,4095.0,4095.0,4095.0,1.96,8.88,7.2,0.43,-0.37,-0.05,thank-you
2331.0,2384.0,2929.0,3056.0,4095.0,4095.0,4095.0,4095.0,3.1,6.64,8.46,2.2,-0.27,-0.5,thank-you
2187.0,2385.0,2924.0,3119.0,4095.0,4095.0,4095.0,4095.0,1.17,4.94,3.57,3.58,-0.09,-0.92,thank-you
1814.0,2363.0,2928.0,3114.0,4095.0,4095.0,4095.0,4095.0,-0.07,2.42,-1.77,4.25,-0.4,-1.05,thank-you
1354.0,2349.0,2921.0,3345.0,4095.0,4095.0,4095.0,4095.0,-1.41,1.06,-5.9,4.56,0.22,-1.27,thank-you
1188.0,2346.0,2937.0,3329.0,4095.0,4095.0,4095.0,4095.0,-1.08,-1.05,-9.83,4.86,1.04,-1.04,thank-you
1090.0,2356.0,2949.0,3260.0,4095.0,4095.0,4095.0,4095.0,-1.08,-1.9,-12.39,3.71,-0.68,-0.88,thank-you
1099.0,2367.0,2933.0,3391.0,4095.0,4095.0,4095.0,4095.0,-3.68,-0.7,-15.79,3.34,-0.17,-1.08,thank-you
1151.0,2375.0,2944.0,3395.0,4095.0,4095.0,4095.0,4095.0,-3.73,-1.16,-16.16,1.94,-0.79,-0.64,thank-you
1143.0,2375.0,2942.0,3146.0,4095.0,4095.0,4095.0,4095.0,-4.71,0.34,-16.22,1.27,-0.05,-0.23,thank-you
1123.0,2383.0,2945.0,3108.0,4095.0,4095.0,4095.0,4095.0,-3.43,0.46,-14.14,0.86,0.7,-0.12,thank-you
1111.0,2384.0,2958.0,3056.0,4095.0,4095.0,4095.0,4095.0,-2.28,-0.12,-12.7,0.16,-0.09,0.06,thank-you
1103.0,2368.0,2924.0,3015.0,4095.0,4095.0,4095.0,4095.0,-2.12,-0.37,-10.92,-0.27,-0.17,0.01,thank-you
