hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3083.0,977.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,-0.53,10.06,3.87,-0.07,-0.03,-0.12,0.0,thank-you
3071.0,989.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,-0.53,9.65,3.9,0.03,-0.19,-0.17,0.0,thank-you
3082.0,991.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,-0.91,9.79,3.9,0.08,-0.2,-0.17,0.0,thank-you
3065.0,977.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,-0.78,10.0,5.31,0.04,0.13,-0.08,0.0,thank-you
3030.0,987.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.72,9.79,7.85,0.95,0.8,0.02,0.0,thank-you
3058.0,977.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,-1.04,7.33,3.85,1.57,2.02,0.93,0.0,thank-you
3069.0,976.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.09,5.49,0.57,2.5,1.99,1.04,0.0,thank-you
3088.0,989.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,1.61,5.13,-6.0,2.19,0.71,0.64,0.0,thank-you
3085.0,979.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,1.26,3.88,-5.49,1.58,0.35,0.25,0.0,thank-you
3071.0,977.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,1.3,3.03,-4.81,1.3,0.18,0.43,0.0,thank-you
3082.0,985.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,2.9,4.57,-7.56,0.35,-0.51,-0.09,0.0,thank-you
3061.0,987.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,1.0,3.1,-4.0,-0.33,0.45,0.08,0.0,thank-you
3068.0,976.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,2.14,4.41,-5.09,0.07,-0.17,-0.2,0.0,thank-you
3059.0,991.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,2.04,4.06,-4.51,-0.1,0.07,-0.04,0.0,thank-you
3071.0,976.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,2.33,4.3,-4.49,-0.08,-0.12,-0.13,0.0,thank-you
3064.0,976.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,2.13,4.16,-4.66,-0.16,0.18,-0.06,0.0,thank-you
3087.0,977.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,2.33,4.41,-4.89,-0.12,-0.08,-0.1,0.0,thank-you
3071.0,976.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,2.64,4.25,-5.04,-0.39,0.27,-0.15,0.0,thank-you
3061.0,978.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,2.5,4.75,-5.25,-0.38,-0.04,-0.17,0.0,thank-you
3082.0,991.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,2.68,4.97,-4.75,-0.44,-0.44,-0.37,0.0,thank-you
2990.0,983.0,2215.0,4095.0,4095.0,4095.0,4095.0,4095.0,-1.87,9.48,1.44,-0.08,0.12,-0.07,0.0,thank-you
2982.0,979.0,2197.0,4095.0,4095.0,4095.0,4095.0,4095.0,-1.89,9.71,1.53,-0.17,-0.05,-0.08,0.0,thank-you
2977.0,967.0,2190.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.13,9.13,1.92,-0.13,-0.2,-0.25,0.0,thank-you
2959.0,972.0,2192.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.2,9.17,2.09,-0.09,-0.18,-0.17,0.0,thank-you
2960.0,972.0,2176.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,9.37,2.36,-0.06,-0.07,-0.09,0.0,thank-you
2945.0,979.0,2192.0,4095.0,4095.0,4095.0,4095.0,4095.0,-1.6,9.95,3.47,0.06,0.17,-0.13,0.0,thank-you
2920.0,967.0,2173.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.35,9.07,5.46,0.67,1.02,0.06,0.0,thank-you
2933.0,966.0,2112.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.42,7.48,3.29,1.46,1.62,0.22,0.0,thank-you
2938.0,967.0,1802.0,4095.0,4095.0,4095.0,4095.0,4095.0,-0.37,6.37,-1.64,2.13,1.9,0.44,0.0,thank-you
2938.0,981.0,1198.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.8,6.12,-5.15,2.01,0.74,0.52,0.0,thank-you
2896.0,987.0,937.0,4095.0,4095.0,4095.0,4095.0,4095.0,3.85,4.9,-5.69,1.36,-0.05,0.68,0.0,thank-you
2899.0,973.0,933.0,4095.0,4095.0,4095.0,4095.0,4095.0,1.94,5.44,-6.2,-0.01,1.42,0.22,0.0,thank-you
2896.0,974.0,915.0,4095.0,4095.0,4095.0,4095.0,4095.0,4.75,5.12,-7.21,0.97,-0.69,-0.23,0.0,thank-you
2903.0,976.0,934.0,4095.0,4095.0,4095.0,4095.0,4095.0,3.79,3.93,-6.24,0.38,-0.56,-0.02,0.0,thank-you
2897.0,976.0,930.0,4095.0,4095.0,4095.0,4095.0,4095.0,2.66,3.62,-4.73,-0.21,0.11,-0.08,0.0,thank-you
2893.0,973.0,927.0,4095.0,4095.0,4095.0,4095.0,4095.0,2.9,3.75,-4.52,-0.16,0.1,-0.07,0.0,thank-you
2893.0,979.0,923.0,4095.0,4095.0,4095.0,4095.0,4095.0,3.28,3.95,-4.15,-0.08,0.05,-0.19,0.0,thank-you
2901.0,974.0,925.0,4095.0,4095.0,4095.0,4095.0,4095.0,3.39,3.91,-4.3,-0.04,0.01,-0.3,0.0,thank-you
2896.0,977.0,925.0,4095.0,4095.0,4095.0,4095.0,4095.0,3.71,4.07,-4.86,-0.18,-0.09,-0.34,0.0,thank-you
2894.0,970.0,930.0,4095.0,4095.0,4095.0,4095.0,4095.0,3.12,4.29,-4.19,-0.25,-0.07,-0.31,0.0,thank-you
2934.0,983.0,1101.0,4095.0,4095.0,4095.0,4095.0,4095.0,-0.92,9.61,2.18,-0.07,0.06,-0.14,0.0,thank-you
2928.0,976.0,1085.0,4095.0,4095.0,4095.0,4095.0,4095.0,-1.0,9.94,2.02,-0.09,-0.03,-0.1,0.0,thank-you
2925.0,981.0,1083.0,4095.0,4095.0,4095.0,4095.0,4095.0,-1.14,9.62,2.23,-0.15,-0.07,-0.22,0.0,thank-you
2914.0,981.0,1082.0,4095.0,4095.0,4095.0,4095.0,4095.0,-1.01,9.69,2.71,-0.1,-0.07,-0.16,0.0,thank-you
2902.0,983.0,1071.0,4095.0,4095.0,4095.0,4095.0,4095.0,-0.89,9.8,2.71,-0.07,-0.09,-0.19,0.0,thank-you
2883.0,972.0,1070.0,4095.0,4095.0,4095.0,4095.0,4095.0,-0.51,9.89,4.51,-0.17,0.17,-0.1,0.0,thank-you
2846.0,978.0,1088.0,4095.0,4095.0,4095.0,4095.0,4095.0,-0.25,10.55,5.68,0.26,0.68,0.23,0.0,thank-you
