hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3306.0,959.0,2084.0,4095.0,4095.0,4095.0,4095.0,4095.0,1.2,9.81,4.34,0.04,0.01,-0.16,0.0,thank-you
3312.0,975.0,2103.0,4095.0,4095.0,4095.0,4095.0,4095.0,1.79,9.12,6.32,0.59,-0.06,-0.12,0.0,thank-you
3303.0,955.0,2112.0,4095.0,4095.0,4095.0,4095.0,4095.0,-0.58,8.88,4.92,1.12,1.09,-0.08,0.0,thank-you
3312.0,957.0,2099.0,4095.0,4095.0,4095.0,4095.0,4095.0,2.5,8.46,1.41,1.46,0.22,0.49,0.0,thank-you
3307.0,946.0,2000.0,4095.0,4095.0,4095.0,4095.0,4095.0,2.71,8.37,-0.55,1.33,0.61,0.4,0.0,thank-you
3312.0,955.0,1874.0,4095.0,4095.0,4095.0,4095.0,4095.0,3.5,7.57,-0.15,1.41,0.34,0.72,0.0,thank-you
3311.0,944.0,1839.0,4095.0,4095.0,4095.0,4095.0,4095.0,4.89,6.61,-2.06,1.21,0.02,0.69,0.0,thank-you
3307.0,951.0,1790.0,4095.0,4095.0,4095.0,4095.0,4095.0,5.26,4.13,-2.61,1.64,0.2,0.54,0.0,thank-you
3312.0,944.0,1599.0,4095.0,4095.0,4095.0,4095.0,4095.0,6.15,2.98,-4.3,1.7,0.23,0.17,0.0,thank-you
3291.0,955.0,1648.0,4095.0,4095.0,4095.0,4095.0,4095.0,5.04,2.33,-3.9,1.33,0.36,0.5,0.0,thank-you
3303.0,947.0,1646.0,4095.0,4095.0,4095.0,4095.0,4095.0,6.72,1.01,-5.57,1.24,-0.12,0.29,0.0,thank-you
3312.0,959.0,1587.0,4095.0,4095.0,4095.0,4095.0,4095.0,6.18,0.12,-3.71,1.12,-0.05,0.45,0.0,thank-you
3303.0,944.0,1603.0,4095.0,4095.0,4095.0,4095.0,4095.0,7.45,-0.53,-8.41,0.16,0.09,-0.11,0.0,thank-you
3293.0,949.0,1561.0,4095.0,4095.0,4095.0,4095.0,4095.0,6.57,0.1,-5.21,-0.97,-0.27,-0.76,0.0,thank-you
3299.0,949.0,1554.0,4095.0,4095.0,4095.0,4095.0,4095.0,5.53,1.04,-3.44,-0.91,0.12,-0.67,0.0,thank-you
3296.0,955.0,1499.0,4095.0,4095.0,4095.0,4095.0,4095.0,4.7,1.86,-2.72,-0.56,0.01,-0.59,0.0,thank-you
3293.0,957.0,1469.0,4095.0,4095.0,4095.0,4095.0,4095.0,5.04,2.24,-3.73,-0.45,-0.11,-0.41,0.0,thank-you
3293.0,939.0,1398.0,4095.0,4095.0,4095.0,4095.0,4095.0,4.45,3.03,-3.23,-0.6,0.14,0.09,0.0,thank-you
3293.0,953.0,1392.0,4095.0,4095.0,4095.0,4095.0,4095.0,5.54,3.44,-2.7,-0.23,-0.03,-0.08,0.0,thank-you
3306.0,959.0,1402.0,4095.0,4095.0,4095.0,4095.0,4095.0,5.35,3.58,-2.76,0.06,-0.06,-0.09,0.0,thank-you
3242.0,960.0,2211.0,4095.0,4095.0,4095.0,4095.0,4095.0,1.8,9.49,5.9,-0.09,-0.03,-0.11,0.0,thank-you
