hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3350.0,1015.0,3093.0,4095.0,4095.0,4095.0,4095.0,4095.0,-3.49,8.69,3.65,-0.09,-0.05,-0.02,1.0,thank-you
3313.0,1006.0,3082.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.49,7.51,5.67,0.29,0.36,0.02,1.0,thank-you
3319.0,977.0,3070.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.27,5.94,5.9,2.02,-0.73,-0.67,1.0,thank-you
3340.0,918.0,3136.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.45,6.51,2.32,2.53,-0.53,-1.38,1.0,thank-you
3393.0,906.0,3202.0,4077.0,4095.0,4095.0,4095.0,4095.0,-4.79,4.51,-2.44,2.7,0.65,-1.75,1.0,thank-you
3447.0,895.0,3310.0,4050.0,4095.0,4095.0,4095.0,4095.0,-7.55,3.51,-8.56,2.63,0.98,-1.15,1.0,thank-you
3485.0,880.0,3383.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.35,2.74,-8.98,1.85,1.66,-0.75,1.0,thank-you
3728.0,879.0,3422.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.02,-0.36,-9.91,1.91,1.57,-0.76,1.0,thank-you
3726.0,880.0,3344.0,4064.0,4095.0,4095.0,4095.0,4095.0,-5.37,-0.54,-12.22,1.29,1.07,-0.53,1.0,thank-you
3685.0,886.0,3461.0,4067.0,4095.0,4095.0,4095.0,4095.0,-5.21,-1.35,-11.58,0.11,0.4,-0.15,1.0,thank-you
3696.0,2498.0,3514.0,4041.0,4095.0,4095.0,4095.0,4095.0,-3.66,-1.08,-8.78,-0.14,0.33,0.0,1.0,thank-you
3639.0,2227.0,3531.0,4048.0,4095.0,4095.0,4095.0,4095.0,-3.32,-1.85,-8.41,-0.04,-0.1,-0.12,1.0,thank-you
3645.0,2145.0,3534.0,4042.0,4095.0,4095.0,4095.0,4095.0,-3.41,-1.73,-8.89,0.04,-0.01,-0.1,1.0,thank-you
3668.0,1969.0,3559.0,4047.0,4095.0,4095.0,4095.0,4095.0,-3.63,-1.75,-8.72,0.01,0.03,-0.09,1.0,thank-you
3655.0,1777.0,3558.0,4047.0,4095.0,4095.0,4095.0,4095.0,-3.52,-1.71,-8.56,-0.03,-0.06,-0.09,1.0,thank-you
3637.0,1744.0,3567.0,4041.0,4095.0,4095.0,4095.0,4095.0,-3.41,-1.83,-8.57,0.05,-0.04,-0.11,1.0,thank-you
3649.0,1698.0,3568.0,4047.0,4095.0,4095.0,4095.0,4095.0,-3.53,-2.0,-8.76,0.03,0.03,-0.13,1.0,thank-you
3644.0,1667.0,3568.0,4051.0,4095.0,4095.0,4095.0,4095.0,-3.72,-1.93,-8.8,-0.07,0.06,-0.03,1.0,thank-you
3610.0,1635.0,3574.0,4045.0,4095.0,4095.0,4095.0,4095.0,-3.7,-1.91,-8.77,-0.02,0.1,-0.02,1.0,thank-you
3632.0,1579.0,3583.0,4048.0,4095.0,4095.0,4095.0,4095.0,-3.62,-2.1,-8.85,-0.05,0.02,-0.03,1.0,thank-you
95.0,4095.0,4095.0,-3.23,8.23,4.11,-0.08,0.11,-0.08,1.0,thank-you
3249.0,1399.0,3254.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,7.76,5.87,1.28,-0.31,-0.37,1.0,thank-you
3285.0,1003.0,3280.0,4095.0,4095.0,4095.0,4095.0,4095.0,-3.33,8.34,1.88,1.72,-0.14,-0.72,1.0,thank-you
3344.0,935.0,3290.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.42,7.54,-0.66,1.54,0.17,-0.64,1.0,thank-you
3607.0,891.0,3263.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.49,7.03,-2.35,1.46,-0.05,-0.89,1.0,thank-you
3889.0,880.0,3334.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.82,6.16,-2.83,1.34,1.08,-0.61,1.0,thank-you
4095.0,879.0,3419.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.46,5.83,-5.41,1.71,0.58,-0.59,1.0,thank-you
3879.0,879.0,3488.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.72,4.67,-6.69,1.26,0.51,-0.33,1.0,thank-you
3663.0,875.0,3504.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.58,3.48,-7.93,1.24,0.41,-0.47,1.0,thank-you
3647.0,871.0,3538.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.25,3.17,-7.76,0.94,0.18,-0.56,1.0,thank-you
3639.0,875.0,3534.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.48,1.81,-7.58,1.1,0.06,-0.6,1.0,thank-you
3655.0,871.0,3567.0,4077.0,4095.0,4095.0,4095.0,4095.0,-5.19,0.53,-9.33,0.92,0.24,-0.51,1.0,thank-you
3647.0,880.0,3634.0,4081.0,4095.0,4095.0,4095.0,4095.0,-5.19,-0.17,-10.0,0.52,0.1,-0.44,1.0,thank-you
3646.0,861.0,3633.0,4075.0,4095.0,4095.0,4095.0,4095.0,-5.1,-0.32,-9.1,0.15,0.03,-0.16,1.0,thank-you
3632.0,874.0,3647.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.85,-0.53,-8.55,-0.05,0.02,-0.06,1.0,thank-you
3610.0,866.0,3653.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.58,-0.6,-8.2,-0.07,0.07,-0.04,1.0,thank-you
3575.0,871.0,3651.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.73,-0.65,-8.42,-0.06,-0.03,-0.06,1.0,thank-you
3568.0,874.0,3665.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.66,-0.53,-8.34,-0.05,0.09,-0.03,1.0,thank-you
3566.0,877.0,3664.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.7,-0.6,-8.38,-0.02,-0.01,-0.08,1.0,thank-you
3533.0,869.0,3681.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.41,-0.65,-8.41,-0.03,-0.01,-0.06,1.0,thank-you
5.0,4095.0,4095.0,-5.79,9.56,-2.16,0.92,0.41,-0.31,1.0,thank-you
3519.0,885.0,3110.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.16,9.88,-1.74,-0.15,-0.54,0.01,1.0,thank-you
3520.0,884.0,3106.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.07,8.89,1.01,-0.71,-0.01,0.2,1.0,thank-you
3505.0,884.0,3116.0,4095.0,4095.0,4095.0,4095.0,4095.0,-3.8,6.78,9.11,0.39,0.08,0.26,1.0,thank-you
3491.0,878.0,3249.0,4095.0,4095.0,4095.0,4095.0,4095.0,-0.49,7.67,1.35,2.01,-0.27,-0.78,1.0,thank-you
3504.0,874.0,3344.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.46,7.49,-2.51,1.61,0.47,-1.19,1.0,thank-you
3520.0,880.0,3424.0,4095.0,4095.0,4095.0,4095.0,4095.0,-6.42,6.4,-4.63,1.49,0.91,-0.69,1.0,thank-you
3520.0,878.0,3512.0,4095.0,4095.0,4095.0,4095.0,4095.0,-6.29,5.59,-6.39,1.19,1.1,-0.39,1.0,thank-you
3521.0,882.0,3563.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.84,4.49,-5.67,1.4,0.71,-0.66,1.0,thank-you
3511.0,881.0,3583.0,4095.0,4095.0,4095.0,4095.0,4095.0,-6.03,3.22,-8.38,1.05,0.61,-0.66,1.0,thank-you
3536.0,880.0,3622.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.92,2.72,-8.6,0.67,0.43,-0.47,1.0,thank-you
3526.0,879.0,3663.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.4,1.59,-7.77,0.66,0.26,-0.47,1.0,thank-you
3516.0,869.0,3700.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.35,0.75,-8.06,0.72,0.08,-0.45,1.0,thank-you
3530.0,877.0,3757.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.04,0.12,-8.15,0.59,0.19,-0.4,1.0,thank-you
3510.0,877.0,3838.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.3,-0.72,-8.6,0.44,0.35,-0.36,1.0,thank-you
3507.0,877.0,3825.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.94,-1.11,-8.66,0.26,0.4,-0.25,1.0,thank-you
3504.0,875.0,3811.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.7,-1.74,-8.19,0.36,0.29,-0.24,1.0,thank-you
3495.0,877.0,3810.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.54,-2.23,-8.45,0.29,0.05,-0.25,1.0,thank-you
3494.0,866.0,3807.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.55,-2.53,-8.65,0.11,0.15,-0.13,1.0,thank-you
3502.0,870.0,3795.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.42,-2.49,-8.66,-0.02,0.01,-0.04,1.0,thank-you
3500.0,885.0,3445.0,4095.0,4095.0,4095.0,4095.0,4095.0,-3.49,9.12,2.32,0.11,-0.08,-0.14,1.0,thank-you
3494.0,896.0,3450.0,4095.0,4095.0,4095.0,4095.0,4095.0,-3.59,8.57,3.16,0.15,-0.01,-0.05,1.0,thank-you
3502.0,886.0,3454.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.71,8.48,3.55,0.59,-0.3,-0.32,1.0,thank-you
3503.0,882.0,3459.0,4095.0,4095.0,4095.0,4095.0,4095.0,-3.61,8.57,2.53,0.94,-0.3,-0.55,1.0,thank-you
3498.0,891.0,3522.0,4095.0,4095.0,4095.0,4095.0,4095.0,-3.61,8.53,1.21,1.08,-0.13,-0.49,1.0,thank-you
3520.0,881.0,3563.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.65,7.8,-0.29,1.17,0.13,-0.54,1.0,thank-you
3515.0,880.0,3617.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.13,7.5,-2.02,1.29,0.46,-0.49,1.0,thank-you
3526.0,877.0,3764.0,4095.0,4095.0,4095.0,4095.0,4095.0,-4.7,6.81,-3.28,1.24,0.35,-0.48,1.0,thank-you
3525.0,871.0,3796.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.05,6.19,-3.55,1.17,0.11,-0.79,1.0,thank-you
3536.0,878.0,3793.0,4095.0,4095.0,4095.0,4095.0,4095.0,-5.99,5.15,-6.33,1.17,0.71,-0.57,1.0,thank-you
