hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
996.0,4095.0,909.0,3424.0,4095.0,4095.0,4095.0,4063.0,-4.77,8.45,1.53,-0.09,0.01,-0.02,1.0,thank-you
995.0,4095.0,912.0,3411.0,4095.0,4095.0,4095.0,4032.0,-5.06,8.45,1.46,-0.1,0.02,-0.03,1.0,thank-you
994.0,4095.0,914.0,3417.0,4095.0,4095.0,4095.0,4081.0,-5.03,8.42,1.7,-0.02,-0.05,-0.07,1.0,thank-you
1236.0,4095.0,912.0,3440.0,4095.0,4095.0,4095.0,4029.0,-2.65,7.58,6.02,0.03,0.14,-0.02,1.0,thank-you
1630.0,4095.0,916.0,3409.0,4095.0,4095.0,4095.0,3971.0,3.78,1.13,7.0,3.2,0.57,-2.02,1.0,thank-you
993.0,4095.0,908.0,3378.0,4095.0,4095.0,4095.0,2704.0,-3.95,-2.88,-3.15,4.46,1.34,-3.66,1.0,thank-you
1000.0,4095.0,909.0,3349.0,4095.0,4095.0,4095.0,2727.0,-10.41,-5.71,-13.6,3.52,1.51,-2.83,1.0,thank-you
1013.0,4095.0,907.0,3376.0,4095.0,4095.0,4095.0,2704.0,-10.69,-4.75,-13.0,1.63,0.33,-1.66,1.0,thank-you
1049.0,4095.0,912.0,3394.0,4095.0,4095.0,4095.0,2608.0,-8.45,-3.36,-8.93,0.2,0.07,-0.15,1.0,thank-you
1227.0,4095.0,912.0,3395.0,4095.0,4095.0,4095.0,2629.0,-6.64,-3.01,-6.31,-0.06,0.05,-0.01,1.0,thank-you
1295.0,4095.0,914.0,3414.0,4095.0,4095.0,4095.0,2699.0,-6.54,-3.22,-6.48,-0.08,-0.01,0.01,1.0,thank-you
1334.0,4095.0,906.0,3415.0,4095.0,4095.0,4095.0,3647.0,-6.33,-3.12,-6.85,-0.13,0.01,0.05,1.0,thank-you
1380.0,4095.0,907.0,3408.0,4095.0,4095.0,4095.0,4007.0,-5.88,-2.89,-6.15,-0.13,0.03,0.06,1.0,thank-you
1397.0,4095.0,909.0,3425.0,4095.0,4095.0,4095.0,4022.0,-6.2,-3.07,-6.58,-0.0,0.02,-0.03,1.0,thank-you
1390.0,4095.0,910.0,3439.0,4095.0,4095.0,4095.0,4013.0,-6.07,-3.12,-6.22,-0.03,-0.04,-0.07,1.0,thank-you
1421.0,4095.0,912.0,3451.0,4095.0,4095.0,4095.0,4048.0,-6.42,-3.2,-6.49,-0.04,-0.06,-0.03,1.0,thank-you
1480.0,4095.0,906.0,3485.0,4095.0,4095.0,4095.0,4048.0,-6.71,-3.06,-7.35,-0.14,-0.15,0.04,1.0,thank-you
1488.0,4095.0,912.0,3483.0,4095.0,4095.0,4095.0,4078.0,-5.81,-2.61,-5.85,-0.2,-0.29,0.05,1.0,thank-you
1489.0,4095.0,912.0,3499.0,4095.0,4095.0,4095.0,4072.0,-6.17,-3.02,-6.0,0.07,0.07,-0.05,1.0,thank-you
1503.0,4095.0,913.0,3491.0,4095.0,4095.0,4095.0,4047.0,-6.43,-2.8,-6.55,-0.04,0.08,-0.03,1.0,thank-you
1872.0,4095.0,912.0,3455.0,4095.0,4095.0,4095.0,4095.0,-7.71,-2.14,-7.15,-0.26,-0.28,0.02,1.0,thank-you
1881.0,4095.0,914.0,3456.0,4095.0,4095.0,4095.0,4095.0,-5.93,-2.69,-6.53,-0.37,-0.07,0.37,1.0,thank-you
1906.0,4095.0,917.0,3475.0,4095.0,4095.0,4095.0,4095.0,-6.41,-3.33,-7.32,-0.22,-0.02,0.2,1.0,thank-you
1663.0,4095.0,917.0,3420.0,4095.0,4095.0,4095.0,3247.0,-15.19,-6.63,-22.22,-2.84,-0.49,1.99,1.0,thank-you
1491.0,4095.0,914.0,3461.0,4095.0,4095.0,4095.0,3605.0,-4.34,-4.7,-6.01,-5.45,-1.66,3.65,1.0,thank-you
1506.0,4095.0,915.0,3529.0,4095.0,4095.0,4095.0,4095.0,3.08,-2.07,8.63,-4.33,-0.81,3.12,1.0,thank-you
994.0,4095.0,910.0,3539.0,4095.0,4095.0,4095.0,4095.0,4.13,0.96,13.3,2.27,-0.4,-1.38,1.0,thank-you
993.0,4095.0,912.0,3489.0,4095.0,4095.0,4095.0,4095.0,-1.88,-2.57,0.17,4.46,1.98,-3.55,1.0,thank-you
1001.0,4095.0,918.0,3473.0,4095.0,4095.0,4095.0,3338.0,-10.91,-7.88,-15.63,4.09,2.39,-3.34,1.0,thank-you
