hall_1_L,hall_2_L,hall_3_L,flex_t_L,flex_i_L,flex_m_L,flex_r_L,flex_p_L,accel_x_L,accel_y_L,accel_z_L,gyro_x_L,gyro_y_L,gyro_z_L,hand,hall_1_R,hall_2_R,hall_3_R,flex_t_R,flex_i_R,flex_m_R,flex_r_R,flex_p_R,accel_x_R,accel_y_R,accel_z_R,gyro_x_R,gyro_y_R,gyro_z_R,hand,sign
3165.0,1929.0,3146.0,4035.0,2257.0,3103.0,3653.0,2765.0,7.38,3.05,7.14,-0.51,-0.43,-1.05,0.0,935.0,2315.0,930.0,3285.0,4095.0,3731.0,4095.0,3353.0,-3.9,0.51,5.71,-0.21,1.46,0.84,1.0,tired
3120.0,1363.0,3519.0,3908.0,2415.0,2944.0,3407.0,2465.0,11.42,1.42,9.63,-1.32,-0.28,-1.1,0.0,911.0,2921.0,896.0,3239.0,4095.0,3422.0,4095.0,1472.0,-12.54,-1.77,4.68,-2.64,0.11,2.11,1.0,tired
3104.0,923.0,3977.0,3346.0,2930.0,2883.0,3234.0,2400.0,9.09,-0.39,10.93,-1.94,0.07,-1.66,0.0,923.0,3527.0,949.0,3190.0,3871.0,3746.0,4095.0,1274.0,-10.07,-0.68,2.04,-3.14,-2.26,2.26,1.0,tired
3150.0,983.0,4095.0,3232.0,2833.0,2864.0,3212.0,2311.0,7.03,0.63,10.54,-1.18,-0.17,-1.83,0.0,935.0,3624.0,2769.0,2935.0,3843.0,3686.0,4095.0,1190.0,-4.97,-0.21,3.02,-1.76,-1.86,2.58,1.0,tired
3173.0,965.0,1984.0,3507.0,3042.0,2967.0,3254.0,2418.0,4.13,-2.08,10.82,-2.7,0.16,0.1,0.0,930.0,3735.0,4095.0,2637.0,4095.0,3871.0,4095.0,1472.0,-1.82,0.37,4.02,-1.54,-1.17,1.13,1.0,tired
3162.0,997.0,2925.0,3501.0,3071.0,2923.0,3247.0,2415.0,8.86,-1.0,9.06,-0.26,-0.68,0.02,0.0,933.0,3920.0,3570.0,2688.0,4095.0,3632.0,4095.0,1386.0,-4.7,-0.27,5.74,0.59,1.02,0.28,1.0,tired
3156.0,1008.0,2943.0,3430.0,3007.0,2799.0,2832.0,2157.0,7.96,2.1,3.79,2.81,-3.18,-2.19,0.0,933.0,3887.0,3459.0,2703.0,4095.0,3782.0,4095.0,1447.0,-3.88,0.72,3.4,1.65,3.47,1.32,1.0,tired
3153.0,1271.0,2163.0,3360.0,2991.0,2823.0,2992.0,2282.0,7.54,5.41,-0.18,2.71,-3.97,-2.57,0.0,941.0,3823.0,3363.0,2679.0,4095.0,3821.0,4095.0,1633.0,-7.96,9.09,-8.36,1.43,3.81,1.08,1.0,tired
3162.0,2975.0,927.0,3313.0,2977.0,2821.0,3056.0,2375.0,8.42,5.17,-2.5,-0.11,-0.4,0.51,0.0,927.0,3793.0,3326.0,2641.0,4095.0,3759.0,4095.0,1269.0,-10.06,5.61,-10.02,0.12,1.05,-0.66,1.0,tired
3183.0,2545.0,933.0,3392.0,2987.0,2801.0,3071.0,2410.0,6.81,4.37,-2.47,0.17,0.09,0.1,0.0,933.0,3815.0,3397.0,2703.0,4095.0,3893.0,4095.0,2342.0,-4.81,4.31,-6.74,0.03,-0.03,-0.13,1.0,tired
3166.0,2447.0,955.0,3414.0,2957.0,2784.0,3063.0,2386.0,6.64,3.6,-2.15,-0.1,0.16,-0.16,0.0,924.0,3794.0,3374.0,2707.0,4095.0,3905.0,4095.0,2415.0,-5.54,4.17,-7.06,0.01,0.03,0.02,1.0,tired
3184.0,2457.0,961.0,3439.0,2990.0,2811.0,3084.0,2411.0,6.57,3.97,-2.45,-0.06,-0.04,-0.11,0.0,933.0,3792.0,3377.0,2717.0,4095.0,3924.0,4095.0,2471.0,-5.3,3.97,-6.93,-0.08,-0.15,-0.02,1.0,tired
3181.0,2458.0,980.0,3444.0,2987.0,2791.0,3088.0,2416.0,6.5,3.87,-2.14,-0.02,0.02,-0.08,0.0,932.0,3792.0,3376.0,2718.0,4095.0,3936.0,4095.0,2497.0,-5.39,3.73,-6.71,-0.03,-0.02,-0.04,1.0,tired
3163.0,2449.0,976.0,3437.0,2983.0,2781.0,3097.0,2422.0,6.84,3.97,-2.64,0.06,-0.06,-0.12,0.0,934.0,3795.0,3373.0,2725.0,4095.0,3941.0,4095.0,2497.0,-5.48,3.81,-6.67,-0.09,0.01,-0.05,1.0,tired
3185.0,2438.0,987.0,3449.0,2986.0,2795.0,3067.0,2433.0,6.65,3.78,-2.18,0.05,0.03,-0.16,0.0,932.0,3789.0,3370.0,2720.0,4095.0,3952.0,4095.0,2515.0,-5.45,4.02,-6.76,-0.09,-0.04,-0.08,1.0,tired
3175.0,2433.0,1097.0,3468.0,2977.0,2774.0,3088.0,2457.0,6.9,3.95,-2.33,0.04,0.05,-0.14,0.0,925.0,3785.0,3355.0,2734.0,4095.0,3940.0,4095.0,2499.0,-5.54,4.02,-6.77,-0.11,-0.03,-0.06,1.0,tired
3174.0,2429.0,1493.0,3459.0,2969.0,2771.0,3120.0,2465.0,6.71,3.87,-2.26,0.03,0.03,-0.2,0.0,944.0,3782.0,3358.0,2739.0,4095.0,3958.0,4095.0,2545.0,-5.56,3.79,-6.85,-0.06,0.03,-0.07,1.0,tired
3191.0,2434.0,1997.0,3472.0,2967.0,2780.0,3095.0,2470.0,6.59,3.96,-2.22,0.01,0.01,-0.17,0.0,938.0,3792.0,3361.0,2743.0,4095.0,3953.0,4095.0,2559.0,-5.64,3.65,-6.78,-0.04,0.03,-0.1,1.0,tired
