sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13
1058.0,3575.0,3136.0,-0.39,0.2,9.65,0.1,0.24,-0.21,4095.0,4095.0,4095.0,4095.0,4095.0
912.0,4095.0,3098.0,-0.37,0.74,10.01,0.48,0.36,-0.17,4095.0,4095.0,4095.0,4095.0,4095.0
1909.0,4095.0,3091.0,-0.47,1.37,8.79,-0.08,-0.54,0.09,3799.0,4095.0,4095.0,4095.0,4095.0
3615.0,4095.0,3055.0,0.23,1.98,8.85,0.16,-0.18,0.01,3822.0,4095.0,4095.0,4095.0,4095.0
895.0,4095.0,3066.0,0.08,1.64,9.87,0.07,-0.08,0.28,3961.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,1.13,2.05,9.91,-0.0,0.16,-0.0,3935.0,4095.0,4095.0,4095.0,4095.0
1391.0,4095.0,3189.0,-0.33,1.53,9.96,-0.03,0.11,0.02,4038.0,4095.0,4095.0,4095.0,4095.0
911.0,4095.0,3099.0,0.08,1.39,9.89,-0.09,0.32,0.03,4095.0,4095.0,4095.0,4095.0,4095.0
914.0,4095.0,3110.0,0.4,1.43,9.08,0.11,0.1,-0.1,4009.0,4095.0,4095.0,4095.0,4095.0
956.0,4095.0,3120.0,0.23,1.76,9.41,-0.31,0.1,0.29,4051.0,4095.0,4095.0,4095.0,4095.0
941.0,4095.0,3123.0,-0.18,1.45,9.29,-0.03,-0.05,-0.17,4095.0,4095.0,4095.0,4085.0,4095.0
934.0,4095.0,3132.0,1.76,1.63,10.33,0.11,-0.73,-0.5,4095.0,4095.0,4095.0,4016.0,4095.0
949.0,4095.0,3139.0,0.38,3.06,8.78,0.57,-0.34,-1.13,4095.0,4095.0,4095.0,3954.0,4095.0
926.0,4095.0,3154.0,-4.3,3.78,6.65,-0.8,1.54,1.89,4095.0,4095.0,4095.0,3920.0,4095.0
905.0,4095.0,3136.0,0.43,0.56,11.24,-0.87,-0.34,0.14,4095.0,4095.0,4095.0,3984.0,4095.0
925.0,4095.0,3134.0,-0.28,1.39,8.85,1.21,0.63,0.08,4095.0,4095.0,4095.0,3971.0,4095.0
925.0,4095.0,3130.0,-0.1,3.2,7.95,0.09,0.1,0.17,4095.0,4095.0,4095.0,4002.0,4095.0
917.0,4095.0,3136.0,0.18,3.8,8.55,0.1,-0.3,0.06,4095.0,4095.0,4095.0,3987.0,4095.0
912.0,4095.0,3125.0,-0.01,4.3,7.92,0.02,-0.26,0.07,4095.0,4095.0,4095.0,3985.0,4095.0
912.0,4095.0,3141.0,-1.01,3.85,8.46,-0.12,0.07,-0.07,4095.0,4095.0,4095.0,3984.0,4095.0
918.0,4095.0,3145.0,-0.9,3.82,8.49,-0.06,0.16,-0.11,4095.0,4095.0,4095.0,4039.0,4095.0
918.0,4095.0,3133.0,-0.41,3.77,8.42,0.05,-0.11,-0.0,4095.0,4095.0,4095.0,3935.0,4095.0
915.0,4095.0,3138.0,-0.1,3.53,10.24,0.02,-0.22,-0.03,4095.0,4095.0,4095.0,3988.0,4095.0
909.0,4095.0,3120.0,-1.04,3.46,7.11,3.31,-0.21,-0.84,4095.0,4095.0,4095.0,4095.0,4095.0
991.0,3767.0,3125.0,-0.85,9.23,-0.27,1.32,-0.03,-0.12,4095.0,4095.0,4095.0,4095.0,4095.0
1489.0,3661.0,3137.0,0.36,9.58,-0.42,-0.14,0.34,-0.01,4095.0,4095.0,4095.0,4095.0,4095.0
1680.0,3922.0,3159.0,0.17,9.53,0.96,-0.16,-0.04,0.11,3120.0,4095.0,4095.0,4095.0,4095.0
19.0,3985.0,3152.0,0.31,9.49,1.25,-0.18,0.03,0.01,2639.0,4095.0,4095.0,4095.0,4095.0
1924.0,4095.0,3148.0,-0.01,9.56,0.85,-0.08,-0.15,-0.1,4095.0,4095.0,4095.0,4095.0,4095.0
1932.0,4095.0,3150.0,-0.03,9.46,1.29,-0.16,0.01,-0.09,2803.0,4095.0,4095.0,4095.0,4095.0
2323.0,4048.0,3147.0,-0.28,9.38,1.84,-0.13,-0.06,-0.03,4095.0,4095.0,4095.0,4095.0,4095.0
1281.0,3455.0,3173.0,-0.43,9.48,1.7,-0.2,-0.05,-0.09,4095.0,3418.0,4095.0,4095.0,4095.0
1021.0,3583.0,3159.0,-0.77,8.84,2.77,-0.07,-0.27,0.04,4095.0,3713.0,4095.0,4095.0,4095.0
2021.0,3442.0,3135.0,-1.31,8.28,4.32,-0.63,-0.04,-0.14,4095.0,4095.0,4095.0,4095.0,4095.0
2481.0,3605.0,3131.0,-1.09,8.24,4.44,-0.03,-0.12,0.01,4095.0,4095.0,4095.0,4095.0,4095.0
1616.0,4095.0,3130.0,-0.72,8.32,4.46,-0.34,-1.05,0.07,4095.0,4095.0,4095.0,4095.0,4095.0
1552.0,4095.0,3167.0,-0.18,6.01,5.03,-1.67,0.88,-0.04,4095.0,4095.0,4095.0,4095.0,4095.0
1451.0,4095.0,3166.0,-2.05,2.49,9.62,-1.64,-0.24,0.82,4095.0,4095.0,4095.0,4095.0,4095.0
1590.0,4095.0,3120.0,0.49,0.22,11.41,-0.33,-0.01,0.91,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,0.98,0.46,8.47,-0.34,-0.57,-0.07,4095.0,4095.0,4095.0,4095.0,4095.0
1003.0,4095.0,3099.0,-0.84,0.36,8.15,0.09,-0.07,-0.17,4095.0,4095.0,4095.0,3953.0,4095.0
907.0,2190.0,3035.0,-0.19,0.93,9.55,0.28,0.06,-0.14,3293.0,3504.0,3530.0,2899.0,4095.0
3623.0,2119.0,2923.0,-1.27,-0.3,8.34,0.05,-0.47,0.29,2839.0,2995.0,3005.0,2242.0,3036.0
1685.0,3311.0,3183.0,0.72,-0.69,10.18,-0.16,-0.43,0.03,4095.0,4095.0,4095.0,4095.0,4095.0
1775.0,3949.0,3127.0,0.19,0.55,10.08,0.42,-0.09,0.29,4095.0,4095.0,4095.0,4095.0,4095.0
983.0,4095.0,2817.0,1.92,0.87,8.86,-0.75,-0.65,0.03,4095.0,4095.0,4095.0,4095.0,4095.0
1589.0,4095.0,3021.0,2.28,1.75,8.46,0.23,0.44,-0.19,4095.0,4095.0,4095.0,4095.0,4095.0
1488.0,4095.0,3065.0,1.94,1.62,8.88,0.03,-0.01,0.15,4095.0,4095.0,4095.0,4095.0,4095.0
1214.0,4095.0,3178.0,1.11,0.88,9.79,0.06,0.13,0.26,4095.0,4095.0,4095.0,4095.0,4095.0
1232.0,4095.0,3383.0,1.62,1.28,9.04,-0.08,-0.11,0.05,4095.0,4095.0,4095.0,4095.0,4095.0
