hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3023.0,2865.0,2513.0,3051.0,4095.0,4095.0,2731.0,3056.0,1.55,8.9,0.35,-0.34,0.47,-0.1,u
3024.0,2861.0,2510.0,3054.0,4095.0,4095.0,2733.0,3063.0,1.5,9.44,0.69,-0.2,0.2,-0.01,u
3025.0,2862.0,2514.0,3049.0,4095.0,4095.0,2722.0,3068.0,1.29,9.61,0.78,-0.25,-0.33,0.15,u
3018.0,2875.0,2551.0,3024.0,4095.0,4095.0,2707.0,3065.0,2.17,8.81,1.62,-0.41,-0.07,-0.2,u
3019.0,2861.0,2559.0,3025.0,4095.0,4095.0,2715.0,3071.0,2.22,9.11,1.83,-0.56,-0.99,0.08,u
3007.0,2864.0,2558.0,2994.0,4095.0,4095.0,2713.0,3059.0,2.51,8.98,2.36,-0.58,-1.5,0.33,u
3004.0,2859.0,2559.0,2928.0,4095.0,4095.0,2711.0,3029.0,4.25,8.97,2.56,-0.36,-1.48,-0.05,u
3014.0,2863.0,2583.0,2928.0,4095.0,4095.0,2721.0,3034.0,3.63,9.38,2.18,0.01,-1.15,-0.14,u
3002.0,2864.0,2559.0,2955.0,4095.0,4095.0,2724.0,3031.0,2.85,9.17,1.56,0.61,-0.49,-0.32,u
2995.0,2859.0,2559.0,2971.0,4095.0,4095.0,2725.0,3024.0,2.23,9.01,0.31,0.79,-0.28,-0.26,u
2990.0,2847.0,2559.0,2966.0,4095.0,4095.0,2715.0,2997.0,2.52,9.4,-0.85,0.69,-0.17,-0.07,u
2970.0,2831.0,2544.0,2965.0,4095.0,4095.0,2704.0,2995.0,2.7,9.5,-1.05,0.28,1.5,-0.59,u
2967.0,2832.0,2543.0,2971.0,4095.0,4095.0,2701.0,3005.0,2.17,9.27,-0.45,0.07,1.9,-0.54,u
2982.0,2832.0,2550.0,2971.0,4095.0,4095.0,2704.0,3017.0,1.57,9.43,-0.34,-0.29,1.1,-0.14,u
2976.0,2833.0,2550.0,2964.0,4095.0,4095.0,2701.0,3015.0,1.43,9.56,0.26,-0.4,1.23,-0.15,u
2973.0,2832.0,2541.0,2963.0,4095.0,4095.0,2698.0,3014.0,1.47,9.53,0.6,-0.51,1.33,-0.57,u
2969.0,2831.0,2546.0,2960.0,4095.0,4095.0,2699.0,3023.0,0.58,9.6,1.37,-0.36,-0.09,-0.23,u
2983.0,2834.0,2541.0,2960.0,4095.0,4095.0,2703.0,3027.0,0.74,9.75,1.84,-0.32,-1.29,0.2,u
2981.0,2833.0,2548.0,2966.0,4095.0,4095.0,2705.0,3035.0,0.04,9.51,1.75,-0.18,-1.41,0.42,u
2965.0,2832.0,2557.0,2967.0,4095.0,4095.0,2703.0,3035.0,1.74,9.17,1.53,-0.42,-2.27,0.84,u
2963.0,2834.0,2544.0,2959.0,4095.0,4095.0,2702.0,3025.0,4.11,8.72,1.47,-0.56,-2.26,0.82,u
2974.0,2833.0,2538.0,2942.0,4095.0,4095.0,2704.0,3045.0,4.12,8.61,1.29,-0.09,-0.63,0.23,u
2958.0,2816.0,2519.0,2909.0,4095.0,4095.0,2710.0,3025.0,4.58,8.37,1.41,-0.03,-0.56,-0.15,u
2926.0,2800.0,2502.0,2880.0,4095.0,4095.0,2676.0,2991.0,4.1,8.69,0.89,0.12,0.07,-0.37,u
2928.0,2794.0,2509.0,2876.0,4095.0,4095.0,2687.0,3002.0,3.43,9.09,0.57,-0.11,0.28,-0.08,u
2937.0,2806.0,2514.0,2864.0,4095.0,4095.0,2694.0,3000.0,4.06,8.56,1.04,-0.68,0.48,-0.01,u
2942.0,2807.0,2518.0,2864.0,4095.0,4095.0,2694.0,2995.0,3.57,7.8,2.68,-0.88,0.43,-0.02,u
2943.0,2799.0,2529.0,2849.0,4095.0,4095.0,2692.0,2995.0,3.39,7.7,4.36,-0.74,0.08,-0.25,u
2942.0,2803.0,2529.0,2834.0,4095.0,4095.0,2695.0,3006.0,2.13,7.37,4.58,-0.66,0.3,-0.32,u
2944.0,2803.0,2538.0,2861.0,4095.0,4095.0,2695.0,3013.0,1.56,8.11,4.8,0.49,1.1,0.02,u
2937.0,2800.0,2537.0,2864.0,4095.0,4095.0,2690.0,3008.0,1.12,8.18,4.37,0.95,0.77,0.41,u
2946.0,2799.0,2535.0,2877.0,4095.0,4095.0,2676.0,2978.0,1.82,8.19,3.11,0.95,-0.54,0.58,u
2950.0,2800.0,2531.0,2883.0,4095.0,4095.0,2674.0,2961.0,3.26,9.06,1.83,0.95,-0.57,0.23,u
2942.0,2807.0,2527.0,2909.0,4095.0,4095.0,2678.0,2950.0,2.87,9.11,0.78,0.8,-0.5,-0.05,u
2940.0,2803.0,2531.0,2929.0,4095.0,4095.0,2672.0,2938.0,2.96,9.35,-0.27,0.58,-0.34,-0.16,u
2945.0,2811.0,2519.0,2943.0,4095.0,4095.0,2668.0,2948.0,2.89,9.96,-0.82,0.12,0.16,-0.63,u
2942.0,2814.0,2534.0,2951.0,4095.0,4095.0,2672.0,2956.0,1.94,10.16,-0.67,0.03,0.39,-1.11,u
2948.0,2804.0,2538.0,2928.0,4095.0,4095.0,2683.0,2969.0,0.18,10.09,-1.31,-0.37,0.48,-0.8,u
2943.0,2806.0,2539.0,2910.0,4095.0,4095.0,2690.0,2965.0,-0.12,8.97,-0.25,-0.56,0.26,-0.06,u
2947.0,2803.0,2539.0,2911.0,4095.0,4095.0,2703.0,2976.0,0.13,9.47,0.45,-0.55,0.13,0.35,u
2940.0,2800.0,2535.0,2803.0,4095.0,4095.0,2703.0,2965.0,1.04,9.74,1.05,-0.27,-0.13,0.49,u
2939.0,2805.0,2530.0,2801.0,4095.0,4095.0,2704.0,2962.0,1.43,9.5,1.18,-0.11,-0.03,0.47,u
2929.0,2801.0,2533.0,2813.0,4095.0,4095.0,2701.0,2956.0,1.58,9.11,1.23,-0.17,-0.05,0.96,u
2933.0,2801.0,2534.0,2839.0,4095.0,4095.0,2699.0,2944.0,2.66,8.86,1.55,-0.01,-0.16,0.48,u
2944.0,2807.0,2533.0,2846.0,4095.0,4095.0,2706.0,2947.0,3.27,8.85,1.45,0.36,-0.22,0.17,u
2939.0,2801.0,2535.0,2864.0,4095.0,4095.0,2702.0,2947.0,3.32,9.56,0.43,0.35,-0.05,-0.04,u
2944.0,2802.0,2525.0,2896.0,4095.0,4095.0,2706.0,2953.0,3.06,9.13,0.22,0.46,-0.13,-0.25,u
2944.0,2803.0,2526.0,2921.0,4095.0,4095.0,2694.0,2951.0,2.63,9.53,-0.26,0.51,-0.33,-0.91,u
2944.0,2803.0,2535.0,2937.0,4095.0,4095.0,2674.0,2950.0,0.88,9.54,-1.13,0.47,0.77,-1.25,u
2935.0,2800.0,2526.0,2942.0,4095.0,4095.0,2677.0,2960.0,0.21,9.61,-1.4,0.05,1.01,-0.69,u
2931.0,2802.0,2529.0,2939.0,4095.0,4095.0,2676.0,2965.0,-0.13,10.17,-1.52,-0.54,1.3,-0.31,u
2940.0,2802.0,2531.0,2928.0,4095.0,4095.0,2690.0,2975.0,0.43,9.98,-0.62,-0.96,0.73,-0.08,u
2931.0,2800.0,2530.0,2923.0,4095.0,4095.0,2690.0,2979.0,-0.34,9.48,0.45,-0.68,0.42,-0.05,u
2941.0,2803.0,2528.0,2915.0,4095.0,4095.0,2697.0,2987.0,-0.24,9.56,0.95,-0.29,-0.81,0.34,u
2943.0,2815.0,2531.0,2928.0,4095.0,4095.0,2704.0,2987.0,0.66,9.76,1.22,-0.2,-1.13,0.51,u
2955.0,2815.0,2554.0,2930.0,4095.0,4095.0,2709.0,2990.0,1.51,9.36,0.98,-0.29,-1.7,0.72,u
2947.0,2817.0,2555.0,2908.0,4095.0,4095.0,2711.0,2985.0,2.53,9.12,0.28,-0.46,-1.96,1.04,u
2937.0,2810.0,2549.0,2896.0,4095.0,4095.0,2704.0,2967.0,4.77,8.67,1.28,-0.32,-0.76,0.55,u
2934.0,2799.0,2550.0,2871.0,4095.0,4095.0,2702.0,2953.0,4.84,8.6,0.58,-0.09,-0.64,0.37,u
2926.0,2799.0,2542.0,2855.0,4095.0,4095.0,2704.0,2949.0,4.55,8.77,0.66,-0.13,-0.09,-0.01,u
2928.0,2795.0,2544.0,2858.0,4095.0,4095.0,2708.0,2951.0,4.89,8.81,1.31,0.36,1.48,-0.73,u
