hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
1109.0,3006.0,3244.0,3341.0,4095.0,4095.0,2741.0,2630.0,0.34,9.77,5.8,0.12,-0.02,-0.13,0.0,u
1097.0,3005.0,3239.0,3331.0,4095.0,4095.0,2737.0,2627.0,0.28,9.84,5.44,0.15,0.01,-0.11,0.0,u
1112.0,2998.0,3237.0,3344.0,4095.0,4095.0,2743.0,2635.0,0.5,9.93,5.07,0.01,0.03,-0.11,0.0,u
1094.0,2992.0,3243.0,3335.0,4095.0,4095.0,2737.0,2630.0,0.38,9.79,5.61,-0.08,-0.01,-0.15,0.0,u
1104.0,3007.0,3248.0,3343.0,4095.0,4095.0,2745.0,2635.0,0.36,9.74,5.91,0.06,-0.08,-0.15,0.0,u
1104.0,2998.0,3230.0,3329.0,4095.0,4095.0,2748.0,2639.0,0.24,9.8,5.71,0.1,-0.08,-0.2,0.0,u
1102.0,3007.0,3247.0,3328.0,4095.0,4095.0,2739.0,2635.0,0.26,9.9,5.24,0.13,-0.04,-0.13,0.0,u
1100.0,2994.0,3232.0,3344.0,4095.0,4095.0,2739.0,2636.0,0.48,9.84,5.35,0.01,-0.03,-0.16,0.0,u
1098.0,2995.0,3238.0,3336.0,4095.0,4095.0,2741.0,2635.0,0.23,9.84,5.47,0.09,-0.07,-0.17,0.0,u
1102.0,2998.0,3235.0,3337.0,4095.0,4095.0,2747.0,2639.0,0.35,9.85,5.17,0.05,-0.07,-0.15,0.0,u
1114.0,3004.0,3233.0,3339.0,4095.0,4095.0,2741.0,2639.0,0.29,9.84,5.18,0.04,-0.04,-0.13,0.0,u
1114.0,3001.0,3237.0,3346.0,4095.0,4095.0,2736.0,2640.0,0.44,9.87,5.14,-0.04,-0.04,-0.13,0.0,u
1109.0,2992.0,3245.0,3339.0,4095.0,4095.0,2733.0,2637.0,0.34,9.82,5.53,-0.07,-0.01,-0.15,0.0,u
1118.0,3018.0,3249.0,3344.0,4095.0,4095.0,2737.0,2642.0,0.37,9.83,5.42,-0.05,-0.01,-0.14,0.0,u
1094.0,2995.0,3231.0,3343.0,4095.0,4095.0,2741.0,2638.0,0.4,9.84,5.43,-0.07,-0.02,-0.14,0.0,u
1113.0,2996.0,3237.0,3351.0,4095.0,4095.0,2738.0,2640.0,0.43,9.81,5.66,-0.09,-0.05,-0.16,0.0,u
1099.0,3003.0,3231.0,3341.0,4095.0,4095.0,2739.0,2639.0,0.39,9.78,5.9,-0.07,-0.02,-0.16,0.0,u
1116.0,3004.0,3242.0,3349.0,4095.0,4095.0,2739.0,2640.0,0.39,9.76,5.95,-0.03,-0.01,-0.16,0.0,u
1109.0,3005.0,3247.0,3351.0,4095.0,4095.0,2737.0,2638.0,0.28,9.75,5.87,-0.0,0.0,-0.17,0.0,u
1103.0,2993.0,3230.0,3344.0,4095.0,4095.0,2738.0,2638.0,0.41,9.85,5.1,-0.02,-0.06,-0.16,0.0,u
1095.0,3003.0,3231.0,3353.0,4095.0,4095.0,2738.0,2641.0,0.32,9.63,6.69,0.01,-0.0,-0.13,0.0,u
1098.0,3009.0,3224.0,3361.0,4095.0,4095.0,2741.0,2640.0,0.23,9.58,6.75,-0.03,0.03,-0.12,0.0,u
1095.0,3005.0,3243.0,3362.0,4095.0,4095.0,2741.0,2654.0,0.57,9.57,6.84,0.0,0.02,-0.11,0.0,u
1086.0,2995.0,3226.0,3356.0,4095.0,4095.0,2735.0,2641.0,0.43,9.62,6.68,0.07,-0.01,-0.13,0.0,u
1100.0,3009.0,3243.0,3365.0,4095.0,4095.0,2746.0,2655.0,0.4,9.65,6.43,0.05,-0.09,-0.1,0.0,u
1085.0,2993.0,3219.0,3347.0,4095.0,4095.0,2736.0,2649.0,0.57,9.61,6.64,-0.0,0.02,-0.08,0.0,u
1093.0,3012.0,3239.0,3359.0,4095.0,4095.0,2744.0,2649.0,0.4,9.59,6.76,0.06,0.03,-0.08,0.0,u
