hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3409.0,2960.0,3627.0,3271.0,4095.0,4095.0,3158.0,3375.0,0.5,9.32,4.09,-0.03,-0.02,-0.08,1.0,u
3422.0,2960.0,3634.0,3264.0,4095.0,4095.0,3156.0,3363.0,0.43,9.46,3.83,-0.04,-0.04,-0.09,1.0,u
3440.0,2970.0,3642.0,3279.0,4095.0,4095.0,3161.0,3375.0,0.1,9.27,4.04,-0.08,-0.01,-0.03,1.0,u
3415.0,2951.0,3604.0,3263.0,4095.0,4095.0,3159.0,3371.0,0.45,9.33,4.06,-0.07,-0.0,-0.03,1.0,u
3434.0,2968.0,3648.0,3265.0,4095.0,4095.0,3171.0,3385.0,0.3,9.3,4.0,-0.02,0.0,-0.09,1.0,u
3422.0,2957.0,3627.0,3267.0,4095.0,4095.0,3165.0,3370.0,0.31,9.32,4.07,0.02,0.04,-0.09,1.0,u
3437.0,2962.0,3631.0,3262.0,4095.0,4095.0,3174.0,3395.0,0.71,9.35,4.22,0.18,-0.13,-0.25,1.0,u
3429.0,2943.0,3607.0,3267.0,4095.0,4095.0,3167.0,3370.0,-0.46,9.38,3.34,0.16,-0.05,-0.3,1.0,u
3427.0,2966.0,3627.0,3263.0,4095.0,4095.0,3175.0,3389.0,-0.75,9.56,3.01,-0.02,-0.0,-0.09,1.0,u
3423.0,2961.0,3628.0,3263.0,4095.0,4095.0,3156.0,3376.0,-0.34,9.49,3.38,-0.08,-0.02,-0.03,1.0,u
3434.0,2982.0,3646.0,3269.0,4095.0,4095.0,3167.0,3391.0,-0.08,9.51,3.53,-0.08,-0.03,0.0,1.0,u
3434.0,2960.0,3632.0,3263.0,4095.0,4095.0,3164.0,3381.0,-0.04,9.56,3.61,-0.04,0.06,-0.02,1.0,u
3444.0,2973.0,3632.0,3274.0,4095.0,4095.0,3165.0,3375.0,-0.23,9.56,3.32,-0.08,0.05,-0.03,1.0,u
3426.0,2976.0,3647.0,3273.0,4095.0,4095.0,3162.0,3387.0,-0.19,9.49,3.52,-0.09,-0.02,-0.03,1.0,u
3429.0,2966.0,3632.0,3266.0,4095.0,4095.0,3165.0,3376.0,-0.08,9.59,3.39,-0.04,0.02,-0.05,1.0,u
3415.0,2966.0,3630.0,3268.0,4095.0,4095.0,3181.0,3392.0,-0.14,9.46,3.59,-0.08,0.01,-0.05,1.0,u
3438.0,2960.0,3632.0,3259.0,4095.0,4095.0,3170.0,3381.0,-0.43,9.51,3.28,-0.05,0.03,-0.01,1.0,u
3424.0,2976.0,3646.0,3271.0,4095.0,4095.0,3168.0,3383.0,-0.18,9.47,3.55,-0.08,0.08,0.01,1.0,u
3421.0,2951.0,3631.0,3253.0,4095.0,4095.0,3169.0,3383.0,0.07,9.55,3.56,-0.06,-0.03,-0.05,1.0,u
3431.0,2960.0,3618.0,3267.0,4095.0,4095.0,3173.0,3402.0,-0.17,9.57,3.36,-0.05,-0.04,-0.06,1.0,u
3433.0,2969.0,3629.0,3264.0,4095.0,4095.0,3183.0,3397.0,-0.1,9.49,3.61,-0.04,-0.06,-0.06,1.0,u
