hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2480.0,3202.0,3300.0,2960.0,4095.0,4095.0,2551.0,3408.0,-0.7,9.59,-0.39,-0.29,0.22,0.05,u
2468.0,3194.0,3280.0,2965.0,4095.0,4095.0,2552.0,3414.0,0.07,9.49,0.67,-0.13,0.32,0.27,u
2477.0,3193.0,3297.0,2970.0,4095.0,4095.0,2549.0,3410.0,0.27,9.95,0.1,-0.28,0.67,0.09,u
2482.0,3187.0,3287.0,2979.0,4095.0,4095.0,2544.0,3415.0,0.69,8.65,0.97,-0.4,0.6,0.43,u
2480.0,3187.0,3291.0,2978.0,4095.0,4095.0,2544.0,3421.0,2.16,10.52,1.48,-0.38,0.47,0.5,u
2478.0,3198.0,3295.0,2993.0,4095.0,4095.0,2549.0,3426.0,2.17,9.55,2.17,-0.35,0.49,0.27,u
2480.0,3191.0,3303.0,3001.0,4095.0,4095.0,2553.0,3427.0,2.55,10.25,2.23,0.1,0.16,0.22,u
2486.0,3189.0,3291.0,2998.0,4095.0,4095.0,2559.0,3429.0,2.24,9.91,1.88,-0.04,0.19,0.01,u
2480.0,3191.0,3290.0,3009.0,4095.0,4095.0,2578.0,3430.0,1.52,9.63,0.9,0.14,0.19,-0.12,u
2501.0,3199.0,3294.0,3047.0,4095.0,4095.0,2559.0,3431.0,1.68,9.09,0.84,0.02,0.02,-0.04,u
2487.0,3202.0,3294.0,3054.0,4095.0,4095.0,2559.0,3437.0,1.98,9.6,0.64,0.16,-0.03,-0.18,u
2507.0,3195.0,3308.0,3058.0,4095.0,4095.0,2559.0,3439.0,1.48,8.79,-0.06,0.2,-0.1,-0.17,u
2514.0,3198.0,3293.0,3058.0,4095.0,4095.0,2588.0,3441.0,1.64,9.92,-0.08,0.16,-0.35,-0.13,u
2510.0,3184.0,3286.0,3061.0,4095.0,4095.0,2609.0,3439.0,1.07,9.06,-0.12,-0.1,-0.13,-0.4,u
2503.0,3199.0,3296.0,3065.0,4095.0,4095.0,2605.0,3439.0,1.47,9.24,0.44,0.07,-0.43,-0.09,u
2512.0,3198.0,3296.0,3064.0,4095.0,4095.0,2608.0,3438.0,1.29,9.07,0.24,0.04,-0.4,-0.13,u
2512.0,3197.0,3294.0,3070.0,4095.0,4095.0,2608.0,3440.0,1.67,9.06,-0.18,0.24,-0.55,-0.05,u
2519.0,3200.0,3286.0,3053.0,4095.0,4095.0,2608.0,3440.0,1.9,10.11,-0.27,-0.09,-0.68,-0.12,u
2579.0,3191.0,3285.0,3050.0,4095.0,4095.0,2621.0,3443.0,0.32,8.89,-0.15,-0.14,-0.36,-0.43,u
2958.0,3197.0,3298.0,3038.0,4095.0,4095.0,2607.0,3442.0,-0.81,9.89,-0.28,-0.48,-0.34,-0.16,u
3827.0,3199.0,3293.0,3043.0,4095.0,4095.0,2612.0,3447.0,-0.34,9.84,1.39,-0.25,-0.07,-0.12,u
3597.0,3206.0,3297.0,3033.0,4095.0,4095.0,2611.0,3455.0,-0.91,10.12,1.52,-0.5,0.37,-0.04,u
3730.0,3200.0,3301.0,3031.0,4095.0,4095.0,2608.0,3450.0,-0.63,9.45,1.4,-0.22,0.19,0.09,u
4095.0,3209.0,3297.0,3024.0,4095.0,4095.0,2603.0,3439.0,0.26,9.92,0.8,-0.64,0.27,-0.05,u
4095.0,3197.0,3305.0,3026.0,4095.0,4095.0,2631.0,3441.0,1.02,9.62,1.87,-0.05,0.1,0.22,u
4095.0,3206.0,3303.0,3037.0,4095.0,4095.0,2625.0,3449.0,0.87,8.9,0.92,-0.55,0.39,0.04,u
4095.0,3207.0,3302.0,3047.0,4095.0,4095.0,2657.0,3455.0,0.12,8.81,0.33,-0.19,0.21,0.18,u
4095.0,3203.0,3302.0,3037.0,4095.0,4095.0,2647.0,3455.0,0.99,9.14,1.41,-0.7,0.15,0.12,u
4095.0,3199.0,3296.0,3026.0,4095.0,4095.0,2639.0,3450.0,0.62,9.33,2.95,-0.46,0.07,0.37,u
4095.0,3202.0,3296.0,3023.0,4095.0,4095.0,2603.0,3458.0,1.45,9.56,3.02,-0.53,0.4,0.04,u
4095.0,3199.0,3311.0,3027.0,4095.0,4095.0,2611.0,3454.0,1.68,9.47,3.54,-0.4,0.18,0.18,u
4095.0,3199.0,3303.0,3029.0,4095.0,4095.0,2612.0,3460.0,1.15,9.01,2.8,-0.19,0.28,0.01,u
4095.0,3191.0,3295.0,3038.0,4095.0,4095.0,2627.0,3472.0,0.63,8.69,2.46,-0.38,0.23,0.05,u
4095.0,3200.0,3296.0,3039.0,4095.0,4095.0,2650.0,3488.0,0.3,9.32,3.44,-0.43,0.33,0.14,u
4095.0,3198.0,3300.0,3025.0,4095.0,4095.0,2837.0,3501.0,0.77,9.23,4.25,-0.14,0.36,0.42,u
4095.0,3200.0,3306.0,3027.0,4095.0,4095.0,2881.0,3503.0,2.41,9.53,4.59,0.16,0.06,0.57,u
