hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2399.0,2995.0,3003.0,3384.0,4095.0,4095.0,2800.0,2266.0,0.4,9.78,5.14,0.03,-0.02,-0.2,0.0,u
2376.0,2994.0,3007.0,3444.0,4095.0,4095.0,2799.0,2263.0,0.06,9.85,5.06,-0.03,-0.08,-0.21,0.0,u
2237.0,3017.0,3005.0,3491.0,4095.0,4095.0,2798.0,2256.0,0.1,9.83,5.18,0.0,-0.01,-0.14,0.0,u
2111.0,3007.0,2997.0,3371.0,4095.0,4095.0,2803.0,2265.0,0.08,9.85,5.2,-0.01,-0.03,-0.16,0.0,u
2009.0,3004.0,3006.0,3379.0,4095.0,4095.0,2807.0,2274.0,0.09,9.85,5.18,0.04,0.0,-0.14,0.0,u
1919.0,2988.0,2998.0,3481.0,4095.0,4095.0,2803.0,2266.0,0.1,9.92,4.97,0.03,-0.02,-0.16,0.0,u
1719.0,2991.0,2998.0,3382.0,4095.0,4095.0,2803.0,2272.0,-0.02,9.84,5.05,0.05,-0.02,-0.17,0.0,u
1597.0,2993.0,2995.0,3337.0,4095.0,4095.0,2807.0,2273.0,-0.04,9.89,4.98,-0.05,0.01,-0.12,0.0,u
1569.0,3002.0,2995.0,3390.0,4095.0,4095.0,2810.0,2282.0,0.38,9.74,5.39,-0.03,0.02,-0.12,0.0,u
1479.0,2994.0,2992.0,3394.0,4095.0,4095.0,2751.0,2288.0,0.07,9.87,5.02,0.04,0.02,-0.14,0.0,u
1403.0,3011.0,2987.0,3402.0,4095.0,4095.0,2814.0,2283.0,0.11,9.83,4.97,0.04,-0.02,-0.16,0.0,u
1294.0,2992.0,2997.0,3395.0,4095.0,4095.0,2825.0,2278.0,0.28,9.96,5.12,-0.02,-0.01,-0.14,0.0,u
1295.0,3005.0,2993.0,3395.0,4095.0,4095.0,2806.0,2274.0,0.2,9.87,5.03,0.03,0.01,-0.15,0.0,u
1296.0,2997.0,2995.0,3407.0,4095.0,4095.0,2830.0,2276.0,0.24,9.8,5.01,0.01,-0.0,-0.14,0.0,u
1282.0,2992.0,3006.0,3395.0,4095.0,4095.0,2827.0,2272.0,0.26,9.87,5.02,0.01,-0.01,-0.12,0.0,u
1199.0,3009.0,2994.0,3442.0,4095.0,4095.0,2820.0,2283.0,0.25,9.8,5.18,0.02,-0.01,-0.14,0.0,u
1191.0,2991.0,2989.0,3423.0,4095.0,4095.0,2829.0,2288.0,0.34,9.88,5.03,0.02,-0.02,-0.11,0.0,u
1147.0,2992.0,3003.0,3465.0,4095.0,4095.0,2815.0,2279.0,0.25,9.94,5.04,0.0,-0.01,-0.13,0.0,u
1069.0,2992.0,2992.0,3507.0,4095.0,4095.0,2827.0,2285.0,0.29,9.92,4.96,-0.05,-0.02,-0.12,0.0,u
1047.0,2998.0,2994.0,3527.0,4095.0,4095.0,2824.0,2288.0,0.37,9.81,5.14,0.05,0.01,-0.14,0.0,u
1061.0,2997.0,3006.0,3527.0,4095.0,4095.0,2831.0,2290.0,0.28,9.93,4.95,-0.02,-0.02,-0.14,0.0,u
1062.0,3005.0,2995.0,3522.0,4095.0,4095.0,2827.0,2297.0,0.34,9.8,5.06,0.01,0.01,-0.12,0.0,u
1059.0,2992.0,3008.0,3523.0,4095.0,4095.0,2843.0,2289.0,0.49,9.81,5.15,-0.01,-0.05,-0.12,0.0,u
1067.0,2996.0,2999.0,3525.0,4095.0,4095.0,2832.0,2286.0,0.29,9.92,5.07,0.02,-0.05,-0.14,0.0,u
1070.0,2998.0,2997.0,3523.0,4095.0,4095.0,2850.0,2297.0,0.32,9.9,5.08,0.04,-0.05,-0.15,0.0,u
1070.0,3010.0,3002.0,3521.0,4095.0,4095.0,2833.0,2298.0,0.36,9.89,5.06,0.03,0.01,-0.16,0.0,u
1060.0,3007.0,3001.0,3531.0,4095.0,4095.0,2835.0,2297.0,0.37,9.84,4.89,0.02,0.02,-0.16,0.0,u
1072.0,2985.0,3010.0,3526.0,4095.0,4095.0,2835.0,2293.0,0.31,9.83,5.06,0.02,0.01,-0.14,0.0,u
1078.0,2992.0,2995.0,3531.0,4095.0,4095.0,2846.0,2293.0,0.39,9.95,5.06,0.03,0.02,-0.14,0.0,u
