hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3071.0,2986.0,1051.0,3968.0,4095.0,4095.0,3229.0,2690.0,-2.04,9.49,6.28,0.06,-0.07,-0.15,0.0,u
3036.0,2990.0,1060.0,3994.0,4095.0,4095.0,3235.0,2689.0,-2.01,9.21,6.17,-0.07,-0.02,-0.08,0.0,u
3038.0,2982.0,1063.0,3979.0,4095.0,4095.0,3233.0,2688.0,-1.64,9.06,6.66,0.44,-0.03,-0.4,0.0,u
3031.0,2974.0,1066.0,3966.0,4095.0,4095.0,3220.0,2683.0,-1.68,9.1,5.17,-0.13,-0.06,-0.08,0.0,u
3023.0,2983.0,1054.0,3980.0,4095.0,4095.0,3233.0,2690.0,-1.44,9.52,5.84,-0.16,0.02,-0.22,0.0,u
3005.0,2980.0,1069.0,3984.0,4095.0,4095.0,3225.0,2679.0,-2.38,9.43,5.47,-0.07,-0.08,-0.26,0.0,u
2987.0,2978.0,1065.0,3946.0,4095.0,4095.0,3217.0,2687.0,-2.59,9.45,5.77,0.13,-0.27,-0.37,0.0,u
2980.0,2989.0,1074.0,3953.0,4095.0,4095.0,3223.0,2687.0,-2.61,9.38,5.6,-0.14,-0.01,-0.19,0.0,u
2992.0,2986.0,1063.0,3947.0,4095.0,4095.0,3216.0,2690.0,-3.34,9.77,5.51,-0.14,-0.21,-0.12,0.0,u
2965.0,2983.0,1070.0,3947.0,4095.0,4095.0,3212.0,2690.0,-3.04,9.3,5.72,-0.14,0.04,0.02,0.0,u
2975.0,2988.0,1069.0,3943.0,4095.0,4095.0,3216.0,2687.0,-2.21,9.02,6.04,0.07,-0.07,-0.05,0.0,u
2992.0,2997.0,1061.0,3917.0,4095.0,4095.0,3228.0,2672.0,-2.08,9.38,5.88,-0.22,0.05,-0.07,0.0,u
2987.0,2986.0,1062.0,3920.0,4095.0,4095.0,3225.0,2686.0,-2.16,9.3,6.17,0.09,0.0,-0.1,0.0,u
2982.0,2979.0,1070.0,3915.0,4095.0,4095.0,3235.0,2691.0,-2.22,9.07,6.22,0.22,-0.04,-0.16,0.0,u
2981.0,2977.0,1059.0,3919.0,4095.0,4095.0,3225.0,2689.0,-2.22,9.43,5.69,-0.12,0.06,-0.03,0.0,u
2990.0,2992.0,1055.0,3925.0,4095.0,4095.0,3233.0,2689.0,-1.64,9.54,5.97,-0.03,0.01,-0.08,0.0,u
2995.0,2976.0,1067.0,3929.0,4095.0,4095.0,3244.0,2698.0,-2.03,9.64,5.96,-0.05,0.06,-0.12,0.0,u
2982.0,2986.0,1071.0,3888.0,4095.0,4095.0,3255.0,2686.0,-2.0,9.58,6.0,0.04,-0.07,-0.2,0.0,u
2967.0,2975.0,1062.0,3927.0,4095.0,4095.0,3247.0,2674.0,-2.04,9.53,6.09,0.05,-0.1,-0.26,0.0,u
2960.0,2976.0,1061.0,3931.0,4095.0,4095.0,3246.0,2682.0,-2.01,9.27,6.1,0.02,0.01,-0.19,0.0,u
2955.0,2986.0,1055.0,3942.0,4095.0,4095.0,3249.0,2689.0,-1.96,9.45,5.93,0.09,-0.08,-0.31,0.0,u
2959.0,2975.0,1057.0,3952.0,4095.0,4095.0,3248.0,2686.0,-2.74,9.51,6.11,-0.14,-0.02,-0.29,0.0,u
2960.0,2991.0,1058.0,3959.0,4095.0,4095.0,3253.0,2695.0,-2.65,9.11,6.05,-0.04,0.01,-0.17,0.0,u
2944.0,2988.0,1055.0,3961.0,4095.0,4095.0,3238.0,2704.0,-2.97,9.19,5.98,0.08,-0.13,-0.04,0.0,u
2937.0,2986.0,1070.0,3956.0,4095.0,4095.0,3233.0,2706.0,-2.62,9.37,6.51,-0.11,0.07,-0.09,0.0,u
2925.0,2986.0,1055.0,3955.0,4095.0,4095.0,3230.0,2703.0,-2.37,9.28,5.93,0.01,-0.09,-0.06,0.0,u
2931.0,2987.0,1059.0,3963.0,4095.0,4095.0,3223.0,2679.0,-1.96,9.45,6.19,0.04,-0.04,-0.07,0.0,u
2909.0,2973.0,1070.0,3960.0,4095.0,4095.0,3216.0,2675.0,-1.78,9.59,6.32,0.12,0.04,0.14,0.0,u
2907.0,2986.0,1063.0,3967.0,4095.0,4095.0,3201.0,2672.0,-2.3,9.33,5.85,0.02,-0.14,-0.07,0.0,u
2902.0,2983.0,1058.0,3967.0,4095.0,4095.0,3200.0,2678.0,-1.8,9.59,6.34,-0.01,0.0,-0.03,0.0,u
2895.0,2967.0,1066.0,3981.0,4095.0,4095.0,3214.0,2686.0,-1.67,9.47,6.05,0.03,0.07,-0.13,0.0,u
2893.0,2974.0,1059.0,3966.0,4095.0,4095.0,3205.0,2700.0,-1.79,9.57,5.94,-0.04,0.07,-0.09,0.0,u
2903.0,2987.0,1043.0,3984.0,4095.0,4095.0,3213.0,2709.0,-1.47,9.67,6.18,0.01,-0.05,-0.14,0.0,u
2891.0,2989.0,1052.0,3973.0,4095.0,4095.0,3217.0,2715.0,-1.36,9.61,6.37,-0.01,-0.03,-0.19,0.0,u
2896.0,2987.0,1057.0,3971.0,4095.0,4095.0,3218.0,2715.0,-1.4,9.52,5.95,0.01,-0.02,-0.26,0.0,u
2886.0,2975.0,1049.0,3955.0,4095.0,4095.0,3214.0,2714.0,-2.09,9.29,6.32,0.02,-0.04,-0.31,0.0,u
2880.0,2976.0,1054.0,3958.0,4095.0,4095.0,3216.0,2714.0,-1.87,9.42,6.05,-0.11,0.04,-0.24,0.0,u
2879.0,2979.0,1057.0,3963.0,4095.0,4095.0,3222.0,2721.0,-1.99,9.3,6.34,-0.06,0.01,-0.26,0.0,u
2877.0,2991.0,1055.0,3967.0,4095.0,4095.0,3223.0,2726.0,-2.27,9.45,6.19,-0.04,-0.08,-0.21,0.0,u
2871.0,2985.0,1064.0,3961.0,4095.0,4095.0,3220.0,2719.0,-2.16,9.27,6.41,-0.05,-0.05,-0.19,0.0,u
2865.0,2994.0,1053.0,3979.0,4095.0,4095.0,3222.0,2716.0,-2.23,9.21,6.51,-0.09,-0.01,-0.2,0.0,u
2867.0,2981.0,1054.0,3979.0,4095.0,4095.0,3216.0,2720.0,-1.91,9.17,6.76,-0.1,-0.17,-0.15,0.0,u
2866.0,2982.0,1055.0,3969.0,4095.0,4095.0,3218.0,2718.0,-2.2,9.32,6.68,-0.08,-0.03,-0.13,0.0,u
2866.0,2991.0,1056.0,3981.0,4095.0,4095.0,3216.0,2718.0,-2.54,9.26,6.54,0.03,-0.0,-0.14,0.0,u
2873.0,2977.0,1063.0,3972.0,4095.0,4095.0,3200.0,2716.0,-2.4,9.26,6.44,-0.0,-0.1,-0.1,0.0,u
2867.0,2992.0,1068.0,3959.0,4095.0,4095.0,3183.0,2717.0,-2.35,9.33,6.72,0.05,-0.1,-0.04,0.0,u
2877.0,2988.0,1069.0,3971.0,4095.0,4095.0,3189.0,2719.0,-1.86,9.41,6.78,0.01,0.01,-0.09,0.0,u
2869.0,2991.0,1063.0,3980.0,4095.0,4095.0,3197.0,2723.0,-1.69,9.45,6.66,0.05,0.03,-0.13,0.0,u
2878.0,2986.0,1062.0,3956.0,4095.0,4095.0,3198.0,2725.0,-2.03,9.29,6.6,0.06,0.02,-0.13,0.0,u
2877.0,2985.0,1070.0,3952.0,4095.0,4095.0,3194.0,2723.0,-2.0,9.36,6.65,0.05,0.06,-0.14,0.0,u
2876.0,2990.0,1072.0,3953.0,4095.0,4095.0,3199.0,2724.0,-1.64,9.45,6.69,0.0,0.03,-0.15,0.0,u
2878.0,2981.0,1066.0,3965.0,4095.0,4095.0,3200.0,2721.0,-2.01,9.23,6.56,0.03,0.03,-0.16,0.0,u
2883.0,2979.0,1060.0,3975.0,4095.0,4095.0,3214.0,2721.0,-2.1,9.35,6.85,-0.0,0.05,-0.12,0.0,u
2865.0,2991.0,1050.0,3963.0,4095.0,4095.0,3215.0,2722.0,-2.31,9.26,6.76,-0.01,0.03,-0.02,0.0,u
2865.0,2992.0,1071.0,3953.0,4095.0,4095.0,3205.0,2720.0,-0.77,9.59,6.66,0.07,-0.05,0.11,0.0,u
2867.0,2975.0,1060.0,3962.0,4095.0,4095.0,3206.0,2721.0,-1.25,9.66,6.27,0.03,-0.05,-0.14,0.0,u
2865.0,2978.0,1055.0,3959.0,4095.0,4095.0,3206.0,2719.0,-1.56,9.52,6.88,-0.14,0.23,-0.1,0.0,u
2870.0,2993.0,1061.0,3978.0,4095.0,4095.0,3205.0,2723.0,-1.52,9.39,6.78,0.17,-0.16,-0.12,0.0,u
2865.0,2983.0,1072.0,3972.0,4095.0,4095.0,3209.0,2727.0,-1.53,9.23,6.45,0.22,-0.34,0.01,0.0,u
2864.0,2978.0,1078.0,3978.0,4095.0,4095.0,3213.0,2718.0,-0.25,10.01,6.11,0.0,-0.12,-0.04,0.0,u
2853.0,2989.0,1072.0,3964.0,4095.0,4095.0,3207.0,2725.0,-1.01,9.88,6.39,-0.09,0.19,-0.04,0.0,u
2866.0,2991.0,1088.0,3975.0,4095.0,4095.0,3211.0,2720.0,-0.8,9.67,6.88,-0.02,-0.07,-0.2,0.0,u
2864.0,2986.0,1075.0,3973.0,4095.0,4095.0,3214.0,2723.0,-0.9,9.74,6.56,0.07,0.02,-0.28,0.0,u
2877.0,2984.0,1088.0,3967.0,4095.0,4095.0,3216.0,2725.0,-1.66,9.83,5.94,0.13,-0.04,-0.26,0.0,u
2865.0,2983.0,1073.0,3966.0,4095.0,4095.0,3214.0,2721.0,-1.27,9.59,6.39,-0.15,0.18,-0.27,0.0,u
2873.0,2990.0,1088.0,3968.0,4095.0,4095.0,3214.0,2726.0,-1.42,9.56,6.36,0.02,-0.06,-0.23,0.0,u
2877.0,2992.0,1082.0,3973.0,4095.0,4095.0,3214.0,2726.0,-1.7,9.64,6.24,0.15,-0.16,-0.24,0.0,u
2864.0,2990.0,1073.0,3973.0,4095.0,4095.0,3216.0,2726.0,-1.63,9.55,6.5,-0.11,0.01,-0.27,0.0,u
2864.0,2989.0,1083.0,3977.0,4095.0,4095.0,3209.0,2725.0,-1.74,9.39,6.5,-0.12,-0.05,-0.24,0.0,u
2862.0,2974.0,1086.0,3969.0,4095.0,4095.0,3201.0,2722.0,-1.92,9.5,7.07,-0.14,0.15,-0.24,0.0,u
2850.0,2990.0,1085.0,3961.0,4095.0,4095.0,3203.0,2715.0,-1.73,9.34,6.75,-0.08,-0.08,-0.23,0.0,u
2843.0,2978.0,1085.0,3979.0,4095.0,4095.0,3211.0,2719.0,-1.78,9.14,7.17,-0.17,-0.08,-0.23,0.0,u
2849.0,2992.0,1089.0,3965.0,4095.0,4095.0,3210.0,2719.0,-1.87,9.24,7.64,-0.02,-0.08,-0.2,0.0,u
2839.0,2989.0,1089.0,3988.0,4095.0,4095.0,3215.0,2721.0,-2.0,9.1,7.58,-0.03,0.07,-0.14,0.0,u
2842.0,2989.0,1089.0,4004.0,4095.0,4095.0,3213.0,2721.0,-1.92,9.17,7.47,0.09,0.07,-0.12,0.0,u
2842.0,2976.0,1086.0,3996.0,4095.0,4095.0,3214.0,2715.0,-1.92,9.24,7.17,0.06,0.05,-0.14,0.0,u
2846.0,2991.0,1088.0,4002.0,4095.0,4095.0,3215.0,2721.0,-1.71,9.27,6.65,0.07,-0.21,-0.07,0.0,u
