hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
919.0,2983.0,3745.0,3366.0,4095.0,4095.0,3291.0,3379.0,0.14,9.31,3.76,-0.05,0.01,-0.05,1.0,u
924.0,2974.0,3760.0,3366.0,4095.0,4095.0,3291.0,3394.0,-0.12,9.46,3.52,-0.08,0.02,-0.1,1.0,u
927.0,2987.0,3765.0,3376.0,4095.0,4095.0,3280.0,3387.0,-0.21,9.48,3.39,-0.06,0.03,-0.13,1.0,u
922.0,2985.0,3759.0,3376.0,4095.0,4095.0,3281.0,3387.0,-0.7,9.56,3.38,-0.1,0.06,-0.1,1.0,u
922.0,2988.0,3760.0,3376.0,4095.0,4095.0,3293.0,3394.0,-0.84,9.38,3.56,-0.14,0.07,-0.05,1.0,u
916.0,2992.0,3769.0,3378.0,4095.0,4095.0,3293.0,3387.0,-0.64,9.48,3.54,-0.15,0.06,0.02,1.0,u
929.0,2978.0,3762.0,3376.0,4095.0,4095.0,3298.0,3394.0,-0.41,9.36,3.69,-0.15,0.06,0.02,1.0,u
927.0,2982.0,3757.0,3376.0,4095.0,4095.0,3287.0,3391.0,0.1,9.25,3.79,-0.04,0.07,-0.05,1.0,u
929.0,2990.0,3760.0,3375.0,4095.0,4095.0,3287.0,3395.0,-0.67,9.21,2.86,-0.13,0.26,-0.13,1.0,u
916.0,2991.0,3766.0,3383.0,4095.0,4095.0,3294.0,3395.0,-1.58,9.71,2.07,-0.26,0.3,-0.13,1.0,u
921.0,2982.0,3770.0,3387.0,4095.0,4095.0,3289.0,3397.0,-1.69,9.56,2.7,-0.54,0.36,0.05,1.0,u
929.0,2977.0,3760.0,3378.0,4095.0,4095.0,3291.0,3401.0,-0.7,9.11,5.03,-0.36,-0.25,0.07,1.0,u
918.0,2983.0,3760.0,3387.0,4095.0,4095.0,3298.0,3397.0,-0.87,8.88,5.38,-0.26,0.14,0.02,1.0,u
927.0,2991.0,3758.0,3378.0,4095.0,4095.0,3299.0,3403.0,-1.74,8.6,5.2,-0.25,0.46,0.27,1.0,u
915.0,2987.0,3771.0,3389.0,4095.0,4095.0,3291.0,3397.0,-1.14,8.65,5.16,-0.23,0.15,0.4,1.0,u
927.0,2985.0,3767.0,3381.0,4095.0,4095.0,3293.0,3393.0,-0.23,8.67,5.46,-0.15,0.14,0.47,1.0,u
921.0,2982.0,3760.0,3389.0,4095.0,4095.0,3295.0,3404.0,0.43,8.87,5.64,0.06,0.09,0.4,1.0,u
921.0,2975.0,3760.0,3385.0,4095.0,4095.0,3291.0,3397.0,1.13,9.28,5.16,0.23,0.03,0.25,1.0,u
927.0,2983.0,3754.0,3376.0,4095.0,4095.0,3295.0,3399.0,0.75,9.35,4.1,0.24,-0.01,0.14,1.0,u
922.0,2988.0,3763.0,3376.0,4095.0,4095.0,3299.0,3406.0,0.42,9.08,4.08,0.15,-0.19,0.04,1.0,u
919.0,2991.0,3764.0,3379.0,4095.0,4095.0,3298.0,3403.0,0.72,9.07,4.07,0.22,-0.24,-0.03,1.0,u
923.0,2986.0,3767.0,3357.0,4095.0,4095.0,3298.0,3405.0,0.4,9.19,4.03,0.21,-0.12,-0.08,1.0,u
927.0,2989.0,3763.0,3312.0,4095.0,4095.0,3287.0,3395.0,0.32,9.09,4.06,0.31,-0.11,-0.13,1.0,u
949.0,2980.0,3760.0,3185.0,4095.0,4095.0,3270.0,3383.0,0.03,9.09,3.57,0.88,0.17,-0.1,1.0,u
951.0,2992.0,3750.0,3059.0,4095.0,4095.0,3270.0,3347.0,0.94,9.91,2.28,0.72,-0.09,-0.22,1.0,u
954.0,2992.0,3761.0,3037.0,4095.0,4095.0,3274.0,3355.0,1.27,10.07,2.76,0.31,-0.41,-0.47,1.0,u
944.0,2992.0,3760.0,3051.0,4095.0,4095.0,3273.0,3349.0,0.37,10.16,1.84,0.2,-0.09,-0.51,1.0,u
944.0,2982.0,3763.0,3084.0,4095.0,4095.0,3287.0,3362.0,-0.66,9.5,1.5,0.27,-0.22,-0.54,1.0,u
945.0,2976.0,3753.0,3084.0,4095.0,4095.0,3283.0,3355.0,-1.18,10.03,1.83,0.21,-0.32,-0.43,1.0,u
950.0,2992.0,3760.0,3129.0,4095.0,4095.0,3286.0,3362.0,-1.57,9.73,2.43,0.04,-0.35,-0.26,1.0,u
959.0,2987.0,3761.0,3157.0,4095.0,4095.0,3284.0,3365.0,-1.58,9.75,2.83,0.5,-0.54,-0.12,1.0,u
944.0,2984.0,3753.0,3162.0,4095.0,4095.0,3280.0,3363.0,-0.85,10.17,1.26,0.38,-0.15,0.04,1.0,u
949.0,2986.0,3759.0,3161.0,4095.0,4095.0,3291.0,3376.0,-0.35,10.39,-0.17,0.33,0.16,0.05,1.0,u
948.0,2979.0,3760.0,3170.0,4095.0,4095.0,3290.0,3369.0,0.46,10.17,0.15,-0.01,-0.21,-0.05,1.0,u
945.0,2988.0,3760.0,3173.0,4095.0,4095.0,3298.0,3376.0,-0.08,10.23,-0.35,-0.28,0.02,-0.16,1.0,u
944.0,2987.0,3757.0,3177.0,4095.0,4095.0,3291.0,3367.0,0.42,10.28,-1.22,-0.61,0.22,-0.29,1.0,u
937.0,2982.0,3749.0,3177.0,4095.0,4095.0,3293.0,3376.0,-0.15,9.54,0.35,-1.19,0.06,-0.4,1.0,u
943.0,2989.0,3753.0,3184.0,4095.0,4095.0,3299.0,3379.0,-0.85,8.97,2.74,-1.26,-0.15,-0.5,1.0,u
941.0,2980.0,3754.0,3187.0,4095.0,4095.0,3297.0,3381.0,-1.84,8.95,4.79,-0.98,0.01,-0.38,1.0,u
944.0,2994.0,3760.0,3200.0,4095.0,4095.0,3297.0,3386.0,-2.35,8.99,4.81,-0.6,0.16,-0.35,1.0,u
941.0,2986.0,3747.0,3206.0,4095.0,4095.0,3294.0,3378.0,-2.32,9.14,4.38,-0.42,0.08,-0.29,1.0,u
945.0,2986.0,3754.0,3203.0,4095.0,4095.0,3302.0,3387.0,-2.07,9.11,4.26,-0.27,0.14,-0.12,1.0,u
945.0,2983.0,3751.0,3210.0,4095.0,4095.0,3292.0,3378.0,-1.91,9.03,4.3,-0.28,0.01,-0.1,1.0,u
