hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2975.0,2991.0,2943.0,3457.0,4095.0,4095.0,3009.0,2558.0,0.33,9.48,7.27,0.06,-0.02,-0.15,0.0,v
2986.0,2992.0,2959.0,3470.0,4095.0,4095.0,3017.0,2559.0,0.31,9.44,7.15,0.04,0.02,-0.15,0.0,v
2987.0,2993.0,2947.0,3455.0,4095.0,4095.0,3003.0,2559.0,0.39,9.48,7.24,-0.03,0.08,-0.15,0.0,v
2981.0,2995.0,2955.0,3456.0,4095.0,4095.0,3013.0,2558.0,0.28,9.31,7.45,0.02,-0.01,-0.2,0.0,v
2992.0,3003.0,2959.0,3466.0,4095.0,4095.0,3023.0,2559.0,0.01,9.45,7.3,0.03,-0.1,-0.16,0.0,v
2992.0,2992.0,2938.0,3460.0,4095.0,4095.0,3015.0,2559.0,0.37,9.37,7.35,0.0,-0.05,-0.1,0.0,v
2992.0,2999.0,2944.0,3458.0,4095.0,4095.0,3024.0,2559.0,0.37,9.41,7.31,0.03,-0.04,-0.05,0.0,v
2975.0,2994.0,2947.0,3465.0,4095.0,4095.0,3009.0,2559.0,0.45,9.34,7.61,0.05,0.06,-0.01,0.0,v
2991.0,2993.0,2958.0,3472.0,4095.0,4095.0,3023.0,2559.0,0.62,9.55,7.09,0.08,0.05,-0.02,0.0,v
2978.0,2986.0,2945.0,3470.0,4095.0,4095.0,3009.0,2558.0,0.91,9.53,6.9,0.04,-0.0,-0.08,0.0,v
2992.0,2999.0,2944.0,3470.0,4095.0,4095.0,3021.0,2559.0,0.68,9.36,7.37,-0.03,0.0,-0.13,0.0,v
2975.0,3002.0,2944.0,3462.0,4095.0,4095.0,3011.0,2559.0,0.95,9.53,6.85,0.09,-0.07,-0.08,0.0,v
2987.0,2989.0,2960.0,3475.0,4095.0,4095.0,3019.0,2559.0,0.74,9.56,7.05,0.0,-0.12,-0.16,0.0,v
2979.0,2991.0,2942.0,3470.0,4095.0,4095.0,3008.0,2559.0,0.77,9.46,7.07,0.02,0.03,-0.1,0.0,v
2988.0,3004.0,2950.0,3486.0,4095.0,4095.0,3011.0,2559.0,0.83,9.52,7.02,0.02,0.03,-0.05,0.0,v
2991.0,3004.0,2943.0,3476.0,4095.0,4095.0,3018.0,2559.0,1.01,9.36,7.33,0.06,0.08,-0.06,0.0,v
2988.0,2990.0,2942.0,3471.0,4095.0,4095.0,3009.0,2559.0,1.21,9.52,6.97,0.08,0.01,-0.09,0.0,v
2978.0,3007.0,2962.0,3472.0,4095.0,4095.0,3012.0,2559.0,1.04,9.62,6.5,-0.0,0.06,-0.14,0.0,v
2977.0,2992.0,2950.0,3479.0,4095.0,4095.0,3002.0,2559.0,1.2,9.45,7.08,-0.04,-0.02,-0.13,0.0,v
2988.0,3004.0,2958.0,3489.0,4095.0,4095.0,3009.0,2559.0,1.1,9.5,7.06,-0.04,0.01,-0.12,0.0,v
2960.0,2981.0,2943.0,3472.0,4095.0,4095.0,3005.0,2559.0,0.9,9.29,7.45,-0.01,0.02,-0.16,0.0,v
2973.0,2995.0,2958.0,3487.0,4095.0,4095.0,3010.0,2586.0,0.93,9.27,7.65,-0.02,-0.1,-0.19,0.0,v
2962.0,2994.0,2960.0,3483.0,4095.0,4095.0,2994.0,2559.0,0.75,9.38,7.54,0.04,-0.07,-0.12,0.0,v
2983.0,3007.0,2959.0,3490.0,4095.0,4095.0,3007.0,2559.0,0.77,9.48,7.39,0.06,-0.02,-0.09,0.0,v
2961.0,2991.0,2949.0,3479.0,4095.0,4095.0,2999.0,2581.0,1.15,9.22,7.37,0.02,0.2,-0.1,0.0,v
2965.0,3004.0,2955.0,3475.0,4095.0,4095.0,3011.0,2591.0,0.81,9.43,7.51,0.02,0.05,-0.15,0.0,v
2965.0,2987.0,2943.0,3472.0,4095.0,4095.0,3007.0,2579.0,1.12,9.45,7.24,0.07,-0.04,-0.13,0.0,v
2970.0,2994.0,2958.0,3489.0,4095.0,4095.0,3008.0,2583.0,1.11,9.33,7.25,0.01,-0.08,-0.15,0.0,v
2960.0,2987.0,2938.0,3483.0,4095.0,4095.0,3008.0,2579.0,0.9,9.36,7.51,0.01,-0.06,-0.16,0.0,v
2962.0,3008.0,2950.0,3504.0,4095.0,4095.0,3003.0,2559.0,0.85,9.53,7.19,0.04,0.05,-0.15,0.0,v
2975.0,3008.0,2955.0,3495.0,4095.0,4095.0,3010.0,2586.0,1.34,9.31,7.26,-0.01,-0.0,-0.15,0.0,v
2960.0,2993.0,2943.0,3479.0,4095.0,4095.0,3007.0,2587.0,0.9,9.39,7.68,0.05,-0.06,-0.22,0.0,v
2960.0,2992.0,2947.0,3485.0,4095.0,4095.0,3013.0,2592.0,0.76,9.46,7.21,0.08,-0.05,-0.16,0.0,v
2955.0,2992.0,2955.0,3499.0,4095.0,4095.0,3010.0,2584.0,1.04,9.24,7.98,0.11,0.32,-0.05,0.0,v
2970.0,3002.0,2944.0,3494.0,4095.0,4095.0,3011.0,2590.0,1.01,9.45,6.94,0.25,-0.01,-0.15,0.0,v
2959.0,2999.0,2955.0,3489.0,4095.0,4095.0,3006.0,2587.0,1.0,9.5,6.73,0.13,-0.03,-0.18,0.0,v
2953.0,2999.0,2961.0,3499.0,4095.0,4095.0,3008.0,2591.0,0.81,9.61,6.73,0.1,0.04,-0.16,0.0,v
2951.0,2994.0,2959.0,3491.0,4095.0,4095.0,3007.0,2590.0,0.91,9.6,6.13,-0.03,0.02,-0.16,0.0,v
2959.0,2995.0,2959.0,3494.0,4095.0,4095.0,3010.0,2596.0,0.75,9.54,7.59,-0.06,0.02,-0.19,0.0,v
2962.0,2999.0,2943.0,3490.0,4095.0,4095.0,3009.0,2589.0,0.85,9.7,6.93,0.09,-0.09,-0.13,0.0,v
2944.0,2995.0,2940.0,3495.0,4095.0,4095.0,3003.0,2583.0,0.12,9.55,6.47,-0.02,-0.05,-0.26,0.0,v
2963.0,2992.0,2959.0,3502.0,4095.0,4095.0,3018.0,2597.0,-0.13,9.58,6.88,-0.05,0.0,-0.25,0.0,v
2949.0,2994.0,2957.0,3495.0,4095.0,4095.0,3001.0,2591.0,-0.21,9.47,7.23,0.05,0.02,-0.14,0.0,v
2948.0,3005.0,2950.0,3503.0,4095.0,4095.0,3009.0,2604.0,0.17,9.67,6.66,0.08,-0.01,-0.09,0.0,v
2941.0,2992.0,2943.0,3494.0,4095.0,4095.0,3007.0,2596.0,0.44,9.61,6.56,0.07,-0.07,-0.17,0.0,v
2943.0,2991.0,2957.0,3489.0,4095.0,4095.0,3006.0,2593.0,0.13,9.58,6.73,0.04,-0.11,-0.23,0.0,v
2951.0,2998.0,2964.0,3506.0,4095.0,4095.0,3008.0,2603.0,-0.0,9.58,6.73,0.04,-0.15,-0.33,0.0,v
2954.0,2991.0,2944.0,3490.0,4095.0,4095.0,3013.0,2596.0,-0.26,9.6,6.4,0.01,-0.08,-0.31,0.0,v
2955.0,3006.0,2960.0,3504.0,4095.0,4095.0,3007.0,2603.0,-0.18,9.69,6.58,0.03,-0.07,-0.24,0.0,v
2960.0,2991.0,2954.0,3489.0,4095.0,4095.0,3005.0,2593.0,-0.3,9.49,6.88,0.05,-0.13,-0.3,0.0,v
2958.0,2999.0,2950.0,3499.0,4095.0,4095.0,3012.0,2594.0,-0.4,9.74,5.89,0.18,-0.25,-0.38,0.0,v
2973.0,2990.0,2949.0,3481.0,4095.0,4095.0,2995.0,2586.0,-1.6,9.0,7.81,0.06,-0.04,-0.31,0.0,v
2997.0,3003.0,2949.0,3479.0,4095.0,4095.0,2985.0,2559.0,-0.98,9.59,6.08,0.06,0.16,-0.13,0.0,v
2978.0,2992.0,2944.0,3477.0,4095.0,4095.0,2979.0,2559.0,-0.52,9.52,6.25,-0.07,0.09,-0.08,0.0,v
2987.0,2999.0,2947.0,3492.0,4095.0,4095.0,2989.0,2559.0,-0.59,9.65,6.58,-0.08,-0.07,-0.18,0.0,v
