hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2855.0,2944.0,3543.0,3024.0,4095.0,4095.0,3147.0,3369.0,0.24,9.34,3.94,-0.11,0.0,-0.07,1.0,v
2861.0,2947.0,3547.0,3024.0,4095.0,4095.0,3151.0,3392.0,-0.5,9.14,4.05,0.06,-0.0,-0.15,1.0,v
2845.0,2963.0,3549.0,3043.0,4095.0,4095.0,3149.0,3380.0,-0.21,9.44,3.59,-0.04,0.05,0.0,1.0,v
2855.0,2954.0,3543.0,3051.0,4095.0,4095.0,3134.0,3370.0,0.1,9.51,3.73,-0.12,-0.05,-0.04,1.0,v
2861.0,2962.0,3543.0,3053.0,4095.0,4095.0,3149.0,3376.0,0.1,9.28,4.19,-0.14,-0.03,-0.04,1.0,v
2855.0,2962.0,3537.0,3045.0,4095.0,4095.0,3138.0,3363.0,0.4,9.33,4.3,0.07,-0.18,-0.16,1.0,v
2850.0,2956.0,3546.0,3055.0,4095.0,4095.0,3149.0,3382.0,-0.27,9.45,3.59,0.06,0.02,-0.07,1.0,v
2854.0,2966.0,3543.0,3046.0,4095.0,4095.0,3135.0,3379.0,-0.05,9.59,3.38,-0.01,0.08,0.04,1.0,v
2861.0,2951.0,3547.0,3056.0,4095.0,4095.0,3152.0,3383.0,-0.02,9.52,3.6,-0.13,0.06,0.04,1.0,v
2852.0,2957.0,3545.0,3056.0,4095.0,4095.0,3143.0,3373.0,-0.04,9.31,3.9,-0.14,0.04,0.06,1.0,v
2854.0,2957.0,3547.0,3058.0,4095.0,4095.0,3154.0,3371.0,0.12,9.38,3.9,-0.05,-0.0,-0.08,1.0,v
2857.0,2952.0,3549.0,3055.0,4095.0,4095.0,3147.0,3377.0,0.19,9.41,3.81,-0.07,-0.03,-0.06,1.0,v
2864.0,2961.0,3561.0,3060.0,4095.0,4095.0,3152.0,3382.0,0.06,9.48,3.59,-0.14,-0.03,-0.25,1.0,v
2864.0,2974.0,3536.0,3059.0,4095.0,4095.0,3148.0,3391.0,-0.64,9.37,3.8,-0.03,0.13,-0.07,1.0,v
2853.0,2965.0,3547.0,3055.0,4095.0,4095.0,3152.0,3386.0,-0.24,9.19,4.12,-0.09,0.09,0.05,1.0,v
2870.0,2964.0,3534.0,3050.0,4095.0,4095.0,3157.0,3394.0,-0.38,9.36,3.8,-0.02,0.04,-0.01,1.0,v
2859.0,2979.0,3509.0,3042.0,4095.0,4095.0,3157.0,3401.0,-0.36,9.54,3.43,-0.03,-0.0,0.04,1.0,v
2857.0,2969.0,3529.0,3050.0,4095.0,4095.0,3166.0,3407.0,0.15,9.41,3.94,-0.11,0.04,0.04,1.0,v
2847.0,2961.0,3508.0,3049.0,4095.0,4095.0,3152.0,3392.0,-0.04,9.41,3.8,-0.04,0.02,-0.02,1.0,v
2848.0,2955.0,3536.0,3056.0,4095.0,4095.0,3159.0,3402.0,-0.06,9.43,3.7,-0.08,0.0,-0.03,1.0,v
2851.0,2960.0,3507.0,3035.0,4095.0,4095.0,3169.0,3457.0,-0.2,9.45,3.62,-0.02,-0.02,-0.04,1.0,v
2843.0,2961.0,3499.0,3034.0,4095.0,4095.0,3164.0,3446.0,0.36,9.47,3.78,-0.1,0.01,0.0,1.0,v
2849.0,2957.0,3502.0,3035.0,4095.0,4095.0,3157.0,3455.0,-0.07,9.55,3.48,-0.02,0.05,-0.04,1.0,v
2831.0,2951.0,3503.0,3034.0,4095.0,4095.0,3162.0,3456.0,-0.06,9.41,3.66,-0.1,-0.1,-0.04,1.0,v
2838.0,2964.0,3520.0,3045.0,4095.0,4095.0,3168.0,3455.0,0.11,9.4,3.91,-0.06,0.05,-0.02,1.0,v
2832.0,2963.0,3495.0,3026.0,4095.0,4095.0,3168.0,3452.0,0.01,9.47,3.64,-0.03,-0.0,-0.02,1.0,v
2827.0,2964.0,3504.0,3035.0,4095.0,4095.0,3164.0,3459.0,0.05,9.48,3.65,-0.1,0.01,-0.01,1.0,v
2832.0,2973.0,3497.0,3024.0,4095.0,4095.0,3165.0,3446.0,0.29,9.33,4.11,-0.04,-0.03,-0.08,1.0,v
2832.0,2966.0,3508.0,3038.0,4095.0,4095.0,3178.0,3469.0,-0.12,9.54,3.34,-0.03,-0.01,-0.02,1.0,v
2822.0,2956.0,3503.0,3023.0,4095.0,4095.0,3161.0,3456.0,0.09,9.41,3.71,-0.11,0.06,0.02,1.0,v
2833.0,2962.0,3521.0,3024.0,4095.0,4095.0,3166.0,3461.0,0.0,9.34,3.97,-0.04,0.07,-0.03,1.0,v
2832.0,2960.0,3498.0,3010.0,4095.0,4095.0,3164.0,3458.0,0.12,9.43,3.75,-0.02,-0.03,-0.08,1.0,v
2834.0,2967.0,3502.0,2993.0,4095.0,4095.0,3165.0,3470.0,0.09,9.46,3.63,-0.08,-0.01,-0.03,1.0,v
2832.0,2963.0,3509.0,3009.0,4095.0,4095.0,3170.0,3490.0,0.04,9.4,3.74,-0.05,0.03,-0.02,1.0,v
2818.0,2961.0,3504.0,2992.0,4095.0,4095.0,3162.0,3472.0,-0.0,9.45,3.64,-0.01,-0.04,-0.06,1.0,v
2830.0,2977.0,3510.0,2993.0,4095.0,4095.0,3171.0,3475.0,-0.01,9.47,3.54,-0.01,0.06,-0.02,1.0,v
2825.0,2960.0,3490.0,2996.0,4095.0,4095.0,3167.0,3477.0,0.18,9.46,3.73,-0.09,-0.02,-0.03,1.0,v
2834.0,2963.0,3503.0,3015.0,4095.0,4095.0,3171.0,3479.0,0.16,9.37,3.91,-0.06,0.03,-0.02,1.0,v
2832.0,2956.0,3487.0,3007.0,4095.0,4095.0,3178.0,3481.0,-0.04,9.5,3.41,-0.03,0.01,-0.02,1.0,v
2823.0,2972.0,3535.0,3020.0,4095.0,4095.0,3170.0,3471.0,0.06,9.45,3.66,-0.06,0.05,-0.01,1.0,v
2830.0,2986.0,3536.0,3029.0,4095.0,4095.0,3199.0,3535.0,-0.9,9.05,4.52,-0.28,0.23,0.21,1.0,v
2831.0,2973.0,3514.0,3029.0,4095.0,4095.0,3190.0,3516.0,-0.7,8.87,4.87,-0.27,-0.03,0.11,1.0,v
2835.0,2969.0,3519.0,3030.0,4095.0,4095.0,3210.0,3537.0,-0.73,8.62,5.74,-0.04,-0.21,-0.04,1.0,v
