hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2962.0,2960.0,3056.0,2832.0,4095.0,4095.0,2453.0,3717.0,-0.8,9.48,1.29,-0.02,0.02,-0.01,v
2957.0,2960.0,3058.0,2838.0,4095.0,4095.0,2450.0,3712.0,-0.71,9.44,1.43,-0.02,-0.01,0.02,v
2961.0,2954.0,3063.0,2838.0,4095.0,4095.0,2455.0,3721.0,-0.62,9.46,1.13,-0.0,0.04,-0.03,v
2963.0,2960.0,3057.0,2838.0,4095.0,4095.0,2451.0,3708.0,-0.71,9.41,1.24,0.0,-0.04,-0.06,v
2960.0,2947.0,3050.0,2843.0,4095.0,4095.0,2462.0,3703.0,-1.05,9.26,1.5,-0.07,-0.02,-0.0,v
2959.0,2946.0,3052.0,2841.0,4095.0,4095.0,2470.0,3712.0,-0.77,9.79,1.51,-0.04,-0.0,0.03,v
2960.0,2946.0,3056.0,2842.0,4095.0,4095.0,2471.0,3714.0,-0.64,9.33,1.31,0.03,0.06,-0.01,v
2960.0,2959.0,3053.0,2842.0,4095.0,4095.0,2476.0,3728.0,-0.7,9.57,1.21,-0.05,0.29,-0.06,v
2955.0,2956.0,3056.0,2828.0,4095.0,4095.0,2473.0,3722.0,-0.56,9.55,1.25,0.04,-0.17,0.14,v
2960.0,2960.0,3055.0,2829.0,4095.0,4095.0,2481.0,3714.0,-0.57,8.99,1.21,-0.04,-0.0,-0.04,v
2956.0,2954.0,3046.0,2815.0,4095.0,4095.0,2476.0,3712.0,-0.83,9.97,1.13,-0.17,-0.12,-0.07,v
2963.0,2947.0,3050.0,2815.0,4095.0,4095.0,2465.0,3710.0,-0.85,9.07,2.0,0.16,-0.12,0.07,v
2962.0,2951.0,3051.0,2807.0,4095.0,4095.0,2477.0,3711.0,-0.89,9.78,1.25,-0.03,0.06,0.0,v
2958.0,2951.0,3055.0,2808.0,4095.0,4095.0,2494.0,3699.0,-0.47,9.41,1.28,0.13,-0.18,0.15,v
2966.0,2955.0,3053.0,2802.0,4095.0,4095.0,2470.0,3707.0,-0.51,8.92,1.24,-0.11,0.08,0.02,v
2957.0,2965.0,3050.0,2799.0,4095.0,4095.0,2474.0,3699.0,-0.44,9.9,1.08,0.08,-0.03,0.09,v
2953.0,2947.0,3056.0,2791.0,4095.0,4095.0,2480.0,3703.0,-0.55,8.97,1.35,0.05,-0.03,0.04,v
2963.0,2957.0,3054.0,2794.0,4095.0,4095.0,2484.0,3707.0,-0.34,10.0,0.96,0.01,-0.06,0.03,v
2958.0,2951.0,3056.0,2800.0,4095.0,4095.0,2491.0,3715.0,-0.26,9.23,1.14,-0.01,-0.07,0.04,v
2955.0,2960.0,3056.0,2801.0,4095.0,4095.0,2480.0,3711.0,-0.36,9.43,1.04,-0.08,0.04,-0.05,v
2954.0,2953.0,3056.0,2795.0,4095.0,4095.0,2490.0,3708.0,-0.31,9.77,1.07,0.03,0.07,-0.04,v
2964.0,2957.0,3049.0,2788.0,4095.0,4095.0,2480.0,3712.0,-0.75,9.29,1.09,0.04,0.0,0.0,v
2959.0,2954.0,3056.0,2795.0,4095.0,4095.0,2481.0,3696.0,-0.41,9.53,0.98,-0.09,0.01,-0.02,v
2959.0,2959.0,3055.0,2798.0,4095.0,4095.0,2480.0,3698.0,-0.4,9.67,1.1,-0.01,0.02,-0.03,v
2954.0,2955.0,3059.0,2797.0,4095.0,4095.0,2485.0,3709.0,-0.42,9.38,1.47,-0.04,-0.01,-0.05,v
2960.0,2958.0,3056.0,2800.0,4095.0,4095.0,2489.0,3710.0,-0.63,9.55,1.19,0.01,0.03,-0.05,v
2960.0,2957.0,3049.0,2795.0,4095.0,4095.0,2486.0,3701.0,-0.61,9.56,1.12,0.1,-0.1,0.02,v
2955.0,2953.0,3056.0,2795.0,4095.0,4095.0,2486.0,3695.0,-0.69,9.49,0.8,-0.02,0.03,-0.08,v
2957.0,2949.0,3067.0,2800.0,4095.0,4095.0,2483.0,3701.0,-0.56,9.65,0.68,0.01,-0.05,-0.0,v
2958.0,2960.0,3052.0,2785.0,4095.0,4095.0,2480.0,3702.0,-0.47,9.27,1.1,-0.04,-0.04,-0.03,v
2960.0,2954.0,3051.0,2793.0,4095.0,4095.0,2480.0,3706.0,-0.51,9.67,0.96,-0.09,0.03,-0.05,v
2961.0,2961.0,3056.0,2798.0,4095.0,4095.0,2480.0,3697.0,-0.58,9.34,1.08,0.0,0.01,-0.02,v
2957.0,2951.0,3054.0,2791.0,4095.0,4095.0,2484.0,3699.0,-0.64,9.67,1.0,-0.06,0.01,-0.03,v
2957.0,2950.0,3059.0,2791.0,4095.0,4095.0,2485.0,3699.0,-0.65,9.5,0.98,0.0,-0.01,-0.01,v
2956.0,2951.0,3051.0,2802.0,4095.0,4095.0,2491.0,3706.0,-0.74,9.3,0.89,-0.11,0.02,-0.0,v
2955.0,2958.0,3054.0,2800.0,4095.0,4095.0,2483.0,3710.0,-0.28,9.75,1.19,-0.01,-0.01,0.01,v
2958.0,2951.0,3067.0,2800.0,4095.0,4095.0,2487.0,3713.0,-0.41,9.29,1.27,-0.06,-0.03,-0.02,v
2963.0,2963.0,3050.0,2805.0,4095.0,4095.0,2481.0,3696.0,-0.56,9.65,1.0,-0.03,0.01,-0.04,v
2956.0,2949.0,3056.0,2807.0,4095.0,4095.0,2488.0,3709.0,-0.58,9.38,1.15,0.03,-0.0,-0.02,v
2960.0,2960.0,3059.0,2814.0,4095.0,4095.0,2484.0,3699.0,-0.64,9.65,0.94,-0.05,-0.03,-0.02,v
2949.0,2953.0,3056.0,2801.0,4095.0,4095.0,2482.0,3710.0,-0.52,9.59,0.95,0.07,0.01,-0.01,v
2962.0,2955.0,3056.0,2805.0,4095.0,4095.0,2490.0,3701.0,-0.68,9.39,0.81,-0.12,0.0,-0.01,v
2963.0,2954.0,3062.0,2805.0,4095.0,4095.0,2480.0,3701.0,-0.6,9.74,1.07,0.02,-0.05,0.04,v
