hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3159.0,2834.0,2928.0,2861.0,4095.0,4095.0,2219.0,3311.0,4.23,9.1,3.45,-0.96,1.1,0.74,v
3165.0,2833.0,2937.0,2880.0,4095.0,4095.0,2223.0,3333.0,4.13,8.15,4.2,-0.55,1.32,0.1,v
3139.0,2830.0,2928.0,2873.0,4095.0,4095.0,2225.0,3323.0,2.14,8.69,4.31,-0.41,1.06,-0.11,v
3140.0,2832.0,2928.0,2878.0,4095.0,4095.0,2219.0,3314.0,2.05,8.83,4.3,0.03,0.21,-0.02,v
3146.0,2834.0,2933.0,2884.0,4095.0,4095.0,2225.0,3321.0,1.98,10.0,4.68,0.13,0.11,-0.63,v
3149.0,2986.0,3090.0,2890.0,4095.0,4095.0,2368.0,3423.0,1.69,8.87,4.83,0.56,-0.13,-0.69,v
3155.0,3097.0,3184.0,2891.0,4095.0,4095.0,2487.0,3474.0,0.4,9.01,3.36,0.93,-0.26,-1.31,v
3200.0,3122.0,3223.0,2906.0,4095.0,4095.0,2544.0,3459.0,-0.39,8.18,2.07,0.81,-1.11,-0.2,v
3222.0,2999.0,3106.0,2922.0,4095.0,4095.0,2388.0,3311.0,1.47,8.91,2.18,0.74,-0.81,-0.23,v
3219.0,2954.0,3057.0,2925.0,4095.0,4095.0,2334.0,3233.0,1.58,9.5,1.7,0.5,-1.01,-0.2,v
3229.0,2972.0,3070.0,2931.0,4095.0,4095.0,2347.0,3249.0,0.01,8.83,1.34,0.35,-0.48,-0.43,v
3231.0,2922.0,3024.0,2928.0,4095.0,4095.0,2282.0,3183.0,0.22,9.84,1.45,0.03,-0.6,-0.44,v
3229.0,3122.0,3205.0,2880.0,4095.0,4095.0,2455.0,3262.0,1.95,9.55,1.83,0.37,0.04,-2.6,v
3201.0,3100.0,3190.0,2816.0,4095.0,4095.0,2476.0,3215.0,-3.19,9.57,1.18,1.01,-0.73,-2.32,v
3158.0,3083.0,3169.0,2841.0,4095.0,4095.0,2512.0,3231.0,-4.92,7.95,0.51,0.2,-0.19,-1.85,v
3189.0,3070.0,3166.0,2864.0,4095.0,4095.0,2482.0,3227.0,-4.89,7.44,1.31,1.21,-0.72,0.87,v
3199.0,3082.0,3171.0,2880.0,4095.0,4095.0,2468.0,3230.0,-1.3,8.77,0.64,1.29,-0.9,1.59,v
3250.0,3144.0,3247.0,2907.0,4095.0,4095.0,2535.0,3281.0,-1.23,10.51,-1.23,0.81,-0.32,0.36,v
3265.0,3157.0,3259.0,2923.0,4095.0,4095.0,2555.0,3284.0,-1.74,9.37,-0.82,0.54,-0.24,0.09,v
3262.0,3148.0,3237.0,2949.0,4095.0,4095.0,2802.0,3275.0,-1.19,9.84,-2.3,-0.53,-0.19,0.33,v
3249.0,3189.0,3280.0,2965.0,4095.0,4095.0,2631.0,3308.0,-0.54,8.81,-1.94,0.0,-0.45,0.05,v
3260.0,3167.0,3267.0,2973.0,4095.0,4095.0,3199.0,3248.0,0.86,9.13,-2.78,-1.0,-0.32,-0.71,v
3255.0,3178.0,3281.0,2960.0,4095.0,4095.0,2521.0,3250.0,-2.26,8.44,-1.2,-1.15,-0.38,-1.11,v
3235.0,3148.0,3236.0,2955.0,4095.0,4095.0,2476.0,3200.0,-3.9,9.27,0.14,-1.17,-0.08,-0.87,v
3216.0,3130.0,3216.0,2924.0,4095.0,4095.0,2483.0,3179.0,-4.75,9.33,2.76,-0.36,-0.09,-0.62,v
3184.0,3104.0,3195.0,2887.0,4095.0,4095.0,2718.0,3209.0,-3.55,9.68,2.8,-1.17,0.16,-0.59,v
3198.0,3111.0,3207.0,2891.0,4095.0,4095.0,2513.0,3343.0,-5.1,8.27,2.95,-0.05,0.01,0.29,v
3211.0,3104.0,3202.0,2878.0,4095.0,4095.0,2554.0,3386.0,-3.1,9.11,1.35,-0.34,0.65,1.25,v
3210.0,3143.0,3237.0,2855.0,4095.0,4095.0,2635.0,3429.0,-2.36,8.18,2.26,-0.62,0.95,1.55,v
3178.0,2994.0,3089.0,2774.0,4095.0,4095.0,2655.0,3309.0,-1.82,8.35,3.0,-0.35,0.56,1.72,v
3143.0,3071.0,3159.0,2758.0,4095.0,4095.0,2886.0,3429.0,0.01,11.17,1.93,-0.3,0.78,1.9,v
3162.0,2947.0,3040.0,2816.0,4095.0,4095.0,2654.0,3340.0,2.08,8.71,3.0,-0.55,0.68,0.23,v
3153.0,2910.0,3003.0,2843.0,4095.0,4095.0,2614.0,3315.0,-1.23,9.67,2.83,0.07,0.57,0.39,v
3149.0,3125.0,3221.0,2843.0,4095.0,4095.0,2723.0,3527.0,0.31,9.04,3.4,0.34,-0.45,0.13,v
3139.0,3015.0,3118.0,2823.0,4095.0,4095.0,2490.0,3393.0,-0.19,10.47,2.66,0.87,-0.55,-0.36,v
3139.0,2923.0,3018.0,2833.0,4095.0,4095.0,2318.0,3323.0,-0.23,9.1,1.47,0.56,-0.16,0.17,v
3152.0,2947.0,3013.0,2859.0,4095.0,4095.0,2367.0,3408.0,0.15,9.06,1.63,1.11,0.08,-0.22,v
3152.0,2927.0,3025.0,2884.0,4095.0,4095.0,2320.0,3388.0,0.86,10.26,1.26,1.47,0.07,-0.05,v
3153.0,2997.0,3124.0,2885.0,4095.0,4095.0,2422.0,3514.0,-0.21,8.31,0.46,1.37,-0.55,0.32,v
3143.0,3051.0,3152.0,2885.0,4095.0,4095.0,2559.0,3450.0,-0.16,11.22,-2.38,0.58,-0.64,-0.31,v
3144.0,3081.0,3177.0,2918.0,4095.0,4095.0,2482.0,3456.0,-0.64,8.88,-1.64,1.06,-0.62,0.26,v
3158.0,3102.0,3192.0,2953.0,4095.0,4095.0,2493.0,3449.0,-0.04,10.64,-2.22,0.29,-0.43,-1.14,v
3166.0,3123.0,3222.0,2967.0,4095.0,4095.0,2512.0,3443.0,-0.99,9.93,-1.78,-0.23,-0.58,-1.04,v
3207.0,3137.0,3226.0,3013.0,4095.0,4095.0,2509.0,3415.0,-0.99,7.63,-1.59,-0.07,-0.49,-0.3,v
3209.0,3130.0,3222.0,3015.0,4095.0,4095.0,2493.0,3385.0,-0.64,9.11,-2.98,1.2,-0.45,1.11,v
3216.0,3140.0,3229.0,3024.0,4095.0,4095.0,2502.0,3381.0,0.09,10.95,-2.3,0.08,-0.33,0.74,v
3216.0,3140.0,3225.0,3031.0,4095.0,4095.0,2511.0,3399.0,-0.77,9.85,-2.15,-0.88,-0.11,-0.03,v
3231.0,3185.0,3275.0,3059.0,4095.0,4095.0,2543.0,3444.0,0.18,10.99,-2.16,-1.06,-0.26,-0.3,v
3248.0,3183.0,3277.0,3070.0,4095.0,4095.0,2550.0,3433.0,-0.73,8.03,-0.0,-0.61,-0.38,-0.83,v
3264.0,3185.0,3276.0,3071.0,4095.0,4095.0,2533.0,3373.0,-1.88,10.45,-0.43,-0.9,-0.07,-0.29,v
3235.0,3173.0,3274.0,3065.0,4095.0,4095.0,2554.0,3335.0,-1.03,5.45,-0.28,-1.02,0.21,-0.61,v
3212.0,3164.0,3257.0,3054.0,4095.0,4095.0,2535.0,3333.0,-2.06,11.44,-0.54,-0.81,0.01,0.18,v
3218.0,3183.0,3267.0,3054.0,4095.0,4095.0,2542.0,3329.0,-2.76,7.2,1.83,-1.46,0.33,-0.65,v
3211.0,3178.0,3264.0,3031.0,4095.0,4095.0,2541.0,3318.0,-1.12,10.32,1.51,-1.47,0.11,0.07,v
3218.0,3167.0,3262.0,3011.0,4095.0,4095.0,2541.0,3317.0,-3.05,8.96,2.72,-0.71,-0.18,-0.06,v
3195.0,3143.0,3234.0,2978.0,4095.0,4095.0,2538.0,3297.0,-1.3,7.89,3.19,-0.91,0.04,0.41,v
3190.0,3135.0,3225.0,2960.0,4095.0,4095.0,2545.0,3345.0,-1.69,9.37,3.05,-0.22,0.08,1.0,v
3182.0,3131.0,3225.0,2959.0,4095.0,4095.0,2544.0,3367.0,-1.13,8.59,2.42,-1.4,0.41,-0.06,v
