hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2963.0,2986.0,3035.0,3401.0,4095.0,4095.0,2441.0,3303.0,-1.75,9.13,1.9,-0.28,-0.06,0.19,v
2882.0,2967.0,3027.0,3401.0,4095.0,4095.0,2451.0,3263.0,-1.79,9.01,1.92,-0.17,0.08,0.13,v
3022.0,2974.0,3024.0,3411.0,4095.0,4095.0,2447.0,3271.0,-1.81,8.66,2.04,-0.24,0.07,0.03,v
3039.0,2969.0,3030.0,3403.0,4095.0,4095.0,2451.0,3287.0,-1.72,9.09,1.9,-0.0,0.19,-0.1,v
3041.0,2966.0,3035.0,3439.0,4095.0,4095.0,2416.0,3307.0,-1.94,9.05,1.96,0.07,0.04,-0.14,v
3047.0,2973.0,3037.0,3493.0,4095.0,4095.0,2399.0,3280.0,-2.02,9.26,2.46,0.18,0.03,-0.2,v
3030.0,2987.0,3041.0,3488.0,4095.0,4095.0,2414.0,3280.0,-2.43,9.05,2.23,0.32,-0.1,-0.14,v
3006.0,2976.0,3038.0,3477.0,4095.0,4095.0,2428.0,3251.0,-1.43,8.88,1.76,0.22,-0.15,-0.11,v
3007.0,2976.0,3039.0,3494.0,4095.0,4095.0,2416.0,3263.0,-1.29,9.0,1.5,0.2,-0.22,-0.17,v
3035.0,2970.0,3026.0,3517.0,4095.0,4095.0,2417.0,3264.0,-2.4,8.95,1.64,0.14,-0.17,-0.21,v
3035.0,2980.0,3027.0,3574.0,4095.0,4095.0,2407.0,3286.0,-2.25,9.71,1.24,0.01,-0.01,0.14,v
3035.0,2974.0,3029.0,3575.0,4095.0,4095.0,2403.0,3291.0,-0.74,9.78,1.85,-0.03,0.18,0.46,v
3044.0,2975.0,3034.0,3518.0,4095.0,4095.0,2417.0,3291.0,0.93,9.72,1.66,0.35,-0.36,-0.19,v
3046.0,2975.0,3042.0,3472.0,4095.0,4095.0,2430.0,3271.0,-0.75,8.79,0.33,0.2,-0.27,-0.29,v
3042.0,2975.0,3037.0,3470.0,4095.0,4095.0,2495.0,3252.0,-2.39,8.53,-0.25,-0.19,-0.22,-0.08,v
3041.0,2961.0,3030.0,3467.0,4095.0,4095.0,2411.0,3264.0,-2.65,9.32,0.61,-0.59,0.23,-0.11,v
3017.0,2976.0,3031.0,3470.0,4095.0,4095.0,2416.0,3263.0,-3.19,9.48,2.47,-0.22,0.44,0.16,v
2993.0,2971.0,3039.0,3458.0,4095.0,4095.0,2407.0,3271.0,-0.96,8.37,2.63,-0.23,0.22,0.19,v
2975.0,2967.0,3031.0,3453.0,4095.0,4095.0,2426.0,3249.0,-0.28,9.7,2.09,-0.0,-0.37,-0.25,v
3017.0,2972.0,3030.0,3444.0,4095.0,4095.0,2418.0,3261.0,-1.5,10.61,2.67,-0.14,-0.16,-0.27,v
3030.0,2975.0,3037.0,3445.0,4095.0,4095.0,2419.0,3264.0,-1.17,9.58,1.61,0.23,-0.31,-0.13,v
3037.0,2977.0,3038.0,3430.0,4095.0,4095.0,2430.0,3271.0,-2.21,8.64,1.03,-0.01,-0.23,-0.11,v
3033.0,2962.0,3037.0,3418.0,4095.0,4095.0,2455.0,3277.0,-3.51,8.88,0.58,-0.13,-0.02,0.0,v
3014.0,2970.0,3033.0,3424.0,4095.0,4095.0,2461.0,3291.0,-2.52,10.14,2.31,-0.17,0.32,0.5,v
3009.0,2974.0,3029.0,3427.0,4095.0,4095.0,2460.0,3299.0,-1.71,9.17,2.75,0.18,0.33,0.73,v
3504.0,2965.0,3032.0,3440.0,4095.0,4095.0,2459.0,3294.0,-0.11,8.88,2.81,0.38,0.21,0.5,v
3026.0,2970.0,3042.0,3440.0,4095.0,4095.0,2448.0,3315.0,1.29,9.12,2.62,0.22,-0.03,0.08,v
3035.0,2977.0,3035.0,3440.0,4095.0,4095.0,2448.0,3322.0,-0.54,7.97,0.13,0.01,-0.28,-0.33,v
3040.0,2970.0,3035.0,3428.0,4095.0,4095.0,2446.0,3319.0,-2.11,8.73,0.46,-0.26,-0.07,-0.46,v
3022.0,2972.0,3046.0,3443.0,4095.0,4095.0,2455.0,3315.0,-2.22,9.74,1.09,-0.37,0.18,-0.33,v
3037.0,2971.0,3034.0,3475.0,4095.0,4095.0,2451.0,3327.0,-2.6,10.16,2.09,-0.43,0.37,-0.05,v
3041.0,2967.0,3041.0,3455.0,4095.0,4095.0,2428.0,3317.0,-1.95,10.04,2.51,-0.19,0.52,0.2,v
