hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2871.0,2897.0,3822.0,4095.0,4095.0,4095.0,2603.0,2359.0,1.38,9.62,5.77,-0.23,0.31,-0.04,v
2864.0,2901.0,3823.0,4095.0,4095.0,4095.0,2606.0,2357.0,1.45,9.72,6.02,-0.17,0.18,-0.09,v
2861.0,2902.0,3819.0,4095.0,4095.0,4095.0,2602.0,2354.0,1.45,9.71,6.03,-0.15,0.29,-0.07,v
2864.0,2899.0,3837.0,4095.0,4095.0,4095.0,2599.0,2358.0,1.31,9.81,6.24,-0.16,0.37,-0.1,v
2863.0,2899.0,3817.0,4095.0,4095.0,4095.0,2605.0,2361.0,1.23,9.89,6.46,-0.12,0.44,-0.12,v
2864.0,2905.0,3826.0,4095.0,4095.0,4095.0,2602.0,2358.0,1.24,9.57,6.34,-0.11,0.41,-0.07,v
2863.0,2893.0,3799.0,4095.0,4095.0,4095.0,2595.0,2355.0,1.36,9.43,6.45,-0.12,0.35,0.02,v
2861.0,2896.0,3815.0,4095.0,4095.0,4095.0,2594.0,2354.0,0.85,9.57,6.38,-0.06,0.43,-0.01,v
2863.0,2889.0,3807.0,4095.0,4095.0,4095.0,2597.0,2362.0,0.58,9.73,6.94,-0.02,0.34,0.01,v
2868.0,2897.0,3814.0,4095.0,4095.0,4095.0,2595.0,2357.0,0.81,10.2,6.42,0.03,0.36,0.01,v
2878.0,2902.0,3806.0,4095.0,4095.0,4095.0,2596.0,2361.0,0.57,10.46,5.83,0.11,0.39,-0.07,v
2881.0,2892.0,3809.0,4095.0,4095.0,4095.0,2587.0,2361.0,0.73,10.35,5.65,0.06,0.38,-0.12,v
2880.0,2898.0,3807.0,4095.0,4095.0,4095.0,2593.0,2362.0,0.6,9.76,6.06,-0.06,0.27,-0.13,v
2878.0,2913.0,3805.0,4095.0,4095.0,4095.0,2591.0,2362.0,0.35,9.45,7.2,-0.01,0.37,-0.19,v
2875.0,2896.0,3807.0,4095.0,4095.0,4095.0,2596.0,2367.0,0.42,9.27,7.08,0.13,0.09,-0.24,v
2877.0,2895.0,3799.0,4095.0,4095.0,4095.0,2591.0,2363.0,0.36,9.26,6.41,0.12,0.33,-0.26,v
2877.0,2891.0,3795.0,4095.0,4095.0,4095.0,2587.0,2357.0,0.35,8.88,6.18,0.09,0.26,-0.17,v
2897.0,2896.0,3797.0,4095.0,4095.0,4095.0,2602.0,2358.0,0.74,8.53,6.18,0.05,0.1,-0.15,v
2892.0,2895.0,3783.0,4095.0,4095.0,4095.0,2599.0,2366.0,1.06,8.87,5.98,-0.05,0.01,-0.2,v
2907.0,2903.0,3792.0,4095.0,4095.0,4095.0,2597.0,2365.0,0.91,9.21,6.32,-0.09,0.03,0.04,v
2896.0,2899.0,3799.0,4095.0,4095.0,4095.0,2601.0,2363.0,1.12,9.4,6.62,0.0,0.03,0.06,v
2902.0,2901.0,3795.0,4095.0,4095.0,4095.0,2598.0,2363.0,1.34,9.62,6.52,0.16,-0.03,-0.02,v
2899.0,2899.0,3795.0,4095.0,4095.0,4095.0,2603.0,2368.0,1.42,9.78,6.19,0.12,-0.1,0.02,v
2900.0,2899.0,3796.0,4095.0,4095.0,4095.0,2597.0,2363.0,1.2,9.71,6.51,0.1,-0.1,-0.05,v
2903.0,2892.0,3793.0,4095.0,4095.0,4095.0,2601.0,2368.0,1.2,9.43,6.81,-0.07,-0.14,-0.1,v
2896.0,2900.0,3776.0,4095.0,4095.0,4095.0,2603.0,2369.0,1.3,9.77,5.95,0.25,-0.1,0.01,v
2896.0,2892.0,3792.0,4095.0,4095.0,4095.0,2599.0,2371.0,1.65,9.81,5.37,-0.11,-0.03,0.04,v
2906.0,2896.0,3791.0,4095.0,4095.0,4095.0,2605.0,2374.0,1.29,9.98,5.79,-0.03,-0.05,-0.09,v
2905.0,2902.0,3808.0,4095.0,4095.0,4095.0,2599.0,2368.0,1.13,9.63,6.36,-0.23,-0.06,0.02,v
2909.0,2895.0,3803.0,4095.0,4095.0,4095.0,2607.0,2378.0,1.89,9.29,5.67,-0.39,-0.17,0.17,v
2896.0,2897.0,3806.0,4095.0,4095.0,4095.0,2608.0,2381.0,2.05,9.93,6.81,-0.19,-0.1,-0.1,v
2896.0,2903.0,3808.0,4095.0,4095.0,4095.0,2608.0,2383.0,1.93,10.19,7.94,-0.06,-0.14,-0.35,v
2891.0,2896.0,3799.0,4095.0,4095.0,4095.0,2607.0,2380.0,0.97,8.49,6.48,0.33,0.09,-0.27,v
2900.0,2897.0,3821.0,4095.0,4095.0,4095.0,2608.0,2383.0,1.72,10.02,6.12,0.01,0.03,-0.03,v
