hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3027.0,3006.0,2960.0,3458.0,4095.0,4095.0,2631.0,2139.0,0.88,9.85,5.51,0.04,-0.06,-0.15,0.0,v
3031.0,2995.0,2958.0,3467.0,4095.0,4095.0,2628.0,2133.0,0.64,9.89,5.66,-0.03,-0.01,-0.17,0.0,v
3035.0,2995.0,2964.0,3431.0,4095.0,4095.0,2636.0,2145.0,0.93,9.76,5.58,0.04,0.01,-0.19,0.0,v
3015.0,2998.0,2961.0,3456.0,4095.0,4095.0,2640.0,2147.0,0.95,9.81,5.5,-0.02,-0.04,-0.19,0.0,v
3014.0,2993.0,2965.0,3472.0,4095.0,4095.0,2640.0,2145.0,0.67,9.75,5.73,0.03,0.03,-0.19,0.0,v
3023.0,2992.0,2954.0,3461.0,4095.0,4095.0,2642.0,2140.0,0.72,9.76,5.6,0.07,-0.0,-0.19,0.0,v
3018.0,2991.0,2966.0,3471.0,4095.0,4095.0,2634.0,2145.0,0.58,9.79,5.58,0.03,-0.04,-0.15,0.0,v
3015.0,3003.0,2956.0,3456.0,4095.0,4095.0,2640.0,2145.0,0.83,9.8,5.37,0.0,0.05,-0.13,0.0,v
3012.0,3005.0,2959.0,3457.0,4095.0,4095.0,2653.0,2155.0,0.7,9.79,5.64,-0.01,0.02,-0.13,0.0,v
3025.0,3006.0,2960.0,3456.0,4095.0,4095.0,2654.0,2151.0,0.84,9.81,5.59,0.02,-0.01,-0.14,0.0,v
3025.0,3002.0,2966.0,3466.0,4095.0,4095.0,2655.0,2150.0,0.71,9.86,5.54,0.02,-0.04,-0.15,0.0,v
3024.0,2998.0,2972.0,3470.0,4095.0,4095.0,2650.0,2143.0,0.76,9.82,5.57,0.01,-0.01,-0.16,0.0,v
3017.0,3001.0,2958.0,3463.0,4095.0,4095.0,2646.0,2147.0,0.75,9.82,5.56,0.0,-0.01,-0.14,0.0,v
3017.0,3008.0,2960.0,3471.0,4095.0,4095.0,2652.0,2153.0,0.73,9.84,5.53,0.0,0.0,-0.16,0.0,v
3027.0,2985.0,2958.0,3467.0,4095.0,4095.0,2646.0,2144.0,0.79,9.82,5.48,0.03,-0.01,-0.15,0.0,v
3015.0,2991.0,2960.0,3467.0,4095.0,4095.0,2654.0,2159.0,0.75,9.82,5.53,0.0,-0.01,-0.14,0.0,v
3015.0,2992.0,2976.0,3482.0,4095.0,4095.0,2655.0,2147.0,0.76,9.82,5.75,0.03,-0.03,-0.15,0.0,v
3011.0,2994.0,2960.0,3462.0,4095.0,4095.0,2651.0,2146.0,0.78,9.79,5.45,0.05,0.01,-0.15,0.0,v
3028.0,2993.0,2963.0,3484.0,4095.0,4095.0,2653.0,2155.0,0.82,9.77,5.62,0.01,0.0,-0.14,0.0,v
3013.0,3003.0,2955.0,3484.0,4095.0,4095.0,2638.0,2154.0,0.78,9.84,5.58,0.02,-0.01,-0.19,0.0,v
3008.0,3007.0,2960.0,3472.0,4095.0,4095.0,2657.0,2155.0,0.69,9.79,5.65,0.01,0.01,-0.16,0.0,v
3024.0,3002.0,2959.0,3468.0,4095.0,4095.0,2658.0,2159.0,0.75,9.79,5.66,0.04,-0.02,-0.15,0.0,v
3027.0,3003.0,2962.0,3462.0,4095.0,4095.0,2658.0,2150.0,0.58,9.74,5.61,0.01,-0.04,-0.16,0.0,v
3019.0,3005.0,2961.0,3503.0,4095.0,4095.0,2653.0,2160.0,0.7,9.75,5.62,-0.03,0.0,-0.1,0.0,v
3014.0,2999.0,2960.0,3473.0,4095.0,4095.0,2641.0,2157.0,0.87,9.79,5.66,0.05,0.01,-0.14,0.0,v
3026.0,2992.0,2957.0,3475.0,4095.0,4095.0,2625.0,2156.0,0.72,9.75,5.6,0.05,-0.01,-0.16,0.0,v
3024.0,2994.0,2958.0,3473.0,4095.0,4095.0,2671.0,2160.0,0.68,9.72,5.55,-0.01,0.01,-0.16,0.0,v
3022.0,2996.0,2960.0,3410.0,4095.0,4095.0,2666.0,2160.0,0.82,9.78,5.52,0.05,0.03,-0.13,0.0,v
3028.0,2990.0,2967.0,3453.0,4095.0,4095.0,2671.0,2161.0,0.8,9.8,5.56,0.02,-0.03,-0.15,0.0,v
3011.0,2997.0,2969.0,3463.0,4095.0,4095.0,2671.0,2158.0,0.81,9.86,5.43,0.05,-0.0,-0.15,0.0,v
