hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2886.0,2959.0,3007.0,3295.0,4095.0,4095.0,3069.0,3033.0,-0.35,9.0,4.61,-0.07,0.0,-0.04,1.0,v
2887.0,2963.0,3014.0,3310.0,4095.0,4095.0,3056.0,3024.0,-0.46,8.99,4.65,0.04,0.02,-0.04,1.0,v
2879.0,2994.0,3006.0,3300.0,4095.0,4095.0,3058.0,3021.0,-0.46,8.99,4.59,-0.05,0.02,-0.02,1.0,v
2875.0,2859.0,3011.0,3281.0,4095.0,4095.0,3043.0,2983.0,-0.46,8.93,4.77,-0.02,0.03,-0.04,1.0,v
2878.0,2955.0,3004.0,3277.0,4095.0,4095.0,3039.0,2967.0,-0.52,8.88,4.81,0.07,0.03,-0.06,1.0,v
2878.0,2961.0,3009.0,3269.0,4095.0,4095.0,3033.0,2816.0,-0.57,9.07,4.46,0.02,0.03,-0.06,1.0,v
2885.0,2967.0,3009.0,3279.0,4095.0,4095.0,3031.0,2862.0,-0.57,9.15,4.27,-0.08,-0.01,-0.06,1.0,v
2883.0,2973.0,3021.0,3311.0,4095.0,4095.0,3052.0,2909.0,-0.62,9.09,4.57,-0.03,0.0,-0.05,1.0,v
2873.0,2973.0,3011.0,3285.0,4095.0,4095.0,3050.0,2925.0,-0.49,9.16,4.36,-0.08,0.01,-0.01,1.0,v
2885.0,2966.0,2994.0,3323.0,4095.0,4095.0,3063.0,2943.0,-0.57,9.07,4.46,-0.08,-0.01,-0.05,1.0,v
2893.0,2954.0,3010.0,3312.0,4095.0,4095.0,3063.0,2974.0,-0.67,9.02,4.67,-0.06,0.02,-0.04,1.0,v
2885.0,2963.0,3011.0,3322.0,4095.0,4095.0,3085.0,2957.0,-0.53,9.03,4.56,-0.03,0.01,-0.02,1.0,v
2895.0,2990.0,2998.0,3317.0,4095.0,4095.0,3089.0,2963.0,-0.52,9.1,4.48,-0.07,0.0,-0.04,1.0,v
2871.0,2958.0,3007.0,3342.0,4095.0,4095.0,3071.0,3018.0,-0.54,9.08,4.51,-0.03,-0.02,-0.05,1.0,v
2887.0,2966.0,3011.0,3351.0,4095.0,4095.0,3069.0,3023.0,-0.63,9.05,4.49,-0.05,0.01,-0.03,1.0,v
2882.0,2960.0,3021.0,3349.0,4095.0,4095.0,3071.0,3042.0,-0.6,9.04,4.57,-0.09,0.02,-0.05,1.0,v
2868.0,2957.0,3015.0,3378.0,4095.0,4095.0,3084.0,3053.0,-0.54,9.07,4.5,-0.04,-0.01,-0.05,1.0,v
2875.0,2970.0,3014.0,3365.0,4095.0,4095.0,3071.0,3047.0,-0.7,9.04,4.55,-0.07,-0.0,-0.04,1.0,v
2874.0,2962.0,3021.0,3356.0,4095.0,4095.0,3087.0,3043.0,-0.58,9.06,4.6,-0.05,0.01,-0.03,1.0,v
2891.0,2962.0,3009.0,3355.0,4095.0,4095.0,3091.0,3050.0,-0.57,9.09,4.47,-0.07,0.01,-0.04,1.0,v
2874.0,2960.0,3031.0,3423.0,4095.0,4095.0,3029.0,3296.0,-0.76,9.18,4.21,-0.05,0.05,-0.05,1.0,v
2870.0,2957.0,3029.0,3441.0,4095.0,4095.0,3023.0,3335.0,-0.75,9.25,4.18,-0.06,0.04,-0.02,1.0,v
2869.0,2967.0,3027.0,3459.0,4095.0,4095.0,3024.0,3345.0,-0.74,9.05,4.21,-0.07,-0.01,-0.04,1.0,v
2864.0,2949.0,3018.0,3452.0,4095.0,4095.0,3014.0,3344.0,-0.75,9.09,4.29,-0.04,0.04,-0.04,1.0,v
2874.0,2959.0,3023.0,3447.0,4095.0,4095.0,3029.0,3342.0,-0.83,9.21,4.17,-0.08,0.0,-0.04,1.0,v
2848.0,2957.0,3024.0,3446.0,4095.0,4095.0,3013.0,3360.0,-0.94,9.27,4.08,-0.04,0.0,-0.06,1.0,v
2877.0,2965.0,3030.0,3443.0,4095.0,4095.0,3017.0,3349.0,-0.91,9.23,4.1,-0.09,0.02,-0.05,1.0,v
2876.0,2954.0,3012.0,3459.0,4095.0,4095.0,3018.0,3307.0,-0.84,9.19,4.26,-0.08,-0.01,-0.08,1.0,v
2865.0,2975.0,3008.0,3456.0,4095.0,4095.0,3031.0,3312.0,-0.96,9.17,4.21,-0.08,-0.01,-0.03,1.0,v
2865.0,2971.0,3005.0,3447.0,4095.0,4095.0,3018.0,3330.0,-0.9,9.2,4.17,-0.05,-0.02,-0.04,1.0,v
2861.0,2963.0,3013.0,3469.0,4095.0,4095.0,3018.0,3329.0,-0.9,9.12,4.22,-0.09,-0.01,-0.04,1.0,v
2838.0,2962.0,3025.0,3465.0,4095.0,4095.0,3033.0,3361.0,-0.88,9.15,4.19,-0.08,-0.04,-0.03,1.0,v
