hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3015.0,2992.0,1009.0,3648.0,4095.0,4095.0,3366.0,2677.0,-0.71,9.5,6.82,0.01,-0.11,-0.21,0.0,v
3015.0,2980.0,1011.0,3658.0,4095.0,4095.0,3374.0,2682.0,-0.66,9.56,6.7,-0.01,-0.07,-0.21,0.0,v
3014.0,2992.0,1009.0,3651.0,4095.0,4095.0,3370.0,2683.0,-0.71,9.5,6.81,-0.04,-0.03,-0.22,0.0,v
3015.0,2990.0,1008.0,3659.0,4095.0,4095.0,3360.0,2690.0,-0.87,9.46,6.94,-0.0,0.03,-0.18,0.0,v
3019.0,2987.0,1014.0,3649.0,4095.0,4095.0,3365.0,2686.0,-0.85,9.49,6.93,-0.01,-0.01,-0.21,0.0,v
3022.0,2986.0,1007.0,3654.0,4095.0,4095.0,3360.0,2679.0,-1.05,9.33,7.03,-0.02,0.04,-0.15,0.0,v
3012.0,2990.0,1010.0,3661.0,4095.0,4095.0,3369.0,2683.0,-0.86,9.47,7.04,0.01,0.04,-0.13,0.0,v
3008.0,2982.0,1010.0,3661.0,4095.0,4095.0,3363.0,2690.0,-0.81,9.39,6.95,0.0,0.03,-0.09,0.0,v
3015.0,2989.0,1019.0,3658.0,4095.0,4095.0,3351.0,2686.0,-0.7,9.47,6.88,0.02,0.04,-0.07,0.0,v
3023.0,2992.0,1015.0,3641.0,4095.0,4095.0,3348.0,2681.0,-0.73,9.56,6.75,0.01,0.02,-0.08,0.0,v
3024.0,2989.0,1015.0,3651.0,4095.0,4095.0,3350.0,2688.0,-0.61,9.5,6.82,0.03,-0.11,-0.05,0.0,v
3011.0,2982.0,1018.0,3647.0,4095.0,4095.0,3355.0,2685.0,-0.23,9.43,7.17,-0.03,-0.0,-0.05,0.0,v
3014.0,2986.0,1009.0,3639.0,4095.0,4095.0,3363.0,2674.0,-0.29,9.61,6.65,-0.02,0.05,-0.09,0.0,v
3010.0,2987.0,1007.0,3638.0,4095.0,4095.0,3371.0,2667.0,-0.59,9.52,7.03,0.04,0.0,-0.02,0.0,v
3015.0,2990.0,1018.0,3635.0,4095.0,4095.0,3366.0,2668.0,-0.12,9.61,6.75,0.04,-0.05,-0.04,0.0,v
3018.0,2992.0,1019.0,3652.0,4095.0,4095.0,3376.0,2672.0,0.25,9.65,6.79,0.0,-0.09,-0.08,0.0,v
3019.0,2992.0,1008.0,3653.0,4095.0,4095.0,3370.0,2673.0,-0.0,9.55,6.93,0.02,-0.06,-0.12,0.0,v
3023.0,2978.0,1014.0,3648.0,4095.0,4095.0,3372.0,2673.0,-0.17,9.51,6.96,0.01,-0.03,-0.12,0.0,v
3014.0,2975.0,1009.0,3649.0,4095.0,4095.0,3371.0,2672.0,0.15,9.54,6.99,0.05,-0.1,-0.11,0.0,v
3009.0,2990.0,1022.0,3648.0,4095.0,4095.0,3369.0,2672.0,0.48,9.57,7.28,0.03,-0.05,-0.23,0.0,v
3019.0,2991.0,1043.0,3657.0,4095.0,4095.0,3371.0,2672.0,0.35,9.65,6.76,0.05,0.01,-0.3,0.0,v
3008.0,2976.0,1011.0,3655.0,4095.0,4095.0,3366.0,2673.0,-0.21,9.52,6.92,0.04,0.09,-0.31,0.0,v
3010.0,2975.0,1019.0,3650.0,4095.0,4095.0,3362.0,2674.0,-0.33,9.61,6.48,0.11,0.07,-0.35,0.0,v
3009.0,2992.0,1015.0,3655.0,4095.0,4095.0,3356.0,2674.0,-0.78,9.67,6.29,0.03,0.04,-0.29,0.0,v
3013.0,2993.0,1017.0,3663.0,4095.0,4095.0,3362.0,2688.0,-0.67,9.54,6.74,-0.04,0.02,-0.27,0.0,v
3022.0,2986.0,1023.0,3669.0,4095.0,4095.0,3359.0,2690.0,-0.95,9.45,6.89,-0.03,0.07,-0.19,0.0,v
3009.0,2976.0,1020.0,3665.0,4095.0,4095.0,3360.0,2688.0,-0.93,9.5,6.8,0.02,0.04,-0.28,0.0,v
3008.0,2987.0,1023.0,3664.0,4095.0,4095.0,3346.0,2690.0,-1.32,9.46,7.02,0.24,-0.18,-0.34,0.0,v
3023.0,2990.0,1018.0,3678.0,4095.0,4095.0,3327.0,2688.0,-1.29,9.73,5.43,0.05,-0.03,-0.24,0.0,v
3010.0,2976.0,1019.0,3666.0,4095.0,4095.0,3324.0,2689.0,-1.69,9.29,6.86,-0.13,-0.04,-0.15,0.0,v
3003.0,2979.0,1008.0,3664.0,4095.0,4095.0,3295.0,2684.0,-1.25,9.53,6.33,0.11,-0.2,-0.02,0.0,v
3009.0,2991.0,1014.0,3664.0,4095.0,4095.0,3295.0,2682.0,-1.38,9.53,6.56,0.01,-0.15,-0.12,0.0,v
3009.0,2989.0,1009.0,3677.0,4095.0,4095.0,3306.0,2669.0,-0.91,9.52,6.72,-0.08,-0.05,-0.06,0.0,v
3014.0,2979.0,1020.0,3667.0,4095.0,4095.0,3303.0,2663.0,-0.94,9.54,6.78,-0.04,-0.06,-0.1,0.0,v
3011.0,2987.0,1023.0,3664.0,4095.0,4095.0,3310.0,2671.0,-1.27,9.44,6.82,-0.01,0.01,-0.08,0.0,v
3015.0,2989.0,1034.0,3664.0,4095.0,4095.0,3303.0,2677.0,-0.78,9.44,6.91,0.03,-0.21,-0.06,0.0,v
3005.0,2992.0,1014.0,3664.0,4095.0,4095.0,3285.0,2666.0,-0.91,9.49,6.8,0.04,0.04,-0.08,0.0,v
3021.0,2993.0,1015.0,3659.0,4095.0,4095.0,3289.0,2660.0,-0.85,9.54,6.59,-0.03,-0.0,-0.1,0.0,v
3020.0,2989.0,1019.0,3665.0,4095.0,4095.0,3293.0,2667.0,-0.5,9.48,6.99,-0.04,-0.01,-0.09,0.0,v
3011.0,2992.0,1013.0,3664.0,4095.0,4095.0,3293.0,2669.0,-0.84,9.5,6.89,0.01,-0.04,-0.11,0.0,v
3027.0,2987.0,1023.0,3665.0,4095.0,4095.0,3298.0,2670.0,-0.91,9.46,6.72,-0.08,-0.01,-0.01,0.0,v
3018.0,2992.0,1023.0,3670.0,4095.0,4095.0,3301.0,2669.0,-0.1,9.52,7.12,-0.06,0.03,0.0,0.0,v
3007.0,2991.0,1008.0,3661.0,4095.0,4095.0,3302.0,2671.0,-0.17,9.44,6.92,-0.03,-0.01,-0.1,0.0,v
3008.0,2982.0,1008.0,3659.0,4095.0,4095.0,3306.0,2671.0,-0.47,9.33,7.49,0.08,-0.13,-0.25,0.0,v
3021.0,2992.0,1021.0,3665.0,4095.0,4095.0,3296.0,2669.0,-0.15,9.51,6.85,-0.06,0.15,-0.15,0.0,v
3021.0,2982.0,1013.0,3667.0,4095.0,4095.0,3301.0,2674.0,-0.1,9.41,7.36,0.12,-0.19,-0.37,0.0,v
2999.0,2979.0,1015.0,3680.0,4095.0,4095.0,3299.0,2675.0,-0.71,9.43,6.9,0.05,0.11,-0.33,0.0,v
3019.0,2977.0,1015.0,3672.0,4095.0,4095.0,3298.0,2678.0,-1.06,9.48,6.55,0.06,0.08,-0.3,0.0,v
3015.0,2991.0,1016.0,3669.0,4095.0,4095.0,3301.0,2677.0,-1.06,9.5,6.6,0.04,0.01,-0.23,0.0,v
3010.0,2998.0,1010.0,3669.0,4095.0,4095.0,3305.0,2681.0,-1.18,9.53,6.51,-0.02,0.1,-0.18,0.0,v
3013.0,2990.0,1022.0,3679.0,4095.0,4095.0,3305.0,2686.0,-1.28,9.44,6.87,0.03,0.0,-0.23,0.0,v
3008.0,2977.0,1014.0,3657.0,4095.0,4095.0,3326.0,2688.0,-0.95,9.55,6.57,-0.12,0.01,-0.11,0.0,v
