hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2807.0,2987.0,3743.0,3328.0,4095.0,4095.0,3257.0,3355.0,-0.16,10.03,2.18,-0.14,-0.1,-0.04,1.0,v
2794.0,2975.0,3754.0,3327.0,4095.0,4095.0,3248.0,3369.0,-0.31,9.85,2.38,-0.15,-0.02,-0.13,1.0,v
2801.0,2993.0,3751.0,3334.0,4095.0,4095.0,3250.0,3358.0,-0.15,9.95,2.14,-0.24,-0.03,-0.21,1.0,v
2800.0,2985.0,3765.0,3329.0,4095.0,4095.0,3248.0,3359.0,-0.55,9.59,2.39,-0.27,0.0,-0.27,1.0,v
2802.0,2982.0,3749.0,3326.0,4095.0,4095.0,3248.0,3367.0,-0.65,9.28,3.06,-0.34,-0.07,-0.28,1.0,v
2789.0,2978.0,3750.0,3331.0,4095.0,4095.0,3255.0,3367.0,-1.17,9.44,3.07,-0.41,-0.02,-0.28,1.0,v
2793.0,2992.0,3744.0,3341.0,4095.0,4095.0,3259.0,3357.0,-1.41,9.43,3.24,-0.36,-0.08,-0.29,1.0,v
2797.0,2981.0,3761.0,3333.0,4095.0,4095.0,3257.0,3371.0,-1.87,9.54,3.01,-0.48,-0.03,-0.17,1.0,v
2794.0,2966.0,3751.0,3331.0,4095.0,4095.0,3248.0,3371.0,-1.5,9.61,3.04,-0.54,-0.02,-0.13,1.0,v
2793.0,2982.0,3755.0,3334.0,4095.0,4095.0,3254.0,3375.0,-1.38,9.29,3.77,-0.61,-0.02,-0.13,1.0,v
2787.0,2986.0,3749.0,3330.0,4095.0,4095.0,3254.0,3375.0,-1.51,9.17,4.13,-0.44,0.01,-0.16,1.0,v
2798.0,2990.0,3770.0,3334.0,4095.0,4095.0,3257.0,3370.0,-1.76,8.73,4.39,-0.48,0.07,-0.14,1.0,v
2782.0,2977.0,3765.0,3327.0,4095.0,4095.0,3255.0,3375.0,-2.77,8.52,5.18,-0.46,0.1,-0.08,1.0,v
2786.0,2974.0,3748.0,3327.0,4095.0,4095.0,3251.0,3373.0,-2.75,8.34,5.46,-0.29,-0.0,0.07,1.0,v
2790.0,2994.0,3760.0,3327.0,4095.0,4095.0,3248.0,3366.0,-2.23,8.42,5.38,-0.29,0.12,0.3,1.0,v
2790.0,2981.0,3748.0,3329.0,4095.0,4095.0,3243.0,3365.0,-1.71,8.68,5.17,-0.18,0.03,0.36,1.0,v
2789.0,2985.0,3765.0,3323.0,4095.0,4095.0,3251.0,3370.0,-1.05,8.57,5.41,-0.19,-0.01,0.39,1.0,v
2793.0,2983.0,3757.0,3300.0,4095.0,4095.0,3248.0,3362.0,-1.41,8.43,5.38,-0.27,0.1,0.51,1.0,v
2786.0,2982.0,3766.0,3302.0,4095.0,4095.0,3252.0,3361.0,-0.78,8.58,5.29,-0.12,0.02,0.49,1.0,v
2786.0,2980.0,3763.0,3303.0,4095.0,4095.0,3248.0,3362.0,-0.22,8.31,5.53,-0.14,0.01,0.46,1.0,v
2785.0,2971.0,3747.0,3295.0,4095.0,4095.0,3248.0,3363.0,-0.11,8.53,5.46,-0.11,0.06,0.45,1.0,v
2786.0,2977.0,3759.0,3293.0,4095.0,4095.0,3254.0,3369.0,0.14,8.66,5.52,-0.01,0.04,0.38,1.0,v
2781.0,2982.0,3749.0,3295.0,4095.0,4095.0,3260.0,3367.0,0.42,8.65,5.41,-0.02,0.03,0.38,1.0,v
2785.0,2969.0,3760.0,3289.0,4095.0,4095.0,3252.0,3363.0,0.84,8.74,5.42,0.0,0.05,0.32,1.0,v
2780.0,2977.0,3758.0,3291.0,4095.0,4095.0,3258.0,3363.0,1.13,8.67,5.68,0.03,0.01,0.23,1.0,v
2794.0,2980.0,3775.0,3302.0,4095.0,4095.0,3261.0,3366.0,1.12,8.54,5.86,0.16,0.01,0.11,1.0,v
2800.0,2990.0,3771.0,3306.0,4095.0,4095.0,3250.0,3362.0,0.77,8.5,5.65,0.19,-0.04,0.03,1.0,v
2788.0,2969.0,3757.0,3296.0,4095.0,4095.0,3258.0,3370.0,0.53,8.62,5.18,0.28,-0.1,0.0,1.0,v
2803.0,2978.0,3757.0,3303.0,4095.0,4095.0,3259.0,3369.0,0.58,8.98,4.59,0.27,-0.15,0.05,1.0,v
2803.0,2974.0,3760.0,3303.0,4095.0,4095.0,3263.0,3370.0,0.55,9.1,4.16,0.22,-0.16,0.1,1.0,v
2797.0,2986.0,3750.0,3299.0,4095.0,4095.0,3259.0,3367.0,0.95,9.25,3.78,0.12,-0.19,0.1,1.0,v
2800.0,2969.0,3762.0,3298.0,4095.0,4095.0,3257.0,3366.0,1.2,9.29,3.82,0.08,-0.14,0.05,1.0,v
2798.0,2985.0,3760.0,3308.0,4095.0,4095.0,3259.0,3364.0,1.45,9.23,4.0,-0.0,-0.15,-0.06,1.0,v
2805.0,2991.0,3765.0,3312.0,4095.0,4095.0,3261.0,3359.0,1.7,9.18,4.3,0.06,-0.2,-0.19,1.0,v
2807.0,2992.0,3763.0,3307.0,4095.0,4095.0,3262.0,3367.0,1.62,9.39,3.9,0.04,-0.16,-0.27,1.0,v
2793.0,2981.0,3759.0,3306.0,4095.0,4095.0,3261.0,3357.0,1.44,9.37,3.65,-0.05,-0.17,-0.38,1.0,v
2805.0,2983.0,3765.0,3302.0,4095.0,4095.0,3255.0,3366.0,0.84,9.28,3.89,-0.13,-0.21,-0.42,1.0,v
2801.0,2985.0,3750.0,3306.0,4095.0,4095.0,3252.0,3362.0,0.52,9.13,4.29,-0.13,-0.2,-0.46,1.0,v
2801.0,2974.0,3760.0,3300.0,4095.0,4095.0,3261.0,3367.0,0.04,9.11,4.38,-0.11,-0.17,-0.44,1.0,v
2803.0,2981.0,3759.0,3301.0,4095.0,4095.0,3259.0,3370.0,-0.07,9.16,4.37,-0.04,-0.16,-0.4,1.0,v
2799.0,2980.0,3760.0,3303.0,4095.0,4095.0,3261.0,3365.0,0.3,9.3,4.65,0.05,-0.28,-0.42,1.0,v
2795.0,2989.0,3760.0,3299.0,4095.0,4095.0,3263.0,3373.0,0.22,9.3,4.44,0.12,-0.16,-0.46,1.0,v
2794.0,2992.0,3767.0,3307.0,4095.0,4095.0,3261.0,3362.0,-0.28,9.44,3.86,0.06,-0.21,-0.42,1.0,v
2801.0,2992.0,3751.0,3308.0,4095.0,4095.0,3253.0,3367.0,-0.6,9.19,3.89,0.0,-0.23,-0.38,1.0,v
2798.0,2987.0,3774.0,3312.0,4095.0,4095.0,3253.0,3363.0,-0.7,9.21,3.76,-0.06,-0.3,-0.31,1.0,v
2797.0,2988.0,3775.0,3309.0,4095.0,4095.0,3264.0,3356.0,-0.56,9.13,4.01,-0.07,-0.29,-0.3,1.0,v
2795.0,2978.0,3747.0,3312.0,4095.0,4095.0,3248.0,3363.0,-0.71,9.04,4.01,-0.1,-0.27,-0.28,1.0,v
2796.0,2979.0,3738.0,3306.0,4095.0,4095.0,3254.0,3366.0,-0.77,9.31,3.99,-0.04,-0.21,-0.34,1.0,v
2791.0,2975.0,3755.0,3303.0,4095.0,4095.0,3263.0,3369.0,-1.51,8.91,4.27,-0.08,-0.17,-0.3,1.0,v
2797.0,2992.0,3744.0,3307.0,4095.0,4095.0,3251.0,3360.0,-1.46,8.59,4.65,0.06,-0.1,-0.25,1.0,v
2783.0,2981.0,3747.0,3309.0,4095.0,4095.0,3254.0,3363.0,-1.31,8.93,4.37,0.1,0.25,-0.12,1.0,v
2790.0,2987.0,3765.0,3306.0,4095.0,4095.0,3260.0,3361.0,-1.75,9.11,4.02,0.13,0.19,-0.03,1.0,v
2789.0,2989.0,3755.0,3303.0,4095.0,4095.0,3261.0,3363.0,-1.19,9.44,3.84,0.2,-0.09,-0.13,1.0,v
2789.0,2979.0,3773.0,3300.0,4095.0,4095.0,3262.0,3355.0,-1.45,9.64,3.52,0.15,0.01,-0.03,1.0,v
2790.0,2965.0,3744.0,3305.0,4095.0,4095.0,3258.0,3359.0,-1.56,9.66,3.4,0.09,-0.03,0.06,1.0,v
2773.0,2975.0,3759.0,3298.0,4095.0,4095.0,3257.0,3366.0,-1.7,9.48,3.31,-0.04,-0.04,0.22,1.0,v
2783.0,2979.0,3775.0,3312.0,4095.0,4095.0,3253.0,3363.0,-0.99,9.26,3.86,0.02,-0.15,0.25,1.0,v
2782.0,2976.0,3761.0,3301.0,4095.0,4095.0,3252.0,3365.0,-0.42,9.51,3.49,0.09,0.05,0.26,1.0,v
2782.0,2969.0,3763.0,3299.0,4095.0,4095.0,3261.0,3365.0,-0.33,9.95,2.75,0.06,0.07,0.19,1.0,v
2790.0,2986.0,3774.0,3299.0,4095.0,4095.0,3258.0,3363.0,-0.58,9.9,2.26,-0.09,0.11,0.2,1.0,v
2791.0,2998.0,3757.0,3298.0,4095.0,4095.0,3253.0,3355.0,-0.33,9.59,2.56,-0.21,0.09,0.18,1.0,v
2790.0,2981.0,3751.0,3271.0,4095.0,4095.0,3250.0,3346.0,-0.26,9.65,3.09,-0.31,0.15,0.14,1.0,v
2783.0,2974.0,3759.0,3239.0,4095.0,4095.0,3248.0,3344.0,-0.18,9.26,4.14,-0.31,-0.08,0.09,1.0,v
2775.0,2982.0,3746.0,3209.0,4095.0,4095.0,3251.0,3325.0,0.35,9.17,4.4,-0.13,0.04,0.04,1.0,v
2781.0,2975.0,3739.0,3222.0,4095.0,4095.0,3255.0,3327.0,-0.06,9.18,4.13,-0.09,0.13,0.07,1.0,v
2755.0,2982.0,3732.0,3225.0,4095.0,4095.0,3255.0,3315.0,0.05,9.28,3.82,-0.02,0.13,0.06,1.0,v
2731.0,2983.0,3723.0,3235.0,4095.0,4095.0,3255.0,3305.0,0.01,9.46,3.75,0.02,0.22,0.04,1.0,v
2726.0,2973.0,3742.0,3239.0,4095.0,4095.0,3248.0,3297.0,-0.28,9.4,3.64,-0.01,0.21,0.08,1.0,v
2770.0,2987.0,3726.0,3237.0,4095.0,4095.0,3249.0,3291.0,0.17,9.53,3.67,0.05,0.24,0.08,1.0,v
2795.0,2978.0,3731.0,3232.0,4095.0,4095.0,3253.0,3307.0,-0.1,9.64,3.63,0.1,0.01,0.03,1.0,v
2790.0,2977.0,3739.0,3233.0,4095.0,4095.0,3246.0,3312.0,0.13,9.71,3.48,-0.12,0.08,0.07,1.0,v
2829.0,2971.0,3752.0,3249.0,4095.0,4095.0,3248.0,3292.0,0.23,9.63,3.55,-0.06,0.01,0.04,1.0,v
2862.0,2972.0,3728.0,3253.0,4095.0,4095.0,3251.0,3301.0,0.04,9.44,3.55,-0.06,0.1,0.06,1.0,v
2879.0,2983.0,3742.0,3254.0,4095.0,4095.0,3258.0,3307.0,0.06,9.27,3.88,0.04,-0.02,0.05,1.0,v
2898.0,2981.0,3739.0,3270.0,4095.0,4095.0,3255.0,3306.0,0.47,9.21,3.64,0.1,0.23,0.03,1.0,v
2886.0,2982.0,3740.0,3269.0,4095.0,4095.0,3247.0,3309.0,-0.1,9.5,3.23,-0.07,0.12,0.12,1.0,v
2886.0,2977.0,3727.0,3280.0,4095.0,4095.0,3248.0,3308.0,0.32,10.0,3.05,-0.18,0.12,0.08,1.0,v
