hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2686.0,2511.0,2881.0,3149.0,4095.0,4095.0,4095.0,3417.0,0.72,9.07,0.88,-0.08,-0.3,0.17,w
2675.0,2324.0,2875.0,3142.0,4095.0,4095.0,4095.0,3430.0,1.06,9.76,1.23,0.0,0.02,0.02,w
2675.0,2003.0,2871.0,3133.0,4095.0,4095.0,4095.0,3435.0,1.09,9.54,2.08,0.15,-0.22,-0.05,w
2667.0,1999.0,2874.0,3149.0,4095.0,4095.0,4095.0,3441.0,2.89,9.87,2.17,0.59,-0.58,-0.56,w
2672.0,2094.0,2878.0,3174.0,4095.0,4095.0,4095.0,3455.0,-2.46,9.17,-2.24,0.26,1.21,-0.63,w
2650.0,2357.0,2867.0,3190.0,4095.0,4095.0,4095.0,3500.0,-1.25,9.28,-0.06,-0.75,1.87,-0.04,w
2613.0,2482.0,2875.0,3169.0,4095.0,4095.0,4095.0,3532.0,-0.83,9.41,1.46,-0.58,1.42,-0.04,w
2669.0,2538.0,2879.0,3207.0,4095.0,4095.0,4095.0,3542.0,-0.77,9.39,2.01,-0.33,1.08,-0.14,w
2691.0,2523.0,2878.0,3213.0,4095.0,4095.0,4095.0,3536.0,-1.95,9.43,1.14,-0.05,-1.22,0.06,w
2719.0,2398.0,2875.0,3213.0,4095.0,4095.0,4095.0,3521.0,-0.49,9.26,1.77,-0.22,-2.34,0.35,w
2698.0,2305.0,2867.0,3183.0,4095.0,4095.0,4095.0,3491.0,1.46,9.2,2.18,-0.18,-2.08,0.37,w
2735.0,2118.0,2865.0,3157.0,4095.0,4095.0,4094.0,3452.0,3.1,9.69,2.29,0.67,-1.99,0.86,w
2707.0,2074.0,2863.0,3147.0,4095.0,4095.0,4058.0,3415.0,2.64,10.08,0.63,0.12,-0.84,-0.11,w
2673.0,1875.0,2870.0,3162.0,4095.0,4095.0,4095.0,3425.0,2.06,9.19,0.96,-0.32,0.45,-0.62,w
2703.0,2551.0,2864.0,3197.0,4095.0,4095.0,4095.0,3443.0,1.28,9.18,1.03,-0.2,2.22,-0.56,w
2676.0,2788.0,2859.0,3189.0,4095.0,4095.0,4095.0,3459.0,1.54,9.08,0.9,-0.91,-0.06,0.0,w
2693.0,2885.0,2817.0,3190.0,4095.0,4095.0,4095.0,3443.0,1.56,8.6,1.98,-0.71,-0.26,0.07,w
2686.0,2974.0,2867.0,3205.0,4095.0,4095.0,4095.0,3440.0,1.2,8.69,2.91,-0.51,0.04,0.18,w
2690.0,2933.0,2859.0,3216.0,4095.0,4095.0,4095.0,3446.0,0.64,8.92,2.76,-0.56,0.41,0.4,w
2689.0,2868.0,2383.0,3223.0,4095.0,4095.0,4095.0,3440.0,2.28,8.52,4.13,-0.68,0.49,0.44,w
2700.0,2850.0,2859.0,3222.0,4095.0,4095.0,4095.0,3447.0,2.06,8.44,4.36,-0.21,0.28,0.06,w
2704.0,2833.0,2858.0,3230.0,4095.0,4095.0,4095.0,3453.0,2.02,8.36,4.42,-0.09,0.23,0.06,w
2704.0,2849.0,2858.0,3228.0,4095.0,4095.0,4095.0,3457.0,2.28,8.18,4.64,0.04,0.07,-0.01,w
2718.0,2838.0,2854.0,3231.0,4095.0,4095.0,4095.0,3467.0,2.13,8.54,4.26,-0.21,0.08,0.05,w
2733.0,2842.0,2851.0,3220.0,4095.0,4095.0,4095.0,3462.0,1.47,8.09,4.29,-0.2,-0.02,-0.01,w
2768.0,2829.0,2718.0,3226.0,4095.0,4095.0,4095.0,3459.0,2.02,8.19,4.81,-0.18,0.19,0.04,w
2771.0,2823.0,2864.0,3229.0,4095.0,4095.0,4095.0,3472.0,1.78,8.05,4.42,-0.22,0.19,0.22,w
2772.0,2815.0,2857.0,3231.0,4095.0,4095.0,4095.0,3485.0,2.44,7.47,5.07,-0.1,0.19,0.09,w
2776.0,2830.0,2854.0,3245.0,4095.0,4095.0,4095.0,3489.0,1.97,7.77,4.79,-0.11,0.24,0.17,w
2768.0,2829.0,2854.0,3241.0,4095.0,4095.0,4095.0,3502.0,2.37,7.72,4.83,-0.08,0.33,0.13,w
2772.0,2837.0,2861.0,3243.0,4095.0,4095.0,4095.0,3504.0,2.43,7.49,5.41,-0.09,-0.14,-0.11,w
2782.0,2849.0,2820.0,3248.0,4095.0,4095.0,4095.0,3515.0,1.94,7.66,5.37,-0.0,-0.02,-0.02,w
2776.0,2847.0,2785.0,3245.0,4095.0,4095.0,4095.0,3519.0,2.12,7.73,5.45,-0.05,-0.05,-0.03,w
2775.0,2860.0,2858.0,3248.0,4095.0,4095.0,4095.0,3521.0,1.94,7.69,5.37,0.01,-0.04,0.02,w
