hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2736.0,2896.0,2544.0,2955.0,4095.0,4095.0,4095.0,3667.0,1.72,7.49,7.03,0.02,-0.06,-0.23,1.0,w
2723.0,2889.0,2706.0,2939.0,4095.0,4095.0,4095.0,3623.0,1.16,7.64,6.68,-0.01,0.01,-0.31,1.0,w
2730.0,2899.0,2777.0,2962.0,4095.0,4095.0,4095.0,3635.0,0.8,7.78,6.38,0.06,-0.06,-0.23,1.0,w
2735.0,2902.0,2785.0,2978.0,4095.0,4095.0,4095.0,3664.0,0.61,7.8,6.36,-0.01,0.01,-0.07,1.0,w
2720.0,2903.0,2775.0,2973.0,4095.0,4095.0,4095.0,3643.0,0.99,7.81,6.62,-0.11,0.09,0.0,1.0,w
2713.0,2914.0,2761.0,2973.0,4095.0,4095.0,4095.0,3652.0,1.12,7.74,6.63,-0.11,0.03,-0.01,1.0,w
2717.0,2911.0,2775.0,2977.0,4095.0,4095.0,4095.0,3638.0,1.0,7.77,6.6,-0.04,0.04,-0.07,1.0,w
2715.0,2905.0,2835.0,2981.0,4095.0,4095.0,4095.0,3646.0,0.82,7.82,6.54,-0.04,-0.01,-0.06,1.0,w
2713.0,2909.0,2843.0,2966.0,4095.0,4095.0,4095.0,3620.0,0.88,7.81,6.56,-0.04,0.0,-0.03,1.0,w
2706.0,2909.0,2843.0,2987.0,4095.0,4095.0,4095.0,3635.0,0.82,7.81,6.53,-0.1,0.04,-0.03,1.0,w
2705.0,2899.0,2851.0,2983.0,4095.0,4095.0,4095.0,3541.0,0.89,7.76,6.6,-0.1,0.06,0.02,1.0,w
2701.0,2917.0,2810.0,2991.0,4095.0,4095.0,4095.0,3632.0,1.04,7.69,6.78,-0.09,-0.01,-0.05,1.0,w
2689.0,2904.0,2817.0,2989.0,4095.0,4095.0,4095.0,3650.0,0.81,8.03,6.09,0.01,0.01,-0.05,1.0,w
2702.0,2899.0,2858.0,2992.0,4095.0,4095.0,4095.0,3658.0,1.0,7.6,7.04,-0.22,-0.13,-0.15,1.0,w
2687.0,2902.0,2865.0,2991.0,4095.0,4095.0,4095.0,3661.0,0.9,7.6,6.93,-0.04,0.14,-0.09,1.0,w
2689.0,2911.0,2883.0,2992.0,4095.0,4095.0,4095.0,3657.0,0.61,7.71,6.67,-0.06,0.05,-0.13,1.0,w
2689.0,2927.0,2877.0,2994.0,4095.0,4095.0,4095.0,3666.0,0.42,7.71,6.51,-0.11,0.06,-0.05,1.0,w
2679.0,2896.0,2864.0,2992.0,4095.0,4095.0,4095.0,3662.0,0.48,7.54,6.79,-0.11,0.07,-0.04,1.0,w
2685.0,2916.0,2841.0,2995.0,4095.0,4095.0,4095.0,3666.0,0.46,7.52,6.97,-0.16,-0.01,-0.06,1.0,w
2672.0,2912.0,2864.0,2995.0,4095.0,4095.0,4095.0,3663.0,0.52,7.38,7.28,-0.05,0.08,-0.03,1.0,w
2657.0,2912.0,3443.0,3008.0,4095.0,4095.0,4095.0,3678.0,-0.03,7.44,6.69,-0.04,-0.02,-0.02,1.0,w
2661.0,2922.0,3504.0,3013.0,4095.0,4095.0,4095.0,3682.0,0.04,7.42,7.22,-0.03,-0.02,-0.08,1.0,w
2657.0,2896.0,3486.0,3010.0,4095.0,4095.0,4095.0,3679.0,-0.06,7.5,6.94,-0.05,-0.05,-0.09,1.0,w
2643.0,2917.0,3442.0,3019.0,4095.0,4095.0,4095.0,3719.0,0.1,7.49,7.03,-0.0,-0.01,-0.04,1.0,w
2643.0,2907.0,3462.0,3010.0,4095.0,4095.0,4095.0,3678.0,0.23,7.62,6.92,0.01,0.03,-0.02,1.0,w
2647.0,2915.0,3479.0,3014.0,4095.0,4095.0,4095.0,3695.0,0.19,7.8,6.59,0.07,-0.06,-0.15,1.0,w
2661.0,2930.0,3490.0,3015.0,4095.0,4095.0,4095.0,3689.0,-0.19,7.73,6.56,0.03,0.02,-0.15,1.0,w
2671.0,2929.0,3494.0,2997.0,4095.0,4095.0,4095.0,3683.0,-0.22,7.84,6.45,-0.0,-0.07,-0.12,1.0,w
2665.0,2920.0,3485.0,3010.0,4095.0,4095.0,4095.0,3697.0,-0.21,7.82,6.57,-0.05,0.05,-0.04,1.0,w
2660.0,2915.0,3474.0,3003.0,4095.0,4095.0,4095.0,3696.0,-0.2,7.7,6.78,-0.01,0.02,-0.03,1.0,w
2672.0,2931.0,3483.0,3001.0,4095.0,4095.0,4095.0,3699.0,-0.07,7.93,6.35,0.05,-0.04,-0.07,1.0,w
2690.0,2897.0,3273.0,2981.0,4095.0,4095.0,4095.0,3676.0,-0.07,8.06,6.34,0.12,0.01,-0.09,1.0,w
2709.0,2883.0,3148.0,2976.0,4095.0,4095.0,4095.0,3663.0,-0.03,8.09,6.12,0.02,-0.12,-0.11,1.0,w
2725.0,2891.0,3039.0,2959.0,4095.0,4095.0,4095.0,3472.0,-0.21,8.04,6.25,-0.03,-0.07,-0.13,1.0,w
2741.0,2880.0,2990.0,2959.0,4095.0,4095.0,4095.0,3633.0,-0.35,8.06,6.3,-0.03,0.03,-0.13,1.0,w
2735.0,2902.0,2798.0,2928.0,4095.0,4095.0,4095.0,3626.0,-0.22,8.11,6.11,-0.02,-0.14,-0.09,1.0,w
2750.0,2910.0,2736.0,2944.0,4095.0,4095.0,4095.0,3659.0,-0.41,8.27,5.8,-0.16,-0.07,-0.03,1.0,w
2751.0,2919.0,2693.0,2942.0,4095.0,4095.0,4095.0,3646.0,-0.28,8.14,6.01,-0.18,0.03,-0.05,1.0,w
2753.0,2917.0,2676.0,2948.0,4095.0,4095.0,4095.0,3664.0,-0.48,8.07,6.09,-0.1,-0.0,-0.1,1.0,w
2765.0,2921.0,2681.0,2959.0,4095.0,4095.0,4095.0,3698.0,-0.46,8.08,6.13,-0.09,0.06,-0.05,1.0,w
2746.0,2906.0,2641.0,2987.0,4095.0,4095.0,4095.0,3725.0,-0.85,8.08,6.14,-0.03,-0.05,-0.09,1.0,w
2755.0,2917.0,2559.0,2992.0,4095.0,4095.0,4095.0,3723.0,-0.96,8.13,6.01,-0.02,-0.02,-0.08,1.0,w
2747.0,2907.0,2555.0,2992.0,4095.0,4095.0,4095.0,3739.0,-0.95,8.15,5.98,-0.03,0.01,-0.08,1.0,w
2754.0,2911.0,2542.0,2999.0,4095.0,4095.0,4095.0,3727.0,-0.98,8.14,6.05,0.03,0.01,-0.06,1.0,w
