hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3014.0,3031.0,2960.0,3520.0,4095.0,4095.0,4095.0,2847.0,-0.88,9.68,6.18,-0.01,-0.08,-0.24,0.0,w
3006.0,3039.0,2981.0,3536.0,4095.0,4095.0,4095.0,2839.0,-0.82,9.74,6.05,-0.04,0.19,-0.03,0.0,w
3007.0,3024.0,2958.0,3527.0,4095.0,4095.0,4095.0,2807.0,-0.48,9.68,6.18,-0.36,-0.01,-0.06,0.0,w
3009.0,3027.0,2955.0,3535.0,4095.0,4095.0,4095.0,2832.0,-0.26,9.5,6.82,-0.08,0.0,-0.12,0.0,w
3006.0,3015.0,2949.0,3527.0,4095.0,4095.0,4095.0,2837.0,-0.43,9.59,6.73,0.07,-0.05,-0.18,0.0,w
3014.0,3050.0,2963.0,3551.0,4095.0,4095.0,4095.0,2845.0,-0.66,9.67,6.48,0.01,0.03,-0.11,0.0,w
3010.0,3023.0,2970.0,3536.0,4095.0,4095.0,4095.0,2832.0,-0.21,9.58,6.64,-0.09,0.13,-0.05,0.0,w
3009.0,3024.0,2960.0,3554.0,4095.0,4095.0,4095.0,2838.0,-0.11,9.47,7.0,-0.12,0.05,-0.12,0.0,w
3001.0,3030.0,2958.0,3555.0,4095.0,4095.0,4095.0,2835.0,-0.29,9.48,7.03,-0.1,0.08,-0.13,0.0,w
3009.0,3030.0,2973.0,3568.0,4095.0,4095.0,4095.0,2847.0,-0.37,9.44,7.14,-0.19,0.1,-0.1,0.0,w
2996.0,3027.0,2966.0,3563.0,4095.0,4095.0,4095.0,2847.0,-0.32,9.37,7.36,-0.1,0.16,-0.06,0.0,w
3021.0,3024.0,2967.0,3551.0,4095.0,4095.0,4095.0,2832.0,-0.15,9.38,7.6,-0.08,0.1,-0.14,0.0,w
3009.0,3035.0,2955.0,3552.0,4095.0,4095.0,4095.0,2829.0,-0.17,9.4,7.36,0.01,0.0,-0.19,0.0,w
2995.0,3024.0,2949.0,3551.0,4095.0,4095.0,4095.0,2827.0,-0.27,9.41,7.22,-0.01,-0.01,-0.19,0.0,w
3007.0,3043.0,2960.0,3563.0,4095.0,4095.0,4095.0,2847.0,-0.49,9.36,7.38,-0.05,-0.02,-0.18,0.0,w
3011.0,3025.0,2955.0,3562.0,4095.0,4095.0,4095.0,2841.0,-0.56,9.31,7.51,0.0,0.05,-0.09,0.0,w
3019.0,3039.0,2971.0,3571.0,4095.0,4095.0,4095.0,2853.0,-0.4,9.32,7.53,-0.01,-0.05,-0.23,0.0,w
3003.0,3035.0,2955.0,3568.0,4095.0,4095.0,4095.0,2853.0,-0.53,9.34,7.57,-0.02,-0.03,-0.19,0.0,w
3013.0,3039.0,2964.0,3579.0,4095.0,4095.0,4095.0,2864.0,-0.53,9.27,7.58,0.05,-0.01,-0.17,0.0,w
2994.0,3011.0,2961.0,3580.0,4095.0,4095.0,4095.0,2858.0,-0.5,9.3,7.45,0.05,0.01,-0.17,0.0,w
3011.0,3018.0,2963.0,3571.0,4095.0,4095.0,4095.0,2879.0,-0.61,9.52,6.93,0.09,-0.03,-0.15,0.0,w
3018.0,3017.0,2960.0,3603.0,4095.0,4095.0,4095.0,2877.0,-0.32,9.55,6.84,0.06,-0.03,-0.11,0.0,w
3022.0,3015.0,2952.0,3583.0,4095.0,4095.0,4095.0,2881.0,-0.47,9.54,6.78,0.08,-0.06,-0.14,0.0,w
3033.0,3023.0,2961.0,3597.0,4095.0,4095.0,4095.0,2893.0,-0.44,9.6,6.77,0.06,-0.07,-0.13,0.0,w
3011.0,3010.0,2962.0,3600.0,4095.0,4095.0,4095.0,2886.0,-0.27,9.55,6.78,0.03,-0.03,-0.11,0.0,w
3012.0,3024.0,2960.0,3611.0,4095.0,4095.0,4095.0,2896.0,-0.31,9.63,6.56,0.01,-0.06,-0.15,0.0,w
3012.0,3011.0,2960.0,3607.0,4095.0,4095.0,4095.0,2898.0,-0.39,9.58,6.8,-0.05,-0.12,-0.16,0.0,w
3020.0,3029.0,2978.0,3614.0,4095.0,4095.0,4095.0,2907.0,-0.36,9.46,7.0,-0.0,-0.03,-0.1,0.0,w
3033.0,3024.0,2971.0,3620.0,4095.0,4095.0,4095.0,2922.0,-0.11,9.54,6.83,0.01,0.03,-0.08,0.0,w
3008.0,3024.0,2955.0,3610.0,4095.0,4095.0,4095.0,2923.0,0.08,9.53,6.88,0.03,-0.03,-0.17,0.0,w
3013.0,3018.0,2961.0,3631.0,4095.0,4095.0,4095.0,2929.0,-0.08,9.49,6.97,0.03,-0.08,-0.21,0.0,w
3024.0,3024.0,2960.0,3631.0,4095.0,4095.0,4095.0,2928.0,-0.44,9.57,6.93,0.03,-0.06,-0.23,0.0,w
3030.0,3027.0,2963.0,3638.0,4095.0,4095.0,4095.0,2941.0,-0.33,9.52,6.84,0.06,-0.02,-0.16,0.0,w
3024.0,3024.0,2962.0,3637.0,4095.0,4095.0,4095.0,2941.0,-0.2,9.63,6.51,-0.04,-0.03,-0.17,0.0,w
3022.0,3035.0,2965.0,3655.0,4095.0,4095.0,4095.0,2931.0,-0.58,9.53,6.99,0.03,0.03,-0.13,0.0,w
3027.0,3028.0,2959.0,3645.0,4095.0,4095.0,4095.0,2933.0,-0.05,9.44,7.01,-0.02,-0.02,-0.12,0.0,w
3007.0,3023.0,2960.0,3670.0,4095.0,4095.0,4095.0,2945.0,-0.22,9.53,6.89,0.04,-0.09,-0.2,0.0,w
3018.0,3024.0,2969.0,3655.0,4095.0,4095.0,4095.0,2934.0,-0.49,9.66,6.71,0.02,-0.02,-0.21,0.0,w
3024.0,3019.0,2962.0,3666.0,4095.0,4095.0,4095.0,2947.0,-0.44,9.66,6.74,-0.04,0.01,-0.17,0.0,w
3021.0,3029.0,2971.0,3671.0,4095.0,4095.0,4095.0,2947.0,-0.48,9.44,7.2,-0.03,0.01,-0.13,0.0,w
3015.0,3024.0,2958.0,3676.0,4095.0,4095.0,4095.0,2957.0,-0.32,9.51,6.94,-0.13,0.06,-0.14,0.0,w
3023.0,3036.0,2978.0,3679.0,4095.0,4095.0,4095.0,2959.0,-0.37,9.48,7.36,0.01,0.02,-0.22,0.0,w
3013.0,3031.0,2960.0,3666.0,4095.0,4095.0,4095.0,2959.0,-0.56,9.47,7.18,-0.05,0.01,-0.19,0.0,w
3016.0,3024.0,2971.0,3683.0,4095.0,4095.0,4095.0,2966.0,-0.45,9.47,7.07,0.01,-0.0,-0.18,0.0,w
3018.0,3023.0,2960.0,3669.0,4095.0,4095.0,4095.0,2960.0,-0.4,9.44,7.11,-0.05,-0.03,-0.19,0.0,w
3024.0,3029.0,2969.0,3678.0,4095.0,4095.0,4095.0,2973.0,-0.5,9.43,7.25,0.04,-0.04,-0.16,0.0,w
3009.0,3019.0,2954.0,3670.0,4095.0,4095.0,4095.0,2974.0,-0.35,9.39,7.09,-0.03,-0.12,-0.21,0.0,w
3014.0,3021.0,2951.0,3670.0,4095.0,4095.0,4095.0,2975.0,-0.37,9.39,7.37,-0.1,-0.05,-0.24,0.0,w
3008.0,3024.0,2951.0,3696.0,4095.0,4095.0,4095.0,2981.0,-0.78,9.29,7.55,-0.05,-0.0,-0.22,0.0,w
3008.0,3024.0,2962.0,3675.0,4095.0,4095.0,4095.0,2978.0,-0.81,9.27,7.58,-0.08,0.01,-0.22,0.0,w
3011.0,3030.0,2961.0,3690.0,4095.0,4095.0,4095.0,2987.0,-0.83,9.27,7.61,0.0,-0.04,-0.22,0.0,w
3011.0,3029.0,2956.0,3682.0,4095.0,4095.0,4095.0,2976.0,-0.77,9.21,7.72,-0.05,0.02,-0.17,0.0,w
3014.0,3028.0,2963.0,3694.0,4095.0,4095.0,4095.0,2989.0,-0.58,9.13,7.8,-0.03,-0.01,-0.23,0.0,w
3013.0,3021.0,2959.0,3686.0,4095.0,4095.0,4095.0,2977.0,-1.04,9.22,7.72,0.03,-0.18,-0.36,0.0,w
3013.0,3025.0,2975.0,3691.0,4095.0,4095.0,4095.0,2993.0,-1.25,9.18,7.73,0.06,-0.11,-0.26,0.0,w
3012.0,3018.0,2955.0,3686.0,4095.0,4095.0,4095.0,2987.0,-1.18,9.17,7.7,0.06,-0.05,-0.21,0.0,w
3013.0,3031.0,2960.0,3706.0,4095.0,4095.0,4095.0,2990.0,-1.13,9.27,7.41,0.05,-0.0,-0.16,0.0,w
2999.0,3024.0,2960.0,3687.0,4095.0,4095.0,4095.0,2992.0,-1.13,9.18,7.67,0.09,-0.02,-0.18,0.0,w
3005.0,3028.0,2967.0,3707.0,4095.0,4095.0,4095.0,2981.0,-1.62,9.19,7.76,0.08,-0.01,-0.16,0.0,w
3009.0,3027.0,2960.0,3701.0,4095.0,4095.0,4095.0,2986.0,-1.22,9.22,7.48,0.2,0.01,-0.06,0.0,w
3021.0,3033.0,2961.0,3723.0,4095.0,4095.0,4095.0,2983.0,-0.87,9.49,6.95,0.06,0.05,-0.09,0.0,w
3007.0,3024.0,2960.0,3708.0,4095.0,4095.0,4095.0,2983.0,-0.59,9.52,6.73,0.07,0.01,-0.1,0.0,w
3022.0,3023.0,2975.0,3726.0,4095.0,4095.0,4095.0,2990.0,-0.74,9.47,6.95,0.04,0.02,-0.1,0.0,w
2995.0,3015.0,2955.0,3718.0,4095.0,4095.0,4095.0,2983.0,-0.54,9.44,7.0,0.13,0.01,-0.15,0.0,w
3015.0,3021.0,2970.0,3729.0,4095.0,4095.0,4095.0,2989.0,-0.92,9.63,6.49,0.19,-0.01,-0.14,0.0,w
3010.0,3024.0,2960.0,3713.0,4095.0,4095.0,4095.0,2990.0,-0.47,9.77,6.07,0.11,0.1,-0.07,0.0,w
3007.0,3029.0,2954.0,3711.0,4095.0,4095.0,4095.0,2987.0,-0.47,9.62,6.49,-0.03,0.09,-0.12,0.0,w
3006.0,3024.0,2976.0,3717.0,4095.0,4095.0,4095.0,2992.0,-0.76,9.6,6.49,-0.02,0.01,-0.2,0.0,w
3009.0,3023.0,2963.0,3703.0,4095.0,4095.0,4095.0,2990.0,-0.73,9.63,6.52,-0.03,0.09,-0.12,0.0,w
3014.0,3040.0,2967.0,3699.0,4095.0,4095.0,4095.0,2987.0,-0.48,9.51,6.55,-0.03,0.03,-0.16,0.0,w
3015.0,3024.0,2957.0,3699.0,4095.0,4095.0,4095.0,2989.0,-0.55,9.64,6.44,0.03,0.09,-0.21,0.0,w
3009.0,3036.0,2969.0,3703.0,4095.0,4095.0,4095.0,3004.0,-0.91,9.53,6.51,-0.01,0.0,-0.27,0.0,w
3009.0,3030.0,2960.0,3710.0,4095.0,4095.0,4095.0,2995.0,-0.99,9.51,6.58,-0.05,0.01,-0.19,0.0,w
3002.0,3035.0,2968.0,3726.0,4095.0,4095.0,4095.0,3005.0,-0.82,9.58,6.57,0.06,0.07,-0.18,0.0,w
3002.0,3030.0,2957.0,3712.0,4095.0,4095.0,4095.0,2975.0,-1.27,9.59,6.38,0.09,-0.05,-0.2,0.0,w
3008.0,3043.0,2971.0,3733.0,4095.0,4095.0,4095.0,2982.0,-1.12,9.67,6.21,-0.13,-0.05,-0.16,0.0,w
2995.0,3027.0,2964.0,3711.0,4095.0,4095.0,4095.0,2979.0,-1.36,9.62,6.39,0.0,-0.04,-0.06,0.0,w
3013.0,3027.0,2960.0,3728.0,4095.0,4095.0,4095.0,2985.0,-0.75,9.54,7.01,-0.05,-0.0,0.13,0.0,w
3015.0,3038.0,2960.0,3734.0,4095.0,4095.0,4095.0,2992.0,-0.23,9.31,7.23,0.11,-0.06,-0.05,0.0,w
3008.0,3034.0,2961.0,3728.0,4095.0,4095.0,4095.0,2981.0,-0.53,9.57,6.52,0.14,-0.22,-0.11,0.0,w
3010.0,3026.0,2955.0,3645.0,4095.0,4095.0,4095.0,2922.0,0.07,9.81,5.96,0.12,0.04,-0.08,0.0,w
3024.0,3042.0,2967.0,3645.0,4095.0,4095.0,4095.0,2934.0,0.05,9.81,5.73,0.14,-0.02,-0.13,0.0,w
3018.0,3040.0,2959.0,3629.0,4095.0,4095.0,4095.0,2913.0,-0.03,9.84,5.57,0.01,0.0,-0.13,0.0,w
3031.0,3046.0,2955.0,3625.0,4095.0,4095.0,4095.0,2902.0,0.04,9.8,5.81,-0.09,-0.02,-0.1,0.0,w
3011.0,3049.0,2963.0,3632.0,4095.0,4095.0,4095.0,2903.0,0.14,9.71,6.0,-0.09,0.0,-0.11,0.0,w
3017.0,3042.0,2958.0,3616.0,4095.0,4095.0,4095.0,2903.0,0.11,9.75,6.06,-0.11,0.04,-0.13,0.0,w
3007.0,3057.0,2955.0,3645.0,4095.0,4095.0,4095.0,2906.0,0.36,9.82,6.09,-0.16,0.18,-0.11,0.0,w
3012.0,3037.0,2947.0,3625.0,4095.0,4095.0,4095.0,2892.0,0.03,9.76,6.11,-0.16,0.05,-0.2,0.0,w
3009.0,3057.0,2960.0,3626.0,4095.0,4095.0,4095.0,2897.0,-0.06,9.66,6.37,-0.12,0.1,-0.17,0.0,w
3007.0,3051.0,2950.0,3614.0,4095.0,4095.0,4095.0,2875.0,-0.05,9.57,6.51,-0.02,0.03,-0.16,0.0,w
2992.0,3056.0,2954.0,3618.0,4095.0,4095.0,4095.0,2862.0,-0.27,9.62,6.7,-0.05,0.1,-0.09,0.0,w
2995.0,3056.0,2957.0,3582.0,4095.0,4095.0,4095.0,2855.0,-0.24,9.58,6.71,0.02,0.03,-0.07,0.0,w
2987.0,3061.0,2959.0,3603.0,4095.0,4095.0,4095.0,2863.0,0.09,9.55,6.75,-0.07,0.03,-0.08,0.0,w
2987.0,3052.0,2951.0,3595.0,4095.0,4095.0,4095.0,2864.0,0.02,9.63,6.63,-0.03,-0.06,-0.09,0.0,w
2993.0,3057.0,2944.0,3609.0,4095.0,4095.0,4095.0,2873.0,0.75,9.36,6.66,-0.04,-0.1,0.06,0.0,w
2983.0,3026.0,2949.0,3600.0,4095.0,4095.0,4095.0,2891.0,0.31,9.51,6.98,-0.07,-0.05,-0.1,0.0,w
2991.0,3038.0,2960.0,3611.0,4095.0,4095.0,4095.0,2897.0,0.46,9.59,6.85,-0.02,-0.05,-0.15,0.0,w
2995.0,3038.0,2961.0,3614.0,4095.0,4095.0,4095.0,2911.0,0.3,9.66,6.74,-0.02,0.02,-0.16,0.0,w
3002.0,3017.0,2959.0,3611.0,4095.0,4095.0,4095.0,2913.0,0.15,9.52,6.94,-0.06,0.04,-0.16,0.0,w
2998.0,3017.0,2965.0,3632.0,4095.0,4095.0,4095.0,2924.0,0.22,9.56,7.03,-0.11,0.01,-0.06,0.0,w
3021.0,2995.0,2959.0,3651.0,4095.0,4095.0,4095.0,2923.0,0.12,9.41,7.26,-0.06,0.05,-0.16,0.0,w
3038.0,2999.0,2960.0,3668.0,4095.0,4095.0,4095.0,2945.0,0.0,9.35,7.37,-0.08,-0.02,-0.18,0.0,w
3030.0,3001.0,2966.0,3662.0,4095.0,4095.0,4095.0,2951.0,-0.23,9.42,6.92,0.15,-0.07,-0.18,0.0,w
3039.0,3021.0,2964.0,3665.0,4095.0,4095.0,4095.0,2950.0,-0.06,9.5,7.07,-0.03,-0.02,-0.14,0.0,w
3021.0,3006.0,2948.0,3658.0,4095.0,4095.0,4095.0,2957.0,0.04,9.44,7.22,0.0,-0.05,-0.14,0.0,w
3024.0,2998.0,2953.0,3651.0,4095.0,4095.0,4095.0,2955.0,0.02,9.38,7.31,-0.04,-0.0,-0.14,0.0,w
3046.0,3008.0,2971.0,3661.0,4095.0,4095.0,4095.0,2960.0,0.15,9.38,7.35,0.01,-0.0,-0.16,0.0,w
3024.0,2999.0,2970.0,3649.0,4095.0,4095.0,4095.0,2957.0,0.06,9.41,7.22,0.04,-0.0,-0.22,0.0,w
