hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3226.0,2886.0,3068.0,3088.0,4095.0,4095.0,4095.0,2912.0,2.21,9.92,2.17,0.48,-0.43,-0.34,w
3258.0,2893.0,3082.0,3051.0,4095.0,4095.0,4095.0,2906.0,1.64,8.59,1.8,-0.0,-0.24,-0.6,w
3280.0,2907.0,3071.0,2959.0,4095.0,4095.0,4095.0,2846.0,1.4,8.15,0.62,-0.29,-0.0,-1.03,w
3275.0,2895.0,3065.0,2962.0,4095.0,4095.0,4095.0,2838.0,0.07,9.33,1.3,0.14,-0.21,-0.15,w
3247.0,2885.0,3056.0,3007.0,4095.0,4095.0,4095.0,2864.0,0.6,8.84,2.86,-0.14,-0.25,-0.41,w
3211.0,2864.0,3056.0,3009.0,4095.0,4095.0,4095.0,2863.0,0.64,10.37,3.07,0.06,-0.32,-0.31,w
3211.0,2853.0,3043.0,3011.0,4095.0,4095.0,4095.0,2864.0,-0.24,8.89,2.32,0.2,-0.31,-0.29,w
3198.0,2847.0,3049.0,3015.0,4095.0,4095.0,4095.0,2867.0,1.09,10.14,2.08,0.4,-0.09,-0.79,w
3200.0,2920.0,3114.0,3007.0,4095.0,4095.0,4095.0,2928.0,-0.73,8.61,1.4,-0.03,-0.52,-0.74,w
3201.0,2873.0,3056.0,3018.0,4095.0,4095.0,4095.0,2880.0,-1.87,8.43,-0.02,-0.19,-0.2,-0.91,w
3206.0,2885.0,3051.0,3024.0,4095.0,4095.0,4095.0,2887.0,-1.64,8.72,1.18,-0.55,-0.45,0.05,w
3203.0,2865.0,3031.0,3024.0,4095.0,4095.0,4095.0,2864.0,0.22,10.6,2.96,0.11,-0.7,0.03,w
3201.0,2875.0,3036.0,3013.0,4095.0,4095.0,4095.0,2845.0,-0.96,8.81,3.53,0.98,-0.45,-0.2,w
3175.0,2863.0,3031.0,2993.0,4095.0,4095.0,4095.0,2845.0,0.77,10.24,1.91,1.98,-1.25,-1.0,w
3106.0,2855.0,3020.0,2860.0,4095.0,4095.0,4095.0,2817.0,-0.53,10.91,-0.15,0.97,-0.84,-2.05,w
3120.0,2841.0,3014.0,2842.0,4095.0,4095.0,4095.0,2796.0,-3.68,7.94,-0.22,0.63,-1.11,-0.34,w
3130.0,2826.0,3009.0,2855.0,4095.0,4095.0,4095.0,2777.0,-3.61,7.6,-0.76,0.09,-0.48,-0.16,w
3143.0,2796.0,3006.0,2867.0,4095.0,4095.0,4095.0,2765.0,-2.62,8.98,-0.89,0.26,-0.78,0.58,w
3147.0,2773.0,3008.0,2888.0,4095.0,4095.0,4095.0,2749.0,-2.57,8.84,-1.44,0.11,-0.07,1.18,w
3159.0,2750.0,3009.0,2912.0,4095.0,4095.0,4095.0,2745.0,-0.77,9.01,0.01,0.31,-0.04,1.5,w
3167.0,2713.0,3008.0,2929.0,4095.0,4095.0,4095.0,2736.0,-1.04,10.21,-0.88,-0.27,0.29,2.07,w
3179.0,2702.0,3015.0,2951.0,4095.0,4095.0,4095.0,2763.0,-0.03,8.31,-0.02,0.01,0.29,1.34,w
3189.0,2702.0,3008.0,2973.0,4095.0,4095.0,4095.0,2768.0,1.62,9.78,-0.59,-0.38,0.22,0.65,w
3155.0,2733.0,3014.0,2994.0,4095.0,4095.0,4095.0,2773.0,1.76,10.15,0.68,-0.24,0.08,-0.05,w
3136.0,2768.0,3015.0,3024.0,4095.0,4095.0,4095.0,2770.0,0.95,9.34,0.6,-0.48,0.09,-0.76,w
3136.0,2781.0,3008.0,3017.0,4095.0,4095.0,4095.0,2759.0,1.21,10.73,0.26,-0.37,-0.45,-0.62,w
3184.0,2775.0,2998.0,3035.0,4095.0,4095.0,4095.0,2774.0,1.07,9.15,1.15,0.01,-0.49,-0.55,w
3196.0,2779.0,3007.0,3070.0,4095.0,4095.0,4095.0,2778.0,0.04,8.8,0.7,-0.14,0.12,-0.02,w
3195.0,2790.0,3008.0,3087.0,4095.0,4095.0,4095.0,2782.0,-0.5,9.65,0.57,0.09,-0.1,0.29,w
3204.0,2783.0,3009.0,3069.0,4095.0,4095.0,4095.0,2787.0,0.11,10.73,-0.07,-0.4,0.13,-0.29,w
3200.0,2789.0,3007.0,3059.0,4095.0,4095.0,4095.0,2791.0,-1.88,9.11,0.34,-0.42,0.45,-0.63,w
3200.0,2787.0,3009.0,3062.0,4095.0,4095.0,4095.0,2788.0,-1.22,9.08,1.0,-0.67,0.14,0.84,w
3204.0,2784.0,3011.0,3059.0,4095.0,4095.0,4095.0,2794.0,1.75,9.82,1.33,-0.54,0.24,0.23,w
3197.0,2776.0,3008.0,3056.0,4095.0,4095.0,4095.0,2797.0,1.06,8.63,1.97,-0.36,0.4,0.27,w
3205.0,2777.0,3011.0,3046.0,4095.0,4095.0,4095.0,2800.0,2.74,10.14,2.14,-0.2,-0.0,0.62,w
3202.0,2781.0,3015.0,3031.0,4095.0,4095.0,4095.0,2801.0,2.48,8.84,2.24,-0.26,0.28,-0.18,w
3201.0,2773.0,3013.0,3025.0,4095.0,4095.0,4095.0,2800.0,0.66,9.65,2.0,-0.26,0.24,-0.09,w
3207.0,2779.0,3008.0,3013.0,4095.0,4095.0,4095.0,2800.0,0.18,9.63,2.42,-0.2,0.24,-0.07,w
3201.0,2783.0,3011.0,3020.0,4095.0,4095.0,4095.0,2806.0,0.99,9.55,2.38,-0.12,0.43,0.14,w
3243.0,2813.0,3035.0,3057.0,4095.0,4095.0,4095.0,2831.0,0.78,9.21,2.23,0.07,0.39,0.3,w
3200.0,2874.0,3111.0,2963.0,4095.0,4095.0,4095.0,2889.0,1.12,9.19,2.34,0.34,-0.7,0.16,w
3200.0,2972.0,3229.0,2917.0,4095.0,4095.0,4095.0,3013.0,1.4,10.19,1.65,-0.14,-1.52,0.1,w
3207.0,2697.0,2935.0,2921.0,4095.0,4095.0,4095.0,2836.0,1.37,7.24,2.58,0.15,-1.23,0.45,w
