hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2982.0,2903.0,2928.0,3628.0,4095.0,4095.0,4095.0,2382.0,-1.59,9.09,5.27,-0.21,0.18,0.07,0.0,w
2967.0,2912.0,2929.0,3617.0,4095.0,4095.0,4095.0,2378.0,-1.99,9.7,4.73,0.08,0.11,-0.16,0.0,w
2975.0,2928.0,2939.0,3632.0,4095.0,4095.0,4095.0,2401.0,-1.86,10.15,4.41,0.0,0.04,-0.14,0.0,w
2966.0,2910.0,2915.0,3639.0,4095.0,4095.0,4095.0,2405.0,-1.95,9.84,5.06,-0.17,0.0,-0.06,0.0,w
2974.0,2923.0,2927.0,3639.0,4095.0,4095.0,4095.0,2412.0,-1.35,9.43,5.46,-0.04,0.05,0.01,0.0,w
2979.0,2901.0,2927.0,3632.0,4095.0,4095.0,4095.0,2420.0,-1.33,9.39,5.17,0.03,0.02,-0.08,0.0,w
2979.0,2915.0,2926.0,3637.0,4095.0,4095.0,4095.0,2416.0,-1.54,10.07,4.75,-0.01,-0.12,-0.21,0.0,w
2983.0,2902.0,2919.0,3647.0,4095.0,4095.0,4095.0,2430.0,-1.67,10.12,5.54,-0.11,-0.14,-0.1,0.0,w
2971.0,2886.0,2926.0,3655.0,4095.0,4095.0,4095.0,2418.0,-1.35,9.4,5.76,-0.01,-0.06,0.0,0.0,w
2935.0,2893.0,2922.0,3633.0,4095.0,4095.0,4095.0,2417.0,-1.17,9.27,5.31,0.09,-0.05,-0.1,0.0,w
2911.0,2878.0,2928.0,3631.0,4095.0,4095.0,4095.0,2418.0,-1.39,9.78,5.14,0.1,-0.03,-0.21,0.0,w
2907.0,2869.0,2931.0,3662.0,4095.0,4095.0,4095.0,2404.0,-1.52,10.42,5.25,0.03,-0.2,-0.18,0.0,w
2847.0,2849.0,2914.0,3663.0,4095.0,4095.0,4095.0,2420.0,-1.15,9.72,5.43,-0.0,-0.03,-0.06,0.0,w
2859.0,2858.0,2926.0,3662.0,4095.0,4095.0,4095.0,2417.0,-1.04,9.39,5.61,0.15,0.08,-0.14,0.0,w
2879.0,2847.0,2928.0,3654.0,4095.0,4095.0,4095.0,2419.0,-1.07,9.84,5.05,0.18,-0.01,-0.27,0.0,w
2885.0,2851.0,2923.0,3651.0,4095.0,4095.0,4095.0,2411.0,-1.7,10.4,5.04,0.1,-0.06,-0.26,0.0,w
2905.0,2861.0,2917.0,3647.0,4095.0,4095.0,4095.0,2416.0,-1.46,9.68,5.15,0.14,-0.03,-0.23,0.0,w
2901.0,2845.0,2927.0,3660.0,4095.0,4095.0,4095.0,2416.0,-1.78,9.07,4.6,0.04,0.02,-0.09,0.0,w
2902.0,2835.0,2912.0,3667.0,4095.0,4095.0,4095.0,2407.0,-1.04,9.54,4.72,0.06,-0.05,-0.2,0.0,w
2913.0,2835.0,2919.0,3650.0,4095.0,4095.0,4095.0,2411.0,-1.68,10.14,5.01,-0.0,-0.23,-0.26,0.0,w
2923.0,2832.0,2928.0,3648.0,4095.0,4095.0,4095.0,2418.0,-1.52,10.05,5.46,-0.01,-0.04,-0.17,0.0,w
2916.0,2838.0,2922.0,3659.0,4095.0,4095.0,4095.0,2417.0,-1.58,9.29,5.13,-0.01,-0.0,-0.15,0.0,w
2911.0,2820.0,2917.0,3654.0,4095.0,4095.0,4095.0,2421.0,-2.02,9.24,4.96,0.07,-0.02,-0.19,0.0,w
2923.0,2831.0,2915.0,3645.0,4095.0,4095.0,4095.0,2419.0,-1.32,9.92,5.11,0.03,-0.02,-0.15,0.0,w
2914.0,2839.0,2923.0,3648.0,4095.0,4095.0,4095.0,2421.0,-2.21,10.25,5.02,-0.02,-0.04,-0.18,0.0,w
2928.0,2834.0,2919.0,3664.0,4095.0,4095.0,4095.0,2421.0,-1.49,9.37,4.55,0.04,-0.08,-0.09,0.0,w
2919.0,2838.0,2917.0,3662.0,4095.0,4095.0,4095.0,2428.0,-1.12,9.52,5.45,0.01,-0.11,-0.25,0.0,w
2931.0,2826.0,2933.0,3655.0,4095.0,4095.0,4095.0,2419.0,-1.93,9.86,5.32,0.12,-0.09,-0.3,0.0,w
2919.0,2833.0,2925.0,3657.0,4095.0,4095.0,4095.0,2423.0,-2.1,10.06,4.46,0.07,0.0,-0.24,0.0,w
2928.0,2836.0,2919.0,3664.0,4095.0,4095.0,4095.0,2431.0,-2.03,9.65,4.85,0.06,-0.01,-0.11,0.0,w
2928.0,2842.0,2930.0,3653.0,4095.0,4095.0,4095.0,2422.0,-1.87,9.35,4.94,0.13,0.05,-0.23,0.0,w
2935.0,2845.0,2916.0,3657.0,4095.0,4095.0,4095.0,2423.0,-1.86,9.27,4.67,0.14,0.07,-0.22,0.0,w
2931.0,2835.0,2917.0,3660.0,4095.0,4095.0,4095.0,2416.0,-2.02,10.0,4.41,0.0,-0.01,-0.17,0.0,w
2946.0,2839.0,2911.0,3664.0,4095.0,4095.0,4095.0,2419.0,-2.23,9.81,4.68,-0.07,-0.06,-0.02,0.0,w
2951.0,2832.0,2928.0,3649.0,4095.0,4095.0,4095.0,2429.0,-2.0,9.45,4.63,-0.14,-0.08,-0.15,0.0,w
2937.0,2837.0,2928.0,3662.0,4095.0,4095.0,4095.0,2416.0,-1.67,9.55,4.67,0.02,0.02,-0.22,0.0,w
2951.0,2835.0,2922.0,3657.0,4095.0,4095.0,4095.0,2426.0,-2.6,10.1,4.69,0.02,0.1,-0.21,0.0,w
