hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3007.0,2999.0,2929.0,3312.0,4095.0,4095.0,4095.0,3092.0,-3.53,8.16,8.12,-0.01,0.17,0.1,0.0,w
3003.0,3002.0,2938.0,3307.0,4095.0,4095.0,4095.0,3094.0,-3.08,8.38,7.7,0.03,0.22,0.08,0.0,w
3007.0,2989.0,2929.0,3312.0,4095.0,4095.0,4095.0,3088.0,-3.35,8.44,7.65,0.02,0.28,0.07,0.0,w
2994.0,2992.0,2943.0,3315.0,4095.0,4095.0,4095.0,3059.0,-2.72,8.63,7.68,-0.08,-0.0,0.03,0.0,w
3006.0,3002.0,2935.0,3318.0,4095.0,4095.0,4095.0,3054.0,-2.52,8.76,8.06,-0.14,0.12,-0.05,0.0,w
2995.0,2992.0,2938.0,3312.0,4095.0,4095.0,4095.0,3051.0,-2.74,8.58,8.34,-0.07,0.07,-0.09,0.0,w
2992.0,2990.0,2940.0,3312.0,4095.0,4095.0,4095.0,3055.0,-3.0,8.64,8.38,0.06,-0.01,-0.2,0.0,w
3005.0,2989.0,2928.0,3311.0,4095.0,4095.0,4095.0,3056.0,-3.14,8.65,8.32,0.11,-0.08,-0.13,0.0,w
2992.0,2992.0,2930.0,3309.0,4095.0,4095.0,4095.0,3056.0,-2.94,8.69,7.95,0.14,-0.22,-0.25,0.0,w
3009.0,2992.0,2931.0,3312.0,4095.0,4095.0,4095.0,3051.0,-3.5,8.32,7.82,0.25,-0.04,-0.26,0.0,w
3009.0,2994.0,2929.0,3305.0,4095.0,4095.0,4095.0,3071.0,-2.12,8.27,7.96,-0.13,-0.01,-0.11,0.0,w
3012.0,3003.0,2928.0,3310.0,4095.0,4095.0,4095.0,3068.0,-2.86,8.41,7.79,0.55,-0.31,-0.74,0.0,w
3005.0,2997.0,2940.0,3303.0,4095.0,4095.0,4095.0,3071.0,-3.13,8.21,7.92,-0.23,-0.45,-0.24,0.0,w
3007.0,2999.0,2933.0,3311.0,4095.0,4095.0,4095.0,3069.0,-3.39,8.49,7.88,0.21,-0.22,-0.46,0.0,w
3008.0,2993.0,2938.0,3308.0,4095.0,4095.0,4095.0,3082.0,-3.33,8.08,8.0,0.11,-0.6,-0.48,0.0,w
3008.0,2997.0,2929.0,3312.0,4095.0,4095.0,4095.0,3082.0,-3.96,8.06,8.1,-0.0,-0.21,-0.3,0.0,w
3000.0,2998.0,2928.0,3316.0,4095.0,4095.0,4095.0,3070.0,-3.89,8.01,8.13,0.11,-0.38,-0.33,0.0,w
3009.0,3006.0,2940.0,3306.0,4095.0,4095.0,4095.0,3056.0,-3.68,8.1,7.99,0.08,-0.36,-0.32,0.0,w
3006.0,3007.0,2934.0,3255.0,4095.0,4095.0,4095.0,3026.0,-3.0,7.25,7.86,0.22,-0.66,-0.25,0.0,w
3011.0,2993.0,2930.0,3242.0,4095.0,4095.0,4095.0,3024.0,-3.94,7.67,8.25,-0.1,0.12,-0.42,0.0,w
3004.0,3007.0,2939.0,3242.0,4095.0,4095.0,4095.0,3031.0,-5.12,8.0,8.37,-0.09,-0.02,-0.46,0.0,w
3008.0,3004.0,2940.0,3239.0,4095.0,4095.0,4095.0,3031.0,-5.49,8.1,8.08,-0.14,0.05,-0.12,0.0,w
2999.0,2997.0,2939.0,3238.0,4095.0,4095.0,4095.0,3030.0,-4.42,8.04,8.37,-0.14,0.05,0.04,0.0,w
3002.0,2996.0,2942.0,3239.0,4095.0,4095.0,4095.0,3031.0,-4.03,7.98,8.38,-0.27,0.13,0.15,0.0,w
3007.0,3014.0,2935.0,3247.0,4095.0,4095.0,4095.0,3035.0,-3.66,7.85,8.68,-0.22,0.05,0.04,0.0,w
2995.0,2994.0,2931.0,3243.0,4095.0,4095.0,4095.0,3043.0,-3.81,7.81,8.82,-0.2,0.19,0.1,0.0,w
3007.0,2997.0,2934.0,3251.0,4095.0,4095.0,4095.0,3037.0,-3.59,7.9,8.84,-0.22,0.26,0.16,0.0,w
2999.0,3012.0,2937.0,3248.0,4095.0,4095.0,4095.0,3031.0,-3.41,7.95,8.7,-0.16,0.23,0.14,0.0,w
2996.0,3013.0,2940.0,3251.0,4095.0,4095.0,4095.0,3037.0,-2.86,7.93,8.59,-0.15,0.25,0.16,0.0,w
2999.0,3000.0,2940.0,3248.0,4095.0,4095.0,4095.0,3038.0,-3.28,8.05,8.92,-0.25,0.3,0.11,0.0,w
3005.0,3002.0,2944.0,3247.0,4095.0,4095.0,4095.0,3031.0,-3.4,8.45,8.61,0.02,0.31,0.13,0.0,w
2994.0,3011.0,2928.0,3242.0,4095.0,4095.0,4095.0,3037.0,-2.8,8.29,8.72,0.14,-0.18,-0.14,0.0,w
3001.0,3019.0,2931.0,3223.0,4095.0,4095.0,4095.0,3024.0,-1.61,8.68,8.32,-0.17,0.06,0.01,0.0,w
3005.0,3020.0,2928.0,3230.0,4095.0,4095.0,4095.0,3027.0,-1.59,8.31,8.92,-0.1,0.03,-0.26,0.0,w
2998.0,3003.0,2931.0,3227.0,4095.0,4095.0,4095.0,3038.0,-2.83,8.44,8.84,-0.13,-0.07,-0.44,0.0,w
2985.0,2999.0,2925.0,3223.0,4095.0,4095.0,4095.0,3034.0,-3.62,8.6,8.9,-0.01,-0.11,-0.4,0.0,w
2992.0,2997.0,2928.0,3228.0,4095.0,4095.0,4095.0,3040.0,-3.52,8.36,9.0,0.04,-0.21,-0.29,0.0,w
