hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2893.0,3806.0,2992.0,3490.0,4095.0,4095.0,4095.0,3636.0,1.36,8.08,6.1,-0.14,0.1,0.08,1.0,w
2884.0,3795.0,2987.0,3477.0,4095.0,4095.0,4095.0,3638.0,0.91,7.91,6.38,-0.11,0.0,0.0,1.0,w
2887.0,3801.0,2995.0,3477.0,4095.0,4095.0,4095.0,3638.0,0.66,7.94,6.58,-0.1,-0.04,0.01,1.0,w
2893.0,3813.0,2992.0,3481.0,4095.0,4095.0,4095.0,3640.0,0.81,8.07,6.56,0.04,0.0,-0.02,1.0,w
2890.0,3833.0,2992.0,3477.0,4095.0,4095.0,4095.0,3643.0,0.77,8.07,6.32,-0.04,0.03,-0.04,1.0,w
2881.0,3854.0,2991.0,3471.0,4095.0,4095.0,4095.0,3648.0,0.95,7.98,6.22,0.07,0.03,-0.1,1.0,w
2895.0,3845.0,2991.0,3476.0,4095.0,4095.0,4095.0,3641.0,0.77,8.09,5.98,-0.02,0.01,-0.15,1.0,w
2885.0,3839.0,2987.0,3469.0,4095.0,4095.0,4095.0,3648.0,0.46,8.22,6.12,-0.05,-0.05,-0.16,1.0,w
2890.0,3853.0,2991.0,3474.0,4095.0,4095.0,4095.0,3648.0,0.35,7.99,6.43,-0.11,-0.1,-0.1,1.0,w
2885.0,3866.0,2993.0,3470.0,4095.0,4095.0,4095.0,3653.0,0.43,8.02,6.43,-0.02,-0.06,-0.06,1.0,w
2890.0,3889.0,2999.0,3471.0,4095.0,4095.0,4095.0,3646.0,0.56,7.99,6.24,0.0,-0.08,-0.07,1.0,w
2886.0,3881.0,2987.0,3471.0,4095.0,4095.0,4095.0,3650.0,0.54,8.12,6.09,-0.02,-0.03,-0.07,1.0,w
2895.0,3899.0,2993.0,3472.0,4095.0,4095.0,4095.0,3645.0,0.58,8.14,6.01,0.05,-0.04,-0.09,1.0,w
2881.0,3899.0,2991.0,3467.0,4095.0,4095.0,4095.0,3650.0,0.6,8.16,6.01,-0.06,-0.05,-0.06,1.0,w
2885.0,3900.0,2999.0,3477.0,4095.0,4095.0,4095.0,3637.0,0.65,8.14,6.06,-0.03,-0.03,-0.08,1.0,w
2889.0,3887.0,2985.0,3455.0,4095.0,4095.0,4095.0,3647.0,0.49,8.23,6.15,-0.03,-0.03,-0.09,1.0,w
2889.0,3917.0,2992.0,3462.0,4095.0,4095.0,4095.0,3638.0,0.54,8.16,5.9,0.05,0.01,-0.09,1.0,w
2887.0,3930.0,2999.0,3456.0,4095.0,4095.0,4095.0,3653.0,0.43,8.3,5.91,-0.03,0.01,-0.09,1.0,w
2891.0,3920.0,2996.0,3454.0,4095.0,4095.0,4095.0,3651.0,0.49,8.23,6.21,-0.04,0.06,-0.07,1.0,w
2880.0,3982.0,2991.0,3452.0,4095.0,4095.0,4095.0,3641.0,0.38,8.05,6.5,-0.03,0.09,-0.08,1.0,w
2883.0,4095.0,2979.0,3433.0,4095.0,4095.0,4095.0,3648.0,-3.19,7.76,6.38,-0.21,-0.0,-0.11,1.0,w
2877.0,4095.0,2989.0,3430.0,4095.0,4095.0,4095.0,3645.0,-2.57,7.78,6.2,-0.09,0.03,-0.07,1.0,w
2880.0,4095.0,2992.0,3431.0,4095.0,4095.0,4095.0,3639.0,-2.43,7.74,6.11,-0.16,0.1,0.01,1.0,w
2885.0,4095.0,2992.0,3435.0,4095.0,4095.0,4095.0,3642.0,-2.32,7.76,6.11,-0.1,0.06,-0.0,1.0,w
2883.0,4095.0,2992.0,3435.0,4095.0,4095.0,4095.0,3648.0,-2.35,7.71,6.18,-0.13,0.03,0.01,1.0,w
2878.0,4095.0,2992.0,3426.0,4095.0,4095.0,4095.0,3647.0,-2.28,7.74,6.26,-0.1,-0.01,0.02,1.0,w
2885.0,4095.0,2986.0,3435.0,4095.0,4095.0,4095.0,3637.0,-2.21,7.69,6.28,-0.04,0.0,0.02,1.0,w
2886.0,4095.0,2995.0,3440.0,4095.0,4095.0,4095.0,3650.0,-2.09,7.75,6.06,-0.03,0.01,-0.01,1.0,w
2883.0,4095.0,2992.0,3435.0,4095.0,4095.0,4095.0,3639.0,-2.18,7.82,5.78,-0.03,0.03,-0.04,1.0,w
2890.0,4095.0,2989.0,3440.0,4095.0,4095.0,4095.0,3642.0,-2.3,7.75,5.77,-0.11,0.03,-0.03,1.0,w
2879.0,4095.0,2985.0,3437.0,4095.0,4095.0,4095.0,3651.0,-2.04,7.99,5.45,-0.11,0.07,-0.05,1.0,w
2871.0,4095.0,2994.0,3430.0,4095.0,4095.0,4095.0,3654.0,-2.12,7.69,5.83,-0.28,-0.02,-0.12,1.0,w
2894.0,4095.0,3001.0,3437.0,4095.0,4095.0,4095.0,3648.0,-2.76,7.42,6.58,-0.2,0.0,-0.1,1.0,w
2883.0,4095.0,2984.0,3438.0,4095.0,4095.0,4095.0,3649.0,-2.59,7.56,6.67,-0.18,0.03,0.0,1.0,w
2878.0,4095.0,2989.0,3428.0,4095.0,4095.0,4095.0,3660.0,-2.41,7.49,6.48,-0.02,-0.0,0.0,1.0,w
2886.0,4095.0,2995.0,3440.0,4095.0,4095.0,4095.0,3642.0,-2.24,7.56,6.31,-0.07,0.02,-0.01,1.0,w
