hall_1_L,hall_2_L,hall_3_L,flex_t_L,flex_i_L,flex_m_L,flex_r_L,flex_p_L,accel_x_L,accel_y_L,accel_z_L,gyro_x_L,gyro_y_L,gyro_z_L,hand,hall_1_R,hall_2_R,hall_3_R,flex_t_R,flex_i_R,flex_m_R,flex_r_R,flex_p_R,accel_x_R,accel_y_R,accel_z_R,gyro_x_R,gyro_y_R,gyro_z_R,hand,sign
3056.0,1314.0,2800.0,3798.0,3413.0,3732.0,4095.0,4095.0,2.56,-6.89,11.2,0.15,-0.24,-0.09,0.0,3053.0,1562.0,3547.0,3206.0,4095.0,4095.0,4095.0,3328.0,-0.73,-6.07,7.84,-0.13,0.24,-0.01,1.0,what's-your-name
3071.0,1535.0,2769.0,3825.0,3408.0,3722.0,4095.0,4095.0,2.07,-7.0,10.91,-0.08,-0.02,-0.26,0.0,3183.0,2790.0,3730.0,3367.0,4095.0,4030.0,4095.0,3999.0,0.11,-5.05,9.99,-0.48,0.32,0.18,1.0,what's-your-name
3066.0,1483.0,2794.0,3853.0,3410.0,3712.0,4095.0,4084.0,3.56,-6.99,10.45,-0.06,0.02,-0.23,0.0,3319.0,990.0,1877.0,3451.0,4095.0,4095.0,4095.0,4095.0,-11.49,-20.7,28.28,3.73,0.5,1.58,1.0,what's-your-name
3049.0,1605.0,2802.0,3909.0,3392.0,3723.0,4095.0,4049.0,2.3,-6.35,10.29,0.11,0.11,-0.15,0.0,1277.0,933.0,2128.0,2795.0,4095.0,4095.0,4095.0,2536.0,-0.6,6.92,-11.15,1.65,0.05,0.49,1.0,what's-your-name
3093.0,2298.0,2773.0,3904.0,3347.0,3749.0,4095.0,3776.0,3.74,-8.07,14.5,0.91,-0.78,-0.41,0.0,1121.0,2559.0,2497.0,2856.0,4095.0,4095.0,4095.0,4045.0,-1.58,-3.43,13.88,-0.61,1.12,0.41,1.0,what's-your-name
3215.0,2997.0,1341.0,2977.0,3267.0,3536.0,2449.0,1664.0,10.21,-3.56,11.65,1.79,-2.73,-4.58,0.0,998.0,2951.0,3043.0,2583.0,4095.0,4095.0,2937.0,1936.0,4.46,8.3,0.81,-0.26,-0.35,0.77,1.0,what's-your-name
3206.0,2977.0,2543.0,3091.0,3364.0,3952.0,2382.0,1917.0,5.38,-0.23,9.69,-0.88,-0.33,0.65,0.0,1196.0,2967.0,3019.0,2658.0,4095.0,4095.0,2899.0,2528.0,-1.56,4.31,0.64,2.19,-0.32,0.39,1.0,what's-your-name
3213.0,2991.0,2435.0,3086.0,3398.0,4009.0,2438.0,1937.0,9.81,6.21,12.5,0.59,-0.5,-0.37,0.0,4095.0,2937.0,3022.0,2864.0,4095.0,3725.0,2898.0,2544.0,-15.57,-2.59,18.67,0.18,1.26,-0.19,1.0,what's-your-name
3521.0,3095.0,2943.0,3999.0,3329.0,3760.0,3487.0,2415.0,7.63,2.94,4.6,3.63,-7.83,-0.39,0.0,3940.0,3127.0,3134.0,2667.0,4095.0,4031.0,3149.0,3063.0,0.28,1.45,3.67,1.57,6.18,-1.46,1.0,what's-your-name
3419.0,2363.0,2819.0,4095.0,3455.0,3973.0,4095.0,3442.0,3.07,6.15,-5.8,2.66,-4.87,-1.63,0.0,4095.0,3889.0,3299.0,2800.0,4095.0,4095.0,4095.0,4095.0,-4.49,-0.12,-12.4,0.56,6.39,-0.94,1.0,what's-your-name
