hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3043.0,941.0,1447.0,3506.0,3130.0,2443.0,2655.0,2603.0,-0.26,8.89,8.79,0.15,0.09,-0.18,x
3046.0,944.0,1442.0,3509.0,3133.0,2448.0,2656.0,2602.0,-0.13,8.98,8.11,0.17,0.02,-0.11,x
3043.0,942.0,1442.0,3507.0,3130.0,2441.0,2657.0,2605.0,0.37,9.11,7.5,0.14,-0.05,-0.13,x
3049.0,934.0,1438.0,3504.0,3129.0,2448.0,2659.0,2607.0,0.34,9.26,7.58,0.02,0.06,-0.16,x
3031.0,935.0,1440.0,3508.0,3125.0,2445.0,2658.0,2608.0,0.09,9.24,8.13,-0.06,-0.15,-0.17,x
3046.0,944.0,1456.0,3510.0,3125.0,2443.0,2653.0,2603.0,0.27,9.17,8.4,-0.04,-0.16,-0.16,x
3031.0,944.0,1441.0,3504.0,3130.0,2447.0,2657.0,2607.0,0.23,8.97,8.37,0.0,-0.03,-0.17,x
3042.0,945.0,1449.0,3504.0,3125.0,2442.0,2657.0,2608.0,0.18,8.98,8.27,0.01,-0.13,-0.21,x
3041.0,940.0,1450.0,3510.0,3127.0,2442.0,2657.0,2608.0,0.16,9.18,8.31,-0.04,-0.11,-0.19,x
3043.0,938.0,1443.0,3506.0,3167.0,2447.0,2655.0,2608.0,0.49,9.08,8.51,-0.1,-0.07,-0.15,x
3046.0,929.0,1443.0,3514.0,3278.0,2443.0,2653.0,2603.0,0.23,8.69,8.69,-0.1,-0.01,-0.21,x
3041.0,939.0,1450.0,3509.0,3329.0,2445.0,2655.0,2605.0,-0.02,8.74,8.74,-0.07,-0.07,-0.17,x
3053.0,943.0,1444.0,3514.0,3376.0,2448.0,2657.0,2602.0,-0.01,8.96,8.82,-0.02,-0.13,-0.13,x
3030.0,938.0,1451.0,3518.0,3391.0,2448.0,2655.0,2605.0,0.11,8.92,8.85,-0.06,-0.01,-0.1,x
3039.0,955.0,1450.0,3509.0,3391.0,2448.0,2658.0,2608.0,0.22,8.8,8.93,-0.01,-0.01,-0.14,x
3044.0,928.0,1449.0,3517.0,3299.0,2450.0,2654.0,2603.0,0.27,8.83,8.88,0.06,-0.06,-0.2,x
