hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3171.0,2876.0,3007.0,2693.0,4095.0,3115.0,2597.0,3087.0,-0.47,9.5,-1.88,-0.05,0.02,-0.02,x
3174.0,2871.0,3008.0,2698.0,4095.0,3120.0,2594.0,3088.0,-0.43,9.59,-1.84,-0.12,0.02,-0.04,x
3171.0,2870.0,3007.0,2701.0,4095.0,3119.0,2594.0,3086.0,-0.42,9.58,-1.48,-0.06,-0.01,0.0,x
3171.0,2874.0,3008.0,2697.0,4095.0,3118.0,2598.0,3087.0,-0.56,9.59,-1.65,-0.06,0.03,-0.04,x
3179.0,2875.0,3009.0,2702.0,4095.0,3120.0,2594.0,3088.0,-0.48,9.66,-1.72,-0.03,0.04,0.02,x
3177.0,2877.0,3015.0,2703.0,4095.0,3120.0,2592.0,3086.0,-0.31,9.49,-1.71,-0.08,0.01,-0.01,x
3173.0,2874.0,3010.0,2694.0,4095.0,3119.0,2592.0,3071.0,-0.25,9.57,-1.7,-0.07,0.03,-0.04,x
3173.0,2864.0,3019.0,2699.0,4095.0,3120.0,2594.0,3085.0,-0.45,9.6,-1.53,-0.08,0.0,-0.02,x
3168.0,2880.0,3013.0,2698.0,4095.0,3120.0,2595.0,3086.0,-0.52,9.55,-1.5,-0.05,0.03,-0.02,x
3175.0,2875.0,3009.0,2699.0,4095.0,3120.0,2595.0,3087.0,-0.35,9.62,-1.68,-0.06,0.03,-0.03,x
3171.0,2873.0,3008.0,2701.0,4095.0,3120.0,2598.0,3087.0,-0.26,9.63,-1.77,-0.05,0.01,-0.02,x
3170.0,2879.0,3012.0,2704.0,4095.0,3120.0,2597.0,3087.0,-0.36,9.61,-1.37,-0.08,-0.03,-0.01,x
3179.0,2871.0,3013.0,2704.0,4095.0,3121.0,2596.0,3088.0,-0.59,9.65,-1.5,-0.03,0.03,-0.03,x
3172.0,2872.0,3008.0,2704.0,4095.0,3121.0,2595.0,3083.0,-0.49,9.49,-1.51,-0.03,-0.02,0.03,x
3170.0,2878.0,3014.0,2704.0,4095.0,3122.0,2595.0,3088.0,-0.44,9.69,-1.41,-0.04,0.01,-0.0,x
3174.0,2877.0,3006.0,2704.0,4095.0,3120.0,2598.0,3087.0,-0.54,9.52,-1.54,-0.02,0.0,0.04,x
