hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3233.0,3026.0,1757.0,3910.0,4095.0,4095.0,2891.0,2423.0,0.53,10.01,4.02,0.03,-0.01,-0.17,0.0,x
3217.0,2998.0,1757.0,3920.0,4095.0,4095.0,2887.0,2430.0,0.51,9.86,4.29,-0.01,-0.01,-0.17,0.0,x
3227.0,3008.0,1745.0,3906.0,4095.0,4095.0,2890.0,2435.0,0.52,9.9,4.33,0.04,0.0,-0.18,0.0,x
3237.0,3008.0,1765.0,3910.0,4095.0,4095.0,2890.0,2433.0,0.37,9.8,4.49,-0.01,0.01,-0.14,0.0,x
3248.0,3009.0,1748.0,3910.0,4095.0,4095.0,2885.0,2438.0,0.26,10.01,4.05,0.04,0.04,-0.15,0.0,x
3248.0,3009.0,1744.0,3903.0,4095.0,4095.0,2877.0,2432.0,0.48,9.84,4.12,0.01,-0.02,-0.14,0.0,x
3258.0,3011.0,1751.0,3920.0,4095.0,4095.0,2889.0,2435.0,0.62,10.01,4.01,0.0,-0.01,-0.16,0.0,x
3280.0,3001.0,1755.0,3921.0,4095.0,4095.0,2885.0,2434.0,0.34,9.9,4.2,0.0,-0.04,-0.15,0.0,x
3286.0,3014.0,1757.0,3931.0,4095.0,4095.0,2885.0,2439.0,0.43,9.94,4.24,-0.01,-0.01,-0.15,0.0,x
3266.0,3003.0,1753.0,3919.0,4095.0,4095.0,2887.0,2435.0,0.39,9.78,4.3,0.04,-0.02,-0.16,0.0,x
3263.0,3004.0,1742.0,3927.0,4095.0,4095.0,2886.0,2448.0,0.43,9.92,4.13,0.01,-0.01,-0.14,0.0,x
3276.0,3005.0,1761.0,3933.0,4095.0,4095.0,2896.0,2447.0,0.4,9.89,4.3,0.04,-0.05,-0.15,0.0,x
3025.0,3411.0,2627.0,3633.0,2928.0,2070.0,2496.0,2443.0,2.02,9.41,6.98,0.09,-0.04,-0.2,0.0,x
3019.0,3398.0,2619.0,3631.0,2928.0,2067.0,2509.0,2439.0,2.47,9.62,6.81,-0.04,-0.07,-0.19,0.0,x
3027.0,3395.0,2626.0,3629.0,2929.0,2067.0,2503.0,2441.0,2.42,9.28,7.17,0.03,-0.04,-0.19,0.0,x
3025.0,3405.0,2618.0,3632.0,2931.0,2079.0,2512.0,2448.0,2.29,9.18,7.11,0.02,-0.1,-0.28,0.0,x
3036.0,3405.0,2618.0,3632.0,2935.0,2082.0,2510.0,2447.0,1.91,9.32,6.92,0.04,-0.07,-0.29,0.0,x
3023.0,3393.0,2619.0,3631.0,2935.0,2079.0,2510.0,2446.0,1.7,9.23,6.98,-0.02,-0.1,-0.24,0.0,x
3027.0,3402.0,2608.0,3632.0,2934.0,2081.0,2507.0,2447.0,1.82,9.24,7.03,0.0,-0.08,-0.2,0.0,x
3027.0,3391.0,2621.0,3631.0,2942.0,2080.0,2509.0,2448.0,1.78,9.28,7.15,0.02,-0.08,-0.17,0.0,x
3023.0,3386.0,2617.0,3631.0,2934.0,2079.0,2512.0,2458.0,2.02,9.3,7.03,0.07,-0.06,-0.16,0.0,x
3010.0,3408.0,2608.0,3642.0,2949.0,2087.0,2516.0,2449.0,1.92,9.3,6.89,0.01,-0.02,-0.16,0.0,x
3024.0,3388.0,2619.0,3631.0,2950.0,2083.0,2513.0,2455.0,1.93,9.4,6.86,0.01,-0.06,-0.16,0.0,x
3024.0,3399.0,2612.0,3632.0,2950.0,2087.0,2516.0,2455.0,1.97,9.37,6.92,-0.01,-0.02,-0.16,0.0,x
3015.0,3406.0,2609.0,3643.0,2953.0,2087.0,2511.0,2453.0,1.95,9.35,7.0,-0.03,-0.09,-0.17,0.0,x
3020.0,3389.0,2614.0,3651.0,2955.0,2087.0,2516.0,2459.0,1.85,9.28,7.08,0.01,-0.02,-0.17,0.0,x
3021.0,3395.0,2611.0,3635.0,2950.0,2083.0,2512.0,2453.0,1.88,9.34,7.03,0.01,-0.04,-0.14,0.0,x
3030.0,3395.0,2625.0,3639.0,2958.0,2088.0,2518.0,2465.0,1.97,9.31,6.94,0.05,-0.04,-0.13,0.0,x
3024.0,3402.0,2608.0,3639.0,2960.0,2087.0,2516.0,2459.0,2.09,9.29,6.91,-0.01,-0.03,-0.16,0.0,x
3022.0,3408.0,2612.0,3642.0,2960.0,2095.0,2525.0,2464.0,1.9,9.28,6.99,-0.01,-0.03,-0.14,0.0,x
3024.0,3402.0,2609.0,3641.0,2965.0,2096.0,2522.0,2463.0,1.93,9.33,6.98,-0.0,-0.04,-0.12,0.0,x
3030.0,3405.0,2608.0,3639.0,2967.0,2096.0,2529.0,2469.0,2.07,9.38,6.85,0.04,-0.06,-0.14,0.0,x
3011.0,3407.0,2619.0,3649.0,2993.0,2115.0,2544.0,2483.0,2.09,9.32,6.93,0.04,-0.01,-0.16,0.0,x
3028.0,3397.0,2622.0,3643.0,2994.0,2114.0,2544.0,2481.0,2.11,9.3,6.86,-0.0,-0.03,-0.15,0.0,x
3019.0,3397.0,2614.0,3649.0,2994.0,2121.0,2536.0,2490.0,2.06,9.37,6.92,0.04,-0.02,-0.17,0.0,x
3024.0,3395.0,2622.0,3655.0,2993.0,2117.0,2542.0,2485.0,2.03,9.33,6.88,0.03,-0.02,-0.15,0.0,x
3011.0,3401.0,2611.0,3648.0,2997.0,2119.0,2544.0,2486.0,2.1,9.35,6.86,-0.01,0.0,-0.15,0.0,x
3028.0,3398.0,2617.0,3655.0,2995.0,2128.0,2544.0,2487.0,1.99,9.36,6.85,0.01,0.01,-0.15,0.0,x
3024.0,3383.0,2617.0,3649.0,2995.0,2128.0,2544.0,2482.0,2.06,9.33,6.83,0.01,0.0,-0.15,0.0,x
3015.0,3394.0,2615.0,3646.0,2992.0,2119.0,2543.0,2482.0,2.03,9.29,7.02,0.02,-0.01,-0.14,0.0,x
3024.0,3394.0,2610.0,3666.0,3007.0,2128.0,2544.0,2490.0,2.14,9.36,6.96,0.03,0.01,-0.14,0.0,x
3023.0,3405.0,2617.0,3665.0,3014.0,2128.0,2544.0,2490.0,2.12,9.4,6.89,0.01,0.02,-0.15,0.0,x
3022.0,3391.0,2615.0,3664.0,3002.0,2119.0,2544.0,2489.0,2.08,9.35,6.91,0.01,-0.0,-0.16,0.0,x
3026.0,3395.0,2615.0,3684.0,3018.0,2135.0,2549.0,2493.0,2.12,9.33,6.85,0.02,-0.01,-0.16,0.0,x
3007.0,3391.0,2599.0,3673.0,3009.0,2125.0,2544.0,2489.0,2.03,9.36,6.82,0.01,-0.02,-0.16,0.0,x
