hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2926.0,3200.0,3028.0,3142.0,3625.0,2609.0,3023.0,3334.0,-2.03,8.95,4.21,-0.14,-0.26,-0.13,1.0,x
2917.0,3190.0,3046.0,3147.0,3622.0,2610.0,3009.0,3323.0,-1.66,9.05,4.19,-0.14,-0.2,-0.12,1.0,x
2917.0,3195.0,3034.0,3150.0,3627.0,2608.0,3009.0,3312.0,-1.84,8.75,4.57,-0.18,-0.03,-0.06,1.0,x
2913.0,3193.0,3026.0,3158.0,3609.0,2621.0,3017.0,3339.0,-1.79,8.94,4.4,-0.06,0.02,-0.05,1.0,x
2914.0,3164.0,3034.0,3161.0,3634.0,2624.0,3008.0,3344.0,-1.7,9.05,4.14,-0.11,-0.02,-0.02,1.0,x
2928.0,3193.0,3044.0,3155.0,3607.0,2629.0,3011.0,3331.0,-1.59,9.07,4.07,-0.11,0.01,-0.02,1.0,x
2916.0,3193.0,3039.0,3169.0,3620.0,2619.0,3011.0,3342.0,-1.61,8.96,4.12,-0.16,-0.04,-0.02,1.0,x
2923.0,3194.0,3033.0,3154.0,3637.0,2624.0,3022.0,3338.0,-1.74,8.93,4.37,-0.13,0.03,-0.03,1.0,x
2912.0,3198.0,3027.0,3170.0,3659.0,2621.0,3003.0,3357.0,-1.74,8.94,4.3,-0.1,-0.02,0.0,1.0,x
2916.0,3185.0,3030.0,3157.0,3636.0,2631.0,3024.0,3345.0,-1.73,8.96,4.35,-0.07,0.05,-0.01,1.0,x
2912.0,3199.0,3038.0,3171.0,3661.0,2624.0,3023.0,3349.0,-1.64,8.88,4.32,-0.09,-0.0,-0.01,1.0,x
2923.0,3194.0,3038.0,3168.0,3647.0,2630.0,3011.0,3338.0,-1.73,8.96,4.36,-0.06,0.06,0.01,1.0,x
2926.0,3184.0,3042.0,3174.0,3662.0,2631.0,3012.0,3349.0,-1.58,8.95,4.39,-0.05,0.06,0.03,1.0,x
2923.0,3191.0,3030.0,3171.0,3654.0,2636.0,3021.0,3346.0,-1.69,9.0,4.26,-0.06,0.04,0.05,1.0,x
