hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2922.0,3674.0,3120.0,3095.0,4095.0,2868.0,3088.0,3177.0,-0.86,9.36,3.61,-0.04,-0.01,-0.04,1.0,x
2930.0,3693.0,3124.0,3089.0,4095.0,2875.0,3098.0,3187.0,-0.92,9.39,3.45,-0.05,0.02,-0.03,1.0,x
2925.0,3694.0,3120.0,3093.0,4095.0,2869.0,3101.0,3182.0,-0.86,9.4,3.68,-0.07,0.02,-0.02,1.0,x
2916.0,3664.0,3120.0,3098.0,4095.0,2876.0,3089.0,3169.0,-0.95,9.42,3.51,-0.05,0.0,-0.04,1.0,x
2926.0,3675.0,3118.0,3098.0,4095.0,2870.0,3090.0,3178.0,-0.82,9.45,3.52,-0.05,0.03,-0.02,1.0,x
2913.0,3678.0,3128.0,3090.0,4095.0,2871.0,3093.0,3168.0,-0.88,9.39,3.66,-0.08,-0.01,-0.04,1.0,x
2931.0,3703.0,3121.0,3101.0,4095.0,2875.0,3098.0,3169.0,-0.88,9.41,3.55,-0.07,0.01,-0.03,1.0,x
2928.0,3679.0,3121.0,3088.0,4095.0,2883.0,3098.0,3171.0,-0.82,9.41,3.56,-0.06,0.01,-0.03,1.0,x
2928.0,3696.0,3109.0,3087.0,4095.0,2881.0,3097.0,3170.0,-0.87,9.44,3.58,-0.07,-0.01,-0.03,1.0,x
2922.0,3676.0,3120.0,3094.0,4095.0,2881.0,3099.0,3182.0,-0.81,9.41,3.62,-0.06,-0.01,-0.02,1.0,x
2924.0,3696.0,3115.0,3082.0,4095.0,2884.0,3097.0,3169.0,-0.81,9.44,3.49,-0.06,-0.02,-0.04,1.0,x
2927.0,3691.0,3120.0,3089.0,4095.0,2879.0,3091.0,3166.0,-0.85,9.43,3.64,-0.06,-0.0,-0.04,1.0,x
2922.0,3675.0,3120.0,3098.0,4095.0,2884.0,3089.0,3170.0,-0.84,9.39,3.66,-0.05,0.01,-0.03,1.0,x
2913.0,3698.0,3120.0,3095.0,4090.0,2871.0,3098.0,3173.0,-0.88,9.43,3.48,-0.09,-0.01,-0.03,1.0,x
2915.0,3682.0,3118.0,3098.0,4095.0,2873.0,3098.0,3177.0,-0.85,9.4,3.63,-0.06,-0.0,-0.04,1.0,x
2918.0,3679.0,3118.0,3089.0,4087.0,2875.0,3094.0,3175.0,-0.74,9.41,3.63,-0.07,-0.0,-0.04,1.0,x
2913.0,3681.0,3114.0,3090.0,4094.0,2874.0,3102.0,3167.0,-0.86,9.38,3.66,-0.08,0.0,-0.03,1.0,x
2918.0,3682.0,3107.0,3090.0,4095.0,2886.0,3099.0,3181.0,-0.82,9.46,3.57,-0.06,0.01,-0.04,1.0,x
2918.0,3667.0,3116.0,3099.0,4095.0,2879.0,3094.0,3173.0,-0.8,9.41,3.62,-0.06,0.0,-0.03,1.0,x
2928.0,3671.0,3120.0,3098.0,4095.0,2889.0,3105.0,3172.0,-0.81,9.42,3.55,-0.08,0.0,-0.03,1.0,x
2918.0,3684.0,3116.0,3105.0,4095.0,2894.0,3093.0,3168.0,-0.77,9.37,3.7,-0.05,-0.01,-0.03,1.0,x
2928.0,3681.0,3121.0,3107.0,4095.0,2883.0,3101.0,3179.0,-0.81,9.39,3.62,-0.06,0.0,-0.04,1.0,x
2918.0,3693.0,3098.0,3111.0,4095.0,2880.0,3100.0,3181.0,-0.79,9.36,3.71,-0.07,0.02,-0.02,1.0,x
2922.0,3698.0,3121.0,3114.0,4095.0,2891.0,3109.0,3177.0,-0.84,9.38,3.68,-0.06,0.01,-0.03,1.0,x
2928.0,3696.0,3120.0,3119.0,4095.0,2886.0,3105.0,3185.0,-0.8,9.4,3.59,-0.05,0.01,-0.03,1.0,x
2912.0,3693.0,3135.0,3104.0,4095.0,2896.0,3097.0,3177.0,-0.79,9.34,3.63,-0.07,0.02,-0.02,1.0,x
2906.0,3699.0,3120.0,3111.0,4095.0,2881.0,3107.0,3184.0,-0.84,9.38,3.59,-0.06,-0.01,-0.04,1.0,x
2922.0,3670.0,3107.0,3116.0,4095.0,2885.0,3101.0,3177.0,-0.74,9.42,3.63,-0.05,-0.01,-0.03,1.0,x
2915.0,3679.0,3113.0,3123.0,4095.0,2898.0,3109.0,3189.0,-0.77,9.4,3.65,-0.06,0.01,-0.04,1.0,x
2915.0,3698.0,3124.0,3105.0,4095.0,2886.0,3104.0,3185.0,-0.8,9.34,3.72,-0.06,0.0,-0.03,1.0,x
2923.0,3677.0,3115.0,3108.0,4095.0,2911.0,3098.0,3185.0,-0.78,9.42,3.61,-0.05,0.0,-0.03,1.0,x
2913.0,3683.0,3120.0,3107.0,4095.0,2891.0,3114.0,3174.0,-0.79,9.41,3.53,-0.06,-0.0,-0.02,1.0,x
2925.0,3670.0,3125.0,3111.0,4095.0,2897.0,3107.0,3176.0,-0.75,9.41,3.65,-0.06,-0.0,-0.03,1.0,x
2926.0,3690.0,3120.0,3109.0,4095.0,2882.0,3101.0,3185.0,-0.74,9.43,3.56,-0.06,0.01,-0.02,1.0,x
2928.0,3696.0,3119.0,3106.0,4095.0,2896.0,3106.0,3186.0,-0.68,9.38,3.77,-0.05,0.01,-0.06,1.0,x
2928.0,3680.0,3120.0,3113.0,4095.0,2896.0,3111.0,3189.0,-0.83,9.44,3.5,-0.02,-0.01,-0.06,1.0,x
2918.0,3677.0,3100.0,3106.0,4095.0,2896.0,3107.0,3181.0,-0.78,9.5,3.46,-0.03,-0.02,-0.03,1.0,x
2915.0,3692.0,3120.0,3114.0,4095.0,2890.0,3117.0,3186.0,-0.9,9.45,3.44,-0.06,0.01,-0.05,1.0,x
2925.0,3675.0,3126.0,3114.0,4095.0,2896.0,3113.0,3184.0,-0.85,9.45,3.51,-0.05,0.01,-0.03,1.0,x
2912.0,3664.0,3122.0,3114.0,4095.0,2885.0,3113.0,3184.0,-0.8,9.48,3.41,-0.06,0.0,-0.04,1.0,x
2919.0,3392.0,3088.0,3127.0,3943.0,2823.0,3095.0,3067.0,-1.29,9.64,2.77,-0.07,0.01,-0.02,1.0,x
2929.0,3398.0,3071.0,3129.0,3932.0,2827.0,3095.0,3069.0,-1.22,9.57,2.82,-0.05,-0.01,0.01,1.0,x
2912.0,3385.0,3088.0,3139.0,3949.0,2830.0,3093.0,3066.0,-1.12,9.6,2.77,-0.1,0.0,0.01,1.0,x
2923.0,3376.0,3071.0,3131.0,3961.0,2831.0,3095.0,3071.0,-1.04,9.63,2.83,-0.06,0.04,-0.04,1.0,x
2919.0,3374.0,3086.0,3152.0,3937.0,2832.0,3093.0,3068.0,-1.03,9.64,2.88,-0.07,-0.01,-0.02,1.0,x
2927.0,3390.0,3088.0,3145.0,3952.0,2825.0,3093.0,3069.0,-1.08,9.59,2.89,-0.06,0.01,0.01,1.0,x
2928.0,3375.0,3071.0,3143.0,3953.0,2839.0,3090.0,3088.0,-0.93,9.63,2.82,-0.06,0.03,0.01,1.0,x
2906.0,3371.0,3067.0,3155.0,3937.0,2832.0,3088.0,3071.0,-0.96,9.62,2.95,-0.05,-0.01,-0.02,1.0,x
2926.0,3381.0,3063.0,3147.0,3952.0,2832.0,3085.0,3090.0,-0.82,9.58,2.94,-0.09,-0.01,-0.01,1.0,x
2923.0,3388.0,3071.0,3157.0,3952.0,2826.0,3102.0,3087.0,-0.93,9.58,2.96,-0.08,-0.01,-0.03,1.0,x
2910.0,3377.0,3079.0,3158.0,3939.0,2839.0,3101.0,3097.0,-0.92,9.61,3.0,-0.07,-0.0,-0.01,1.0,x
2922.0,3391.0,3071.0,3152.0,3945.0,2839.0,3095.0,3090.0,-0.99,9.57,2.99,-0.07,0.0,-0.01,1.0,x
2908.0,3383.0,3087.0,3164.0,3940.0,2832.0,3105.0,3102.0,-0.96,9.63,2.91,-0.1,0.02,0.01,1.0,x
2930.0,3376.0,3091.0,3152.0,3919.0,2842.0,3101.0,3089.0,-0.79,9.56,3.21,-0.07,0.02,-0.01,1.0,x
2921.0,3395.0,3071.0,3159.0,3904.0,2843.0,3104.0,3095.0,-0.79,9.61,2.97,-0.05,-0.02,-0.03,1.0,x
2913.0,3386.0,3086.0,3171.0,3920.0,2832.0,3093.0,3105.0,-0.84,9.64,2.94,-0.07,-0.02,-0.03,1.0,x
2925.0,3382.0,3095.0,3159.0,3890.0,2845.0,3098.0,3102.0,-0.83,9.6,2.98,-0.08,-0.0,-0.02,1.0,x
2934.0,3377.0,3087.0,3173.0,3920.0,2832.0,3091.0,3082.0,-0.73,9.65,3.01,-0.06,-0.01,-0.03,1.0,x
2912.0,3376.0,3089.0,3163.0,3934.0,2832.0,3103.0,3105.0,-0.76,9.63,2.98,-0.06,-0.02,-0.05,1.0,x
2918.0,3376.0,3071.0,3166.0,3899.0,2837.0,3100.0,3105.0,-0.83,9.63,2.98,-0.06,-0.03,-0.05,1.0,x
2911.0,3386.0,3082.0,3167.0,3891.0,2834.0,3089.0,3111.0,-0.79,9.64,2.95,-0.06,0.0,-0.03,1.0,x
2928.0,3390.0,3069.0,3168.0,3915.0,2842.0,3089.0,3109.0,-0.8,9.57,3.12,-0.08,0.0,-0.02,1.0,x
2933.0,3363.0,3085.0,3170.0,3907.0,2847.0,3097.0,3102.0,-0.77,9.59,3.05,-0.05,0.02,-0.03,1.0,x
2914.0,3367.0,3061.0,3173.0,3918.0,2838.0,3104.0,3113.0,-0.79,9.6,2.93,-0.07,-0.01,-0.04,1.0,x
2922.0,3389.0,3093.0,3173.0,3901.0,2848.0,3098.0,3120.0,-0.82,9.58,2.95,-0.09,-0.01,-0.04,1.0,x
2919.0,3382.0,3087.0,3175.0,3935.0,2843.0,3103.0,3115.0,-0.83,9.53,3.17,-0.05,0.01,-0.03,1.0,x
2915.0,3365.0,3071.0,3170.0,3914.0,2849.0,3113.0,3118.0,-0.73,9.61,2.99,-0.07,-0.0,-0.05,1.0,x
2927.0,3374.0,3079.0,3179.0,3935.0,2848.0,3101.0,3102.0,-0.89,9.55,3.08,-0.05,-0.01,-0.04,1.0,x
2917.0,3379.0,3069.0,3183.0,3952.0,2853.0,3103.0,3104.0,-0.72,9.59,3.01,-0.08,-0.02,-0.04,1.0,x
2923.0,3392.0,3071.0,3171.0,3945.0,2862.0,3103.0,3120.0,-0.86,9.58,3.1,-0.07,-0.0,-0.04,1.0,x
2913.0,3380.0,3066.0,3171.0,3935.0,2854.0,3105.0,3119.0,-0.76,9.62,3.02,-0.08,0.01,-0.04,1.0,x
2911.0,3392.0,3086.0,3184.0,3941.0,2849.0,3101.0,3110.0,-0.78,9.58,3.11,-0.1,-0.0,-0.04,1.0,x
2910.0,3357.0,3083.0,3182.0,3961.0,2855.0,3109.0,3121.0,-0.85,9.6,3.13,-0.06,0.01,-0.04,1.0,x
2908.0,3382.0,3079.0,3186.0,3964.0,2854.0,3091.0,3120.0,-0.59,9.61,3.16,-0.04,0.01,-0.03,1.0,x
2927.0,3378.0,3084.0,3187.0,3972.0,2847.0,3101.0,3108.0,-0.74,9.53,3.13,-0.08,0.0,-0.04,1.0,x
2919.0,3376.0,3091.0,3167.0,3986.0,2847.0,3089.0,3112.0,-0.84,9.54,3.16,-0.08,-0.0,-0.03,1.0,x
2928.0,3376.0,3063.0,3194.0,3967.0,2851.0,3101.0,3115.0,-0.7,9.57,3.14,-0.04,0.02,-0.04,1.0,x
2915.0,3389.0,3071.0,3181.0,3999.0,2858.0,3105.0,3123.0,-0.72,9.55,3.19,-0.08,-0.01,-0.03,1.0,x
2916.0,3375.0,3088.0,3185.0,4001.0,2850.0,3115.0,3113.0,-0.84,9.56,3.21,-0.09,-0.01,-0.02,1.0,x
2927.0,3393.0,3088.0,3200.0,3982.0,2864.0,3092.0,3120.0,-0.75,9.6,3.12,-0.07,-0.03,-0.05,1.0,x
2928.0,3239.0,3254.0,3133.0,3941.0,2853.0,3041.0,2865.0,-1.16,9.67,2.75,-0.08,0.0,-0.01,1.0,x
2907.0,3254.0,3274.0,3130.0,3951.0,2852.0,3031.0,2892.0,-1.21,9.6,2.9,-0.09,-0.04,0.01,1.0,x
2928.0,3246.0,3275.0,3135.0,3974.0,2846.0,3050.0,2896.0,-1.1,9.66,2.71,-0.01,0.0,-0.03,1.0,x
