hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3031.0,4043.0,1364.0,3455.0,3901.0,2307.0,3056.0,3035.0,-0.96,8.88,7.78,-0.08,0.01,0.05,0.0,x
3025.0,4032.0,1359.0,3442.0,3886.0,2305.0,3058.0,3030.0,-0.3,9.57,8.07,-0.04,-0.09,-0.1,0.0,x
3031.0,4048.0,1365.0,3445.0,3894.0,2317.0,3066.0,3039.0,-0.79,9.48,8.66,0.03,-0.22,-0.3,0.0,x
3025.0,4048.0,1363.0,3443.0,3921.0,2314.0,3068.0,3044.0,-0.89,9.47,8.36,0.16,-0.29,-0.41,0.0,x
3034.0,4055.0,1362.0,3450.0,3917.0,2313.0,3062.0,3038.0,-1.8,9.28,8.4,0.24,-0.19,-0.41,0.0,x
3035.0,4051.0,1349.0,3441.0,3929.0,2314.0,3066.0,3042.0,-1.93,9.21,7.94,0.31,-0.3,-0.43,0.0,x
3027.0,4048.0,1361.0,3451.0,3927.0,2315.0,3067.0,3039.0,-2.13,8.95,7.89,0.36,-0.29,-0.35,0.0,x
3036.0,4049.0,1358.0,3451.0,3930.0,2317.0,3071.0,3045.0,-1.78,9.04,7.64,0.31,-0.3,-0.32,0.0,x
3027.0,4069.0,1360.0,3447.0,3931.0,2318.0,3071.0,3050.0,-1.61,8.91,7.48,0.29,-0.33,-0.36,0.0,x
3039.0,4054.0,1358.0,3444.0,3920.0,2317.0,3067.0,3046.0,-1.88,8.83,7.43,0.21,-0.35,-0.4,0.0,x
3039.0,4049.0,1360.0,3451.0,3933.0,2320.0,3071.0,3049.0,-1.98,8.74,7.59,0.21,-0.37,-0.41,0.0,x
3038.0,4065.0,1354.0,3451.0,3931.0,2318.0,3067.0,3043.0,-2.2,8.7,7.41,0.19,-0.33,-0.42,0.0,x
3024.0,4048.0,1347.0,3442.0,3917.0,2317.0,3071.0,3045.0,-2.04,8.96,7.05,0.15,-0.37,-0.38,0.0,x
3031.0,4016.0,1344.0,3379.0,3926.0,2313.0,3054.0,3039.0,-2.23,9.15,7.02,0.06,-0.26,-0.38,0.0,x
3034.0,3793.0,1293.0,3249.0,3915.0,2259.0,2999.0,3012.0,-2.04,8.52,7.69,0.04,-0.42,-0.45,0.0,x
3034.0,3795.0,1307.0,3295.0,3941.0,2276.0,3030.0,3034.0,-2.2,8.71,7.43,0.18,-0.45,-0.49,0.0,x
3040.0,3801.0,1315.0,3323.0,3931.0,2277.0,3046.0,3039.0,-3.13,8.33,7.85,-0.1,-0.24,-0.37,0.0,x
