hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2943.0,3054.0,3523.0,3310.0,4095.0,2951.0,3086.0,3463.0,-2.13,8.98,3.93,-0.11,0.06,-0.02,1.0,x
2935.0,3056.0,3513.0,3312.0,4095.0,2956.0,3088.0,3459.0,-1.95,9.06,3.83,-0.16,0.09,0.01,1.0,x
2950.0,3059.0,3521.0,3313.0,4095.0,2949.0,3088.0,3457.0,-1.86,8.87,4.07,-0.17,0.04,-0.02,1.0,x
2945.0,3071.0,3520.0,3313.0,4095.0,2960.0,3086.0,3455.0,-2.22,8.7,4.22,-0.16,0.2,0.01,1.0,x
2943.0,3066.0,3507.0,3308.0,4095.0,2957.0,3085.0,3458.0,-2.6,8.45,4.34,-0.19,0.19,0.05,1.0,x
2932.0,3054.0,3509.0,3309.0,4095.0,2959.0,3088.0,3466.0,-2.71,8.84,4.0,-0.29,0.2,0.18,1.0,x
2953.0,3056.0,3534.0,3305.0,4095.0,2958.0,3088.0,3459.0,-2.35,8.86,4.25,-0.31,0.16,0.2,1.0,x
2933.0,3061.0,3530.0,3293.0,4095.0,2959.0,3087.0,3456.0,-1.85,8.7,4.85,-0.28,0.14,0.21,1.0,x
2939.0,3045.0,3513.0,3288.0,4095.0,2960.0,3088.0,3466.0,-1.54,8.66,5.01,-0.11,0.25,0.18,1.0,x
2932.0,3061.0,3518.0,3284.0,4095.0,2960.0,3088.0,3461.0,-1.81,8.72,4.87,-0.18,0.26,0.18,1.0,x
2945.0,3055.0,3514.0,3296.0,4095.0,2963.0,3086.0,3454.0,-1.74,8.77,4.73,-0.19,0.21,0.15,1.0,x
2941.0,3060.0,3541.0,3295.0,4095.0,2963.0,3091.0,3463.0,-1.75,8.64,4.72,-0.21,0.25,0.17,1.0,x
2949.0,3083.0,3515.0,3294.0,4095.0,2965.0,3088.0,3465.0,-1.75,8.67,4.97,-0.22,0.21,0.16,1.0,x
