hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3184.0,1937.0,2894.0,3901.0,2886.0,3680.0,2832.0,4095.0,1.77,9.02,-0.26,0.26,-0.01,0.14,y
3187.0,1953.0,2884.0,3860.0,2882.0,3642.0,2736.0,4048.0,1.69,9.25,-0.19,0.15,0.32,-0.1,y
3190.0,1947.0,2875.0,3835.0,2885.0,3653.0,2766.0,4062.0,2.05,9.46,0.49,0.13,0.23,-0.01,y
3191.0,1942.0,2883.0,3794.0,2882.0,3653.0,2791.0,4094.0,2.18,9.44,-0.04,0.21,0.14,0.04,y
3184.0,1947.0,2882.0,3792.0,2884.0,3667.0,2799.0,4095.0,2.16,9.69,-0.54,0.15,0.0,0.0,y
3184.0,1937.0,2879.0,3789.0,2891.0,3664.0,2803.0,4095.0,1.85,9.84,-0.09,0.22,-0.08,0.03,y
3189.0,1938.0,2877.0,3751.0,2890.0,3666.0,2813.0,4095.0,2.22,10.3,-0.91,0.4,-0.19,0.16,y
3186.0,1948.0,2886.0,3750.0,2896.0,3674.0,2811.0,4095.0,2.32,9.41,-2.24,0.26,-0.02,0.3,y
3186.0,1942.0,2882.0,3760.0,2896.0,3667.0,2814.0,4095.0,2.99,7.14,-2.73,-0.72,0.19,-0.04,y
3194.0,1947.0,2885.0,3763.0,2892.0,3674.0,2815.0,4095.0,2.2,7.73,-0.52,-1.44,0.52,-0.67,y
3187.0,1949.0,2875.0,3761.0,2891.0,3668.0,2811.0,4095.0,1.45,9.63,2.75,-1.76,0.24,-0.42,y
3194.0,1945.0,2877.0,3761.0,2894.0,3669.0,2816.0,4095.0,1.37,10.97,4.75,-0.75,-0.12,-0.39,y
3191.0,1943.0,2876.0,3773.0,2895.0,3667.0,2812.0,4095.0,0.84,10.58,4.06,0.56,-0.4,-0.05,y
3196.0,1950.0,2870.0,3760.0,2895.0,3669.0,2817.0,4095.0,1.26,9.96,2.48,1.34,-0.57,0.33,y
3183.0,1945.0,2871.0,3762.0,2894.0,3671.0,2821.0,4095.0,1.46,8.97,0.42,1.69,-0.41,0.34,y
3191.0,1937.0,2868.0,3726.0,2891.0,3681.0,2821.0,4095.0,2.03,8.14,-2.11,1.31,-0.05,0.39,y
3188.0,1949.0,2873.0,3715.0,2896.0,3673.0,2819.0,4095.0,2.72,8.24,-3.05,0.62,0.15,0.3,y
3181.0,1945.0,2868.0,3714.0,2894.0,3673.0,2819.0,4095.0,3.34,7.81,-3.91,-0.15,0.26,0.1,y
3189.0,1942.0,2873.0,3718.0,2895.0,3665.0,2814.0,4091.0,3.67,8.1,-2.6,-1.0,0.23,-0.36,y
3184.0,1942.0,2867.0,3719.0,2896.0,3676.0,2818.0,4085.0,1.76,8.8,-0.55,-1.24,0.12,-0.59,y
3184.0,1942.0,2869.0,3718.0,2897.0,3666.0,2817.0,4093.0,1.71,9.89,0.77,-0.93,0.17,-0.59,y
3184.0,1946.0,2864.0,3719.0,2895.0,3679.0,2826.0,4087.0,1.41,9.99,1.25,-0.77,0.06,-0.24,y
3191.0,1946.0,2871.0,3726.0,2896.0,3679.0,2817.0,4095.0,1.7,10.78,3.07,-0.27,-0.41,0.15,y
3187.0,1945.0,2861.0,3719.0,2898.0,3671.0,2822.0,4095.0,1.28,10.61,2.47,1.0,-0.3,0.27,y
3188.0,1945.0,2864.0,3703.0,2896.0,3677.0,2825.0,4095.0,2.03,9.06,-0.34,1.43,-0.26,0.36,y
3191.0,1946.0,2862.0,3705.0,2900.0,3677.0,2830.0,4095.0,2.68,8.43,-2.24,1.07,-0.09,0.22,y
3191.0,1949.0,2863.0,3714.0,2898.0,3675.0,2829.0,4091.0,3.42,8.5,-2.32,0.71,0.76,-0.43,y
3184.0,1945.0,2863.0,3712.0,2898.0,3672.0,2827.0,4080.0,2.55,8.64,-3.45,0.41,0.9,-0.51,y
3187.0,1949.0,2864.0,3715.0,2903.0,3675.0,2831.0,4074.0,2.43,8.83,-3.13,-0.03,1.05,-0.59,y
3193.0,1937.0,2863.0,3728.0,2898.0,3671.0,2831.0,4074.0,1.91,9.37,-2.42,-0.03,1.23,-0.85,y
3184.0,1937.0,2855.0,3731.0,2906.0,3675.0,2836.0,4067.0,1.72,9.46,-2.25,-0.03,0.88,-0.7,y
3184.0,1945.0,2865.0,3735.0,2910.0,3674.0,2839.0,4076.0,-0.42,9.42,-2.96,-0.16,-0.6,0.1,y
3185.0,1937.0,2850.0,3728.0,2903.0,3670.0,2834.0,4069.0,2.14,9.68,-2.63,-0.34,-1.68,0.62,y
3193.0,1941.0,2852.0,3731.0,2907.0,3678.0,2835.0,4082.0,1.5,9.37,-2.26,-0.52,-1.86,0.73,y
3184.0,1946.0,2864.0,3703.0,2910.0,3690.0,2846.0,4079.0,2.29,9.35,-2.15,-0.59,-1.93,0.86,y
3184.0,1950.0,2851.0,3647.0,2907.0,3696.0,2839.0,4032.0,3.16,8.86,-2.41,-0.99,-3.28,1.53,y
3183.0,1943.0,2849.0,3643.0,2907.0,3679.0,2844.0,4003.0,3.85,9.07,-1.23,-0.29,-0.47,0.42,y
3189.0,1947.0,2849.0,3583.0,2902.0,3695.0,2851.0,4014.0,3.29,9.23,-1.6,-0.24,-0.2,0.44,y
3194.0,1941.0,2853.0,3514.0,2907.0,3685.0,2849.0,4046.0,4.61,9.09,-0.91,-0.27,0.17,0.02,y
3195.0,1946.0,2862.0,3570.0,2907.0,3693.0,2855.0,4049.0,4.14,8.86,-0.87,1.26,3.22,-1.71,y
3184.0,1941.0,2853.0,3636.0,2909.0,3691.0,2851.0,4068.0,1.07,9.56,-2.71,0.88,1.85,-1.24,y
3193.0,1939.0,2864.0,3701.0,2912.0,3682.0,2857.0,4092.0,1.11,9.29,-2.35,0.35,0.32,-0.41,y
3187.0,1952.0,2861.0,3761.0,2913.0,3696.0,2861.0,4085.0,0.3,9.41,-2.86,0.12,-0.65,0.06,y
3193.0,1941.0,2860.0,3776.0,2914.0,3687.0,2852.0,4080.0,0.14,9.01,-3.04,-0.31,-1.68,0.58,y
3190.0,1943.0,2862.0,3770.0,2915.0,3695.0,2850.0,4078.0,0.94,9.28,-3.45,-0.74,-2.45,1.23,y
3194.0,1942.0,2861.0,3770.0,2917.0,3685.0,2858.0,4079.0,3.06,9.0,-1.46,-0.21,-0.26,0.49,y
3185.0,1940.0,2857.0,3753.0,2917.0,3695.0,2853.0,4080.0,2.83,8.51,-1.66,-0.22,-0.46,0.47,y
3195.0,1937.0,2864.0,3725.0,2914.0,3693.0,2860.0,4079.0,3.82,9.24,-1.78,-0.26,-0.43,0.48,y
3193.0,1934.0,2874.0,3711.0,2915.0,3699.0,2863.0,4095.0,3.2,9.22,-1.98,-0.13,-0.05,-0.05,y
3200.0,1918.0,2885.0,3710.0,2922.0,3713.0,2883.0,4095.0,3.38,8.86,-1.73,0.04,0.29,0.02,y
3195.0,1904.0,2899.0,3719.0,2932.0,3728.0,2928.0,4095.0,3.59,9.19,-2.11,0.1,0.48,-0.09,y
3200.0,1904.0,2895.0,3742.0,2932.0,3735.0,2943.0,4095.0,3.36,8.43,-1.94,0.21,0.48,-0.13,y
3200.0,1899.0,2892.0,3803.0,2944.0,3744.0,2950.0,4095.0,3.62,8.78,-1.99,0.3,0.29,-0.27,y
3199.0,1895.0,2897.0,3794.0,2949.0,3747.0,2960.0,4095.0,3.97,9.35,-2.43,0.25,0.19,-0.11,y
3193.0,1896.0,2898.0,3856.0,2949.0,3758.0,2960.0,4095.0,3.56,8.94,-2.67,0.19,0.18,-0.36,y
3191.0,1904.0,2896.0,4071.0,2961.0,3745.0,2955.0,4095.0,2.38,9.08,-3.43,0.22,0.51,-0.46,y
3177.0,1883.0,2898.0,4095.0,2977.0,3750.0,2937.0,4095.0,3.01,9.21,-3.66,-0.24,0.45,-0.22,y
3183.0,1872.0,2883.0,4095.0,2986.0,3743.0,2927.0,4095.0,2.36,9.23,-2.49,-0.4,0.19,-0.32,y
3173.0,1867.0,2880.0,4095.0,2991.0,3754.0,2919.0,4095.0,2.75,8.71,-2.02,-0.61,-0.15,-0.42,y
3172.0,1862.0,2895.0,4095.0,2995.0,3760.0,2934.0,4095.0,2.17,9.38,-1.34,-0.39,-0.21,-0.15,y
3168.0,1851.0,2887.0,4095.0,2982.0,3763.0,2960.0,4095.0,1.88,9.29,-1.24,-0.49,-0.21,-0.1,y
3170.0,1858.0,2896.0,4095.0,2957.0,3753.0,2981.0,4095.0,2.01,9.67,-0.55,-0.24,-0.22,0.09,y
3171.0,1855.0,2907.0,4007.0,2945.0,3777.0,3085.0,4095.0,2.05,9.88,-0.52,-0.0,-0.23,0.33,y
3175.0,1837.0,2918.0,3993.0,2948.0,3799.0,3146.0,4095.0,2.27,9.64,-0.88,0.1,0.11,0.24,y
3173.0,1840.0,2902.0,4045.0,2943.0,3820.0,3148.0,4095.0,2.41,9.56,-1.11,0.33,0.13,0.26,y
3175.0,1834.0,2906.0,4095.0,2951.0,3823.0,3141.0,4095.0,2.56,9.43,-1.17,0.27,0.02,0.23,y
3176.0,1835.0,2899.0,4045.0,2965.0,3824.0,3149.0,4095.0,3.3,9.0,-2.43,0.43,0.26,0.31,y
3174.0,1843.0,2903.0,4035.0,2979.0,3815.0,3146.0,4095.0,4.79,8.25,-3.19,0.13,0.13,0.14,y
3168.0,1841.0,2907.0,4067.0,2978.0,3795.0,3099.0,4095.0,4.08,8.54,-2.67,-0.55,-0.11,-0.26,y
3181.0,1876.0,2908.0,4075.0,2974.0,3783.0,2997.0,4095.0,3.03,9.15,-1.22,-0.58,-0.06,-0.45,y
3173.0,1877.0,2902.0,4064.0,2972.0,3767.0,2962.0,4095.0,2.46,9.45,-0.8,-0.4,0.07,-0.42,y
3171.0,1897.0,2899.0,4038.0,2945.0,3725.0,2862.0,4095.0,1.33,9.83,0.55,-0.08,-0.06,-0.14,y
3163.0,1909.0,2886.0,3998.0,2940.0,3711.0,2827.0,4095.0,2.22,9.89,-0.62,0.27,-0.07,0.19,y
3169.0,1934.0,2890.0,3966.0,2919.0,3681.0,2815.0,4095.0,2.49,9.53,-1.08,0.44,0.02,0.34,y
3153.0,1937.0,2876.0,3907.0,2883.0,3642.0,2747.0,4095.0,3.08,9.09,-1.97,0.41,0.17,0.33,y
3152.0,1939.0,2869.0,3884.0,2879.0,3623.0,2723.0,4036.0,3.89,8.82,-2.24,0.4,0.2,0.21,y
3147.0,1945.0,2873.0,3824.0,2880.0,3638.0,2751.0,4059.0,3.94,8.86,-2.59,0.34,0.04,0.12,y
3156.0,1939.0,2870.0,3809.0,2871.0,3636.0,2766.0,4061.0,3.83,8.14,-3.28,0.22,0.2,0.04,y
3148.0,1938.0,2866.0,3761.0,2867.0,3648.0,2778.0,4049.0,4.52,7.36,-3.79,-0.31,0.05,-0.23,y
3150.0,1927.0,2867.0,3761.0,2882.0,3650.0,2783.0,4039.0,2.9,8.43,-2.39,-0.86,0.01,-0.6,y
3155.0,1935.0,2878.0,3771.0,2891.0,3666.0,2799.0,4069.0,2.02,9.36,-1.39,-0.87,0.04,-0.41,y
3152.0,1940.0,2877.0,3789.0,2889.0,3666.0,2800.0,4073.0,1.53,9.99,0.17,-0.88,-0.14,-0.03,y
3165.0,1932.0,2871.0,3755.0,2895.0,3671.0,2800.0,4061.0,2.7,10.59,1.49,-0.04,-0.01,-0.07,y
3152.0,1936.0,2869.0,3760.0,2895.0,3677.0,2802.0,4065.0,2.2,10.19,0.99,0.73,-0.12,0.23,y
3163.0,1937.0,2864.0,3765.0,2907.0,3686.0,2814.0,4067.0,2.92,9.14,-0.97,1.4,-0.45,0.09,y
3161.0,1937.0,2873.0,3731.0,2899.0,3674.0,2809.0,4067.0,2.81,7.95,-4.66,1.01,0.08,0.13,y
