hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3828.0,4095.0,2929.0,4095.0,2847.0,2626.0,3175.0,4095.0,-0.21,9.84,4.15,-0.04,-0.15,-0.16,0.0,y
3857.0,4095.0,2946.0,4095.0,2859.0,2633.0,3178.0,4095.0,-0.52,10.02,3.82,-0.15,-0.22,-0.18,0.0,y
3839.0,4095.0,2942.0,4095.0,2846.0,2629.0,3173.0,4095.0,-0.79,9.92,4.61,-0.27,-0.16,-0.04,0.0,y
3872.0,4095.0,2942.0,4095.0,2861.0,2637.0,3184.0,4095.0,-0.1,9.78,5.1,-0.27,-0.07,-0.01,0.0,y
3856.0,4095.0,2935.0,4095.0,2852.0,2631.0,3175.0,4095.0,-0.08,9.85,5.25,-0.23,-0.09,-0.04,0.0,y
3858.0,4095.0,2934.0,4095.0,2855.0,2642.0,3190.0,4095.0,0.13,9.79,5.58,-0.24,-0.01,-0.04,0.0,y
3851.0,4095.0,2937.0,4095.0,2852.0,2631.0,3173.0,4095.0,0.47,9.73,5.73,-0.29,-0.12,-0.09,0.0,y
3859.0,4095.0,2940.0,4095.0,2850.0,2637.0,3183.0,4095.0,0.11,9.71,6.11,-0.29,-0.13,-0.17,0.0,y
3854.0,4095.0,2951.0,4095.0,2855.0,2640.0,3184.0,4095.0,0.02,9.6,6.64,-0.29,-0.02,-0.14,0.0,y
3866.0,4095.0,2935.0,4095.0,2849.0,2639.0,3183.0,4095.0,0.15,9.51,6.95,-0.2,0.0,-0.11,0.0,y
3847.0,4095.0,2943.0,4095.0,2853.0,2638.0,3186.0,4095.0,0.27,9.57,6.91,-0.11,-0.06,-0.16,0.0,y
3846.0,4095.0,2928.0,4095.0,2850.0,2639.0,3175.0,4095.0,0.25,9.45,7.28,-0.08,0.04,-0.15,0.0,y
3844.0,4095.0,2945.0,4095.0,2864.0,2636.0,3167.0,4095.0,0.29,9.41,7.43,-0.0,0.02,-0.16,0.0,y
3831.0,4095.0,2928.0,4095.0,2851.0,2634.0,3169.0,4095.0,0.23,9.49,7.18,0.05,-0.04,-0.16,0.0,y
3856.0,4095.0,2945.0,4095.0,2857.0,2637.0,3174.0,4095.0,0.23,9.47,7.11,0.04,0.0,-0.2,0.0,y
3858.0,4095.0,2938.0,4095.0,2851.0,2631.0,3168.0,4095.0,0.08,9.47,7.13,0.07,-0.02,-0.22,0.0,y
3856.0,4095.0,2944.0,4095.0,2862.0,2637.0,3174.0,4095.0,0.0,9.52,6.99,0.09,-0.0,-0.19,0.0,y
3827.0,4095.0,2942.0,4095.0,2851.0,2640.0,3174.0,4095.0,0.05,9.55,6.88,0.09,0.01,-0.18,0.0,y
3850.0,4095.0,2939.0,4095.0,2864.0,2640.0,3184.0,4095.0,0.01,9.53,6.86,0.1,-0.03,-0.18,0.0,y
3856.0,4095.0,2946.0,4095.0,2857.0,2640.0,3175.0,4095.0,-0.04,9.58,6.72,0.11,-0.02,-0.17,0.0,y
3843.0,4095.0,2944.0,4095.0,2850.0,2640.0,3175.0,4095.0,-0.3,9.74,5.77,0.09,-0.0,-0.16,0.0,y
3865.0,4095.0,2941.0,4095.0,2864.0,2647.0,3188.0,4095.0,-0.19,9.82,5.61,0.08,-0.01,-0.16,0.0,y
3848.0,4095.0,2943.0,4095.0,2853.0,2640.0,3173.0,4095.0,-0.25,9.77,5.74,0.06,0.02,-0.17,0.0,y
3854.0,4095.0,2955.0,4095.0,2859.0,2639.0,3183.0,4095.0,-0.21,9.8,5.67,0.07,0.02,-0.17,0.0,y
3831.0,4095.0,2935.0,4095.0,2858.0,2639.0,3178.0,4095.0,-0.26,9.81,5.57,0.07,-0.0,-0.18,0.0,y
3863.0,4095.0,2947.0,4095.0,2858.0,2642.0,3184.0,4095.0,-0.31,9.79,5.52,0.09,-0.0,-0.16,0.0,y
3854.0,4095.0,2944.0,4095.0,2858.0,2640.0,3177.0,4095.0,-0.24,9.87,5.43,0.08,0.0,-0.17,0.0,y
3847.0,4095.0,2949.0,4095.0,2863.0,2646.0,3180.0,4095.0,-0.41,9.83,5.33,0.08,0.0,-0.18,0.0,y
3842.0,4095.0,2933.0,4095.0,2850.0,2640.0,3177.0,4095.0,-0.41,9.85,5.32,0.07,0.0,-0.15,0.0,y
3856.0,4095.0,2942.0,4095.0,2862.0,2640.0,3183.0,4095.0,-0.34,9.84,5.26,0.07,0.0,-0.14,0.0,y
3839.0,4095.0,2933.0,4095.0,2862.0,2640.0,3183.0,4095.0,-0.34,9.86,5.24,0.08,0.03,-0.14,0.0,y
3839.0,4095.0,2943.0,4095.0,2864.0,2642.0,3177.0,4095.0,-0.35,9.84,5.15,0.09,0.03,-0.13,0.0,y
3866.0,4095.0,2945.0,4095.0,2864.0,2646.0,3186.0,4095.0,-0.34,9.87,5.03,0.08,0.01,-0.12,0.0,y
3842.0,4095.0,2934.0,4095.0,2860.0,2640.0,3181.0,4095.0,-0.27,9.88,4.94,0.07,0.01,-0.09,0.0,y
3861.0,4095.0,2949.0,4095.0,2862.0,2642.0,3187.0,4095.0,-0.14,9.9,4.85,0.07,0.02,-0.09,0.0,y
3858.0,4095.0,2945.0,4095.0,2862.0,2639.0,3179.0,4095.0,-0.12,9.92,4.81,0.05,0.05,-0.09,0.0,y
3855.0,4095.0,2945.0,4095.0,2859.0,2638.0,3189.0,4095.0,-0.17,9.92,4.64,0.02,0.08,-0.05,0.0,y
3857.0,4095.0,2944.0,4095.0,2858.0,2641.0,3176.0,4095.0,0.05,9.9,4.75,-0.06,0.03,-0.03,0.0,y
3856.0,4095.0,2930.0,4095.0,2864.0,2647.0,3193.0,4095.0,0.16,9.87,4.98,-0.07,0.03,0.01,0.0,y
3839.0,4095.0,2937.0,4095.0,2857.0,2640.0,3184.0,4095.0,0.41,9.87,5.03,-0.09,0.02,-0.0,0.0,y
3856.0,4095.0,2944.0,4095.0,2857.0,2640.0,3189.0,4095.0,0.68,9.7,6.11,-0.11,-0.07,-0.22,0.0,y
3843.0,4095.0,2931.0,4095.0,2858.0,2639.0,3184.0,4095.0,0.66,9.71,6.21,-0.12,-0.05,-0.18,0.0,y
3862.0,4095.0,2949.0,4095.0,2864.0,2641.0,3185.0,4095.0,0.63,9.61,6.55,-0.15,-0.0,-0.19,0.0,y
3843.0,4095.0,2930.0,4095.0,2855.0,2640.0,3181.0,4095.0,0.71,9.56,6.76,-0.1,-0.02,-0.22,0.0,y
3875.0,4095.0,2938.0,4095.0,2863.0,2645.0,3194.0,4095.0,0.68,9.56,6.75,-0.06,-0.07,-0.29,0.0,y
3858.0,4095.0,2934.0,4095.0,2864.0,2641.0,3181.0,4095.0,0.36,9.58,6.81,-0.03,-0.06,-0.27,0.0,y
3847.0,4095.0,2938.0,4095.0,2864.0,2642.0,3191.0,4095.0,0.24,9.57,6.74,-0.0,-0.04,-0.24,0.0,y
3828.0,4095.0,2930.0,4095.0,2861.0,2645.0,3184.0,4095.0,0.25,9.57,6.84,-0.03,-0.02,-0.21,0.0,y
3842.0,4095.0,2943.0,4095.0,2864.0,2640.0,3184.0,4095.0,0.26,9.55,6.83,-0.01,-0.0,-0.23,0.0,y
3854.0,4095.0,2947.0,4095.0,2864.0,2650.0,3191.0,4095.0,0.01,9.58,6.83,0.01,0.01,-0.22,0.0,y
3866.0,4095.0,2934.0,4095.0,2855.0,2639.0,3182.0,4095.0,0.06,9.6,6.76,0.0,0.01,-0.2,0.0,y
3846.0,4095.0,2952.0,4095.0,2864.0,2651.0,3193.0,4095.0,0.12,9.56,6.89,-0.02,0.01,-0.2,0.0,y
3839.0,4095.0,2927.0,4095.0,2864.0,2642.0,3184.0,4095.0,0.02,9.55,6.92,-0.0,-0.0,-0.24,0.0,y
3841.0,4095.0,2951.0,4095.0,2860.0,2640.0,3184.0,4095.0,-0.23,9.53,6.86,-0.01,0.01,-0.22,0.0,y
3830.0,4095.0,2939.0,4095.0,2862.0,2641.0,3184.0,4095.0,-0.19,9.48,7.11,-0.0,0.03,-0.19,0.0,y
3862.0,4095.0,2943.0,4095.0,2866.0,2649.0,3191.0,4095.0,-0.2,9.45,7.12,0.04,-0.02,-0.19,0.0,y
3854.0,4095.0,2931.0,4095.0,2855.0,2640.0,3184.0,4095.0,0.15,9.5,7.42,0.15,0.12,-0.2,0.0,y
3856.0,4095.0,2944.0,4095.0,2855.0,2643.0,3191.0,4095.0,-0.12,9.5,6.79,0.34,-0.04,-0.39,0.0,y
3846.0,4095.0,2939.0,4095.0,2864.0,2641.0,3184.0,4095.0,-0.75,9.67,5.98,0.27,0.01,-0.41,0.0,y
3856.0,4095.0,2949.0,4095.0,2864.0,2646.0,3195.0,4095.0,-1.31,9.7,5.84,0.17,0.01,-0.33,0.0,y
3871.0,4095.0,2933.0,4095.0,2858.0,2650.0,3197.0,4095.0,-1.05,9.5,6.72,0.14,0.07,-0.13,0.0,y
3856.0,4095.0,2947.0,4095.0,2859.0,2640.0,3185.0,4095.0,-0.88,9.67,5.75,0.35,0.04,-0.15,0.0,y
3857.0,4095.0,2946.0,4095.0,2870.0,2656.0,3196.0,4095.0,-0.91,9.73,5.18,0.36,0.06,-0.2,0.0,y
3827.0,4095.0,2943.0,4095.0,2864.0,2640.0,3184.0,4095.0,-1.02,9.89,4.42,0.27,-0.0,-0.26,0.0,y
3847.0,4095.0,2937.0,4095.0,2865.0,2648.0,3198.0,4095.0,-1.45,9.84,4.46,0.09,-0.07,-0.23,0.0,y
3854.0,4095.0,2935.0,4095.0,2864.0,2643.0,3184.0,4095.0,-1.35,9.85,4.27,0.05,-0.07,-0.22,0.0,y
3856.0,4095.0,2935.0,4095.0,2871.0,2646.0,3189.0,4095.0,-1.54,9.78,4.68,-0.05,-0.01,-0.16,0.0,y
3856.0,4095.0,2935.0,4095.0,2863.0,2645.0,3193.0,4095.0,-1.38,9.79,4.83,-0.03,-0.05,-0.15,0.0,y
3866.0,4095.0,2941.0,4095.0,2867.0,2641.0,3187.0,4095.0,-1.62,9.71,5.19,-0.06,-0.05,-0.09,0.0,y
3856.0,4095.0,2946.0,4095.0,2871.0,2647.0,3191.0,4095.0,-1.19,9.73,5.06,0.05,-0.0,-0.04,0.0,y
3849.0,4095.0,2929.0,4095.0,2870.0,2645.0,3185.0,4095.0,-0.85,9.84,4.74,0.07,-0.01,-0.09,0.0,y
3870.0,4095.0,2949.0,4095.0,2864.0,2648.0,3190.0,4095.0,-0.92,9.82,4.7,0.05,-0.02,-0.15,0.0,y
3845.0,4095.0,2946.0,4095.0,2863.0,2642.0,3183.0,4095.0,-1.07,9.84,4.68,0.02,0.01,-0.17,0.0,y
3839.0,4095.0,2943.0,4095.0,2873.0,2651.0,3194.0,4095.0,-1.03,9.77,4.87,-0.03,-0.01,-0.17,0.0,y
3834.0,4095.0,2942.0,4095.0,2865.0,2647.0,3188.0,4095.0,-1.29,9.76,5.03,-0.01,0.01,-0.16,0.0,y
3855.0,4095.0,2947.0,4095.0,2864.0,2649.0,3193.0,4095.0,-1.33,9.79,4.9,0.07,0.05,-0.12,0.0,y
3853.0,4095.0,2933.0,4095.0,2873.0,2650.0,3186.0,4095.0,-1.07,9.82,4.68,0.07,0.06,-0.1,0.0,y
3846.0,4095.0,2943.0,4095.0,2868.0,2646.0,3195.0,4095.0,-0.9,9.81,4.7,0.04,0.03,-0.11,0.0,y
3838.0,4095.0,2945.0,4095.0,2866.0,2643.0,3184.0,4095.0,-1.05,9.8,4.78,0.04,0.03,-0.14,0.0,y
3842.0,4095.0,2957.0,4095.0,2864.0,2643.0,3185.0,4095.0,-0.9,9.81,4.63,0.06,0.02,-0.15,0.0,y
3865.0,4095.0,2944.0,4095.0,2870.0,2643.0,3195.0,4095.0,-0.68,9.84,4.47,0.02,0.09,0.0,0.0,y
3841.0,4095.0,2932.0,4095.0,2864.0,2642.0,3189.0,4095.0,-0.21,9.87,4.43,0.04,0.09,0.0,0.0,y
3843.0,4095.0,2939.0,4095.0,2866.0,2653.0,3194.0,4095.0,-0.11,9.93,4.29,0.05,0.03,-0.13,0.0,y
3849.0,4095.0,2933.0,4095.0,2869.0,2642.0,3188.0,4095.0,-0.11,9.92,4.23,0.02,-0.05,-0.22,0.0,y
3863.0,4095.0,2944.0,4095.0,2876.0,2645.0,3200.0,4095.0,-0.45,9.91,4.12,-0.0,-0.11,-0.34,0.0,y
3846.0,4095.0,2946.0,4095.0,2867.0,2642.0,3184.0,4095.0,-0.39,9.82,4.45,-0.1,-0.14,-0.33,0.0,y
3839.0,4095.0,2931.0,4095.0,2869.0,2646.0,3189.0,4095.0,-1.25,9.77,4.82,-0.0,-0.1,-0.3,0.0,y
3845.0,4095.0,2945.0,4095.0,2873.0,2643.0,3184.0,4095.0,-1.29,9.78,4.51,0.05,-0.03,-0.2,0.0,y
3843.0,4095.0,2943.0,4095.0,2864.0,2645.0,3186.0,4095.0,-1.19,9.86,4.43,0.01,0.05,-0.11,0.0,y
3839.0,4095.0,2943.0,4095.0,2877.0,2653.0,3190.0,4095.0,-0.85,9.84,4.26,0.04,0.04,-0.15,0.0,y
3862.0,4095.0,2940.0,4095.0,2864.0,2640.0,3187.0,4095.0,-1.08,9.93,4.22,-0.06,-0.02,-0.14,0.0,y
3850.0,4095.0,2933.0,4095.0,2871.0,2646.0,3201.0,4095.0,-1.03,9.82,4.83,-0.09,-0.03,-0.11,0.0,y
3843.0,4095.0,2946.0,4095.0,2868.0,2647.0,3189.0,4095.0,-0.9,9.75,5.09,-0.01,-0.01,-0.12,0.0,y
3854.0,4095.0,2934.0,4095.0,2867.0,2647.0,3197.0,4095.0,-0.82,9.84,4.64,0.09,-0.02,-0.17,0.0,y
3855.0,4095.0,2928.0,4095.0,2865.0,2643.0,3191.0,4095.0,-0.99,9.84,4.47,0.02,-0.01,-0.17,0.0,y
3843.0,4095.0,2951.0,4095.0,2879.0,2653.0,3189.0,4095.0,-0.9,9.87,4.38,0.04,-0.02,-0.19,0.0,y
3856.0,4095.0,2948.0,4095.0,2864.0,2645.0,3187.0,4095.0,-1.19,9.84,4.55,-0.05,-0.04,-0.22,0.0,y
3852.0,4095.0,2945.0,4095.0,2871.0,2651.0,3195.0,4095.0,-1.3,9.7,5.12,-0.0,-0.04,-0.11,0.0,y
3862.0,4095.0,2934.0,4095.0,2875.0,2650.0,3191.0,4095.0,-0.87,9.83,4.57,0.11,-0.02,-0.08,0.0,y
3838.0,4095.0,2941.0,4095.0,2864.0,2645.0,3191.0,4095.0,-0.62,9.82,4.44,0.04,0.06,-0.12,0.0,y
3835.0,4095.0,2944.0,4095.0,2880.0,2650.0,3190.0,4095.0,-1.31,9.87,4.22,-0.22,0.05,0.05,0.0,y
3847.0,4095.0,2941.0,4095.0,2864.0,2642.0,3186.0,4095.0,-0.19,9.9,4.35,-0.23,0.02,-0.0,0.0,y
3840.0,4095.0,2935.0,4095.0,2873.0,2650.0,3196.0,4095.0,-0.13,9.81,4.95,-0.31,-0.0,-0.11,0.0,y
3826.0,4095.0,2950.0,4095.0,2875.0,2647.0,3185.0,4095.0,-0.72,9.77,5.56,-0.28,-0.06,-0.14,0.0,y
3852.0,4095.0,2956.0,4095.0,2875.0,2651.0,3185.0,4095.0,-0.35,9.71,5.69,-0.21,-0.05,-0.1,0.0,y
3839.0,4095.0,2934.0,4095.0,2867.0,2645.0,3184.0,4095.0,-0.47,9.74,5.88,-0.19,-0.07,-0.14,0.0,y
3857.0,4095.0,2941.0,4095.0,2880.0,2654.0,3198.0,4095.0,-0.72,9.69,6.13,-0.16,-0.03,-0.15,0.0,y
3834.0,4095.0,2925.0,4095.0,2869.0,2645.0,3184.0,4095.0,-0.54,9.68,6.19,-0.15,-0.01,-0.08,0.0,y
3855.0,4095.0,2935.0,4095.0,2880.0,2646.0,3185.0,4095.0,-0.26,9.68,6.19,-0.15,-0.05,-0.05,0.0,y
3830.0,4095.0,2942.0,4095.0,2877.0,2651.0,3186.0,4095.0,-0.26,9.63,6.59,-0.16,-0.09,-0.03,0.0,y
3831.0,4095.0,2942.0,4095.0,2873.0,2652.0,3184.0,4095.0,-0.06,9.58,6.63,-0.13,-0.02,-0.02,0.0,y
3859.0,4095.0,2943.0,4095.0,2880.0,2647.0,3181.0,4095.0,0.28,9.59,6.67,-0.15,0.01,-0.04,0.0,y
3849.0,4095.0,2927.0,4095.0,2874.0,2650.0,3184.0,4095.0,0.34,9.53,6.99,-0.15,-0.06,-0.11,0.0,y
3856.0,4095.0,2934.0,4095.0,2879.0,2655.0,3183.0,4095.0,0.36,9.39,7.22,-0.11,-0.05,-0.1,0.0,y
3857.0,4095.0,2933.0,4095.0,2875.0,2651.0,3185.0,4095.0,0.38,9.4,7.43,-0.08,0.0,-0.12,0.0,y
3840.0,4095.0,2949.0,4095.0,2882.0,2656.0,3184.0,4095.0,0.45,9.32,7.58,-0.05,-0.03,-0.14,0.0,y
3838.0,4095.0,2932.0,4095.0,2878.0,2653.0,3183.0,4095.0,0.21,9.39,7.48,0.05,-0.02,-0.19,0.0,y
3851.0,4095.0,2933.0,4095.0,2883.0,2657.0,3183.0,4095.0,0.31,9.38,7.38,0.03,-0.03,-0.2,0.0,y
3851.0,4095.0,2934.0,4095.0,2876.0,2651.0,3184.0,4095.0,0.19,9.38,7.46,0.07,0.0,-0.19,0.0,y
3871.0,4095.0,2942.0,4095.0,2880.0,2659.0,3190.0,4095.0,0.12,9.41,7.36,0.09,0.04,-0.17,0.0,y
3861.0,4095.0,2942.0,4095.0,2879.0,2655.0,3191.0,4095.0,-0.19,9.7,6.21,0.17,-0.02,-0.19,0.0,y
3856.0,4095.0,2928.0,4095.0,2877.0,2653.0,3186.0,4095.0,-0.25,9.73,6.03,0.18,0.01,-0.18,0.0,y
3840.0,4095.0,2943.0,4095.0,2887.0,2670.0,3197.0,4095.0,-0.17,9.74,5.8,0.15,0.06,-0.2,0.0,y
3854.0,4095.0,2945.0,4095.0,2889.0,2663.0,3197.0,4095.0,-0.38,9.8,5.65,0.13,0.02,-0.19,0.0,y
3834.0,4095.0,2942.0,4095.0,2877.0,2656.0,3187.0,4095.0,-0.4,9.76,5.73,0.07,0.02,-0.13,0.0,y
3839.0,4095.0,2935.0,4095.0,2883.0,2663.0,3198.0,4095.0,-0.15,9.81,5.6,0.09,0.01,-0.15,0.0,y
3853.0,4095.0,2939.0,4095.0,2884.0,2658.0,3189.0,4095.0,-0.25,9.81,5.53,0.07,-0.01,-0.18,0.0,y
3839.0,4095.0,2944.0,4095.0,2883.0,2665.0,3191.0,4095.0,-0.36,9.79,5.61,0.09,0.02,-0.17,0.0,y
3835.0,4095.0,2928.0,4095.0,2881.0,2658.0,3187.0,4095.0,-0.28,9.81,5.43,0.1,0.01,-0.17,0.0,y
