hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3127.0,2907.0,3055.0,4095.0,3262.0,3895.0,3102.0,4095.0,-1.53,9.6,-1.27,0.02,0.09,0.15,y
3125.0,2895.0,3043.0,4095.0,3271.0,3901.0,3123.0,4095.0,-1.12,9.6,-0.76,-0.09,0.19,0.13,y
3124.0,2894.0,3051.0,4095.0,3268.0,3895.0,3118.0,4095.0,-1.2,9.69,-0.88,-0.17,0.31,0.11,y
3121.0,2901.0,3057.0,4095.0,3267.0,3897.0,3110.0,4095.0,-1.15,9.75,-0.62,-0.19,0.5,0.11,y
3121.0,2897.0,3057.0,4095.0,3261.0,3888.0,3102.0,4095.0,-0.96,9.32,-0.42,-0.22,0.29,0.05,y
3123.0,2901.0,3053.0,4095.0,3277.0,3888.0,3114.0,4095.0,-1.19,9.46,-0.85,-0.21,0.18,0.08,y
3136.0,2897.0,3056.0,4095.0,3250.0,3878.0,3106.0,4095.0,-1.29,9.63,-0.49,-0.17,0.29,0.13,y
3120.0,2911.0,3052.0,4095.0,3255.0,3888.0,3114.0,4095.0,-1.08,9.73,-0.93,-0.13,0.31,0.13,y
3119.0,2906.0,3051.0,4095.0,3258.0,3894.0,3102.0,4095.0,-3.28,9.72,0.33,-0.03,1.05,-0.14,y
3126.0,2899.0,3056.0,4095.0,3263.0,3877.0,3088.0,4095.0,0.01,8.98,-1.65,0.31,1.43,0.14,y
3126.0,2898.0,3051.0,4095.0,3264.0,3856.0,3083.0,4095.0,-0.22,8.8,-1.86,0.44,0.04,0.01,y
3121.0,2900.0,3055.0,4095.0,3271.0,3877.0,3089.0,4095.0,1.79,9.49,-1.84,0.52,-0.65,-0.52,y
3123.0,2897.0,3043.0,4095.0,3271.0,3888.0,3097.0,4095.0,-4.21,8.68,-2.4,0.18,-0.82,-0.77,y
3125.0,2897.0,3056.0,4095.0,3263.0,3878.0,3101.0,4095.0,-4.16,8.55,-3.03,-0.17,-0.22,0.04,y
3134.0,2899.0,3052.0,4095.0,3266.0,3888.0,3098.0,4095.0,-2.64,9.85,-1.7,-0.27,0.39,0.21,y
3119.0,2903.0,3055.0,4095.0,3275.0,3888.0,3089.0,4095.0,-1.18,10.2,-0.57,-0.12,0.28,0.45,y
3123.0,2896.0,3052.0,4095.0,3266.0,3911.0,3099.0,4095.0,0.19,9.74,0.74,0.04,0.16,0.53,y
3120.0,2897.0,3043.0,4095.0,3269.0,3896.0,3104.0,4095.0,1.08,9.33,-1.47,0.42,-0.05,0.27,y
3123.0,2902.0,3044.0,4095.0,3270.0,3895.0,3101.0,4095.0,0.47,9.3,-3.72,0.29,-0.24,-0.23,y
3126.0,2901.0,3050.0,4095.0,3269.0,3892.0,3113.0,4095.0,-3.11,9.37,-3.93,-0.45,0.3,-0.18,y
3122.0,2911.0,3049.0,4095.0,3266.0,3899.0,3105.0,4095.0,-0.66,9.82,-1.13,-0.58,0.76,0.3,y
3123.0,2897.0,3056.0,4095.0,3270.0,3911.0,3105.0,4095.0,2.37,9.21,0.14,-0.23,0.06,0.09,y
3125.0,2909.0,3057.0,4095.0,3278.0,3888.0,3107.0,4095.0,-0.67,9.7,-0.23,0.05,-0.49,-0.68,y
3129.0,2906.0,3045.0,4095.0,3266.0,3897.0,3110.0,4095.0,-2.6,10.03,-0.69,0.34,-0.44,-0.23,y
3120.0,2899.0,3056.0,4095.0,3278.0,3894.0,3103.0,4095.0,-1.32,9.83,-1.73,0.26,-0.28,-0.02,y
3122.0,2896.0,3046.0,4095.0,3263.0,3903.0,3102.0,4095.0,-3.83,8.97,-2.92,0.14,0.24,0.25,y
3123.0,2903.0,3060.0,4095.0,3255.0,3898.0,3127.0,4095.0,0.29,9.16,-2.48,-0.2,0.68,0.58,y
3125.0,2896.0,3052.0,4095.0,3266.0,3899.0,3112.0,4095.0,3.82,10.05,-0.45,-0.14,0.0,-0.1,y
3121.0,2899.0,3050.0,4095.0,3255.0,3899.0,3107.0,4095.0,-1.3,9.1,-0.62,0.28,-0.53,-0.68,y
3120.0,2896.0,3048.0,4095.0,3266.0,3888.0,3119.0,4095.0,-3.52,8.84,-4.22,-0.02,-0.06,-0.4,y
3127.0,2893.0,3049.0,4095.0,3275.0,3891.0,3115.0,4095.0,-2.34,9.41,-1.88,-0.47,0.33,0.08,y
3123.0,2896.0,3056.0,4095.0,3261.0,3907.0,3121.0,4095.0,-2.11,9.49,-1.53,-0.26,0.66,0.19,y
3122.0,2896.0,3042.0,4095.0,3252.0,3888.0,3117.0,4095.0,-1.04,9.47,0.2,-0.02,0.94,0.47,y
3119.0,2901.0,3049.0,4095.0,3257.0,3913.0,3108.0,4095.0,2.48,10.31,-0.63,0.44,-0.14,0.43,y
3122.0,2897.0,3051.0,4095.0,3265.0,3898.0,3123.0,4095.0,1.84,8.96,-1.9,0.48,-0.52,-0.02,y
3127.0,2896.0,3045.0,4095.0,3265.0,3900.0,3107.0,4095.0,-1.43,8.82,-4.17,0.14,-0.0,-0.58,y
3119.0,2903.0,3046.0,4095.0,3255.0,3919.0,3094.0,4095.0,-1.99,9.7,-3.37,-0.39,-0.1,-0.39,y
3133.0,2905.0,3041.0,4095.0,3251.0,3898.0,3118.0,4095.0,-1.7,10.09,-1.96,-0.34,0.2,0.12,y
3130.0,2901.0,3045.0,4095.0,3261.0,3911.0,3107.0,4095.0,-1.78,9.64,-3.9,-0.27,0.98,0.24,y
3127.0,2903.0,3049.0,4095.0,3260.0,3909.0,3118.0,4095.0,-1.2,9.47,0.48,-0.3,0.82,0.57,y
3120.0,2910.0,3047.0,4095.0,3264.0,3903.0,3113.0,4095.0,-0.06,9.38,0.76,0.6,-0.09,0.74,y
3126.0,2898.0,3046.0,4095.0,3263.0,3905.0,3131.0,4095.0,1.96,9.11,-3.44,0.58,-0.94,0.63,y
3120.0,2882.0,3056.0,4095.0,3270.0,3913.0,3151.0,4095.0,2.09,9.08,-4.3,-0.58,-1.95,0.11,y
3127.0,2887.0,3053.0,4095.0,3244.0,3847.0,3056.0,4095.0,0.94,9.54,-3.08,-0.73,-0.83,-0.09,y
3125.0,2885.0,3047.0,4095.0,3266.0,3882.0,3090.0,4095.0,2.53,8.65,-1.05,-0.56,-0.78,0.02,y
3136.0,2889.0,3047.0,4095.0,3265.0,3861.0,3071.0,4095.0,1.86,9.07,-2.15,-0.52,-0.93,-0.31,y
3113.0,2887.0,3038.0,4095.0,3258.0,3818.0,2992.0,4095.0,-2.57,10.43,-3.02,-0.29,-0.17,-0.63,y
3119.0,2894.0,3054.0,4095.0,3275.0,3801.0,3021.0,4095.0,-2.78,10.32,0.28,-0.4,1.0,0.24,y
3121.0,2894.0,3046.0,4095.0,3290.0,3824.0,3046.0,4095.0,0.93,9.47,3.42,0.44,0.5,0.42,y
3120.0,2905.0,3037.0,4095.0,3313.0,3826.0,3071.0,4095.0,1.59,8.61,-1.45,0.48,-0.38,0.13,y
